40, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,32, Nicaragua, <=50K
17, Private, 10th, Never-married, Prof-specialty, Own-child, White, Male,0,0,27, United-States, <=50K
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Adm-clerical, Other-relative, White, Female,0,0,40, Yugoslavia, <=50K
42, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, >50K
24, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Poland, <=50K
40, Self-emp-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
44, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
58, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Scotland, >50K
31, Private, 10th, Never-married, Sales, Unmarried, White, Female,0,0,33, United-States, <=50K
41, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
34, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
27, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,38, United-States, <=50K
42, Private, 12th, Divorced, Adm-clerical, Unmarried, White, Female,3103,0,40, United-States, <=50K
31, Self-emp-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,70, Guatemala, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,7687,0,40, Yugoslavia, >50K
27, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K
90, Private, HS-grad, Widowed, Prof-specialty, Husband, Black, Female,0,0,40, United-States, <=50K
27, Self-emp-inc, Doctorate, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,99, United-States, <=50K
48, Self-emp-not-inc, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, United-States, >50K
30, Private, Assoc-acdm, Never-married, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, <=50K
30, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
44, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1887,40, United-States, >50K
38, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Sales, Husband, White, Male,0,0,50, United-States, <=50K
32, Private, Some-college, Never-married, Craft-repair, Wife, Other, Female,0,0,35, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, United-States, >50K
36, Private, 5th-6th, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, Jamaica, <=50K
47, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Other, Female,0,1887,60, United-States, <=50K
44, Private, Bachelors, Divorced, Exec-managerial, Wife, White, Male,0,0,40, Puerto-Rico, <=50K
44, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,35, United-States, <=50K
65, Private, HS-grad, Separated, Tech-support, Unmarried, Black, Female,0,0,40, Philippines, <=50K
41, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
44, Private, Assoc-acdm, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, >50K
36, Private, Assoc-acdm, Never-married, Transport-moving, Own-child, White, Male,0,0,40, Germany, <=50K
40, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, >50K
21, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, United-States, >50K
36, Private, Assoc-voc, Divorced, Farming-fishing, Not-in-family, Other, Male,0,0,45, United-States, <=50K
21, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, Italy, <=50K
30, Private, HS-grad, Never-married, Craft-repair, Unmarried, Black, Female,0,0,40, Holand-Netherlands, <=50K
27, Private, Some-college, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
23, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,15, United-States, <=50K
23, State-gov, HS-grad, Never-married, Craft-repair, Other-relative, White, Male,0,0,50, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
60, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Guatemala, <=50K
35, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, >50K
23, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,30, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,5, United-States, >50K
30, Private, Doctorate, Never-married, Tech-support, Husband, White, Female,0,0,36, United-States, >50K
32, Local-gov, Assoc-acdm, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,39, Hungary, <=50K
53, Federal-gov, 7th-8th, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
75, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Wife, White, Male,0,0,35, United-States, >50K
33, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,54, United-States, <=50K
38, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,14944,0,40, United-States, >50K
30, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
63, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,32, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
22, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,35, United-States, <=50K
37, State-gov, Some-college, Separated, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Assoc-acdm, Divorced, Other-service, Not-in-family, White, Male,0,0,50, Thailand, <=50K
51, Private, HS-grad, Widowed, Protective-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
65, Private, HS-grad, Separated, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
28, Private, Some-college, Separated, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,44, United-States, <=50K
58, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Sales, Unmarried, Black, Male,0,0,30, United-States, <=50K
44, Private, Assoc-acdm, Widowed, Handlers-cleaners, Unmarried, Black, Female,0,0,40, United-States, <=50K
44, Private, Masters, Never-married, Sales, Unmarried, Black, Female,0,0,45, Guatemala, <=50K
44, Self-emp-inc, HS-grad, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
46, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, State-gov, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
40, Private, Some-college, Separated, Adm-clerical, Own-child, Other, Female,0,0,35, United-States, <=50K
50, Local-gov, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Taiwan, >50K
19, State-gov, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, United-States, <=50K
18, Private, 10th, Never-married, Sales, Own-child, Other, Male,0,0,25, United-States, <=50K
62, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,10, United-States, >50K
50, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,38, United-States, >50K
23, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Mexico, <=50K
61, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
67, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
56, Local-gov, 10th, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,20, United-States, <=50K
48, Local-gov, 7th-8th, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,8, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, Mexico, <=50K
38, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
57, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Divorced, Other-service, Own-child, White, Female,0,0,10, United-States, <=50K
67, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, Poland, <=50K
35, Private, Masters, Never-married, Sales, Not-in-family, White, Female,0,0,54, United-States, <=50K
46, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
36, Self-emp-inc, Bachelors, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
65, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Unmarried, Black, Male,0,0,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
44, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
23, Private, 11th, Never-married, Adm-clerical, Not-in-family, White, Female,0,1466,40, Puerto-Rico, <=50K
48, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, United-States, <=50K
58, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5320,0,40, United-States, >50K
37, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,0,0,48, United-States, <=50K
68, State-gov, Bachelors, Widowed, Prof-specialty, Wife, White, Male,0,2191,4, United-States, >50K
49, Private, 9th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
26, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
49, Private, Masters, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,50, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,38, Philippines, >50K
46, Private, HS-grad, Separated, Sales, Wife, White, Male,0,0,40, United-States, >50K
43, Private, HS-grad, Widowed, Tech-support, Unmarried, White, Female,0,0,25, United-States, <=50K
29, Private, 10th, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,38, United-States, <=50K
18, Private, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,8, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
46, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
46, Self-emp-not-inc, Some-college, Separated, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Separated, Sales, Not-in-family, White, Male,0,0,40, Trinadad&Tobago, <=50K
47, Local-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,99999,0,54, United-States, >50K
33, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,1724,40, United-States, >50K
50, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, United-States, >50K
42, Private, Some-college, Separated, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
52, Private, Some-college, Widowed, Sales, Unmarried, Black, Female,0,0,20, United-States, <=50K
18, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,30, United-States, <=50K
33, Federal-gov, Bachelors, Divorced, Sales, Other-relative, White, Female,0,0,30, United-States, <=50K
58, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, >50K
26, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1902,45, United-States, <=50K
49, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
58, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
68, Private, Bachelors, Divorced, Farming-fishing, Husband, White, Male,0,0,8, United-States, <=50K
61, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,48, United-States, <=50K
54, Private, Some-college, Divorced, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,14, South, <=50K
43, Private, Some-college, Never-married, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Male,3583,0,45, United-States, <=50K
29, Private, Bachelors, Separated, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Never-married, Machine-op-inspct, Husband, Other, Male,3195,0,40, United-States, <=50K
46, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Other-relative, White, Male,0,0,40, United-States, >50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,12, Yugoslavia, <=50K
47, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,1710,40, Canada, >50K
52, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
43, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, >50K
77, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
61, Private, Some-college, Married-civ-spouse, Tech-support, Wife, White, Male,0,0,10, United-States, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, El-Salvador, >50K
46, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,4110,0,40, United-States, >50K
31, Private, Some-college, Never-married, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
43, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
21, Private, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Poland, <=50K
40, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,42, United-States, >50K
33, Private, Some-college, Never-married, Sales, Wife, White, Male,0,0,40, United-States, <=50K
20, Federal-gov, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,40, Canada, <=50K
28, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,37, United-States, >50K
38, Self-emp-not-inc, 11th, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
26, Private, 9th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
36, Private, Bachelors, Divorced, Farming-fishing, Unmarried, White, Female,0,0,50, United-States, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
67, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,3958,0,40, United-States, <=50K
33, Private, 5th-6th, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
61, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,40, Holand-Netherlands, <=50K
28, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
56, Self-emp-inc, Assoc-acdm, Widowed, Farming-fishing, Own-child, White, Male,0,0,73, United-States, <=50K
38, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,18, United-States, <=50K
31, Private, Assoc-voc, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
19, State-gov, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States, <=50K
47, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, United-States, >50K
51, Private, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Jamaica, >50K
30, Private, Bachelors, Never-married, Tech-support, Unmarried, White, Male,0,0,50, United-States, <=50K
29, Private, 12th, Married-civ-spouse, Prof-specialty, Husband, White, Male,8036,0,40, United-States, >50K
78, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,2174,0,15, United-States, <=50K
47, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,25, United-States, <=50K
45, State-gov, Bachelors, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, >50K
28, Private, Assoc-acdm, Never-married, Prof-specialty, Husband, White, Female,0,0,70, United-States, >50K
39, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
18, Private, Assoc-voc, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, United-States, <=50K
51, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,35, United-States, <=50K
59, Self-emp-not-inc, Some-college, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,80, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
30, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,0,0,40, Germany, >50K
29, Private, 10th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, United-States, <=50K
64, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
31, Local-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,49, Jamaica, <=50K
29, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
55, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,1721,40, United-States, <=50K
53, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,42, United-States, >50K
35, Private, Doctorate, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, >50K
26, Private, Masters, Divorced, Tech-support, Unmarried, White, Female,0,0,40, Thailand, <=50K
55, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,40, United-States, >50K
37, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,45, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
40, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Portugal, <=50K
42, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, China, >50K
55, Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,10, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
53, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,35, United-States, >50K
62, Federal-gov, 7th-8th, Separated, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, Some-college, Separated, Sales, Wife, White, Female,0,0,40, United-States, <=50K
29, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,40, Thailand, >50K
32, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
25, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,54, United-States, >50K
