35, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, >50K
58, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,40, Italy, >50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,1875,40, Hungary, >50K
39, Private, Bachelors, Never-married, Tech-support, Not-in-family, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
26, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,15, Cuba, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, Guatemala, <=50K
48, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,60, United-States, <=50K
21, Private, HS-grad, Divorced, Adm-clerical, Own-child, Other, Male,0,0,35, Italy, >50K
37, Local-gov, 12th, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,45, Hong, <=50K
24, Local-gov, Assoc-voc, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,38, Japan, <=50K
59, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
49, Private, Assoc-voc, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
47, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Jamaica, >50K
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,1890,50, Haiti, >50K
37, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,38, Haiti, >50K
34, Self-emp-not-inc, Doctorate, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, Dominican-Republic, >50K
34, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Hong, <=50K
21, Private, Bachelors, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,40, Italy, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,70, Thailand, <=50K
29, Private, Doctorate, Married-civ-spouse, Sales, Husband, Other, Female,0,0,50, Japan, <=50K
64, Self-emp-not-inc, HS-grad, Widowed, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,8, Peru, <=50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
24, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,50, United-States, <=50K
22, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, India, <=50K
27, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
44, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, <=50K
39, Private, Assoc-voc, Separated, Machine-op-inspct, Unmarried, Black, Female,0,0,40, Honduras, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,2875,0,40, Peru, <=50K
32, State-gov, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,40, Italy, <=50K
20, Private, 11th, Never-married, Sales, Unmarried, White, Male,0,0,35, Peru, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Vietnam, >50K
27, Private, Masters, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, India, <=50K
69, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Female,0,2546,40, Dominican-Republic, <=50K
62, Self-emp-inc, HS-grad, Separated, Sales, Wife, Other, Male,0,0,40, Portugal, >50K
67, Private, Bachelors, Married-civ-spouse, Tech-support, Wife, Other, Male,9578,0,25, Iran, >50K
24, Private, 11th, Married-civ-spouse, Handlers-cleaners, Own-child, Black, Male,0,0,50, Iran, <=50K
26, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,60, South, <=50K
59, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, Peru, >50K
32, Private, HS-grad, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,4407,0,40, Mexico, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Wife, Other, Male,0,0,40, Guatemala, <=50K
36, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
38, Local-gov, 9th, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,35, India, <=50K
30, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,37, Mexico, <=50K
42, Local-gov, Some-college, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,38, Puerto-Rico, <=50K
43, Private, Some-college, Separated, Transport-moving, Not-in-family, Black, Female,0,0,25, Philippines, <=50K
34, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, >50K
41, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Japan, >50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, Ecuador, <=50K
64, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,20, Peru, >50K
22, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Taiwan, >50K
19, Private, 11th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,15, India, <=50K
42, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Honduras, <=50K
25, Private, Some-college, Never-married, Transport-moving, Unmarried, Black, Male,0,0,40, South, <=50K
22, State-gov, HS-grad, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,35, Yugoslavia, <=50K
29, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,48, Canada, <=50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, >50K
52, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Female,3429,0,40, Trinadad&Tobago, <=50K
40, Private, Some-college, Divorced, Sales, Not-in-family, Other, Male,0,0,40, Guatemala, <=50K
38, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, Columbia, <=50K
59, Self-emp-inc, Some-college, Married-civ-spouse, Handlers-cleaners, Not-in-family, Black, Male,0,0,72, Haiti, <=50K
38, Private, Some-college, Divorced, Handlers-cleaners, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
31, Private, Bachelors, Never-married, Craft-repair, Own-child, Black, Male,0,0,54, Nicaragua, <=50K
21, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Male,0,0,24, Trinadad&Tobago, <=50K
74, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,30, Iran, >50K
29, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Puerto-Rico, <=50K
21, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,40, Honduras, >50K
27, Private, HS-grad, Never-married, Prof-specialty, Other-relative, White, Female,0,0,35, Yugoslavia, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Italy, >50K
21, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,47, Cambodia, >50K
24, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Mexico, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,54, Haiti, <=50K
24, Local-gov, Some-college, Never-married, Sales, Own-child, Other, Male,0,0,40, Jamaica, <=50K
51, Private, Some-college, Divorced, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
38, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,50, Canada, <=50K
20, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,30, Puerto-Rico, <=50K
34, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,6914,0,60, South, >50K
39, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Black, Male,0,0,40, Iran, <=50K
58, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,72, Ecuador, >50K
40, State-gov, Prof-school, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,7298,0,40, South, >50K
55, Private, Some-college, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,40, Vietnam, <=50K
34, Federal-gov, HS-grad, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,40, Cambodia, <=50K
48, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,4093,0,50, Outlying-US(Guam-USVI-etc), >50K
40, State-gov, 7th-8th, Married-civ-spouse, Craft-repair, Unmarried, Other, Female,0,0,35, Jamaica, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, Other, Female,0,0,12, Germany, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,50, Italy, <=50K
26, Private, Bachelors, Never-married, Farming-fishing, Unmarried, Black, Female,0,0,75, Nicaragua, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
32, Private, Masters, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Own-child, Black, Male,0,0,40, Peru, <=50K
36, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,54, Ireland, >50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, China, <=50K
23, Private, Bachelors, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, Greece, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, Black, Male,0,0,25, Scotland, <=50K
20, Private, Assoc-voc, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Male,0,0,30, South, <=50K
47, Self-emp-not-inc, Masters, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,48, India, <=50K
37, Private, Some-college, Never-married, Other-service, Unmarried, Other, Male,0,0,30, Iran, <=50K
45, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Hong, <=50K
23, State-gov, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Other, Male,0,0,30, Guatemala, <=50K
57, Self-emp-not-inc, Bachelors, Separated, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,60, India, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Columbia, >50K
30, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,40, Honduras, >50K
22, Private, 11th, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,16, Honduras, <=50K
47, Local-gov, Some-college, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,1604,35, Honduras, <=50K
50, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Wife, Other, Male,0,0,35, Greece, <=50K
62, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, Mexico, >50K
47, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, South, <=50K
46, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Female,0,0,40, Puerto-Rico, >50K
33, Self-emp-not-inc, Prof-school, Never-married, Farming-fishing, Not-in-family, Other, Male,0,0,99, India, <=50K
28, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
