19, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,25, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Greece, >50K
46, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
60, Private, Masters, Never-married, Exec-managerial, Unmarried, White, Male,0,0,30, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Black, Male,0,0,45, United-States, <=50K
48, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
70, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,12, United-States, <=50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,78, United-States, <=50K
40, State-gov, HS-grad, Never-married, Prof-specialty, Unmarried, Black, Male,0,0,30, United-States, <=50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,25, United-States, <=50K
41, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,46, United-States, >50K
52, Local-gov, Assoc-acdm, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, >50K
19, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,47, United-States, >50K
56, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, Assoc-voc, Divorced, Other-service, Husband, White, Male,0,0,54, United-States, >50K
43, Federal-gov, 7th-8th, Divorced, Prof-specialty, Unmarried, White, Male,0,0,50, United-States, >50K
57, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Female,0,0,50, United-States, <=50K
28, Local-gov, HS-grad, Never-married, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
20, Self-emp-inc, 11th, Separated, Other-service, Wife, White, Male,0,0,3, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,80, United-States, <=50K
41, Self-emp-inc, Masters, Divorced, Adm-clerical, Husband, White, Female,0,0,40, Vietnam, <=50K
22, Private, 7th-8th, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,30, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,35, United-States, <=50K
25, Private, Assoc-voc, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,35, United-States, <=50K
34, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
59, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
62, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Female,0,0,45, United-States, >50K
24, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, >50K
56, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,1977,40, United-States, <=50K
62, Private, 10th, Married-civ-spouse, Adm-clerical, Other-relative, White, Female,0,0,35, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, Italy, <=50K
22, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,47, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
28, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,20, United-States, <=50K
27, Private, 9th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,30, United-States, <=50K
81, Private, 9th, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,20, United-States, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, >50K
47, Local-gov, 11th, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,35, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,40, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, <=50K
30, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
58, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, >50K
19, Private, 12th, Never-married, Transport-moving, Own-child, White, Female,0,0,40, Mexico, <=50K
22, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,54, United-States, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Private, Masters, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,1886,50, United-States, >50K
33, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
18, Private, 11th, Never-married, Prof-specialty, Own-child, White, Male,0,0,16, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, South, <=50K
22, Private, HS-grad, Never-married, Farming-fishing, Wife, Black, Female,0,1568,12, Trinadad&Tobago, <=50K
59, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, >50K
23, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,25, United-States, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,42, United-States, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
22, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,45, Mexico, <=50K
35, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
48, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, United-States, >50K
32, Private, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
37, Local-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Mexico, >50K
60, Federal-gov, 7th-8th, Divorced, Sales, Husband, White, Male,15024,0,50, United-States, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,0,50, United-States, >50K
20, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,25, United-States, <=50K
33, Private, Some-college, Divorced, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
23, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Other-relative, White, Female,0,0,30, United-States, <=50K
35, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,42, United-States, <=50K
67, State-gov, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
32, Self-emp-inc, HS-grad, Never-married, Adm-clerical, Wife, White, Male,0,0,40, United-States, >50K
23, Self-emp-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
57, Without-pay, Prof-school, Widowed, Protective-serv, Husband, White, Male,0,0,60, United-States, <=50K
18, Private, 11th, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,10, United-States, <=50K
32, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
78, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
40, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,70, United-States, >50K
36, Private, Some-college, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, Doctorate, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
49, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,2174,0,40, United-States, <=50K
48, Self-emp-inc, Prof-school, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,80, United-States, <=50K
26, Private, 7th-8th, Separated, Prof-specialty, Not-in-family, White, Male,0,0,98, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Protective-serv, Not-in-family, Black, Male,0,0,40, Mexico, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
20, Private, 12th, Never-married, Adm-clerical, Own-child, White, Female,0,0,10, United-States, <=50K
21, State-gov, HS-grad, Never-married, Sales, Own-child, Black, Female,0,0,10, United-States, <=50K
24, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Local-gov, 7th-8th, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Married-spouse-absent, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, >50K
55, State-gov, HS-grad, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, Private, 10th, Never-married, Other-service, Own-child, Black, Female,0,0,10, United-States, <=50K
22, Private, Some-college, Married-civ-spouse, Transport-moving, Own-child, White, Female,0,0,35, United-States, >50K
39, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,25, United-States, <=50K
40, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Husband, Black, Female,0,0,40, United-States, >50K
41, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,54, United-States, >50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
62, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,42, United-States, <=50K
39, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,15024,0,50, United-States, >50K
40, Local-gov, 10th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,65, United-States, <=50K
60, Federal-gov, 7th-8th, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,37, United-States, <=50K
53, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
43, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,30, United-States, <=50K
19, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
40, Private, Some-college, Divorced, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
45, Self-emp-not-inc, HS-grad, Never-married, Sales, Husband, White, Female,0,0,36, United-States, <=50K
53, Local-gov, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,1977,35, United-States, <=50K
38, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Self-emp-not-inc, HS-grad, Separated, Farming-fishing, Husband, Asian-Pac-Islander, Female,0,0,60, United-States, <=50K
53, State-gov, Some-college, Divorced, Protective-serv, Unmarried, Black, Male,0,0,40, United-States, <=50K
57, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,70, United-States, <=50K
48, Private, Masters, Married-civ-spouse, Sales, Unmarried, White, Male,0,0,40, United-States, >50K
60, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,30, United-States, <=50K
21, Private, 12th, Never-married, Other-service, Unmarried, White, Female,0,0,20, United-States, >50K
27, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
26, State-gov, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,36, United-States, <=50K
35, Private, Assoc-acdm, Divorced, Tech-support, Wife, White, Male,2515,0,40, United-States, >50K
34, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
21, Private, Masters, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
86, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,35, United-States, <=50K
43, Private, HS-grad, Separated, Protective-serv, Unmarried, White, Male,7298,0,43, United-States, >50K
18, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,16, United-States, <=50K
63, Local-gov, 10th, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,30, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
47, Private, Bachelors, Divorced, Other-service, Husband, White, Male,0,0,40, United-States, >50K
64, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,5013,0,43, United-States, >50K
39, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Unmarried, White, Male,0,1886,40, United-States, >50K
34, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Local-gov, 12th, Never-married, Craft-repair, Unmarried, White, Male,0,1977,40, United-States, <=50K
52, Private, Bachelors, Divorced, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, >50K
52, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,5178,0,40, United-States, >50K
24, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, >50K
50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,60, United-States, >50K
47, Federal-gov, Bachelors, Divorced, Sales, Husband, White, Male,0,0,40, United-States, >50K
23, Private, 11th, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
53, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
26, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
35, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, United-States, >50K
39, Self-emp-not-inc, HS-grad, Separated, Craft-repair, Not-in-family, White, Male,0,0,27, Hungary, <=50K
44, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,15024,0,45, United-States, >50K
60, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, >50K
51, Private, Some-college, Divorced, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
26, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,45, United-States, <=50K
24, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
29, Private, Bachelors, Separated, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,30, United-States, <=50K
23, Self-emp-not-inc, 11th, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, >50K
24, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Yugoslavia, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,30, Canada, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
64, Local-gov, Some-college, Divorced, Sales, Husband, White, Male,0,0,40, United-States, >50K
42, Private, Some-college, Never-married, Tech-support, Wife, White, Male,0,0,40, United-States, <=50K
39, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Male,3996,0,42, Honduras, >50K
24, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, <=50K
25, Private, Some-college, Never-married, Craft-repair, Wife, White, Female,0,0,30, United-States, <=50K
26, Private, HS-grad, Never-married, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
44, Local-gov, 11th, Married-spouse-absent, Craft-repair, Unmarried, White, Female,0,0,35, United-States, >50K
52, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Sales, Wife, White, Male,0,0,35, United-States, <=50K
48, Federal-gov, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,78, Columbia, <=50K
45, Private, Masters, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,7687,0,45, United-States, >50K
23, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
53, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, >50K
77, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
60, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, >50K
34, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,30, United-States, <=50K
62, Private, Prof-school, Married-civ-spouse, Adm-clerical, Husband, White, Male,7298,0,40, United-States, <=50K
53, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, 11th, Never-married, Other-service, Not-in-family, White, Female,0,0,60, United-States, <=50K
55, Self-emp-inc, Masters, Married-civ-spouse, Sales, Not-in-family, White, Female,15024,0,60, Poland, >50K
25, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
47, Private, Assoc-voc, Separated, Exec-managerial, Not-in-family, White, Male,7687,0,40, United-States, >50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1891,50, United-States, <=50K
30, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
27, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,50, United-States, <=50K
48, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,65, United-States, <=50K
39, Private, Bachelors, Separated, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
27, Private, 1st-4th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Philippines, <=50K
68, Private, Doctorate, Married-civ-spouse, Tech-support, Not-in-family, White, Male,2174,0,15, United-States, >50K
18, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,1660,15, United-States, <=50K
17, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,8, United-States, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
44, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,42, United-States, >50K
21, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Separated, Craft-repair, Wife, Black, Male,0,0,40, United-States, <=50K
46, Private, 9th, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,35, United-States, <=50K
66, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, >50K
37, Private, Bachelors, Divorced, Craft-repair, Unmarried, White, Male,0,0,37, United-States, <=50K
18, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Mexico, <=50K
40, Private, 10th, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,30, United-States, <=50K
54, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
43, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Puerto-Rico, >50K
30, Private, Masters, Never-married, Tech-support, Not-in-family, White, Male,0,0,45, United-States, <=50K
46, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,50, United-States, <=50K
24, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
63, Private, Doctorate, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,15024,0,50, United-States, >50K
46, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, >50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
37, Private, Doctorate, Married-civ-spouse, Sales, Not-in-family, White, Male,7298,0,60, United-States, >50K
47, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,54, United-States, >50K
28, Private, 5th-6th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,20, China, <=50K
60, Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,10, United-States, <=50K
29, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
57, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Federal-gov, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
54, Private, Some-college, Never-married, Sales, Wife, White, Female,0,0,40, United-States, >50K
46, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
41, Private, Bachelors, Never-married, Sales, Husband, White, Male,0,0,65, United-States, >50K
27, Private, HS-grad, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,7298,0,50, United-States, >50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
24, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,37, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,50, United-States, <=50K
42, Self-emp-inc, Masters, Married-civ-spouse, Adm-clerical, Wife, Black, Male,0,0,40, United-States, >50K
