62, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, Cuba, >50K
48, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, Italy, >50K
30, Private, 7th-8th, Divorced, Tech-support, Unmarried, White, Male,0,0,40, Peru, <=50K
33, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,45, Vietnam, >50K
58, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,1902,45, India, >50K
32, Private, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, Other, Female,0,0,36, Ecuador, <=50K
45, Self-emp-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,70, Portugal, >50K
43, Private, HS-grad, Widowed, Tech-support, Unmarried, Black, Male,0,0,30, India, <=50K
63, Local-gov, 10th, Married-civ-spouse, Other-service, Unmarried, Black, Male,0,0,40, India, <=50K
25, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,80, South, <=50K
31, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, Peru, >50K
43, Private, HS-grad, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,35, Mexico, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Greece, <=50K
40, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
44, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, India, <=50K
29, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,35, Mexico, <=50K
29, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Female,0,0,45, Puerto-Rico, >50K
21, Private, Some-college, Never-married, Transport-moving, Own-child, Black, Female,0,0,16, Peru, <=50K
22, Private, Some-college, Never-married, Adm-clerical, Other-relative, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
56, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, >50K
38, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,7687,0,35, El-Salvador, <=50K
20, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Peru, <=50K
31, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Taiwan, >50K
38, Private, 5th-6th, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,50, Iran, <=50K
30, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,25, Honduras, <=50K
23, Private, Masters, Never-married, Transport-moving, Wife, Black, Male,0,0,35, South, <=50K
22, Self-emp-not-inc, Bachelors, Married-spouse-absent, Transport-moving, Husband, Other, Male,0,0,40, Yugoslavia, <=50K
43, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Male,0,1977,40, Canada, <=50K
54, Private, Doctorate, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Honduras, >50K
21, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
24, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
50, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Female,0,1902,32, Columbia, <=50K
55, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Not-in-family, Black, Male,7298,0,40, Haiti, >50K
27, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, Yugoslavia, <=50K
33, Private, Bachelors, Never-married, Craft-repair, Other-relative, Black, Male,0,0,45, Nicaragua, <=50K
47, Private, Masters, Never-married, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,60, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,0,40, Iran, <=50K
45, Self-emp-not-inc, Assoc-acdm, Never-married, Craft-repair, Husband, White, Male,0,0,50, Puerto-Rico, <=50K
48, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,70, Honduras, >50K
18, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,12, Yugoslavia, <=50K
18, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Male,0,0,25, Italy, <=50K
41, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,36, Cambodia, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Laos, <=50K
62, Private, 9th, Married-civ-spouse, Farming-fishing, Husband, Black, Female,0,0,25, Haiti, <=50K
25, Local-gov, Some-college, Married-civ-spouse, Sales, Own-child, Other, Female,0,0,8, Jamaica, <=50K
68, Private, Some-college, Widowed, Tech-support, Wife, Amer-Indian-Eskimo, Male,0,0,30, Japan, <=50K
25, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,46, Canada, <=50K
43, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,20954,0,50, Scotland, >50K
31, Private, Some-college, Never-married, Craft-repair, Wife, Asian-Pac-Islander, Female,0,0,40, South, <=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,0,54, Iran, <=50K
25, Private, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Ecuador, <=50K
63, State-gov, Some-college, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,20, South, >50K
41, Private, Some-college, Married-civ-spouse, Protective-serv, Unmarried, Asian-Pac-Islander, Male,0,1977,45, Vietnam, >50K
46, Federal-gov, Prof-school, Never-married, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Male,0,0,40, Cambodia, <=50K
42, Private, Masters, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,35, Outlying-US(Guam-USVI-etc), >50K
49, State-gov, 11th, Divorced, Craft-repair, Other-relative, Other, Female,0,0,40, Jamaica, <=50K
62, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Other, Female,0,0,30, Greece, >50K
27, Private, 5th-6th, Married-civ-spouse, Other-service, Wife, White, Male,0,0,25, Italy, <=50K
53, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,45, Nicaragua, >50K
36, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
40, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States, <=50K
36, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,50, Philippines, <=50K
35, Private, 11th, Married-civ-spouse, Other-service, Not-in-family, Black, Female,0,0,30, Ireland, <=50K
32, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,0,0,40, China, <=50K
52, Private, Bachelors, Divorced, Adm-clerical, Other-relative, Black, Male,0,0,40, Greece, <=50K
18, Private, 11th, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,12, Scotland, <=50K
35, Private, Assoc-voc, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, South, <=50K
45, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,42, India, <=50K
37, Private, Some-college, Never-married, Prof-specialty, Unmarried, Other, Male,0,0,40, Iran, <=50K
57, Private, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,0,21, Hong, <=50K
37, State-gov, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Other, Male,0,0,40, Guatemala, <=50K
30, Private, Bachelors, Separated, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, India, <=50K
18, Private, 11th, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,35, Columbia, <=50K
60, Private, Bachelors, Married-civ-spouse, Transport-moving, Not-in-family, Other, Male,0,0,40, Honduras, >50K
55, Private, 11th, Married-civ-spouse, Prof-specialty, Other-relative, Asian-Pac-Islander, Male,0,0,20, Honduras, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,30, Honduras, <=50K
32, Private, Some-college, Divorced, Craft-repair, Unmarried, Other, Male,0,0,40, Greece, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,50, Mexico, >50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, South, >50K
37, Private, Assoc-voc, Never-married, Other-service, Not-in-family, Black, Female,0,0,51, Scotland, >50K
29, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,40, India, <=50K
30, Private, Bachelors, Separated, Craft-repair, Wife, Amer-Indian-Eskimo, Female,0,0,25, Taiwan, <=50K
60, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,3241,0,35, Yugoslavia, <=50K
29, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,45, Haiti, <=50K
40, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,48, Ireland, <=50K
