21, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,30, Hungary, <=50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, India, >50K
50, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Scotland, >50K
32, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, Columbia, <=50K
29, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Other, Male,0,0,38, Columbia, <=50K
35, State-gov, Some-college, Never-married, Craft-repair, Unmarried, Black, Female,0,0,40, Yugoslavia, <=50K
36, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,35, Japan, <=50K
36, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,3450,0,50, United-States, >50K
43, State-gov, HS-grad, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,40, Jamaica, <=50K
24, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, Other, Female,0,0,31, India, <=50K
52, Self-emp-not-inc, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,27, United-States, <=50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
44, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,30, United-States, <=50K
56, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, Puerto-Rico, >50K
55, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
57, Private, Assoc-voc, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
30, Federal-gov, 9th, Married-civ-spouse, Other-service, Own-child, Black, Male,0,0,40, Mexico, <=50K
47, Local-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,45, United-States, <=50K
28, Local-gov, HS-grad, Never-married, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
42, Self-emp-not-inc, Assoc-voc, Separated, Prof-specialty, Own-child, White, Male,0,0,70, United-States, <=50K
67, Self-emp-not-inc, HS-grad, Widowed, Sales, Not-in-family, White, Male,0,0,12, United-States, <=50K
34, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, Yugoslavia, <=50K
32, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Holand-Netherlands, >50K
20, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,32, Ireland, <=50K
44, Self-emp-inc, Assoc-voc, Never-married, Other-service, Unmarried, White, Female,0,0,45, United-States, <=50K
65, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,3834,0,40, United-States, <=50K
22, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Honduras, >50K
63, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
29, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Black, Female,26733,0,60, United-States, >50K
19, Private, Some-college, Never-married, Tech-support, Own-child, White, Male,0,0,9, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,36, United-States, <=50K
22, Private, 10th, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,50, Ireland, <=50K
44, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,35, Cuba, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, >50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
67, Private, Masters, Widowed, Other-service, Husband, Amer-Indian-Eskimo, Female,15024,0,2, United-States, >50K
18, Private, Masters, Never-married, Priv-house-serv, Own-child, White, Male,0,0,25, United-States, <=50K
54, Private, Masters, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, Other, Female,0,0,60, United-States, <=50K
41, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,1887,60, United-States, >50K
52, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,2413,40, United-States, >50K
50, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Poland, <=50K
33, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,81, South, <=50K
44, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,50, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
24, Private, 11th, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, Greece, <=50K
32, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Divorced, Craft-repair, Wife, White, Female,0,0,30, Italy, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Tech-support, Unmarried, Black, Female,0,0,40, Honduras, <=50K
34, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Scotland, <=50K
39, Private, 9th, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,20, United-States, >50K
59, Local-gov, 9th, Never-married, Tech-support, Unmarried, Black, Female,0,0,35, Dominican-Republic, <=50K
32, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,50, Hungary, <=50K
38, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, United-States, >50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,45, United-States, <=50K
54, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, Greece, <=50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,3103,0,40, El-Salvador, <=50K
25, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,37, United-States, <=50K
27, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female,0,0,50, United-States, <=50K
24, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
25, Private, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,38, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Female,0,0,35, Ecuador, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,16, Outlying-US(Guam-USVI-etc), <=50K
36, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,60, United-States, >50K
28, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
33, Private, Preschool, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, >50K
76, Self-emp-inc, HS-grad, Widowed, Sales, Not-in-family, White, Female,0,0,10, Scotland, <=50K
28, Local-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, England, >50K
40, Federal-gov, 9th, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Unmarried, White, Male,0,0,15, United-States, <=50K
59, Private, Some-college, Widowed, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
22, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Own-child, Amer-Indian-Eskimo, Male,0,0,80, United-States, <=50K
36, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,70, United-States, <=50K
30, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, Nicaragua, <=50K
41, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1977,50, United-States, >50K
25, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,98, United-States, >50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
48, Without-pay, Some-college, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
37, Private, Bachelors, Divorced, Farming-fishing, Husband, White, Male,0,0,54, Japan, <=50K
22, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,20, South, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,59, United-States, >50K
28, Private, Some-college, Separated, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Separated, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
43, Self-emp-not-inc, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
38, Private, Some-college, Never-married, Sales, Unmarried, Black, Male,0,0,40, United-States, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
50, Private, HS-grad, Separated, Prof-specialty, Unmarried, Black, Male,0,0,35, Ecuador, <=50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
20, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,32, United-States, <=50K
53, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
29, Private, Preschool, Never-married, Craft-repair, Not-in-family, Other, Female,0,0,45, United-States, <=50K
45, Federal-gov, 9th, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
41, Self-emp-inc, Prof-school, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,2870,0,99, Mexico, >50K
51, State-gov, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, 10th, Never-married, Other-service, Own-child, Black, Female,0,0,40, Puerto-Rico, <=50K
22, Private, Some-college, Married-civ-spouse, Tech-support, Own-child, White, Female,0,0,20, United-States, >50K
49, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,859,50, United-States, >50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,334,40, United-States, >50K
47, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,2958,0,50, Greece, <=50K
28, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
20, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
64, Federal-gov, 1st-4th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
37, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,20, Guatemala, <=50K
20, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Male,0,0,36, United-States, <=50K
35, Private, Some-college, Divorced, Exec-managerial, Own-child, White, Female,0,0,45, United-States, <=50K
54, Self-emp-inc, HS-grad, Widowed, Protective-serv, Not-in-family, Black, Female,0,0,38, Hungary, <=50K
29, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
53, Self-emp-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
27, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,1740,50, United-States, <=50K
26, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
56, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,1729,40, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, United-States, >50K
52, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
53, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Honduras, <=50K
79, Private, Masters, Married-civ-spouse, Adm-clerical, Husband, White, Male,577,0,15, United-States, <=50K
19, Private, 12th, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
34, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,45, United-States, <=50K
37, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,7687,0,60, United-States, >50K
28, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
29, Private, Doctorate, Never-married, Adm-clerical, Own-child, White, Female,8792,0,40, Ireland, >50K
30, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,55, United-States, >50K
58, Private, HS-grad, Widowed, Transport-moving, Not-in-family, White, Male,0,1533,50, United-States, <=50K
41, Private, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,54, United-States, <=50K
49, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
28, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,32, United-States, <=50K
62, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
47, Private, Some-college, Married-spouse-absent, Sales, Husband, White, Male,0,0,45, Laos, <=50K
36, Local-gov, 7th-8th, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, >50K
47, Local-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, >50K
38, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,35, United-States, <=50K
35, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
53, Private, Bachelors, Separated, Exec-managerial, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
36, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
27, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
65, Private, 1st-4th, Widowed, Adm-clerical, Not-in-family, Black, Male,0,0,10, United-States, <=50K
33, Private, Some-college, Never-married, Other-service, Own-child, Other, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
54, State-gov, Bachelors, Divorced, Transport-moving, Not-in-family, White, Male,0,0,45, Vietnam, <=50K
53, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, Other, Male,0,0,55, Cuba, <=50K
39, Private, HS-grad, Divorced, Exec-managerial, Husband, Other, Male,0,0,20, United-States, >50K
21, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
30, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,2683,0,40, Greece, <=50K
46, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
33, Private, Bachelors, Separated, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1887,40, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
47, Self-emp-not-inc, Assoc-acdm, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Yugoslavia, <=50K
19, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, White, Male,0,0,25, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Cambodia, >50K
22, Private, HS-grad, Never-married, Protective-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Self-emp-inc, 12th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,99, United-States, >50K
23, Local-gov, Some-college, Married-civ-spouse, Sales, Other-relative, White, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Tech-support, Own-child, Black, Male,5019,0,40, United-States, >50K
34, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,60, Cuba, <=50K
21, Private, Bachelors, Never-married, Adm-clerical, Own-child, Other, Male,0,0,40, United-States, <=50K
41, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,45, United-States, <=50K
41, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
42, Private, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Jamaica, >50K
34, State-gov, Some-college, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,50, United-States, <=50K
60, Private, Some-college, Married-civ-spouse, Protective-serv, Not-in-family, Other, Male,0,0,50, United-States, <=50K
36, Federal-gov, Prof-school, Married-civ-spouse, Farming-fishing, Husband, White, Male,3103,0,45, Cambodia, >50K
57, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1929,50, United-States, >50K
29, State-gov, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, United-States, <=50K
31, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, South, <=50K
43, Private, Assoc-acdm, Divorced, Other-service, Unmarried, White, Female,0,0,60, United-States, <=50K
38, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Self-emp-inc, HS-grad, Married-spouse-absent, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
43, Private, 1st-4th, Married-civ-spouse, Other-service, Husband, White, Female,0,0,35, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,25, El-Salvador, >50K
21, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Trinadad&Tobago, <=50K
40, Private, Assoc-acdm, Separated, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, United-States, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
21, Private, 1st-4th, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
47, State-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
29, Self-emp-inc, Bachelors, Married-spouse-absent, Prof-specialty, Husband, Black, Male,3105,0,46, United-States, >50K
57, Local-gov, 12th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,8, Greece, <=50K
43, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States, <=50K
40, Private, 9th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
18, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,11, United-States, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K
28, Self-emp-not-inc, Bachelors, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,3070,0,40, United-States, >50K
28, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, >50K
25, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
63, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
52, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Adm-clerical, Unmarried, Other, Female,0,0,20, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,20, Dominican-Republic, <=50K
24, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,50, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,35, United-States, <=50K
53, Federal-gov, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, Germany, <=50K
57, Private, Masters, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,46, United-States, <=50K
49, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,1590,32, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, >50K
29, Private, HS-grad, Divorced, Tech-support, Own-child, Other, Female,0,0,40, Jamaica, >50K
56, Private, HS-grad, Widowed, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
65, Private, HS-grad, Widowed, Sales, Not-in-family, White, Female,0,0,5, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Other-service, Unmarried, White, Female,0,0,20, United-States, <=50K
48, Self-emp-inc, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Italy, >50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Canada, >50K
43, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,55, United-States, >50K
39, Self-emp-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Thailand, <=50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,46, United-States, >50K
