21, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,25, Greece, <=50K
38, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, England, <=50K
38, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,3103,0,40, Dominican-Republic, <=50K
25, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, South, <=50K
19, Private, Some-college, Never-married, Exec-managerial, Own-child, Other, Male,0,0,35, United-States, <=50K
28, Private, HS-grad, Divorced, Sales, Own-child, Black, Male,0,0,50, Nicaragua, <=50K
25, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Mexico, <=50K
25, Private, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,38, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Female,0,0,35, Cuba, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,15, Iran, <=50K
37, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,60, United-States, >50K
28, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
34, Private, Masters, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, >50K
76, Private, HS-grad, Widowed, Sales, Not-in-family, White, Female,0,0,10, Jamaica, <=50K
28, Local-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Ecuador, >50K
41, Federal-gov, 7th-8th, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Unmarried, White, Male,0,0,15, United-States, <=50K
58, Private, Some-college, Widowed, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
23, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Other-relative, Amer-Indian-Eskimo, Male,0,0,78, United-States, <=50K
37, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,70, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Iran, <=50K
41, State-gov, Some-college, Divorced, Craft-repair, Not-in-family, Black, Male,0,1977,48, Philippines, <=50K
25, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,98, United-States, >50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
48, Without-pay, Some-college, Widowed, Prof-specialty, Not-in-family, White, Male,0,0,50, Philippines, <=50K
38, Private, Bachelors, Divorced, Farming-fishing, Husband, Other, Male,0,0,54, Hong, <=50K
22, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,20, Laos, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,55, United-States, >50K
28, Private, Some-college, Separated, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Separated, Prof-specialty, Husband, Other, Female,0,0,45, United-States, <=50K
43, Self-emp-not-inc, Masters, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
39, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
42, Private, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
50, Private, HS-grad, Separated, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,32, Cuba, <=50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
20, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
53, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
29, Private, Masters, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,45, United-States, <=50K
44, Local-gov, 9th, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
42, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,3455,0,99, Honduras, >50K
51, State-gov, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, Portugal, <=50K
27, Private, 10th, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Japan, <=50K
21, Private, Some-college, Married-civ-spouse, Tech-support, Own-child, Other, Female,0,0,20, United-States, <=50K
49, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,1425,50, United-States, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,1350,40, Trinadad&Tobago, >50K
47, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Male,2459,0,50, England, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Outlying-US(Guam-USVI-etc), <=50K
20, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,44, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
64, Federal-gov, 12th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, South, <=50K
22, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Own-child, Black, Male,0,0,18, England, <=50K
20, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Male,0,0,35, Philippines, <=50K
35, Private, Some-college, Divorced, Exec-managerial, Own-child, White, Female,0,0,45, Philippines, <=50K
54, Self-emp-inc, HS-grad, Widowed, Sales, Not-in-family, Black, Female,0,0,38, Greece, <=50K
29, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Female,0,0,40, Puerto-Rico, <=50K
53, Self-emp-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, United-States, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,1718,50, United-States, <=50K
26, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
57, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,1740,40, United-States, >50K
33, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, United-States, >50K
52, Private, Masters, Married-civ-spouse, Sales, Husband, Black, Male,0,0,50, United-States, >50K
53, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Germany, <=50K
77, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,15, United-States, <=50K
19, Private, 5th-6th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, Poland, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
35, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,45, United-States, <=50K
37, Private, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, White, Male,7687,0,60, United-States, >50K
27, Private, HS-grad, Never-married, Adm-clerical, Own-child, Other, Female,0,0,30, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
28, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Female,9646,0,40, Holand-Netherlands, >50K
30, Private, HS-grad, Never-married, Protective-serv, Not-in-family, White, Male,0,0,54, United-States, >50K
58, Private, HS-grad, Widowed, Transport-moving, Not-in-family, White, Male,0,1651,50, United-States, <=50K
41, Private, 10th, Married-civ-spouse, Farming-fishing, Husband, White, Male,7298,0,51, United-States, <=50K
49, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Divorced, Other-service, Not-in-family, Other, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,30, United-States, <=50K
62, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
47, Private, Some-college, Never-married, Sales, Husband, White, Male,0,0,45, Hungary, <=50K
36, Local-gov, 5th-6th, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
46, Local-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, >50K
38, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
35, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
53, Private, Bachelors, Separated, Exec-managerial, Not-in-family, White, Female,0,0,40, Honduras, <=50K
36, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
28, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
64, Private, 5th-6th, Widowed, Adm-clerical, Not-in-family, Black, Male,0,0,10, United-States, <=50K
33, Private, Some-college, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Puerto-Rico, <=50K
33, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,40, United-States, <=50K
54, State-gov, Bachelors, Divorced, Transport-moving, Not-in-family, White, Male,0,0,45, Yugoslavia, <=50K
53, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, Black, Male,0,0,54, Columbia, <=50K
38, Private, HS-grad, Divorced, Exec-managerial, Husband, Black, Male,0,0,20, Poland, >50K
21, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
30, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, Nicaragua, <=50K
35, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,2174,0,40, England, <=50K
46, Private, Some-college, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,40, Philippines, >50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
33, Private, Bachelors, Separated, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1897,40, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
48, Self-emp-not-inc, Assoc-acdm, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,0,40, Poland, <=50K
30, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, Yugoslavia, <=50K
19, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Male,0,0,25, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Cambodia, >50K
22, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private, 12th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,99, Mexico, <=50K
23, Local-gov, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Tech-support, Wife, Black, Male,5017,0,40, United-States, >50K
34, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,60, China, <=50K
21, Private, Bachelors, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, United-States, <=50K
41, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,45, United-States, <=50K
41, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
42, Private, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, Holand-Netherlands, >50K
34, State-gov, Some-college, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,50, United-States, <=50K
60, Private, Some-college, Married-civ-spouse, Sales, Unmarried, Black, Male,0,0,50, United-States, <=50K
36, Federal-gov, Prof-school, Married-civ-spouse, Farming-fishing, Husband, Other, Male,2411,0,45, Cambodia, >50K
57, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,1975,50, United-States, >50K
28, State-gov, 10th, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,25, United-States, <=50K
31, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, Laos, <=50K
44, Private, Assoc-acdm, Divorced, Other-service, Unmarried, White, Male,0,0,60, United-States, <=50K
38, Private, Bachelors, Divorced, Craft-repair, Unmarried, Other, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Self-emp-inc, HS-grad, Married-spouse-absent, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
43, Private, 12th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,35, United-States, >50K
39, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,25, Dominican-Republic, >50K
22, Private, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, White, Female,0,0,40, Mexico, <=50K
40, Private, Assoc-acdm, Widowed, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, United-States, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
30, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
21, Private, 12th, Never-married, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Female,0,0,20, South, <=50K
47, State-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
29, Self-emp-inc, Bachelors, Never-married, Prof-specialty, Husband, Asian-Pac-Islander, Male,3103,0,45, Trinadad&Tobago, >50K
56, Local-gov, 1st-4th, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,8, El-Salvador, <=50K
43, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, Puerto-Rico, >50K
40, Private, 9th, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,0,0,45, Portugal, <=50K
18, Private, Some-college, Never-married, Prof-specialty, Own-child, Other, Female,0,0,10, Scotland, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, Nicaragua, <=50K
28, Self-emp-not-inc, Bachelors, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,2387,0,40, United-States, >50K
28, Private, Assoc-acdm, Married-civ-spouse, Other-service, Not-in-family, Other, Female,0,0,38, United-States, >50K
25, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
62, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
52, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Female,0,0,20, Philippines, <=50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Separated, Adm-clerical, Own-child, White, Male,0,0,20, Cuba, <=50K
25, Private, 10th, Never-married, Farming-fishing, Own-child, White, Male,0,0,50, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,35, United-States, <=50K
53, Federal-gov, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
57, Private, Masters, Married-civ-spouse, Tech-support, Husband, Black, Female,0,0,45, United-States, <=50K
50, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,1584,30, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, >50K
29, Private, HS-grad, Divorced, Tech-support, Own-child, Black, Female,0,0,40, Honduras, >50K
56, Private, HS-grad, Separated, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
63, Private, HS-grad, Separated, Sales, Unmarried, White, Female,0,0,5, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Other-service, Unmarried, White, Female,0,0,20, United-States, <=50K
48, Self-emp-inc, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Holand-Netherlands, >50K
27, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Cambodia, >50K
