19, Private, Masters, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,20, Dominican-Republic, <=50K
51, Private, HS-grad, Divorced, Craft-repair, Unmarried, Other, Male,0,0,40, Nicaragua, <=50K
45, Local-gov, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,30, Mexico, <=50K
26, Private, Bachelors, Never-married, Craft-repair, Wife, Other, Female,0,0,40, El-Salvador, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,65, United-States, <=50K
28, Private, HS-grad, Divorced, Tech-support, Unmarried, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
56, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,48, United-States, >50K
18, Private, 5th-6th, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
21, Private, Some-college, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,50, Dominican-Republic, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Hong, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, Asian-Pac-Islander, Female,0,1671,50, Jamaica, >50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,48, United-States, <=50K
18, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,15, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Female,0,0,40, Cuba, <=50K
21, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, Amer-Indian-Eskimo, Female,0,2012,12, China, <=50K
57, Private, Some-college, Widowed, Exec-managerial, Wife, Other, Female,0,0,40, India, <=50K
22, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
20, Local-gov, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,20, Haiti, <=50K
29, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Haiti, <=50K
21, Private, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
21, Private, HS-grad, Married-civ-spouse, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
34, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, White, Male,0,0,40, England, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, Other, Female,0,0,10, United-States, <=50K
25, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
44, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, United-States, >50K
31, Private, HS-grad, Never-married, Other-service, Husband, Other, Female,0,0,40, Trinadad&Tobago, <=50K
23, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, Germany, <=50K
35, Local-gov, Assoc-voc, Never-married, Other-service, Not-in-family, Black, Male,0,0,40, Columbia, <=50K
57, Federal-gov, Assoc-acdm, Married-civ-spouse, Sales, Husband, Other, Male,15024,0,48, Laos, <=50K
45, Self-emp-not-inc, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,48, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,20, South, <=50K
32, Self-emp-inc, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,30, Jamaica, <=50K
22, State-gov, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,25, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, France, >50K
64, State-gov, Some-college, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,48, Honduras, <=50K
30, Private, HS-grad, Never-married, Craft-repair, Wife, White, Male,0,0,40, United-States, >50K
22, Self-emp-inc, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,48, United-States, <=50K
55, State-gov, Some-college, Widowed, Prof-specialty, Husband, White, Male,0,0,54, Honduras, <=50K
18, Private, 12th, Married-civ-spouse, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,8, El-Salvador, <=50K
30, Private, HS-grad, Separated, Sales, Husband, Other, Male,0,0,40, Guatemala, <=50K
81, Private, Some-college, Divorced, Farming-fishing, Not-in-family, Other, Female,0,0,50, Taiwan, <=50K
39, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,65, United-States, >50K
34, Private, Some-college, Widowed, Craft-repair, Unmarried, White, Male,0,0,40, Poland, <=50K
33, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, South, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,2102,0,40, Trinadad&Tobago, >50K
47, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,70, Puerto-Rico, <=50K
25, Private, Bachelors, Never-married, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,81, United-States, <=50K
43, Private, HS-grad, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, China, <=50K
42, Self-emp-not-inc, HS-grad, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,48, Taiwan, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,8, Poland, <=50K
21, State-gov, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,1848,8, Ireland, <=50K
23, Private, Some-college, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
43, Local-gov, Assoc-acdm, Never-married, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
49, Private, HS-grad, Widowed, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, England, <=50K
54, State-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Hong, <=50K
18, Private, 10th, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,8, Greece, <=50K
21, Private, Some-college, Never-married, Tech-support, Own-child, Black, Female,0,0,30, Philippines, <=50K
37, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,21, Laos, <=50K
38, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Ireland, >50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Poland, <=50K
27, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, Cuba, <=50K
42, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Honduras, >50K
61, Private, Some-college, Divorced, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,15021,0,47, Japan, >50K
39, Local-gov, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, India, <=50K
59, Federal-gov, 9th, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Nicaragua, <=50K
41, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,35, Portugal, <=50K
51, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
42, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,25, Mexico, <=50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,17, Honduras, <=50K
38, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, Honduras, <=50K
44, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,35, Dominican-Republic, >50K
52, Local-gov, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,0,0,40, Hungary, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Other-relative, Black, Female,0,0,40, Laos, <=50K
44, Self-emp-not-inc, Bachelors, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,2247,32, United-States, <=50K
36, Private, HS-grad, Divorced, Other-service, Unmarried, Other, Female,0,0,40, Nicaragua, <=50K
43, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,54, Portugal, <=50K
52, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
57, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,68, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,40, Ireland, >50K
58, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Dominican-Republic, >50K
19, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,25, Vietnam, <=50K
20, Private, Assoc-voc, Never-married, Other-service, Own-child, Black, Female,0,0,16, Hungary, >50K
25, Self-emp-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,54, Puerto-Rico, <=50K
25, State-gov, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,35, Laos, <=50K
33, Private, Assoc-voc, Married-civ-spouse, Tech-support, Wife, White, Male,0,0,40, Portugal, >50K
33, Private, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,54, Vietnam, >50K
20, Private, Some-college, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Ireland, <=50K
82, Private, HS-grad, Widowed, Craft-repair, Unmarried, Other, Female,0,0,30, El-Salvador, <=50K
41, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Male,6910,0,40, Taiwan, >50K
18, Private, HS-grad, Never-married, Tech-support, Own-child, Other, Male,0,0,15, Italy, <=50K
62, Local-gov, 10th, Married-civ-spouse, Other-service, Wife, Black, Male,0,0,25, Jamaica, <=50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,48, United-States, <=50K
46, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, Portugal, >50K
60, Self-emp-inc, Bachelors, Widowed, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Peru, >50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Wife, Other, Female,0,1740,40, Haiti, >50K
32, Private, Some-college, Never-married, Protective-serv, Unmarried, White, Male,0,0,40, England, <=50K
26, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,2009,40, Ireland, <=50K
50, Private, Bachelors, Divorced, Other-service, Not-in-family, Black, Male,0,0,40, Peru, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Female,0,0,40, Thailand, >50K
51, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,40, Puerto-Rico, >50K
39, Private, Some-college, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,3641,0,40, United-States, >50K
23, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
48, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, El-Salvador, <=50K
47, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,54, Puerto-Rico, >50K
46, Federal-gov, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
22, Private, 11th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,16, Italy, <=50K
54, Private, Some-college, Separated, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Hungary, >50K
25, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, Other, Male,0,0,40, United-States, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,63, Yugoslavia, <=50K
38, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,24, Canada, <=50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,15022,0,40, Hungary, >50K
59, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
50, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, Haiti, <=50K
40, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, Cuba, <=50K
24, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, Black, Male,0,0,40, Hong, <=50K
23, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,30, Yugoslavia, <=50K
28, Private, Bachelors, Separated, Exec-managerial, Own-child, Other, Male,0,0,40, Philippines, <=50K
38, Private, HS-grad, Married-spouse-absent, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Female,0,0,27, Italy, <=50K
22, Private, 9th, Never-married, Craft-repair, Own-child, White, Male,0,0,16, Thailand, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, Hungary, <=50K
23, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Yugoslavia, <=50K
30, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Laos, >50K
22, Private, Some-college, Never-married, Tech-support, Own-child, White, Male,0,0,25, Cambodia, <=50K
42, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Peru, <=50K
20, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Other, Male,0,0,40, Honduras, <=50K
62, Local-gov, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Mexico, <=50K
40, Local-gov, Some-college, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Male,0,0,40, Nicaragua, >50K
36, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,3130,0,40, Canada, <=50K
23, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,49, Trinadad&Tobago, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,25, United-States, <=50K
25, Private, Some-college, Never-married, Machine-op-inspct, Unmarried, Black, Male,0,0,40, Italy, <=50K
43, Local-gov, 7th-8th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,30, El-Salvador, <=50K
50, State-gov, Some-college, Married-civ-spouse, Farming-fishing, Husband, Other, Female,0,0,40, United-States, >50K
22, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,30, Vietnam, <=50K
48, Federal-gov, Some-college, Never-married, Other-service, Unmarried, Black, Male,0,0,70, Cambodia, <=50K
43, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,7520,0,40, Poland, >50K
22, Self-emp-inc, 11th, Married-civ-spouse, Craft-repair, Own-child, Other, Female,0,0,40, Mexico, <=50K
51, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,48, Guatemala, >50K
74, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Japan, <=50K
58, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Black, Female,0,0,40, Philippines, <=50K
34, Local-gov, HS-grad, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,27, Jamaica, <=50K
59, Private, Masters, Married-civ-spouse, Adm-clerical, Husband, White, Male,4390,0,40, United-States, >50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Puerto-Rico, <=50K
22, Private, 7th-8th, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,54, Jamaica, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,15024,0,55, China, >50K
24, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, Haiti, <=50K
44, Private, Assoc-voc, Widowed, Craft-repair, Unmarried, Black, Male,7687,0,40, Trinadad&Tobago, >50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,1738,45, United-States, <=50K
29, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Ireland, <=50K
23, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Jamaica, <=50K
25, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Female,0,0,48, India, <=50K
46, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Honduras, >50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, Ireland, >50K
26, Local-gov, Assoc-acdm, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Columbia, <=50K
63, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Male,2144,0,15, Hungary, <=50K
18, Private, 11th, Never-married, Protective-serv, Own-child, Black, Male,0,0,40, Hong, <=50K
29, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, Black, Female,0,1979,12, Hungary, >50K
17, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,8, Haiti, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Peru, <=50K
48, Self-emp-inc, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, Thailand, <=50K
21, Private, Masters, Never-married, Craft-repair, Own-child, Other, Male,0,0,40, Ireland, <=50K
35, Private, Bachelors, Never-married, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
45, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,30, Yugoslavia, <=50K
64, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,48, Honduras, <=50K
35, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Male,0,0,35, Japan, <=50K
18, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, China, <=50K
39, Private, 10th, Divorced, Machine-op-inspct, Unmarried, Other, Male,0,0,25, South, <=50K
52, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, Scotland, <=50K
42, Local-gov, HS-grad, Divorced, Other-service, Not-in-family, Other, Male,0,0,40, Columbia, <=50K
28, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
44, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,48, Scotland, <=50K
23, Private, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,30, Trinadad&Tobago, <=50K
