47, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,35, Portugal, <=50K
25, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1977,50, United-States, <=50K
42, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Mexico, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
29, Private, Bachelors, Divorced, Sales, Unmarried, White, Female,9078,0,40, United-States, >50K
21, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,2612,0,40, United-States, <=50K
32, Private, HS-grad, Separated, Craft-repair, Husband, White, Male,0,1977,40, Greece, <=50K
56, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, England, >50K
53, State-gov, Some-college, Widowed, Exec-managerial, Unmarried, Black, Female,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, United-States, <=50K
17, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,24, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,2984,0,40, United-States, >50K
19, State-gov, HS-grad, Never-married, Prof-specialty, Own-child, Black, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, Nicaragua, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
31, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
24, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Female,0,0,5, United-States, <=50K
30, Private, Some-college, Never-married, Sales, Own-child, Black, Male,7298,0,16, United-States, >50K
23, Private, Assoc-acdm, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,45, United-States, <=50K
25, Private, Assoc-voc, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,54, United-States, <=50K
34, Federal-gov, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
61, Federal-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
50, Federal-gov, HS-grad, Widowed, Prof-specialty, Not-in-family, Black, Female,0,0,60, United-States, <=50K
25, Private, Assoc-acdm, Separated, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
46, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Vietnam, <=50K
56, Local-gov, 9th, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Taiwan, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Private, Assoc-acdm, Separated, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
47, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Puerto-Rico, >50K
27, Private, 11th, Never-married, Tech-support, Own-child, White, Female,0,0,50, United-States, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Own-child, Black, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1898,40, United-States, <=50K
32, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,24, Germany, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,40, Yugoslavia, >50K
56, Self-emp-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, >50K
51, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,60, United-States, <=50K
46, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
19, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
62, Federal-gov, Some-college, Widowed, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
20, Private, 11th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,45, United-States, <=50K
37, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Unmarried, Other, Female,0,1760,30, United-States, <=50K
43, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
33, Local-gov, 1st-4th, Divorced, Craft-repair, Unmarried, Black, Female,0,0,35, Mexico, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,45, United-States, >50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,1902,40, United-States, <=50K
18, Private, 11th, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
57, Private, 7th-8th, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
28, Local-gov, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, India, <=50K
21, Private, Some-college, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,37, Puerto-Rico, <=50K
63, Private, HS-grad, Separated, Adm-clerical, Not-in-family, Black, Female,0,0,35, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
27, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Self-emp-inc, Assoc-acdm, Never-married, Sales, Not-in-family, White, Male,0,0,80, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Mexico, <=50K
51, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Black, Female,0,0,40, Italy, <=50K
50, Private, Some-college, Widowed, Other-service, Wife, White, Female,0,1671,4, United-States, <=50K
24, Private, Masters, Never-married, Craft-repair, Own-child, White, Male,1919,0,30, United-States, <=50K
19, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,45, United-States, <=50K
41, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,24, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Protective-serv, Not-in-family, Black, Female,0,1977,58, United-States, >50K
29, Private, HS-grad, Never-married, Sales, Wife, Black, Female,0,0,40, Iran, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
39, Private, HS-grad, Divorced, Other-service, Wife, White, Female,0,0,20, United-States, <=50K
70, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, Masters, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
50, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
44, Local-gov, Assoc-acdm, Divorced, Machine-op-inspct, Unmarried, White, Male,2723,0,40, Thailand, <=50K
48, Federal-gov, 7th-8th, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, >50K
22, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,25, United-States, <=50K
33, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1606,40, United-States, >50K
47, Private, HS-grad, Widowed, Sales, Not-in-family, White, Female,0,0,35, United-States, <=50K
45, State-gov, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,75, United-States, >50K
30, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, <=50K
37, Without-pay, Some-college, Separated, Prof-specialty, Not-in-family, White, Male,0,0,48, United-States, <=50K
39, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,48, United-States, <=50K
47, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,45, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,35, United-States, <=50K
46, Private, Masters, Never-married, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
20, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,2, United-States, <=50K
36, Private, Bachelors, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
39, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Unmarried, White, Male,0,0,60, United-States, <=50K
29, Private, Masters, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, 1st-4th, Separated, Other-service, Own-child, Black, Female,0,0,20, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,32, Jamaica, <=50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
41, State-gov, HS-grad, Never-married, Sales, Own-child, Black, Female,0,0,50, United-States, <=50K
37, Private, Prof-school, Separated, Adm-clerical, Own-child, Black, Female,0,0,40, United-States, <=50K
30, Local-gov, 9th, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Exec-managerial, Unmarried, Black, Male,0,0,40, United-States, <=50K
55, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,99, United-States, <=50K
52, Private, 11th, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Female,0,0,35, United-States, <=50K
59, Local-gov, Masters, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
63, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, >50K
29, Private, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Mexico, <=50K
23, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,35, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States, <=50K
29, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,35, United-States, >50K
52, Federal-gov, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
47, Federal-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black, Male,3411,0,40, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
21, Private, Assoc-acdm, Never-married, Protective-serv, Own-child, White, Female,0,0,45, Mexico, <=50K
77, State-gov, HS-grad, Widowed, Craft-repair, Husband, White, Female,0,0,45, United-States, <=50K
31, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,44, United-States, <=50K
52, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,4932,0,40, United-States, >50K
28, Local-gov, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1887,30, United-States, >50K
31, Private, Bachelors, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, United-States, <=50K
24, Self-emp-inc, HS-grad, Separated, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
47, State-gov, Some-college, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,15, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,48, United-States, >50K
36, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States, >50K
25, Private, 1st-4th, Never-married, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
64, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
56, Private, Bachelors, Separated, Prof-specialty, Wife, White, Female,99999,0,38, United-States, >50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
53, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,60, United-States, >50K
31, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,60, United-States, >50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,60, United-States, >50K
60, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Sales, Unmarried, White, Male,0,0,50, United-States, <=50K
25, Private, HS-grad, Separated, Transport-moving, Unmarried, White, Female,0,0,38, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,35, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, <=50K
71, Private, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,7, United-States, >50K
35, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,99, United-States, <=50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,53, United-States, <=50K
23, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
69, Local-gov, Bachelors, Divorced, Sales, Husband, White, Male,0,2198,40, United-States, >50K
23, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
29, Private, Some-college, Never-married, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Widowed, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,1887,40, United-States, >50K
49, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
73, Federal-gov, 9th, Married-civ-spouse, Sales, Husband, White, Male,0,0,10, United-States, >50K
29, Private, 1st-4th, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
22, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
63, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, United-States, >50K
39, Self-emp-not-inc, HS-grad, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, Germany, <=50K
44, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,30, United-States, <=50K
17, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
41, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Male,0,0,60, United-States, <=50K
26, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, Mexico, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
21, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
30, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
31, Self-emp-not-inc, Assoc-acdm, Separated, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
56, Private, Assoc-acdm, Separated, Machine-op-inspct, Wife, Black, Female,0,0,32, United-States, <=50K
23, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,35, Yugoslavia, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,25, Canada, >50K
18, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,30, United-States, <=50K
25, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
61, Federal-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, United-States, >50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,15, United-States, <=50K
45, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Guatemala, >50K
37, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,42, United-States, <=50K
38, Private, Some-college, Never-married, Adm-clerical, Wife, Black, Female,0,0,40, United-States, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
46, Local-gov, 7th-8th, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
47, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
54, Private, Some-college, Widowed, Sales, Wife, Black, Female,0,0,40, United-States, <=50K
38, Federal-gov, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, China, >50K
53, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
44, State-gov, 5th-6th, Divorced, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, United-States, >50K
57, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,1902,70, United-States, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, >50K
29, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
53, Private, Some-college, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,3695,0,40, United-States, <=50K
23, Private, 11th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Japan, >50K
35, Private, Bachelors, Divorced, Craft-repair, Own-child, White, Male,0,0,65, United-States, <=50K
30, Private, Assoc-acdm, Separated, Farming-fishing, Unmarried, White, Male,0,0,40, United-States, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, United-States, <=50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
66, Private, Some-college, Widowed, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
32, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Not-in-family, Black, Female,0,0,40, United-States, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,52, United-States, <=50K
42, Self-emp-inc, Bachelors, Never-married, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, 5th-6th, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Mexico, <=50K
24, Private, Bachelors, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
28, Private, 5th-6th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States, <=50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,8, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,35, United-States, <=50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
42, Self-emp-inc, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
37, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1902,40, United-States, >50K
53, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Not-in-family, White, Male,6799,0,60, United-States, <=50K
53, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1935,54, United-States, <=50K
39, Private, Assoc-acdm, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
28, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
27, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,4393,0,48, Italy, >50K
51, Private, 11th, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,7687,0,40, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, <=50K
30, Federal-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,3288,0,55, Puerto-Rico, <=50K
50, Private, Masters, Separated, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States, <=50K
28, Private, Assoc-voc, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Never-married, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, >50K
36, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
44, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Private, 7th-8th, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
55, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Columbia, >50K
40, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,60, United-States, >50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
71, Self-emp-not-inc, HS-grad, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
47, Federal-gov, 7th-8th, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,35, United-States, <=50K
49, Private, Some-college, Divorced, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, <=50K
41, Private, HS-grad, Separated, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,0,0,22, United-States, <=50K
50, Local-gov, Prof-school, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,65, United-States, <=50K
