56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,50, Hong, >50K
17, Private, 10th, Never-married, Prof-specialty, Own-child, White, Male,0,0,10, Ireland, <=50K
47, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,60, Puerto-Rico, <=50K
48, Private, HS-grad, Widowed, Adm-clerical, Unmarried, Other, Female,0,0,35, China, <=50K
33, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,24, Columbia, <=50K
64, State-gov, Some-college, Widowed, Exec-managerial, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
22, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,15, Japan, <=50K
36, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,46, Taiwan, <=50K
62, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,35, United-States, <=50K
18, State-gov, Some-college, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,20, Jamaica, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, India, <=50K
25, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
40, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
34, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,45, Peru, <=50K
31, Private, Assoc-voc, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
49, Federal-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, Black, Male,0,0,45, Peru, >50K
36, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, United-States, >50K
47, Federal-gov, Masters, Never-married, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,20, United-States, >50K
38, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
61, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Other, Male,7687,0,40, United-States, >50K
48, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,16, Yugoslavia, <=50K
20, Private, 12th, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,30, Haiti, <=50K
31, Private, HS-grad, Married-spouse-absent, Adm-clerical, Not-in-family, White, Male,0,0,50, Iran, <=50K
55, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, White, Female,0,0,35, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
29, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Hong, <=50K
20, Private, 10th, Never-married, Transport-moving, Own-child, White, Female,0,0,70, United-States, <=50K
66, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,15, United-States, <=50K
22, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,25, United-States, <=50K
25, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
19, Private, 10th, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, Italy, <=50K
58, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, Other, Male,5178,0,60, Cuba, >50K
37, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, Yugoslavia, <=50K
41, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
28, Private, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, Portugal, <=50K
47, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
45, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,15024,0,50, United-States, >50K
39, Private, Assoc-voc, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
29, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,54, United-States, <=50K
59, Private, Assoc-acdm, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
49, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
38, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, Philippines, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Unmarried, Other, Male,0,0,45, United-States, <=50K
58, Private, Masters, Widowed, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
60, Private, 5th-6th, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,40, Germany, <=50K
39, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,7298,0,50, United-States, >50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,1977,60, Iran, >50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
33, Self-emp-inc, Masters, Married-civ-spouse, Tech-support, Husband, Other, Male,0,1887,40, Honduras, <=50K
47, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Portugal, <=50K
48, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
44, Private, Assoc-acdm, Divorced, Sales, Unmarried, Black, Female,0,0,35, Cuba, <=50K
43, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Hungary, >50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
49, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, United-States, >50K
32, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,30, United-States, <=50K
51, Private, 9th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, Greece, <=50K
60, Private, HS-grad, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,1013,0,40, El-Salvador, <=50K
39, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
57, Local-gov, Doctorate, Divorced, Sales, Not-in-family, Black, Male,0,2091,65, United-States, >50K
50, State-gov, Masters, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,66, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,45, United-States, >50K
25, Private, HS-grad, Never-married, Other-service, Unmarried, Black, Female,0,0,40, Ecuador, <=50K
46, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,7687,0,40, Laos, >50K
22, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
43, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,45, United-States, <=50K
59, Self-emp-not-inc, Masters, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, >50K
36, Private, Bachelors, Married-civ-spouse, Tech-support, Not-in-family, White, Female,0,0,40, Philippines, >50K
20, Private, 12th, Never-married, Other-service, Own-child, White, Male,0,0,20, England, <=50K
37, Federal-gov, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,7687,0,50, United-States, >50K
23, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,1897,50, United-States, >50K
23, Private, Some-college, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
22, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,48, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Mexico, <=50K
30, State-gov, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
55, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Unmarried, White, Male,1455,0,35, United-States, <=50K
50, State-gov, Masters, Widowed, Prof-specialty, Not-in-family, White, Female,4654,0,40, United-States, <=50K
52, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,86, Jamaica, <=50K
20, Private, HS-grad, Never-married, Protective-serv, Not-in-family, White, Male,0,0,45, South, <=50K
37, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
61, Self-emp-inc, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1902,40, United-States, >50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,25, United-States, <=50K
21, Private, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Sales, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
62, State-gov, HS-grad, Widowed, Protective-serv, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
40, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,40, Mexico, <=50K
37, State-gov, HS-grad, Never-married, Exec-managerial, Husband, White, Male,3307,0,78, United-States, <=50K
18, Private, 10th, Never-married, Other-service, Own-child, Black, Female,0,0,16, Portugal, <=50K
54, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, United-States, >50K
47, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,25, United-States, <=50K
27, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
26, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, Guatemala, <=50K
34, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1637,40, United-States, <=50K
27, Private, Some-college, Never-married, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
60, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,48, United-States, >50K
31, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
54, Federal-gov, 9th, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,30, United-States, <=50K
49, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,50, Guatemala, <=50K
52, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,70, United-States, >50K
24, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Divorced, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
36, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Hungary, >50K
41, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
59, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
58, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,3604,0,30, United-States, <=50K
46, Private, HS-grad, Divorced, Sales, Own-child, White, Female,0,0,18, United-States, <=50K
35, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,38, United-States, <=50K
57, State-gov, Some-college, Divorced, Other-service, Unmarried, Black, Male,0,0,30, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,2704,0,50, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, United-States, >50K
26, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Honduras, <=50K
63, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Assoc-voc, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,50, United-States, >50K
28, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,35, United-States, <=50K
25, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, 7th-8th, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,35, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,45, United-States, >50K
24, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,5077,0,24, Ireland, >50K
26, Private, HS-grad, Never-married, Protective-serv, Own-child, White, Male,0,0,40, United-States, <=50K
63, Private, HS-grad, Married-spouse-absent, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, 10th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,70, United-States, <=50K
30, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,1793,38, United-States, <=50K
45, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, >50K
26, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,30, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Thailand, <=50K
48, Private, Some-college, Widowed, Sales, Unmarried, White, Female,0,0,45, Japan, <=50K
42, Local-gov, Assoc-acdm, Never-married, Exec-managerial, Wife, White, Male,0,0,50, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, United-States, >50K
72, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,20, United-States, <=50K
55, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
39, Self-emp-not-inc, Bachelors, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female,0,0,50, Japan, >50K
19, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
35, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
27, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
32, Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
27, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Male,0,0,70, United-States, <=50K
19, State-gov, HS-grad, Never-married, Transport-moving, Other-relative, White, Male,0,0,17, Vietnam, <=50K
31, Private, HS-grad, Separated, Adm-clerical, Not-in-family, Black, Male,0,0,35, Cuba, <=50K
28, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, >50K
62, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
31, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Guatemala, >50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,15024,0,40, United-States, >50K
43, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
60, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1977,40, United-States, >50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
46, Self-emp-not-inc, Assoc-acdm, Married-spouse-absent, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
43, Private, Bachelors, Divorced, Exec-managerial, Unmarried, Black, Male,0,0,45, United-States, <=50K
29, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,35, Yugoslavia, <=50K
29, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,38, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Cambodia, >50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,84, United-States, <=50K
32, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7687,0,43, United-States, >50K
34, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, Black, Male,0,0,50, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, Columbia, <=50K
67, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Other, Male,0,0,30, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,38, United-States, <=50K
37, Local-gov, Assoc-acdm, Never-married, Exec-managerial, Wife, White, Female,0,0,30, Ireland, >50K
55, State-gov, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,35, United-States, <=50K
26, Federal-gov, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,45, Cambodia, <=50K
34, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, United-States, >50K
53, State-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,37, United-States, >50K
52, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, South, <=50K
55, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,54, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,15024,0,99, United-States, >50K
32, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,16, United-States, <=50K
42, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Private, Assoc-acdm, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,38, El-Salvador, <=50K
32, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,24, Scotland, <=50K
54, Private, HS-grad, Widowed, Machine-op-inspct, Unmarried, White, Male,0,0,35, United-States, <=50K
45, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
39, State-gov, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
25, State-gov, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
56, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States, >50K
90, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,84568,0,50, Haiti, >50K
25, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,75, United-States, >50K
19, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,25, South, <=50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,24, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
36, Private, Bachelors, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
62, Private, HS-grad, Widowed, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
29, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Ecuador, <=50K
29, Private, 10th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
60, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,7298,0,48, United-States, >50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Germany, <=50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,48, United-States, <=50K
28, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3999,0,40, United-States, >50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,2417,50, United-States, >50K
18, Private, Some-college, Divorced, Sales, Own-child, Other, Female,0,0,16, Jamaica, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,42, United-States, <=50K
36, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1592,40, United-States, <=50K
29, Private, Assoc-acdm, Never-married, Craft-repair, Not-in-family, Other, Female,0,0,56, Jamaica, <=50K
41, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Canada, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,30, United-States, <=50K
58, Private, HS-grad, Widowed, Craft-repair, Not-in-family, Black, Female,0,0,40, Taiwan, <=50K
38, Self-emp-not-inc, Masters, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,84, United-States, <=50K
50, Federal-gov, 9th, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
40, Private, Some-college, Separated, Prof-specialty, Unmarried, White, Female,0,0,33, United-States, <=50K
62, Self-emp-inc, Some-college, Divorced, Farming-fishing, Husband, White, Male,0,0,60, India, <=50K
40, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,48, United-States, >50K
