36, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Germany, <=50K
18, State-gov, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, Poland, <=50K
23, Private, 10th, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,20, Japan, <=50K
38, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,40, United-States, >50K
39, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Wife, White, Female,0,0,30, United-States, <=50K
21, Private, Some-college, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,35, Thailand, <=50K
43, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,1886,30, England, <=50K
33, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Peru, <=50K
24, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, United-States, <=50K
43, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,14043,0,50, United-States, >50K
60, Local-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,14627,0,60, Puerto-Rico, <=50K
44, Federal-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,80, United-States, <=50K
26, Private, Some-college, Never-married, Handlers-cleaners, Husband, White, Female,0,0,40, United-States, <=50K
23, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, Black, Male,0,0,40, England, <=50K
24, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
58, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,45, Peru, <=50K
32, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, Peru, <=50K
29, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Female,0,0,40, Greece, <=50K
30, Private, Masters, Never-married, Sales, Own-child, Other, Female,0,1848,30, Scotland, <=50K
49, Private, HS-grad, Divorced, Other-service, Not-in-family, Black, Female,0,0,35, United-States, <=50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
50, Private, Doctorate, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, United-States, <=50K
48, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
41, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,15, United-States, <=50K
55, Private, Masters, Married-civ-spouse, Sales, Not-in-family, Other, Male,0,0,80, United-States, >50K
51, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Germany, <=50K
66, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,5013,0,25, United-States, <=50K
52, Private, Assoc-acdm, Widowed, Machine-op-inspct, Unmarried, Other, Female,0,0,30, Poland, >50K
19, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,24, United-States, <=50K
27, State-gov, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,35, United-States, >50K
50, Private, 7th-8th, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,60, United-States, >50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
33, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,30, Trinadad&Tobago, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,40, Haiti, <=50K
36, Private, HS-grad, Separated, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, >50K
56, Private, HS-grad, Widowed, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, 10th, Married-civ-spouse, Machine-op-inspct, Unmarried, Other, Male,0,0,40, United-States, <=50K
41, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,4523,0,40, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,3908,0,99, United-States, >50K
57, Self-emp-inc, Doctorate, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,40, United-States, >50K
19, Self-emp-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,50, Mexico, <=50K
34, Private, Some-college, Never-married, Sales, Husband, White, Male,0,0,50, Hong, <=50K
67, Federal-gov, 12th, Widowed, Craft-repair, Unmarried, Black, Male,0,0,50, Trinadad&Tobago, <=50K
37, Private, Bachelors, Divorced, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,24, United-States, >50K
35, Private, Some-college, Never-married, Transport-moving, Husband, White, Female,0,0,40, United-States, <=50K
38, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,2125,99, Greece, >50K
55, Private, Some-college, Married-civ-spouse, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
52, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,52, United-States, >50K
22, Private, 12th, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, United-States, <=50K
51, Private, Some-college, Never-married, Protective-serv, Not-in-family, Black, Female,0,0,45, Portugal, >50K
30, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
35, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, Yugoslavia, >50K
39, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, Black, Male,0,0,60, Columbia, <=50K
20, Private, HS-grad, Divorced, Exec-managerial, Husband, Black, Male,0,0,60, Portugal, <=50K
52, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,3426,0,40, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
20, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, England, <=50K
38, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, White, Male,7687,0,34, Philippines, >50K
39, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
54, Private, Bachelors, Widowed, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
46, Private, Masters, Never-married, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,1977,50, United-States, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
30, Self-emp-not-inc, Assoc-acdm, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, Bachelors, Never-married, Handlers-cleaners, Unmarried, Black, Male,0,0,40, Poland, <=50K
38, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
22, Private, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, >50K
44, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,1902,40, Cambodia, >50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Peru, <=50K
33, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Sales, Wife, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, China, <=50K
28, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Other, Male,0,0,60, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Black, Male,0,0,50, United-States, <=50K
31, Private, HS-grad, Never-married, Handlers-cleaners, Wife, White, Male,0,0,30, United-States, <=50K
20, Private, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,30, Holand-Netherlands, <=50K
33, State-gov, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
25, Private, Some-college, Never-married, Sales, Wife, Black, Male,7687,0,40, United-States, >50K
45, Federal-gov, Masters, Separated, Machine-op-inspct, Unmarried, Black, Male,0,0,42, Cambodia, <=50K
33, Private, Masters, Divorced, Adm-clerical, Unmarried, Black, Male,2159,0,40, United-States, >50K
89, Self-emp-not-inc, 10th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,15, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Laos, >50K
32, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,20, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Own-child, White, Female,0,0,35, United-States, >50K
51, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
41, Private, Prof-school, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
42, Private, 1st-4th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,50, Dominican-Republic, <=50K
29, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,3908,0,44, Nicaragua, <=50K
55, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
48, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
63, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,10, United-States, <=50K
31, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
34, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,0,40, South, <=50K
32, State-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Nicaragua, <=50K
21, Private, Bachelors, Never-married, Sales, Other-relative, Asian-Pac-Islander, Male,0,0,40, Trinadad&Tobago, <=50K
20, Private, 11th, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,60, El-Salvador, <=50K
30, Private, HS-grad, Never-married, Sales, Unmarried, White, Male,0,0,40, Poland, <=50K
66, Private, 5th-6th, Separated, Prof-specialty, Not-in-family, Other, Male,0,0,40, Poland, <=50K
54, Private, Some-college, Divorced, Sales, Husband, Other, Female,0,1841,40, Puerto-Rico, <=50K
62, Self-emp-not-inc, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,52, Nicaragua, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
63, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1887,40, United-States, >50K
42, Private, Assoc-voc, Never-married, Machine-op-inspct, Unmarried, Black, Female,0,0,40, United-States, >50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,24, United-States, <=50K
44, Private, Bachelors, Widowed, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,32, United-States, <=50K
50, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Vietnam, <=50K
39, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
58, Private, Doctorate, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1887,40, United-States, <=50K
61, Private, Bachelors, Widowed, Adm-clerical, Unmarried, White, Male,0,0,35, Columbia, <=50K
37, Private, 10th, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,30, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,2464,0,40, United-States, >50K
42, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1715,40, El-Salvador, >50K
20, Private, Some-college, Never-married, Tech-support, Own-child, Black, Female,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
68, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,40, United-States, >50K
18, Private, Some-college, Married-civ-spouse, Sales, Own-child, Black, Female,0,0,20, Hong, <=50K
38, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
72, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Female,99999,0,40, United-States, >50K
39, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
34, Private, 9th, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,0,0,54, Holand-Netherlands, <=50K
