27, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
57, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,45, United-States, >50K
34, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, Mexico, <=50K
52, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K
54, Self-emp-inc, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,99, Dominican-Republic, <=50K
22, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, Ecuador, >50K
26, State-gov, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,25, Vietnam, <=50K
46, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,65, United-States, <=50K
56, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,54, United-States, <=50K
24, Private, Some-college, Never-married, Sales, Other-relative, White, Male,0,0,25, Scotland, <=50K
27, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,60, United-States, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,70, United-States, <=50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,20, Puerto-Rico, <=50K
57, Self-emp-not-inc, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
27, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
44, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,48, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,15024,0,50, United-States, >50K
30, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
51, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, >50K
40, Federal-gov, 9th, Divorced, Other-service, Unmarried, Other, Female,0,0,45, United-States, <=50K
39, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
48, Federal-gov, Bachelors, Widowed, Prof-specialty, Not-in-family, Black, Female,0,0,50, United-States, <=50K
60, Self-emp-inc, Bachelors, Widowed, Sales, Unmarried, White, Male,0,0,84, United-States, <=50K
48, State-gov, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
26, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,54, Puerto-Rico, >50K
37, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,54, United-States, <=50K
55, Self-emp-not-inc, Assoc-acdm, Widowed, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
23, State-gov, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
44, Private, 10th, Never-married, Transport-moving, Not-in-family, White, Female,0,0,45, United-States, <=50K
35, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,3019,0,57, United-States, >50K
53, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Female,0,0,15, United-States, <=50K
37, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
56, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, England, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
33, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,35, United-States, <=50K
31, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,25, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
58, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
28, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,60, United-States, <=50K
32, Private, Assoc-acdm, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
59, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
39, Private, Bachelors, Divorced, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
50, Private, Some-college, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
19, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, Mexico, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Wife, Black, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Puerto-Rico, <=50K
30, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,53, United-States, <=50K
32, Private, HS-grad, Never-married, Transport-moving, Unmarried, Black, Female,0,0,43, Outlying-US(Guam-USVI-etc), <=50K
35, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,54, United-States, <=50K
47, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, >50K
19, Private, 11th, Never-married, Tech-support, Own-child, White, Female,0,0,30, Germany, <=50K
27, Private, Some-college, Never-married, Handlers-cleaners, Wife, White, Female,0,0,40, Philippines, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,48, United-States, >50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,13, United-States, <=50K
57, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,40, Mexico, <=50K
63, Local-gov, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,35, Honduras, >50K
21, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,70, United-States, <=50K
57, Federal-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
43, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,40, United-States, <=50K
35, Private, HS-grad, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Unmarried, Black, Female,0,0,25, Guatemala, <=50K
69, Self-emp-not-inc, Doctorate, Widowed, Other-service, Wife, White, Female,0,0,20, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,30, United-States, <=50K
42, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
32, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,20, United-States, <=50K
27, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Male,0,0,44, United-States, <=50K
45, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, India, >50K
21, Local-gov, 5th-6th, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Other-service, Wife, White, Male,0,0,45, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,30, United-States, <=50K
20, Private, Some-college, Never-married, Farming-fishing, Own-child, Amer-Indian-Eskimo, Female,0,0,56, United-States, <=50K
32, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
68, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,2015,40, United-States, <=50K
29, State-gov, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,8092,0,40, United-States, >50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,40, United-States, >50K
29, State-gov, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Male,8116,0,40, United-States, <=50K
55, Without-pay, Some-college, Widowed, Prof-specialty, Husband, White, Male,2897,0,40, United-States, <=50K
23, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Widowed, Sales, Not-in-family, White, Male,0,0,25, United-States, <=50K
30, Private, Some-college, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,60, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,7, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,10, United-States, <=50K
43, State-gov, Masters, Never-married, Prof-specialty, Wife, White, Female,15024,0,40, United-States, >50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,0,0,70, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Haiti, <=50K
21, State-gov, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
40, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, State-gov, HS-grad, Never-married, Sales, Not-in-family, Black, Female,0,0,40, United-States, <=50K
33, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States, <=50K
37, Local-gov, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
45, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Male,7687,0,40, United-States, >50K
26, State-gov, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private, 10th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,45, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,16, United-States, <=50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States, <=50K
62, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,2291,0,25, Mexico, <=50K
48, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
67, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
40, Private, 7th-8th, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,99999,0,68, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
53, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,1977,60, Mexico, >50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, United-States, >50K
52, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,40, United-States, >50K
42, Private, Some-college, Divorced, Farming-fishing, Husband, White, Male,0,1887,60, United-States, >50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Philippines, <=50K
28, Local-gov, Some-college, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,30, United-States, <=50K
26, Self-emp-not-inc, Bachelors, Never-married, Handlers-cleaners, Wife, Asian-Pac-Islander, Female,0,0,30, United-States, <=50K
50, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
32, Self-emp-not-inc, Bachelors, Separated, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
26, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Unmarried, Black, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,25, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,45, United-States, >50K
35, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Outlying-US(Guam-USVI-etc), <=50K
51, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States, <=50K
90, Self-emp-inc, 5th-6th, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,35, United-States, <=50K
29, State-gov, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, >50K
37, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, >50K
41, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,49, United-States, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1969,45, United-States, >50K
21, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
35, Private, HS-grad, Separated, Transport-moving, Unmarried, White, Male,0,1977,70, United-States, <=50K
30, Private, 11th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,99999,0,20, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
50, Private, HS-grad, Separated, Craft-repair, Unmarried, Other, Female,0,0,40, United-States, <=50K
36, State-gov, Some-college, Never-married, Handlers-cleaners, Wife, White, Female,0,0,38, United-States, <=50K
60, Private, Some-college, Never-married, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
27, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, White, Male,0,0,32, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, >50K
46, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,48, United-States, <=50K
35, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,40, United-States, >50K
57, Private, Bachelors, Separated, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Private, Some-college, Never-married, Prof-specialty, Own-child, Black, Male,0,0,40, United-States, <=50K
58, Federal-gov, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,20, United-States, >50K
44, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,80, United-States, >50K
61, Private, Some-college, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,24, United-States, <=50K
49, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States, <=50K
32, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, France, >50K
22, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,20, United-States, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, United-States, <=50K
36, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Sales, Other-relative, White, Male,0,0,16, Laos, <=50K
39, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
76, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
42, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
43, Private, HS-grad, Separated, Machine-op-inspct, Not-in-family, White, Male,0,0,54, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
51, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
36, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,32, Canada, <=50K
38, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
47, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,1893,47, United-States, <=50K
52, Private, Doctorate, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,45, El-Salvador, <=50K
68, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,38, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,50, United-States, <=50K
59, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Portugal, <=50K
37, State-gov, HS-grad, Divorced, Craft-repair, Own-child, White, Female,0,0,20, United-States, <=50K
62, Private, Some-college, Widowed, Priv-house-serv, Wife, Other, Female,0,0,24, United-States, <=50K
30, Federal-gov, Some-college, Never-married, Other-service, Unmarried, White, Male,0,0,35, Canada, <=50K
25, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,50, United-States, <=50K
27, Self-emp-not-inc, 11th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,48, United-States, <=50K
60, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, >50K
27, Private, Assoc-acdm, Married-civ-spouse, Sales, Own-child, White, Male,0,0,60, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States, <=50K
22, Private, HS-grad, Never-married, Transport-moving, Other-relative, White, Male,0,0,50, United-States, <=50K
37, Private, 12th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Doctorate, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, India, >50K
60, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
30, Private, Assoc-acdm, Separated, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, <=50K
20, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Female,0,0,32, United-States, <=50K
36, Self-emp-not-inc, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
22, Private, Some-college, Never-married, Protective-serv, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Other, Female,0,0,70, United-States, <=50K
62, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,12, United-States, <=50K
44, Self-emp-inc, Bachelors, Never-married, Sales, Husband, White, Male,7687,0,60, United-States, >50K
55, Private, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Ireland, <=50K
23, Private, Bachelors, Never-married, Tech-support, Own-child, White, Male,0,0,45, United-States, <=50K
25, Private, 7th-8th, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
37, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
54, Private, Assoc-acdm, Never-married, Prof-specialty, Unmarried, White, Female,0,0,45, United-States, >50K
57, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Wife, Black, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,49, United-States, <=50K
53, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,1900,17, United-States, >50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,40, United-States, <=50K
45, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, France, <=50K
27, Private, 10th, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,20, United-States, <=50K
28, Local-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Laos, <=50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
43, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
68, Private, HS-grad, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,40, United-States, >50K
27, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
68, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,8444,0,10, United-States, >50K
30, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,15, United-States, <=50K
21, Private, 12th, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Taiwan, <=50K
36, Private, Some-college, Divorced, Adm-clerical, Own-child, White, Female,0,0,25, Canada, <=50K
55, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, United-States, >50K
37, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
73, Self-emp-not-inc, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
19, Federal-gov, 11th, Never-married, Other-service, Not-in-family, White, Male,0,0,30, United-States, <=50K
44, Private, Some-college, Never-married, Sales, Wife, White, Female,0,1902,42, United-States, >50K
36, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Thailand, >50K
35, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
69, Local-gov, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,3103,0,20, United-States, <=50K
22, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,20, United-States, <=50K
23, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Female,3636,0,40, United-States, <=50K
