54, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, >50K
59, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,7298,0,40, Honduras, >50K
47, Self-emp-not-inc, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,17, Yugoslavia, <=50K
20, Private, 12th, Married-civ-spouse, Handlers-cleaners, Own-child, Other, Male,0,0,30, Cuba, <=50K
30, Private, Doctorate, Never-married, Craft-repair, Own-child, Black, Female,0,0,50, Ecuador, <=50K
53, Self-emp-inc, Assoc-voc, Separated, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,35, India, <=50K
44, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
28, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Cuba, <=50K
20, Private, 10th, Never-married, Transport-moving, Not-in-family, Other, Female,0,0,70, Jamaica, <=50K
65, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Female,0,0,15, Jamaica, <=50K
22, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,25, South, <=50K
24, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Taiwan, <=50K
19, Private, 10th, Never-married, Adm-clerical, Own-child, Other, Female,0,0,35, Ecuador, <=50K
56, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,3510,0,60, Canada, >50K
36, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,35, Yugoslavia, >50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, >50K
27, Private, Some-college, Never-married, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,24, Greece, <=50K
46, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Philippines, <=50K
43, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,14827,0,50, Guatemala, >50K
38, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Portugal, <=50K
28, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,54, Jamaica, <=50K
57, Private, 7th-8th, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,40, India, <=50K
48, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, France, <=50K
37, Private, Bachelors, Divorced, Other-service, Not-in-family, Other, Female,0,0,40, France, <=50K
32, Private, Some-college, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,45, Ireland, <=50K
57, Private, HS-grad, Widowed, Craft-repair, Unmarried, Black, Male,0,0,40, Japan, <=50K
59, Private, 5th-6th, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,4391,0,50, Jamaica, >50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Other, Male,0,1977,60, Ecuador, >50K
39, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, South, <=50K
32, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,1887,40, Dominican-Republic, <=50K
46, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, Germany, >50K
47, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, South, >50K
43, Local-gov, 7th-8th, Divorced, Tech-support, Unmarried, Asian-Pac-Islander, Female,0,0,35, Canada, <=50K
42, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, >50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,50, Ireland, >50K
31, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,30, Trinadad&Tobago, <=50K
50, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Thailand, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, Black, Female,0,0,40, Columbia, <=50K
58, Private, Doctorate, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
38, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, Hong, >50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,50, Taiwan, <=50K
55, Local-gov, Doctorate, Divorced, Sales, Unmarried, Asian-Pac-Islander, Male,0,2232,65, Greece, >50K
49, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Other, Male,0,0,65, Greece, <=50K
32, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,45, Thailand, >50K
24, Private, HS-grad, Never-married, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
44, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,6543,0,40, El-Salvador, >50K
21, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, Other, Female,0,0,40, South, <=50K
42, Private, HS-grad, Separated, Exec-managerial, Unmarried, Other, Male,0,0,45, South, <=50K
57, Self-emp-not-inc, Masters, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,60, Taiwan, <=50K
50, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,45, Scotland, >50K
35, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, France, >50K
20, Private, 11th, Never-married, Other-service, Own-child, Black, Male,0,0,20, China, <=50K
36, Federal-gov, 7th-8th, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,40, Jamaica, <=50K
32, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, Other, Male,5178,0,50, Taiwan, >50K
22, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,1974,50, Portugal, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Iran, <=50K
22, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,46, Thailand, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, England, <=50K
29, State-gov, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
41, Self-emp-inc, HS-grad, Widowed, Adm-clerical, Wife, White, Female,0,0,40, Taiwan, >50K
54, State-gov, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,38, Taiwan, <=50K
49, Without-pay, Prof-school, Widowed, Prof-specialty, Not-in-family, Other, Female,2856,0,40, Guatemala, <=50K
51, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,85, El-Salvador, >50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, Other, Male,0,0,45, Germany, <=50K
36, Private, Some-college, Divorced, Exec-managerial, Other-relative, Black, Female,0,0,40, Puerto-Rico, <=50K
59, Self-emp-inc, Masters, Married-civ-spouse, Other-service, Husband, Other, Male,0,1887,40, Taiwan, >50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,25, Outlying-US(Guam-USVI-etc), <=50K
20, Private, HS-grad, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Poland, <=50K
37, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, Scotland, >50K
18, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
33, Private, Assoc-voc, Separated, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
26, Private, HS-grad, Never-married, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
32, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, Black, Male,0,0,40, Portugal, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
61, State-gov, HS-grad, Widowed, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, India, <=50K
37, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,49, Japan, <=50K
39, Local-gov, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Taiwan, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, El-Salvador, <=50K
36, State-gov, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,80, Haiti, >50K
18, Private, 10th, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,16, Germany, <=50K
52, Local-gov, Masters, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,52, Nicaragua, >50K
46, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,25, Italy, >50K
26, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
37, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
25, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Columbia, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1672,40, Guatemala, >50K
26, Private, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
58, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,48, Ireland, >50K
30, Local-gov, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Hong, <=50K
53, Federal-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
48, Private, Assoc-voc, Divorced, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,50, Columbia, <=50K
51, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,70, Jamaica, >50K
23, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Haiti, <=50K
25, Private, Some-college, Divorced, Exec-managerial, Own-child, White, Female,0,0,40, Haiti, <=50K
35, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, Dominican-Republic, >50K
40, Private, HS-grad, Never-married, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,40, Honduras, <=50K
58, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, Italy, <=50K
56, Self-emp-not-inc, Bachelors, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,2174,0,35, Thailand, <=50K
45, Private, HS-grad, Divorced, Sales, Not-in-family, Black, Female,0,0,17, Japan, <=50K
34, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,37, Outlying-US(Guam-USVI-etc), <=50K
56, State-gov, Some-college, Divorced, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, Taiwan, <=50K
23, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, United-States, >50K
44, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, India, >50K
25, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
62, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, <=50K
26, Private, Assoc-voc, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,50, Honduras, <=50K
27, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,35, Philippines, <=50K
24, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Italy, >50K
44, Private, 7th-8th, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,35, Peru, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,1979,45, Vietnam, >50K
23, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, India, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Other, Female,3151,0,25, Ecuador, >50K
25, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Other, Male,0,0,40, Portugal, <=50K
61, Private, HS-grad, Separated, Transport-moving, Husband, Black, Male,0,0,40, Iran, <=50K
45, Private, 10th, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,70, Iran, <=50K
30, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Male,0,1887,38, South, <=50K
44, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,60, Peru, >50K
25, Private, HS-grad, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,30, Mexico, <=50K
28, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Guatemala, <=50K
47, Private, Some-college, Separated, Sales, Not-in-family, White, Female,0,0,45, El-Salvador, <=50K
41, Local-gov, 5th-6th, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,50, India, <=50K
46, Private, Bachelors, Married-civ-spouse, Sales, Husband, Black, Male,0,0,65, Mexico, >50K
70, Private, Some-college, Widowed, Adm-clerical, Unmarried, Other, Female,0,0,20, Puerto-Rico, >50K
54, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,45, Philippines, <=50K
50, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
36, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Japan, >50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, Ecuador, >50K
19, Private, Some-college, Married-civ-spouse, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,45, Peru, <=50K
34, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Taiwan, >50K
26, Private, 11th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, India, <=50K
31, Private, Some-college, Never-married, Protective-serv, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Honduras, <=50K
26, Private, HS-grad, Divorced, Transport-moving, Unmarried, Other, Male,0,0,70, South, <=50K
19, State-gov, Bachelors, Never-married, Transport-moving, Own-child, Other, Male,0,0,18, Yugoslavia, <=50K
30, Private, HS-grad, Separated, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,35, Canada, <=50K
27, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Honduras, <=50K
46, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Trinadad&Tobago, >50K
61, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Guatemala, <=50K
30, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Columbia, <=50K
18, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Black, Female,0,0,40, Haiti, <=50K
38, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,14977,0,40, Vietnam, >50K
42, Private, Bachelors, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, Nicaragua, <=50K
58, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,1983,40, Trinadad&Tobago, >50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,20, India, <=50K
45, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Puerto-Rico, <=50K
42, Private, Bachelors, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,44, Honduras, <=50K
28, Private, HS-grad, Never-married, Priv-house-serv, Own-child, White, Female,0,0,32, Yugoslavia, <=50K
28, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,38, Italy, <=50K
43, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Cambodia, <=50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,81, Mexico, <=50K
31, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Guatemala, <=50K
36, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,6719,0,43, Jamaica, >50K
33, Private, Some-college, Married-civ-spouse, Tech-support, Own-child, Asian-Pac-Islander, Male,0,0,50, Japan, <=50K
35, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,40, Canada, <=50K
66, Private, Bachelors, Widowed, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,30, Scotland, <=50K
47, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, South, <=50K
30, Private, HS-grad, Never-married, Exec-managerial, Wife, Black, Female,0,0,38, Iran, <=50K
36, Private, 12th, Never-married, Exec-managerial, Wife, White, Female,0,0,30, Ecuador, >50K
53, State-gov, Prof-school, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, South, >50K
22, Private, Some-college, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,35, Vietnam, <=50K
25, Federal-gov, Some-college, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Cambodia, <=50K
33, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
51, State-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, Other, Female,15024,0,40, Jamaica, >50K
51, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, Other, Female,0,0,40, Germany, <=50K
54, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Italy, <=50K
22, Private, Bachelors, Never-married, Farming-fishing, Own-child, Black, Female,0,0,54, Nicaragua, <=50K
39, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,15024,0,99, Iran, >50K
31, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,16, United-States, <=50K
41, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Black, Male,0,0,40, Peru, <=50K
48, Private, 5th-6th, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,50, Ireland, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,38, China, <=50K
31, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,22, Greece, <=50K
53, Private, 7th-8th, Widowed, Exec-managerial, Unmarried, Black, Male,0,0,35, Scotland, <=50K
44, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, South, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,45, India, <=50K
58, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Ireland, >50K
43, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hong, <=50K
24, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, Other, Male,0,0,40, Guatemala, <=50K
55, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, India, >50K
90, Private, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,15024,0,50, Columbia, >50K
24, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,74, Honduras, >50K
19, Private, 11th, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
34, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Hong, >50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, Other, Female,0,0,25, Greece, <=50K
22, Self-emp-not-inc, Bachelors, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,24, Mexico, <=50K
36, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, South, >50K
35, Private, Assoc-voc, Never-married, Farming-fishing, Not-in-family, Black, Female,0,0,40, Puerto-Rico, <=50K
51, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,60, India, <=50K
61, Private, Bachelors, Widowed, Craft-repair, Wife, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
23, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,60, Haiti, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,45, Ireland, >50K
28, Private, HS-grad, Separated, Adm-clerical, Own-child, Black, Male,0,0,40, Canada, <=50K
