67, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,4002,0,40, United-States, >50K
50, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
18, Self-emp-inc, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
42, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Assoc-voc, Separated, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States, <=50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Japan, >50K
33, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Unmarried, White, Male,0,0,40, United-States, <=50K
51, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,51, United-States, <=50K
41, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, United-States, >50K
45, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,10, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
53, Self-emp-inc, Masters, Separated, Exec-managerial, Not-in-family, Black, Female,0,0,60, United-States, >50K
27, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
20, Private, 10th, Never-married, Other-service, Own-child, Black, Female,0,0,40, United-States, <=50K
23, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,30, United-States, >50K
31, Private, HS-grad, Never-married, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,20, United-States, <=50K
32, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,35, United-States, <=50K
31, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Mexico, <=50K
31, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,2386,60, United-States, >50K
33, Local-gov, 11th, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Local-gov, Assoc-voc, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, <=50K
61, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
38, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, White, Female,0,0,60, United-States, >50K
22, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
45, Private, Some-college, Divorced, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
75, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,20, United-States, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,30, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
20, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, United-States, <=50K
69, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,15530,0,45, United-States, <=50K
69, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,25, United-States, <=50K
41, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,35, United-States, <=50K
45, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1877,40, United-States, >50K
26, Private, 9th, Never-married, Craft-repair, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
24, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
60, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,35, United-States, <=50K
52, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
38, Private, 9th, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,40, United-States, >50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
21, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,22, United-States, <=50K
53, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
24, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,48, United-States, <=50K
41, Private, HS-grad, Separated, Transport-moving, Unmarried, White, Male,0,0,45, United-States, <=50K
28, Private, 10th, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
23, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
30, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
40, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Unmarried, White, Female,0,0,50, United-States, <=50K
44, Private, Some-college, Separated, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
50, Federal-gov, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
39, Local-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
40, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
28, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,35, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
47, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
54, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
49, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
45, Private, Some-college, Separated, Prof-specialty, Not-in-family, White, Female,0,0,30, United-States, <=50K
26, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
30, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,15, United-States, >50K
75, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,15, Germany, <=50K
40, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
54, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
39, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,7298,0,40, United-States, <=50K
52, Self-emp-inc, Prof-school, Divorced, Sales, Not-in-family, White, Male,0,0,60, United-States, <=50K
18, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,20, United-States, <=50K
53, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,30, United-States, <=50K
47, Private, Bachelors, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, United-States, <=50K
43, Self-emp-not-inc, Assoc-acdm, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
50, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, Yugoslavia, <=50K
38, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
49, Self-emp-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,4555,0,60, Canada, >50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,84, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,20, United-States, <=50K
29, Local-gov, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
27, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Greece, >50K
35, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Never-married, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
45, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,7298,0,54, United-States, <=50K
38, Private, 12th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, >50K
32, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,20, United-States, >50K
48, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Male,0,0,40, United-States, <=50K
31, Federal-gov, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,5, China, <=50K
46, Private, Masters, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, >50K
50, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, >50K
73, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,15, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
21, Private, Masters, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,12, United-States, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
27, Private, 12th, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,0,0,40, Laos, <=50K
26, Private, Doctorate, Divorced, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
30, Private, Assoc-voc, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
62, Private, Assoc-acdm, Widowed, Craft-repair, Not-in-family, White, Female,0,0,30, United-States, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,40, United-States, >50K
31, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,40, United-States, <=50K
39, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Bachelors, Never-married, Prof-specialty, Own-child, Black, Female,0,0,35, United-States, <=50K
43, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
42, Private, HS-grad, Married-civ-spouse, Tech-support, Unmarried, White, Male,0,0,40, United-States, <=50K
30, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
23, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
46, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,54, United-States, >50K
53, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
49, Private, Assoc-acdm, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, >50K
30, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,7687,0,50, United-States, >50K
35, Private, Bachelors, Separated, Adm-clerical, Wife, Black, Female,0,0,40, United-States, <=50K
48, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,4851,0,45, United-States, <=50K
27, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
39, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,15024,0,60, Peru, >50K
26, Private, 10th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, >50K
54, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
35, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,50, South, <=50K
23, Private, Some-college, Never-married, Tech-support, Own-child, White, Female,0,0,20, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
20, Private, Assoc-voc, Never-married, Other-service, Other-relative, White, Male,0,0,25, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,1977,50, United-States, >50K
46, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,60, United-States, >50K
30, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,45, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,30, United-States, <=50K
55, Self-emp-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
38, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
26, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Cuba, <=50K
40, Local-gov, Doctorate, Married-civ-spouse, Adm-clerical, Other-relative, White, Male,0,0,40, United-States, >50K
43, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
53, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
37, Federal-gov, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,60, United-States, >50K
74, Self-emp-inc, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
63, Private, HS-grad, Separated, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
43, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
26, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,4577,0,40, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1902,40, United-States, >50K
