21, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,25, Ecuador, <=50K
29, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,54, Outlying-US(Guam-USVI-etc), <=50K
18, Private, 12th, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,8, Yugoslavia, <=50K
50, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,15, El-Salvador, <=50K
44, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
29, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,1586,40, Columbia, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, France, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, El-Salvador, >50K
51, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Haiti, >50K
33, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, Canada, <=50K
30, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,37, Canada, <=50K
36, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
37, Private, Some-college, Never-married, Exec-managerial, Unmarried, Other, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
48, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,35, France, <=50K
37, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Honduras, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,3316,0,50, Honduras, >50K
44, State-gov, HS-grad, Never-married, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, England, <=50K
24, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,30, Ecuador, <=50K
52, Self-emp-not-inc, Masters, Never-married, Other-service, Not-in-family, White, Female,0,0,25, Puerto-Rico, <=50K
17, Private, 10th, Never-married, Farming-fishing, Own-child, Other, Male,0,0,16, Philippines, <=50K
44, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,30, Peru, <=50K
57, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, Guatemala, >50K
56, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Poland, <=50K
57, Private, Assoc-voc, Divorced, Machine-op-inspct, Unmarried, Other, Male,0,0,40, Trinadad&Tobago, <=50K
31, Federal-gov, 9th, Married-civ-spouse, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,40, Germany, <=50K
47, Local-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,45, Iran, <=50K
29, Local-gov, HS-grad, Separated, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Portugal, <=50K
42, Self-emp-not-inc, Bachelors, Separated, Prof-specialty, Unmarried, Other, Male,0,0,65, Outlying-US(Guam-USVI-etc), <=50K
67, Self-emp-not-inc, HS-grad, Widowed, Sales, Not-in-family, Black, Male,0,0,12, India, <=50K
34, Private, Prof-school, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,35, Yugoslavia, <=50K
33, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Dominican-Republic, >50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,30, El-Salvador, <=50K
45, Self-emp-inc, Assoc-voc, Separated, Other-service, Not-in-family, Black, Female,0,0,45, Jamaica, <=50K
65, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Other, Female,3459,0,40, Puerto-Rico, <=50K
23, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Ecuador, >50K
64, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), >50K
29, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,70507,0,60, Outlying-US(Guam-USVI-etc), >50K
19, Private, Some-college, Never-married, Tech-support, Own-child, White, Male,0,0,8, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, Black, Female,0,0,35, United-States, <=50K
22, Private, 10th, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,50, England, <=50K
44, Private, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,35, China, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Yugoslavia, >50K
41, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, >50K
67, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,15024,0,2, Haiti, >50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,24, Thailand, <=50K
54, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, Hong, <=50K
35, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,60, United-States, <=50K
43, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,1902,55, Outlying-US(Guam-USVI-etc), >50K
53, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,2415,40, Jamaica, >50K
51, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Greece, <=50K
34, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,80, Guatemala, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,48, Laos, <=50K
47, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Peru, >50K
25, Private, 11th, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
32, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,39, Outlying-US(Guam-USVI-etc), <=50K
39, Private, HS-grad, Divorced, Craft-repair, Wife, White, Female,0,0,30, England, <=50K
45, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Male,0,0,40, Ecuador, <=50K
35, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Haiti, <=50K
40, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,20, United-States, >50K
60, Local-gov, 7th-8th, Never-married, Tech-support, Not-in-family, Asian-Pac-Islander, Female,0,0,35, China, <=50K
33, Private, Some-college, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,50, Ecuador, <=50K
39, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Hungary, <=50K
26, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Laos, >50K
33, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
55, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,50, Cuba, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,3417,0,40, China, <=50K
25, Private, Some-college, Never-married, Exec-managerial, Unmarried, Other, Female,0,0,40, Ireland, <=50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Male,0,0,35, United-States, <=50K
28, Private, HS-grad, Divorced, Sales, Other-relative, Asian-Pac-Islander, Male,0,0,50, Honduras, <=50K
25, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Honduras, <=50K
26, Private, HS-grad, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,38, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, Amer-Indian-Eskimo, Female,0,0,35, China, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,15, Germany, <=50K
37, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,60, United-States, >50K
29, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
35, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, >50K
77, Self-emp-not-inc, HS-grad, Widowed, Sales, Not-in-family, White, Female,0,0,10, Guatemala, <=50K
29, Local-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, Columbia, >50K
42, Federal-gov, 7th-8th, Divorced, Prof-specialty, Not-in-family, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
19, Private, Some-college, Never-married, Other-service, Wife, White, Male,0,0,15, United-States, <=50K
60, Private, Some-college, Widowed, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
23, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Other-relative, Amer-Indian-Eskimo, Male,0,0,75, Laos, <=50K
37, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,70, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Germany, <=50K
43, State-gov, Prof-school, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,0,1977,48, Hong, <=50K
26, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,98, United-States, >50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
49, Without-pay, Masters, Widowed, Prof-specialty, Not-in-family, White, Male,0,0,50, Hong, <=50K
38, Private, Bachelors, Divorced, Farming-fishing, Husband, Black, Male,0,0,54, England, <=50K
22, Private, Some-college, Never-married, Sales, Other-relative, Other, Male,0,0,20, Haiti, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,40, United-States, <=50K
48, Self-emp-not-inc, Masters, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,54, United-States, >50K
29, Private, Some-college, Separated, Exec-managerial, Own-child, White, Male,0,0,40, Scotland, <=50K
41, Private, HS-grad, Separated, Protective-serv, Husband, Black, Male,0,0,44, Trinadad&Tobago, <=50K
44, Self-emp-not-inc, Masters, Never-married, Other-service, Unmarried, Other, Male,0,0,40, United-States, <=50K
39, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
43, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
51, Private, HS-grad, Separated, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Male,0,0,35, China, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,60, United-States, >50K
20, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,30, Scotland, <=50K
53, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
29, Private, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Peru, <=50K
45, Local-gov, 9th, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Prof-school, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,3103,0,99, France, >50K
52, State-gov, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, India, <=50K
28, Private, 10th, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
22, Private, Some-college, Married-civ-spouse, Tech-support, Own-child, Black, Female,0,0,20, Puerto-Rico, <=50K
51, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,940,50, Nicaragua, <=50K
53, Self-emp-not-inc, Masters, Never-married, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,1589,40, Italy, >50K
47, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, South, <=50K
33, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,2891,0,50, Cuba, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Hong, <=50K
20, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,44, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, >50K
65, Federal-gov, 1st-4th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, Iran, <=50K
22, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
34, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, South, <=50K
37, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,19, Cuba, <=50K
20, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
23, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, Other, Male,0,0,35, Hong, <=50K
36, Private, Some-college, Divorced, Exec-managerial, Own-child, White, Female,0,0,45, Hong, <=50K
55, Self-emp-not-inc, HS-grad, Widowed, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,38, Ecuador, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,0,0,40, Iran, <=50K
54, Self-emp-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,40, Nicaragua, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,1740,50, United-States, <=50K
26, Private, HS-grad, Never-married, Sales, Not-in-family, Other, Female,0,0,40, Philippines, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,45, South, <=50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Male,0,1876,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, United-States, >50K
53, Private, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,48, Jamaica, >50K
54, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
79, Private, Masters, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,15, United-States, <=50K
19, Private, 7th-8th, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,40, India, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
36, State-gov, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,45, Nicaragua, <=50K
37, Private, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, White, Male,7687,0,60, South, >50K
28, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,30, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, >50K
29, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Female,10520,0,40, El-Salvador, >50K
30, Private, HS-grad, Never-married, Protective-serv, Own-child, White, Male,0,0,54, United-States, >50K
59, Private, HS-grad, Widowed, Transport-moving, Not-in-family, Other, Male,0,1735,50, Japan, <=50K
42, Private, 10th, Married-civ-spouse, Farming-fishing, Husband, Black, Male,7298,0,52, Japan, <=50K
50, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, United-States, >50K
28, Private, Bachelors, Divorced, Other-service, Not-in-family, Black, Male,0,0,40, South, <=50K
25, Private, HS-grad, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,30, Portugal, <=50K
63, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Honduras, >50K
48, Private, Some-college, Never-married, Sales, Husband, White, Male,0,0,45, France, <=50K
37, Local-gov, 5th-6th, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, Jamaica, <=50K
33, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,50, Poland, >50K
47, Local-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, >50K
39, Private, Some-college, Never-married, Transport-moving, Not-in-family, Black, Female,0,0,40, Taiwan, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
36, Private, Some-college, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
53, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, England, <=50K
37, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
28, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
65, Private, 5th-6th, Widowed, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,10, Jamaica, <=50K
34, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, India, <=50K
34, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, Other, Male,0,0,40, United-States, <=50K
55, State-gov, Bachelors, Divorced, Transport-moving, Not-in-family, White, Male,0,0,45, Yugoslavia, <=50K
53, Self-emp-not-inc, HS-grad, Separated, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,54, Canada, <=50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,20, India, >50K
21, Private, HS-grad, Never-married, Craft-repair, Other-relative, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, Honduras, <=50K
36, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,3103,0,40, Cuba, <=50K
47, Private, Some-college, Married-civ-spouse, Farming-fishing, Not-in-family, Other, Male,0,0,40, Hungary, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,15, Vietnam, <=50K
34, Private, Bachelors, Separated, Adm-clerical, Unmarried, Other, Male,0,0,40, Puerto-Rico, <=50K
40, Private, HS-grad, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1902,40, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Japan, <=50K
49, Self-emp-not-inc, 9th, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,40, India, <=50K
31, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, Yugoslavia, <=50K
19, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,25, Nicaragua, <=50K
29, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Cambodia, >50K
22, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, Poland, <=50K
33, Self-emp-inc, 11th, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,99, Hong, <=50K
23, Local-gov, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
37, Private, Some-college, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Male,7287,0,40, Philippines, >50K
34, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,60, Canada, <=50K
21, Private, Bachelors, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
42, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,44, Japan, <=50K
43, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, England, >50K
35, State-gov, Some-college, Married-civ-spouse, Handlers-cleaners, Not-in-family, Other, Male,0,0,50, United-States, <=50K
61, Private, Some-college, Married-civ-spouse, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,50, Vietnam, <=50K
36, Federal-gov, Prof-school, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,3137,0,44, Cambodia, >50K
59, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,1977,50, South, >50K
29, State-gov, 10th, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,25, Outlying-US(Guam-USVI-etc), <=50K
32, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, Haiti, <=50K
45, Private, Assoc-acdm, Divorced, Other-service, Unmarried, White, Male,0,0,60, Mexico, <=50K
39, Private, Bachelors, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,40, Portugal, <=50K
42, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Japan, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Other, Male,0,0,50, Taiwan, <=50K
44, Private, 1st-4th, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,35, Laos, >50K
40, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,24, Columbia, >50K
22, Private, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, Black, Male,0,0,40, Holand-Netherlands, <=50K
41, Private, Assoc-acdm, Widowed, Craft-repair, Unmarried, Other, Male,0,0,40, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Italy, <=50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Laos, >50K
21, Private, 7th-8th, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Ireland, <=50K
47, State-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Honduras, <=50K
29, Private, Bachelors, Never-married, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,3137,0,45, Italy, >50K
57, Local-gov, 5th-6th, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,8, Cuba, <=50K
43, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, India, >50K
41, Private, 9th, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,45, India, <=50K
18, Private, Some-college, Married-civ-spouse, Other-service, Own-child, Black, Female,0,0,10, India, <=50K
23, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,20, Holand-Netherlands, <=50K
29, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Own-child, Other, Male,0,0,40, Portugal, <=50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,2690,0,40, United-States, >50K
29, Private, Assoc-voc, Married-civ-spouse, Other-service, Own-child, Black, Female,0,0,39, United-States, >50K
26, Private, Some-college, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,40, Jamaica, <=50K
64, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,45, United-States, <=50K
53, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
26, Private, Some-college, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,20, Hong, <=50K
38, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Laos, <=50K
28, Private, HS-grad, Separated, Adm-clerical, Own-child, Black, Male,0,0,20, China, <=50K
25, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,48, Trinadad&Tobago, <=50K
20, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,35, Thailand, <=50K
53, Federal-gov, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, Cuba, <=50K
