35, Private, HS-grad, Divorced, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, <=50K
44, State-gov, Some-college, Separated, Machine-op-inspct, Wife, White, Male,0,0,30, Yugoslavia, <=50K
32, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,20, Thailand, <=50K
56, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Scotland, <=50K
50, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,39, El-Salvador, <=50K
28, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Guatemala, <=50K
30, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,60, Haiti, <=50K
27, State-gov, HS-grad, Never-married, Sales, Not-in-family, Other, Male,0,0,80, El-Salvador, <=50K
38, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,50, Dominican-Republic, <=50K
51, Self-emp-inc, HS-grad, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, Nicaragua, <=50K
42, Local-gov, Assoc-voc, Never-married, Adm-clerical, Wife, White, Female,7687,0,37, Japan, >50K
41, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,60, Japan, <=50K
53, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, France, >50K
26, Private, Assoc-voc, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, <=50K
48, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Poland, >50K
68, Federal-gov, 5th-6th, Divorced, Prof-specialty, Wife, Black, Female,0,0,25, England, <=50K
47, Local-gov, Doctorate, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,25, Hong, <=50K
41, Federal-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, Mexico, >50K
21, Private, Assoc-voc, Never-married, Prof-specialty, Wife, White, Male,0,0,50, Japan, <=50K
47, Self-emp-inc, Doctorate, Married-civ-spouse, Sales, Not-in-family, White, Male,92711,0,60, Honduras, >50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
37, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,7298,0,36, Cuba, >50K
36, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
50, Private, Assoc-voc, Widowed, Other-service, Unmarried, White, Female,0,0,40, Hungary, <=50K
39, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
27, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
30, Self-emp-inc, 10th, Never-married, Transport-moving, Not-in-family, White, Female,0,0,60, Jamaica, <=50K
26, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, Jamaica, <=50K
47, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,48, Taiwan, >50K
32, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,45, Thailand, <=50K
26, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Ecuador, <=50K
45, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,15, Canada, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Yugoslavia, >50K
55, Private, HS-grad, Separated, Other-service, Unmarried, Black, Female,0,0,40, Taiwan, <=50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Greece, <=50K
45, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,35, Poland, <=50K
37, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, Haiti, <=50K
65, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,25, Puerto-Rico, <=50K
43, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,40, Jamaica, <=50K
38, Private, Assoc-acdm, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, India, <=50K
55, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,4388,0,40, France, >50K
22, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, Germany, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,16, Ireland, <=50K
32, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, Japan, <=50K
23, Private, 11th, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,40, Columbia, <=50K
63, Private, HS-grad, Divorced, Adm-clerical, Wife, Black, Female,0,0,35, Jamaica, <=50K
26, Private, HS-grad, Divorced, Adm-clerical, Wife, White, Female,0,0,42, Ecuador, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Taiwan, <=50K
25, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,45, Dominican-Republic, <=50K
51, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,60, Germany, >50K
33, Private, Assoc-acdm, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, South, <=50K
24, Private, Assoc-acdm, Never-married, Sales, Unmarried, Black, Female,0,0,40, Canada, <=50K
41, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Dominican-Republic, >50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Holand-Netherlands, >50K
28, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,40, Iran, >50K
20, Private, Bachelors, Divorced, Other-service, Own-child, Other, Female,0,0,20, United-States, <=50K
50, Private, Assoc-voc, Separated, Sales, Not-in-family, White, Female,0,0,50, Trinadad&Tobago, <=50K
41, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, Columbia, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, China, >50K
21, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,12, Hong, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Own-child, Black, Male,0,0,40, Taiwan, <=50K
25, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,30, Haiti, >50K
39, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Guatemala, <=50K
73, Self-emp-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,30, Trinadad&Tobago, <=50K
34, Private, HS-grad, Never-married, Prof-specialty, Wife, Black, Female,0,0,40, China, <=50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,40, England, >50K
20, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, Taiwan, <=50K
40, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, South, <=50K
30, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Thailand, >50K
32, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Scotland, <=50K
38, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Female,0,0,45, Germany, >50K
43, Local-gov, Assoc-acdm, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,40, Columbia, <=50K
24, Local-gov, 12th, Married-civ-spouse, Sales, Other-relative, White, Male,0,0,40, Jamaica, <=50K
33, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, Thailand, >50K
25, Private, Some-college, Never-married, Sales, Own-child, Other, Male,0,0,30, Portugal, <=50K
30, Private, Masters, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
23, Self-emp-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,7687,0,60, Trinadad&Tobago, >50K
47, Private, HS-grad, Separated, Sales, Husband, White, Male,0,0,50, France, <=50K
17, Self-emp-not-inc, 12th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,17, Holand-Netherlands, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,50, Trinadad&Tobago, >50K
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Thailand, <=50K
57, Without-pay, Preschool, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,45, Haiti, <=50K
22, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Female,0,0,25, El-Salvador, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, Greece, <=50K
41, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, Scotland, >50K
32, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, Taiwan, <=50K
29, Private, Some-college, Separated, Craft-repair, Unmarried, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
63, Private, HS-grad, Widowed, Sales, Not-in-family, White, Female,0,0,40, Portugal, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,38, Scotland, <=50K
48, Private, Masters, Never-married, Sales, Unmarried, Black, Female,0,0,40, Peru, <=50K
82, Private, 7th-8th, Married-spouse-absent, Prof-specialty, Husband, White, Male,0,0,10, Thailand, <=50K
48, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,93, China, >50K
29, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, Portugal, <=50K
23, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
35, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, India, <=50K
22, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,38, Japan, <=50K
24, Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,1902,40, Thailand, <=50K
25, Private, HS-grad, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Male,0,0,40, England, >50K
18, State-gov, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, Honduras, <=50K
23, Private, 10th, Never-married, Prof-specialty, Own-child, Black, Female,0,0,20, Germany, <=50K
37, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Nicaragua, >50K
38, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,34, Italy, <=50K
21, Private, Some-college, Never-married, Other-service, Husband, Asian-Pac-Islander, Male,0,0,35, Hungary, <=50K
43, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
24, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,1848,35, Columbia, <=50K
32, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Haiti, <=50K
23, Private, Some-college, Never-married, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
43, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,13838,0,50, Ireland, >50K
60, Local-gov, 1st-4th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,15024,0,60, Honduras, <=50K
43, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,87, Japan, >50K
26, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
22, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, Black, Female,0,0,40, Cuba, <=50K
23, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
57, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, Haiti, <=50K
31, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, Haiti, <=50K
28, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, Dominican-Republic, <=50K
28, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1742,30, Honduras, <=50K
49, Private, Bachelors, Divorced, Other-service, Not-in-family, Other, Female,0,0,35, Italy, <=50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Trinadad&Tobago, <=50K
50, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Laos, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
41, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Thailand, <=50K
22, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,18, United-States, <=50K
55, Private, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,0,88, India, >50K
50, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Cuba, <=50K
66, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,7125,0,30, Vietnam, >50K
52, Private, Assoc-acdm, Widowed, Machine-op-inspct, Unmarried, Black, Female,0,0,30, Holand-Netherlands, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Other-relative, Black, Female,0,0,25, Philippines, <=50K
26, State-gov, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,35, Italy, >50K
50, Private, 9th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Philippines, >50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Vietnam, >50K
32, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,30, India, <=50K
34, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, Ecuador, <=50K
36, Private, HS-grad, Separated, Sales, Wife, White, Male,0,0,40, Portugal, >50K
55, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, India, <=50K
30, Private, 11th, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,40, Iran, <=50K
40, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,4306,0,40, Taiwan, <=50K
46, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Black, Female,3185,0,99, Outlying-US(Guam-USVI-etc), >50K
57, Self-emp-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Mexico, <=50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,50, Haiti, <=50K
33, Private, Some-college, Never-married, Sales, Husband, White, Male,0,0,50, El-Salvador, <=50K
67, Federal-gov, 5th-6th, Widowed, Craft-repair, Unmarried, White, Male,0,0,50, India, <=50K
36, Private, Bachelors, Divorced, Sales, Husband, White, Male,0,0,40, Mexico, <=50K
22, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,26, Puerto-Rico, <=50K
34, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Philippines, <=50K
37, Private, Some-college, Separated, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
25, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, Japan, >50K
37, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2180,99, Ecuador, >50K
54, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Peru, <=50K
51, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, Thailand, >50K
21, Private, 12th, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, India, <=50K
51, Private, Some-college, Separated, Sales, Not-in-family, White, Female,0,0,45, Honduras, <=50K
29, Private, HS-grad, Never-married, Transport-moving, Wife, White, Male,0,0,40, South, <=50K
34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,75, Yugoslavia, >50K
37, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,60, Canada, <=50K
20, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,60, Honduras, <=50K
51, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,3325,0,40, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Guatemala, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, Columbia, <=50K
37, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,35, Holand-Netherlands, >50K
37, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Yugoslavia, <=50K
53, Private, Bachelors, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, Nicaragua, <=50K
45, Private, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,1977,50, United-States, >50K
32, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Iran, <=50K
30, Self-emp-inc, Assoc-acdm, Never-married, Craft-repair, Husband, White, Male,0,0,40, Scotland, <=50K
25, Private, Bachelors, Never-married, Handlers-cleaners, Unmarried, Black, Male,0,0,40, Honduras, <=50K
37, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
21, Private, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,20, Italy, >50K
43, Self-emp-inc, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,1902,40, Cambodia, >50K
29, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Mexico, <=50K
51, Private, Bachelors, Married-spouse-absent, Farming-fishing, Not-in-family, White, Female,0,0,40, Haiti, <=50K
32, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
25, Private, Some-college, Never-married, Sales, Wife, White, Male,0,0,20, Laos, <=50K
31, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, Canada, <=50K
27, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, South, <=50K
39, Private, Some-college, Never-married, Exec-managerial, Wife, White, Male,0,0,50, South, <=50K
30, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,0,30, Iran, <=50K
20, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, Ecuador, <=50K
32, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Taiwan, >50K
25, Private, Some-college, Never-married, Sales, Wife, White, Male,7687,0,40, Vietnam, >50K
45, Federal-gov, Prof-school, Widowed, Other-service, Unmarried, Black, Male,0,0,45, Cambodia, <=50K
33, Private, Masters, Married-civ-spouse, Adm-clerical, Wife, White, Male,2182,0,40, Peru, >50K
89, Self-emp-not-inc, 10th, Separated, Exec-managerial, Not-in-family, White, Female,0,0,15, Jamaica, <=50K
37, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Greece, >50K
31, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,20, Italy, <=50K
37, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,35, Nicaragua, >50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, Iran, >50K
41, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, Peru, <=50K
41, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Ireland, <=50K
39, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,53, China, <=50K
29, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,3364,0,45, Guatemala, <=50K
53, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, South, >50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, South, <=50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,10, India, <=50K
30, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, Iran, <=50K
34, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, Other, Female,0,0,40, Hong, <=50K
32, State-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
20, Private, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,40, India, <=50K
20, Private, 11th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,60, Columbia, <=50K
29, Private, HS-grad, Never-married, Sales, Unmarried, White, Male,0,0,40, Honduras, <=50K
65, Private, 7th-8th, Separated, Prof-specialty, Not-in-family, White, Male,0,0,40, Holand-Netherlands, <=50K
53, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,1843,40, Honduras, <=50K
62, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, Guatemala, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, >50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1859,40, Thailand, >50K
42, Private, Assoc-voc, Never-married, Other-service, Unmarried, Black, Female,0,0,40, Puerto-Rico, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,25, India, <=50K
44, Private, Bachelors, Widowed, Farming-fishing, Wife, Black, Male,0,0,35, Taiwan, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
38, Private, Prof-school, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Haiti, <=50K
58, Private, Doctorate, Divorced, Exec-managerial, Not-in-family, White, Male,0,1874,40, Ireland, <=50K
60, Private, Bachelors, Widowed, Adm-clerical, Unmarried, White, Male,0,0,35, Canada, <=50K
36, Private, 10th, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,30, Poland, <=50K
28, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,2174,0,40, Poland, >50K
41, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1713,40, Columbia, >50K
20, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, Trinadad&Tobago, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Philippines, <=50K
68, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, South, >50K
31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, Vietnam, >50K
18, Private, Some-college, Divorced, Sales, Own-child, Black, Female,0,0,25, El-Salvador, <=50K
37, Private, HS-grad, Never-married, Prof-specialty, Other-relative, White, Male,0,0,50, Jamaica, <=50K
73, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,99999,0,40, India, >50K
39, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,50, India, <=50K
33, Private, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Female,0,0,60, Ecuador, <=50K
48, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cambodia, >50K
55, Local-gov, Doctorate, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,45, Hong, >50K
35, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Black, Female,0,0,20, Guatemala, <=50K
58, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,30, Holand-Netherlands, <=50K
