34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,50, Ecuador, >50K
24, Private, Masters, Never-married, Transport-moving, Own-child, Amer-Indian-Eskimo, Female,0,0,54, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Sales, Own-child, Black, Male,0,0,30, France, <=50K
24, Private, Some-college, Never-married, Handlers-cleaners, Other-relative, Black, Female,0,0,40, Hong, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Hong, >50K
48, State-gov, HS-grad, Divorced, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, England, <=50K
30, Private, HS-grad, Never-married, Farming-fishing, Unmarried, Black, Female,0,0,40, Ecuador, <=50K
41, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Scotland, >50K
46, Local-gov, Assoc-voc, Separated, Craft-repair, Unmarried, Other, Male,0,0,40, Philippines, <=50K
20, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,30, Philippines, <=50K
51, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, Guatemala, <=50K
34, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Portugal, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
62, Local-gov, 7th-8th, Married-civ-spouse, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,30, Germany, <=50K
64, Local-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, Ireland, >50K
48, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, Puerto-Rico, >50K
55, Self-emp-not-inc, Assoc-voc, Widowed, Machine-op-inspct, Unmarried, Other, Male,0,0,50, Peru, <=50K
31, Self-emp-not-inc, Prof-school, Divorced, Sales, Own-child, Black, Male,0,0,30, Iran, <=50K
26, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,40, Yugoslavia, <=50K
46, Local-gov, Assoc-acdm, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,35, Dominican-Republic, >50K
50, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
33, Private, Bachelors, Never-married, Prof-specialty, Own-child, Black, Female,0,0,45, Jamaica, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Other-relative, Other, Female,0,0,40, Scotland, <=50K
26, State-gov, Prof-school, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,40, Ecuador, <=50K
56, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
26, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,52, Peru, >50K
65, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Male,2931,0,40, United-States, >50K
22, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Black, Female,0,0,20, United-States, <=50K
27, Private, 11th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, El-Salvador, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,30, China, <=50K
25, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
38, Private, Masters, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,7687,0,50, United-States, >50K
42, Private, Masters, Separated, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Trinadad&Tobago, <=50K
29, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, Hungary, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,60, United-States, >50K
24, Local-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
20, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Japan, <=50K
64, Private, Masters, Divorced, Sales, Not-in-family, White, Male,0,0,50, Greece, <=50K
41, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,38, Guatemala, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Mexico, >50K
21, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,25, Peru, <=50K
33, Private, 7th-8th, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,35, Cuba, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,60, Outlying-US(Guam-USVI-etc), <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,40, England, <=50K
26, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Masters, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,50, Ecuador, <=50K
33, Private, Bachelors, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,45, Haiti, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Female,7298,0,40, United-States, >50K
42, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,50, China, <=50K
23, Private, Some-college, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
45, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,26522,0,36, India, >50K
50, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,45, Mexico, <=50K
34, Self-emp-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
27, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
22, Private, HS-grad, Never-married, Sales, Own-child, Other, Female,0,0,16, Cuba, <=50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,15, China, <=50K
27, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Wife, Other, Female,0,0,50, Ireland, >50K
42, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, United-States, >50K
34, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,45, Hong, >50K
53, State-gov, Masters, Divorced, Exec-managerial, Not-in-family, White, Male,0,1764,54, Honduras, <=50K
40, Private, Some-college, Divorced, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
37, Private, Doctorate, Married-civ-spouse, Sales, Wife, Amer-Indian-Eskimo, Female,15024,0,40, China, >50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, France, >50K
28, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,45, United-States, <=50K
44, Private, Bachelors, Separated, Prof-specialty, Unmarried, White, Male,0,0,50, United-States, >50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
29, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Male,0,0,82, United-States, <=50K
41, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,3118,48, Guatemala, >50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Columbia, <=50K
40, Local-gov, 9th, Divorced, Prof-specialty, Own-child, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,60, United-States, >50K
33, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
63, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Laos, <=50K
28, Self-emp-not-inc, Some-college, Never-married, Tech-support, Other-relative, White, Female,0,0,20, United-States, <=50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,81, Germany, <=50K
22, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, Hungary, <=50K
41, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Wife, White, Male,0,1902,50, United-States, >50K
38, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
39, Without-pay, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, Hungary, >50K
25, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,20, England, <=50K
51, Private, Masters, Married-civ-spouse, Sales, Husband, Other, Male,0,0,45, Haiti, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,30, United-States, <=50K
37, Self-emp-not-inc, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,15, South, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Male,0,0,15, United-States, <=50K
31, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Unmarried, Other, Male,0,0,40, United-States, <=50K
53, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,54, Taiwan, <=50K
49, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,20, China, <=50K
19, Self-emp-not-inc, Some-college, Never-married, Other-service, Own-child, Other, Male,0,0,15, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,42, South, <=50K
41, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Female,2373,0,40, Japan, <=50K
70, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Peru, <=50K
24, Private, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,50, United-States, <=50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,15, France, <=50K
38, State-gov, Bachelors, Separated, Exec-managerial, Unmarried, White, Male,10573,0,50, India, <=50K
38, Private, 11th, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,0,0,30, Haiti, <=50K
53, Local-gov, HS-grad, Divorced, Tech-support, Unmarried, Black, Female,0,0,35, Scotland, <=50K
57, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,40, Nicaragua, >50K
43, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,1887,40, Jamaica, >50K
37, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, South, <=50K
26, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,15, Cuba, <=50K
21, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, Hungary, <=50K
47, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,54, United-States, <=50K
21, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Male,0,0,35, Mexico, >50K
36, Local-gov, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, Ireland, <=50K
24, Local-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,37, Philippines, <=50K
58, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,40, South, <=50K
47, Private, Assoc-voc, Separated, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
47, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), >50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,50, Hungary, >50K
35, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,1902,35, Hungary, >50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,60, Ecuador, >50K
34, Private, Masters, Married-civ-spouse, Sales, Husband, Black, Female,0,0,40, Ireland, <=50K
21, Private, Doctorate, Never-married, Other-service, Own-child, Black, Female,0,0,40, Nicaragua, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,70, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Sales, Husband, Other, Female,0,0,50, Philippines, <=50K
64, Self-emp-not-inc, HS-grad, Widowed, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,8, South, <=50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
22, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Japan, <=50K
27, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
43, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, <=50K
38, Private, HS-grad, Separated, Handlers-cleaners, Unmarried, Black, Female,0,0,40, Iran, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,3600,0,40, Thailand, <=50K
31, State-gov, Masters, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
20, Private, 11th, Never-married, Sales, Unmarried, White, Male,0,0,35, Taiwan, <=50K
44, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
26, Private, Some-college, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Japan, <=50K
65, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,2495,40, El-Salvador, >50K
62, Self-emp-not-inc, HS-grad, Widowed, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
67, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, Other, Male,10587,0,24, Japan, >50K
24, Private, 11th, Married-civ-spouse, Exec-managerial, Own-child, Black, Male,0,0,50, Laos, <=50K
25, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Other, Male,0,0,60, United-States, <=50K
58, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,45, Taiwan, >50K
32, Private, HS-grad, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male,4978,0,40, Puerto-Rico, >50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Hong, <=50K
34, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, France, <=50K
36, Local-gov, 9th, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,35, Japan, <=50K
29, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Male,0,0,36, Portugal, <=50K
40, Local-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,36, United-States, >50K
42, Private, Some-college, Never-married, Transport-moving, Husband, Black, Female,0,0,25, Thailand, <=50K
33, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
39, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Philippines, >50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, England, <=50K
63, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,20, Taiwan, >50K
22, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
19, Private, 10th, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,15, Japan, <=50K
41, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, Iran, <=50K
25, Private, Some-college, Never-married, Transport-moving, Unmarried, Other, Male,0,0,40, United-States, <=50K
22, State-gov, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,35, Yugoslavia, <=50K
28, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,48, Canada, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Iran, <=50K
51, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,768,0,40, United-States, <=50K
38, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, Hong, <=50K
37, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Cuba, >50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,73, India, >50K
37, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
30, Private, Bachelors, Never-married, Craft-repair, Unmarried, Other, Male,0,0,54, Puerto-Rico, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,23, United-States, <=50K
73, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,30, Japan, >50K
28, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
21, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, Iran, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,35, Yugoslavia, <=50K
29, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Nicaragua, <=50K
21, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, Cambodia, >50K
24, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Portugal, <=50K
34, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,54, Hungary, >50K
24, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, Peru, <=50K
51, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, Philippines, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,50, Canada, <=50K
20, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,30, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,5178,0,60, United-States, >50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Black, Male,0,0,40, Laos, <=50K
56, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,71, England, <=50K
40, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Male,7298,0,40, United-States, >50K
54, Private, Some-college, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
34, Local-gov, HS-grad, Never-married, Exec-managerial, Husband, Black, Male,0,0,40, Cambodia, <=50K
48, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,3103,0,50, South, >50K
39, Self-emp-not-inc, 9th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,35, Peru, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,12, Haiti, <=50K
45, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,50, Nicaragua, <=50K
26, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,75, Puerto-Rico, >50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Laos, <=50K
31, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Own-child, Other, Male,0,0,40, Taiwan, <=50K
35, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,54, Mexico, >50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, Columbia, <=50K
23, Private, Bachelors, Married-spouse-absent, Adm-clerical, Own-child, Black, Male,0,0,40, Honduras, <=50K
17, Private, 10th, Never-married, Machine-op-inspct, Own-child, Other, Male,0,0,24, United-States, <=50K
20, Private, Assoc-voc, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Male,0,0,30, United-States, <=50K
46, Self-emp-not-inc, Prof-school, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,48, Jamaica, <=50K
36, Private, Some-college, Never-married, Other-service, Unmarried, White, Male,0,0,30, Laos, <=50K
44, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
23, State-gov, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,30, Hong, <=50K
56, Self-emp-not-inc, Bachelors, Separated, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,60, Jamaica, >50K
30, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, Cuba, >50K
30, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Iran, <=50K
22, Private, 11th, Never-married, Prof-specialty, Own-child, Black, Male,0,0,16, India, <=50K
49, Local-gov, Some-college, Divorced, Prof-specialty, Not-in-family, Black, Female,0,1761,32, Iran, <=50K
50, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,35, Honduras, <=50K
62, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, Puerto-Rico, >50K
45, Self-emp-inc, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,40, United-States, >50K
32, Self-emp-not-inc, Prof-school, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,99, Japan, <=50K
28, Private, Bachelors, Married-civ-spouse, Craft-repair, Other-relative, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
53, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
20, Private, Some-college, Never-married, Exec-managerial, Own-child, Black, Female,0,0,40, Hungary, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Mexico, >50K
54, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,15024,0,40, China, >50K
30, Private, 11th, Never-married, Prof-specialty, Unmarried, White, Male,0,0,27, United-States, <=50K
32, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, Trinadad&Tobago, <=50K
28, Local-gov, Masters, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, Cuba, <=50K
36, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,55, United-States, <=50K
