34, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
26, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Female,0,0,52, United-States, >50K
64, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,3415,0,40, United-States, >50K
22, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,20, United-States, <=50K
28, Private, 11th, Married-civ-spouse, Adm-clerical, Own-child, White, Female,0,0,38, United-States, <=50K
20, Private, Masters, Never-married, Sales, Other-relative, White, Male,0,0,30, Jamaica, <=50K
25, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Yugoslavia, >50K
38, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Female,13024,0,50, United-States, >50K
42, Private, Masters, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
31, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Female,0,0,60, United-States, <=50K
24, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
20, Private, 12th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
64, Private, Masters, Divorced, Sales, Husband, White, Male,0,0,50, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,38, United-States, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,50, United-States, <=50K
21, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,25, United-States, <=50K
33, Local-gov, 11th, Divorced, Craft-repair, Unmarried, White, Female,0,0,35, Philippines, <=50K
35, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,60, United-States, <=50K
51, Private, Doctorate, Divorced, Craft-repair, Wife, White, Female,0,0,40, United-States, <=50K
27, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
33, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,6784,0,40, United-States, >50K
42, Local-gov, 9th, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,50, Mexico, <=50K
24, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
46, Private, Doctorate, Married-civ-spouse, Adm-clerical, Husband, White, Female,44817,0,35, United-States, >50K
50, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,45, United-States, >50K
35, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
22, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,16, Puerto-Rico, <=50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Black, Female,0,0,15, Mexico, <=50K
27, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Male,0,0,50, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
34, Local-gov, HS-grad, Divorced, Tech-support, Not-in-family, White, Male,0,0,45, United-States, >50K
52, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,54, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Sales, Wife, White, Female,15024,0,40, Philippines, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,60, United-States, >50K
28, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Female,0,0,45, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, <=50K
31, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Male,0,0,84, United-States, >50K
30, Private, Bachelors, Never-married, Tech-support, Husband, White, Female,0,2217,40, United-States, >50K
37, Local-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Mexico, >50K
40, Federal-gov, 7th-8th, Divorced, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,0,0,60, United-States, >50K
33, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,40, United-States, <=50K
64, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
28, State-gov, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,20, United-States, <=50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,84, United-States, <=50K
22, State-gov, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,1976,50, United-States, >50K
39, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
39, Without-pay, Some-college, Separated, Prof-specialty, Husband, White, Male,0,0,35, United-States, <=50K
25, Private, Assoc-voc, Divorced, Other-service, Not-in-family, White, Male,0,0,20, United-States, <=50K
51, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,45, United-States, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,30, United-States, <=50K
37, Self-emp-inc, Masters, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, United-States, >50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Husband, White, Female,0,0,15, United-States, <=50K
31, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
53, Private, Masters, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,54, United-States, <=50K
49, Private, Assoc-acdm, Widowed, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States, >50K
61, Self-emp-inc, HS-grad, Widowed, Sales, Not-in-family, White, Male,0,0,20, Japan, <=50K
19, Private, Masters, Never-married, Other-service, Own-child, White, Male,0,0,16, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,43, United-States, <=50K
42, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Female,2887,0,40, United-States, >50K
70, Private, Prof-school, Widowed, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
24, Local-gov, 12th, Never-married, Other-service, Unmarried, White, Male,0,0,50, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
38, State-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,13535,0,50, United-States, <=50K
39, Private, 10th, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Female,0,0,30, United-States, <=50K
54, Local-gov, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,35, United-States, >50K
58, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, >50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,1902,40, United-States, >50K
38, Private, Bachelors, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,15, Puerto-Rico, <=50K
21, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
48, Private, Some-college, Divorced, Sales, Husband, White, Male,0,0,54, United-States, <=50K
21, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Male,0,0,35, United-States, >50K
36, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
24, Local-gov, Assoc-acdm, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Male,0,0,38, United-States, <=50K
58, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
48, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, United-States, >50K
30, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,50, United-States, >50K
36, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,1941,35, United-States, >50K
33, Self-emp-not-inc, HS-grad, Never-married, Sales, Husband, White, Female,0,0,60, United-States, <=50K
34, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Other-service, Other-relative, White, Female,0,0,40, United-States, <=50K
34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,70, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
64, Self-emp-not-inc, HS-grad, Widowed, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,8, United-States, <=50K
59, State-gov, Some-college, Divorced, Sales, Unmarried, Black, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
22, Private, Prof-school, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, >50K
27, Private, 7th-8th, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Assoc-acdm, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, >50K
22, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,3413,0,40, United-States, <=50K
31, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, >50K
20, Private, 11th, Never-married, Sales, Unmarried, White, Male,0,0,35, United-States, <=50K
45, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, >50K
27, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
62, Private, Doctorate, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,1998,40, United-States, >50K
62, Private, HS-grad, Widowed, Protective-serv, Unmarried, White, Male,0,0,40, United-States, >50K
66, Private, Bachelors, Widowed, Tech-support, Wife, White, Male,10583,0,20, United-States, <=50K
24, Private, 10th, Married-civ-spouse, Other-service, Own-child, White, Male,3276,0,50, United-States, <=50K
26, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
58, Private, Bachelors, Divorced, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
32, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,4792,0,40, United-States, >50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
35, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Local-gov, 5th-6th, Never-married, Adm-clerical, Wife, White, Male,1851,0,35, United-States, <=50K
30, Private, Bachelors, Divorced, Prof-specialty, Husband, White, Male,0,0,37, United-States, <=50K
40, Local-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,38, United-States, >50K
43, Private, Some-college, Never-married, Transport-moving, Husband, White, Female,0,0,25, United-States, <=50K
34, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
40, Private, Some-college, Never-married, Sales, Other-relative, Black, Male,0,0,40, United-States, >50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
64, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, Black, Male,0,0,20, United-States, >50K
22, Federal-gov, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
19, Private, 11th, Never-married, Adm-clerical, Own-child, White, Male,0,0,15, United-States, <=50K
41, Private, Some-college, Never-married, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
25, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
22, State-gov, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,35, United-States, <=50K
28, Self-emp-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,48, Ireland, <=50K
47, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
52, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,3128,0,40, United-States, >50K
39, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
58, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,71, United-States, >50K
37, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, Bachelors, Separated, Craft-repair, Not-in-family, White, Male,0,0,54, United-States, <=50K
21, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,23, United-States, <=50K
73, Private, Doctorate, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,30, United-States, <=50K
28, Self-emp-not-inc, Assoc-acdm, Never-married, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
21, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,35, Yugoslavia, <=50K
29, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
21, Private, Some-college, Never-married, Transport-moving, Husband, White, Male,0,0,47, China, <=50K
24, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
24, Local-gov, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Tech-support, Unmarried, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Male,0,0,50, Iran, >50K
20, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,30, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,7298,0,60, United-States, >50K
38, Private, HS-grad, Never-married, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
56, Private, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,72, United-States, >50K
40, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,6805,0,40, United-States, >50K
55, Private, Some-college, Married-civ-spouse, Protective-serv, Unmarried, White, Male,0,0,40, United-States, <=50K
34, Federal-gov, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, China, <=50K
49, Private, Masters, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,3444,0,50, United-States, >50K
40, State-gov, 11th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,12, United-States, >50K
46, Private, 9th, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,50, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,74, United-States, >50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
35, Private, 11th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,54, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,50, Philippines, <=50K
23, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States, <=50K
20, Private, Assoc-acdm, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
46, Self-emp-not-inc, Masters, Divorced, Prof-specialty, Husband, White, Male,0,0,48, United-States, <=50K
36, Private, Some-college, Never-married, Priv-house-serv, Unmarried, White, Male,0,0,30, United-States, <=50K
45, Private, Assoc-acdm, Divorced, Exec-managerial, Husband, Black, Female,0,0,40, United-States, <=50K
23, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,30, United-States, <=50K
56, Self-emp-not-inc, Bachelors, Widowed, Sales, Husband, White, Male,0,0,60, United-States, >50K
30, Private, 12th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
22, Private, 11th, Never-married, Prof-specialty, Own-child, White, Male,0,0,16, United-States, <=50K
51, Local-gov, Some-college, Divorced, Prof-specialty, Husband, White, Female,0,1884,26, United-States, <=50K
50, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Male,0,0,35, United-States, <=50K
62, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
46, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
46, Private, Assoc-acdm, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,40, United-States, >50K
32, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,99, United-States, >50K
28, Private, Bachelors, Separated, Craft-repair, Wife, Black, Male,0,0,40, United-States, <=50K
54, Private, 9th, Divorced, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
32, Private, Bachelors, Divorced, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
54, Private, Bachelors, Widowed, Adm-clerical, Not-in-family, White, Male,15024,0,40, Italy, >50K
31, Private, 10th, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,27, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
29, Local-gov, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, Philippines, <=50K
36, Private, Prof-school, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,55, United-States, <=50K
53, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,45, United-States, <=50K
21, Private, Assoc-voc, Never-married, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, >50K
22, Private, Masters, Divorced, Tech-support, Unmarried, White, Female,0,0,35, United-States, <=50K
31, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, United-States, >50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,54, United-States, >50K
42, Private, 5th-6th, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Cuba, <=50K
55, Local-gov, Doctorate, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Machine-op-inspct, Husband, White, Female,0,0,12, United-States, <=50K
26, Private, Masters, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
42, Federal-gov, 9th, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
41, Self-emp-inc, Some-college, Never-married, Sales, Unmarried, White, Male,99999,0,60, United-States, >50K
35, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,70, United-States, >50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,52, United-States, <=50K
