21, Private, HS-grad, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
19, Private, Assoc-acdm, Separated, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
28, Self-emp-not-inc, Masters, Never-married, Sales, Not-in-family, White, Female,0,0,35, United-States, <=50K
53, Private, Masters, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Local-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Puerto-Rico, >50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
22, Private, Assoc-acdm, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States, <=50K
66, Private, Some-college, Divorced, Protective-serv, Not-in-family, White, Male,0,0,60, United-States, <=50K
39, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
30, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,25, United-States, <=50K
27, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,45, United-States, <=50K
32, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,43, United-States, <=50K
37, Private, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
42, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Iran, >50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Yugoslavia, >50K
60, Private, HS-grad, Separated, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Male,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
55, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,2480,0,40, United-States, <=50K
43, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,50, United-States, >50K
39, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
45, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,25, United-States, <=50K
37, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,37, United-States, <=50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
28, Private, 12th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
58, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,48, United-States, <=50K
23, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,45, United-States, <=50K
32, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
61, Self-emp-not-inc, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
57, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, >50K
25, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,10, United-States, <=50K
53, Private, Some-college, Separated, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, >50K
21, Self-emp-inc, Bachelors, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,25, United-States, <=50K
60, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,80, Mexico, >50K
32, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Own-child, Other, Female,0,0,10, United-States, <=50K
31, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,54, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Black, Female,0,0,24, United-States, <=50K
30, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,40, Laos, <=50K
36, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
26, Local-gov, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,38, United-States, <=50K
27, Private, Masters, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
26, Private, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,25, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Tech-support, Own-child, White, Female,0,0,35, United-States, >50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
47, Federal-gov, 7th-8th, Divorced, Sales, Unmarried, White, Female,0,0,16, United-States, <=50K
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,45, United-States, >50K
53, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,15024,0,45, United-States, <=50K
33, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,65, United-States, >50K
24, Self-emp-not-inc, Some-college, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
32, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
32, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
41, Self-emp-not-inc, Masters, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, >50K
35, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,1404,40, United-States, <=50K
27, State-gov, Some-college, Separated, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
54, Private, HS-grad, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
52, Self-emp-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, >50K
27, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
35, Private, Some-college, Separated, Exec-managerial, Not-in-family, White, Male,0,1481,50, United-States, <=50K
66, Private, Bachelors, Widowed, Sales, Husband, White, Female,0,0,40, United-States, >50K
22, State-gov, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,20, United-States, <=50K
44, Private, Some-college, Never-married, Sales, Unmarried, Black, Male,0,0,45, United-States, <=50K
22, Private, 12th, Never-married, Other-service, Own-child, Black, Male,0,0,35, United-States, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Mexico, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
60, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,20, United-States, >50K
45, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, United-States, >50K
44, Private, Some-college, Separated, Exec-managerial, Unmarried, White, Female,0,0,45, United-States, <=50K
25, Private, 11th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,35, United-States, <=50K
66, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,25, United-States, >50K
22, State-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, 10th, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Prof-school, Never-married, Farming-fishing, Not-in-family, Black, Female,4793,0,70, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
29, Local-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,1588,60, United-States, <=50K
69, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,20, United-States, <=50K
46, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
37, Local-gov, 11th, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States, <=50K
43, Federal-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,60, United-States, <=50K
58, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, Poland, <=50K
51, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
27, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
29, Private, Some-college, Divorced, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Sales, Wife, White, Female,0,1902,24, United-States, >50K
28, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, Private, 12th, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,2702,0,40, United-States, <=50K
30, Private, HS-grad, Divorced, Protective-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,15024,0,40, United-States, <=50K
27, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
35, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
31, Private, 7th-8th, Never-married, Exec-managerial, Husband, White, Male,0,0,42, United-States, <=50K
69, Private, Some-college, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
56, Private, Assoc-acdm, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
37, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, State-gov, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,60, United-States, <=50K
34, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,60, United-States, >50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,40, United-States, >50K
24, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,35, United-States, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
42, Private, Masters, Widowed, Prof-specialty, Unmarried, White, Female,0,0,48, United-States, >50K
46, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
53, Local-gov, 10th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
50, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,1234,40, United-States, <=50K
33, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,50, United-States, <=50K
46, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
27, Local-gov, 11th, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States, <=50K
56, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
48, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,4386,0,40, United-States, <=50K
30, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, United-States, <=50K
31, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,40, United-States, <=50K
42, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,50, United-States, <=50K
62, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,78, United-States, >50K
24, Federal-gov, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
19, Private, 10th, Never-married, Farming-fishing, Own-child, White, Male,0,0,20, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
48, Private, Masters, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Self-emp-not-inc, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
32, Private, HS-grad, Separated, Exec-managerial, Unmarried, Black, Female,0,0,40, Jamaica, <=50K
27, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
59, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
45, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1977,50, United-States, <=50K
34, Self-emp-not-inc, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,60, United-States, <=50K
26, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
54, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
42, Private, Some-college, Widowed, Other-service, Not-in-family, White, Female,0,2415,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
55, Self-emp-not-inc, Assoc-acdm, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
64, Private, Doctorate, Divorced, Protective-serv, Not-in-family, White, Male,26870,0,54, Yugoslavia, <=50K
51, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,60, United-States, >50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, China, >50K
66, Self-emp-not-inc, Masters, Separated, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
66, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,15, United-States, >50K
56, Local-gov, Some-college, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,54, United-States, >50K
53, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,12505,0,40, Japan, >50K
50, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
42, Private, Some-college, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Never-married, Machine-op-inspct, Wife, White, Male,0,0,30, United-States, <=50K
54, Private, 7th-8th, Widowed, Adm-clerical, Unmarried, White, Female,0,0,20, United-States, <=50K
34, State-gov, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
45, Federal-gov, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,52, China, <=50K
21, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,10, United-States, <=50K
68, State-gov, 10th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,10, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
56, Private, 9th, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,54, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
39, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,2018,0,40, United-States, <=50K
48, Private, 10th, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,45, United-States, <=50K
67, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, Mexico, <=50K
38, Private, Bachelors, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
41, Private, Assoc-acdm, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Private, Assoc-voc, Never-married, Other-service, Other-relative, White, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Divorced, Adm-clerical, Own-child, Black, Female,0,0,40, United-States, <=50K
45, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
51, Local-gov, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Poland, <=50K
33, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,7518,0,52, United-States, >50K
43, Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1879,40, United-States, >50K
28, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,42, United-States, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
35, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
50, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Self-emp-inc, Masters, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
28, Private, Bachelors, Never-married, Exec-managerial, Own-child, Other, Male,0,0,40, United-States, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
58, Self-emp-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Female,0,1900,40, United-States, >50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
45, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Mexico, >50K
40, Private, 10th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Local-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Mexico, <=50K
21, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K
52, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States, <=50K
21, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Never-married, Farming-fishing, Unmarried, White, Female,0,0,50, United-States, >50K
22, Private, Some-college, Divorced, Transport-moving, Own-child, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States, <=50K
33, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7612,0,40, United-States, >50K
34, Self-emp-inc, 9th, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
27, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Cuba, <=50K
26, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,60, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1998,45, United-States, <=50K
27, Local-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, United-States, >50K
54, Private, Some-college, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
65, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,2139,0,40, United-States, >50K
46, Private, Masters, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, >50K
25, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
58, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
69, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States, <=50K
18, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,15, United-States, <=50K
