47, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Jamaica, >50K
51, Private, Masters, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, South, >50K
44, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,60, Thailand, <=50K
43, Private, 9th, Divorced, Craft-repair, Own-child, Other, Female,0,0,60, Ecuador, <=50K
43, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,50, Yugoslavia, <=50K
51, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,50, Taiwan, >50K
41, Private, Masters, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, Greece, <=50K
53, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,37, Philippines, <=50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, Guatemala, >50K
40, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,49, Portugal, <=50K
39, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,45, Jamaica, <=50K
34, Private, Assoc-voc, Never-married, Adm-clerical, Husband, White, Male,0,0,40, India, <=50K
43, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, France, <=50K
48, Private, Bachelors, Divorced, Other-service, Not-in-family, Other, Female,0,0,40, France, <=50K
33, Private, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Ireland, <=50K
52, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Japan, >50K
22, Private, 11th, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Female,0,0,15, Columbia, <=50K
28, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Other, Female,0,0,40, Ecuador, <=50K
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, South, >50K
21, Private, HS-grad, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male,0,0,50, Cuba, <=50K
21, Private, Bachelors, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
42, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Scotland, >50K
45, Local-gov, Assoc-acdm, Divorced, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
43, Private, Some-college, Separated, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
61, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,43, Ireland, >50K
26, Private, Bachelors, Divorced, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,35, Trinadad&Tobago, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Thailand, <=50K
57, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,40, Columbia, <=50K
47, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,0,60, China, <=50K
44, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,40, Hong, <=50K
51, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,50, Taiwan, >50K
56, Private, Doctorate, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Male,99999,0,36, Guatemala, >50K
38, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Greece, <=50K
40, Private, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Thailand, <=50K
30, Private, HS-grad, Married-civ-spouse, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, El-Salvador, >50K
20, Private, Masters, Never-married, Other-service, Own-child, Other, Female,0,0,20, Taiwan, <=50K
55, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,45, South, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
20, Private, HS-grad, Never-married, Other-service, Husband, Other, Female,0,0,38, Puerto-Rico, <=50K
40, Private, HS-grad, Never-married, Tech-support, Not-in-family, Other, Female,0,0,38, France, <=50K
37, Local-gov, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,4650,0,75, Columbia, >50K
21, Federal-gov, 11th, Married-civ-spouse, Protective-serv, Own-child, Black, Female,0,1885,15, Italy, <=50K
53, Self-emp-inc, HS-grad, Divorced, Machine-op-inspct, Unmarried, Other, Male,0,0,40, Thailand, >50K
34, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,7687,0,60, Portugal, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,48, Iran, <=50K
29, State-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,30, Thailand, <=50K
36, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,0,0,35, England, <=50K
47, State-gov, Prof-school, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
55, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, Thailand, <=50K
26, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Taiwan, <=50K
34, Without-pay, Masters, Never-married, Protective-serv, Husband, Other, Female,0,0,30, Guatemala, <=50K
47, Private, Assoc-voc, Divorced, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, El-Salvador, <=50K
50, Private, HS-grad, Widowed, Other-service, Not-in-family, Black, Male,0,0,40, Germany, <=50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,50, Puerto-Rico, <=50K
27, Private, Prof-school, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,0,1740,40, Taiwan, >50K
40, Private, Some-college, Widowed, Exec-managerial, Not-in-family, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
21, Private, HS-grad, Never-married, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Poland, <=50K
32, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, Black, Male,0,0,40, Scotland, <=50K
46, Private, HS-grad, Never-married, Transport-moving, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
26, Private, Bachelors, Separated, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,8, Thailand, <=50K
27, Private, HS-grad, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, China, <=50K
38, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,43, Portugal, >50K
52, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
37, State-gov, HS-grad, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,2, Hungary, <=50K
64, Private, Some-college, Widowed, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Japan, <=50K
46, Federal-gov, 7th-8th, Never-married, Other-service, Unmarried, White, Male,0,0,40, Taiwan, <=50K
51, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, El-Salvador, <=50K
52, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, Honduras, <=50K
27, Private, 10th, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
49, Local-gov, Masters, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,60, Nicaragua, >50K
45, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, Black, Female,99999,0,35, Jamaica, >50K
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hungary, >50K
50, Private, HS-grad, Divorced, Transport-moving, Not-in-family, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
35, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Columbia, <=50K
61, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, Haiti, >50K
58, Private, Some-college, Divorced, Prof-specialty, Husband, Black, Female,0,0,40, United-States, <=50K
47, Private, Bachelors, Divorced, Craft-repair, Husband, Other, Male,0,0,35, Ireland, >50K
41, Local-gov, 10th, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Honduras, <=50K
19, Local-gov, 11th, Never-married, Adm-clerical, Other-relative, Amer-Indian-Eskimo, Male,0,0,20, Jamaica, <=50K
47, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
25, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,40, Columbia, <=50K
44, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,54, Jamaica, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, Haiti, <=50K
40, Private, Some-college, Married-AF-spouse, Exec-managerial, Not-in-family, White, Female,4064,0,40, Honduras, <=50K
37, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,1977,60, Cuba, >50K
51, Local-gov, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Honduras, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,38, Italy, <=50K
25, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,60, Thailand, <=50K
25, Private, HS-grad, Married-civ-spouse, Sales, Own-child, Black, Female,0,0,40, Japan, <=50K
36, Self-emp-not-inc, Bachelors, Never-married, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,15024,0,40, Peru, <=50K
30, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
34, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Private, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, India, >50K
42, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,40, Vietnam, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, Black, Female,0,0,50, Honduras, >50K
51, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,35, Philippines, <=50K
47, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Italy, >50K
60, Private, 7th-8th, Divorced, Tech-support, Unmarried, White, Male,0,0,38, Peru, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,20, Vietnam, <=50K
42, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,21, India, <=50K
64, Private, HS-grad, Never-married, Craft-repair, Unmarried, Other, Female,0,0,40, Ecuador, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Other, Male,0,0,20, Portugal, <=50K
27, Private, HS-grad, Separated, Tech-support, Unmarried, Black, Female,0,0,16, India, <=50K
30, Private, 11th, Married-civ-spouse, Handlers-cleaners, Not-in-family, Black, Male,0,0,50, Iran, <=50K
35, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,12, South, <=50K
19, Private, HS-grad, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,20, Outlying-US(Guam-USVI-etc), <=50K
24, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,45, Mexico, >50K
63, Self-emp-not-inc, Some-college, Widowed, Craft-repair, Unmarried, Black, Female,0,0,40, Guatemala, <=50K
58, Private, Some-college, Never-married, Sales, Husband, White, Male,15024,0,60, England, <=50K
53, Federal-gov, 5th-6th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, India, <=50K
66, Private, Assoc-acdm, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,20, Mexico, <=50K
50, Private, Prof-school, Married-civ-spouse, Adm-clerical, Husband, Other, Female,7687,0,54, Puerto-Rico, >50K
20, Private, Some-college, Never-married, Transport-moving, Own-child, Black, Female,0,0,25, Peru, <=50K
53, Private, Some-college, Widowed, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,32, Taiwan, <=50K
33, Private, Some-college, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
26, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,45, Ecuador, <=50K
43, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,0,0,40, Peru, >50K
43, Federal-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Taiwan, >50K
51, Local-gov, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, India, >50K
31, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, Honduras, >50K
40, Private, Masters, Married-civ-spouse, Transport-moving, Unmarried, Other, Male,7298,0,44, South, <=50K
27, Self-emp-not-inc, HS-grad, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
45, Self-emp-inc, HS-grad, Widowed, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
46, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Honduras, <=50K
39, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Trinadad&Tobago, >50K
46, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Guatemala, <=50K
45, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1958,40, Columbia, <=50K
50, Private, Some-college, Never-married, Craft-repair, Unmarried, Black, Female,0,0,40, Haiti, <=50K
20, Private, Some-college, Never-married, Other-service, Not-in-family, Other, Male,0,0,16, Yugoslavia, <=50K
26, Private, Bachelors, Never-married, Adm-clerical, Own-child, Black, Female,0,0,33, Nicaragua, <=50K
61, Self-emp-inc, Masters, Never-married, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,88, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Female,3334,0,40, Ireland, >50K
35, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
45, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
56, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,45, Yugoslavia, <=50K
37, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Italy, <=50K
46, Self-emp-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1902,40, Cambodia, >50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,7577,0,45, Mexico, >50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,7687,0,40, Honduras, >50K
55, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Male,0,1977,65, Jamaica, >50K
58, Private, Some-college, Married-civ-spouse, Tech-support, Wife, Amer-Indian-Eskimo, Male,0,0,10, Japan, >50K
46, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,10, Canada, <=50K
43, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, Puerto-Rico, <=50K
52, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,40, South, >50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Wife, Black, Male,0,1822,40, Iran, <=50K
34, Private, Assoc-voc, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, Ecuador, <=50K
52, Self-emp-not-inc, Some-college, Divorced, Other-service, Not-in-family, Black, Male,0,0,60, South, <=50K
21, Private, Some-college, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,40, Vietnam, <=50K
42, Federal-gov, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,54, Cambodia, <=50K
33, Private, Masters, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Male,14309,0,50, Peru, >50K
22, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Own-child, Other, Female,0,0,40, Jamaica, <=50K
55, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, Other, Female,0,1901,40, Greece, <=50K
37, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,1902,40, Ireland, <=50K
39, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,40, Nicaragua, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
31, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Tech-support, Own-child, Black, Male,0,0,40, Peru, <=50K
45, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Other, Female,15024,0,50, Italy, >50K
43, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, China, >50K
36, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,38, Greece, <=50K
57, Private, 7th-8th, Widowed, Exec-managerial, Unmarried, Black, Male,0,0,35, Scotland, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,45, South, <=50K
31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, India, <=50K
35, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, Other, Male,0,0,60, Iran, >50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,7298,0,45, India, >50K
41, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Guatemala, <=50K
38, Private, Bachelors, Widowed, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, Hungary, <=50K
27, Private, Assoc-acdm, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Columbia, <=50K
26, Private, HS-grad, Never-married, Tech-support, Own-child, Other, Male,0,0,35, Honduras, <=50K
49, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,52, Haiti, <=50K
29, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,30, Honduras, <=50K
64, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,24, Greece, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, Mexico, >50K
25, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, South, <=50K
25, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, Black, Female,0,0,40, Puerto-Rico, >50K
25, Private, Some-college, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,40, India, <=50K
44, Private, HS-grad, Widowed, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
49, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,32, Yugoslavia, <=50K
