49, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,1902,45, Ecuador, >50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,80, Peru, >50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,50, United-States, >50K
28, Private, Bachelors, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Columbia, <=50K
28, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, France, <=50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Other, Male,0,0,40, El-Salvador, >50K
76, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,6, Guatemala, <=50K
58, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, Canada, <=50K
90, Self-emp-not-inc, Doctorate, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,15024,0,20, Canada, >50K
38, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Yugoslavia, >50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
33, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,24, United-States, >50K
66, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,16794,0,54, England, >50K
48, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,45, Hong, <=50K
46, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, Hong, >50K
43, State-gov, HS-grad, Separated, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,34, England, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, Ecuador, <=50K
42, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, Puerto-Rico, <=50K
28, Local-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,50, Philippines, <=50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,2566,0,30, Philippines, >50K
36, Private, Some-college, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Greece, <=50K
20, Private, Assoc-voc, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,45, Portugal, <=50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,0,0,40, United-States, <=50K
23, Local-gov, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,40, Germany, <=50K
21, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Ireland, <=50K
22, Private, HS-grad, Separated, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Puerto-Rico, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, Other, Male,0,0,20, Philippines, <=50K
64, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Iran, <=50K
40, Self-emp-inc, Some-college, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,40, Yugoslavia, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, Black, Female,0,0,35, El-Salvador, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,45, Japan, >50K
47, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Other, Female,0,0,25, Scotland, <=50K
60, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,17746,0,40, Dominican-Republic, >50K
25, Self-emp-not-inc, 10th, Never-married, Sales, Husband, White, Female,0,0,60, Peru, >50K
20, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,20, Philippines, <=50K
27, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, United-States, <=50K
38, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, El-Salvador, >50K
19, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,28, Canada, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Yugoslavia, >50K
29, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
31, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,60, Haiti, >50K
33, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, Trinadad&Tobago, <=50K
56, Self-emp-inc, Some-college, Divorced, Tech-support, Not-in-family, White, Male,0,0,50, Hungary, <=50K
37, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
70, Federal-gov, Some-college, Widowed, Adm-clerical, Wife, White, Male,0,0,6, Peru, <=50K
66, Private, Assoc-acdm, Widowed, Adm-clerical, Husband, White, Male,113,0,40, Japan, <=50K
76, Private, HS-grad, Divorced, Protective-serv, Not-in-family, White, Male,0,0,30, Greece, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Mexico, >50K
43, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,60, Philippines, >50K
61, Local-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
34, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, Peru, >50K
59, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,15024,0,35, El-Salvador, >50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
20, Private, Prof-school, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Male,0,0,35, Dominican-Republic, <=50K
23, Private, HS-grad, Never-married, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,50, Guatemala, <=50K
29, Private, 12th, Never-married, Adm-clerical, Own-child, White, Female,2051,0,12, United-States, >50K
38, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,70, China, <=50K
30, Private, Some-college, Never-married, Handlers-cleaners, Wife, Asian-Pac-Islander, Female,0,0,40, Ecuador, >50K
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, India, <=50K
35, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female,0,0,60, Mexico, >50K
38, Private, HS-grad, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,54, United-States, <=50K
34, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,54, United-States, >50K
44, Private, Masters, Divorced, Sales, Unmarried, Other, Female,0,0,40, Cuba, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
43, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Other, Female,0,0,53, Ireland, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Male,0,1887,20, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,45, Hong, >50K
32, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Hong, <=50K
28, Private, Prof-school, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
24, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, China, <=50K
46, Self-emp-not-inc, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, France, >50K
40, Private, HS-grad, Divorced, Farming-fishing, Unmarried, White, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,65, United-States, <=50K
31, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,60, United-States, >50K
36, Private, HS-grad, Never-married, Tech-support, Husband, White, Female,0,0,40, Guatemala, <=50K
43, Local-gov, Assoc-acdm, Married-civ-spouse, Other-service, Not-in-family, Black, Male,0,0,40, Columbia, >50K
28, Federal-gov, Assoc-voc, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Peru, <=50K
24, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,2174,0,40, United-States, <=50K
38, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
49, State-gov, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
40, Private, Some-college, Divorced, Sales, Not-in-family, Other, Female,0,0,51, Germany, <=50K
43, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,40, Hungary, >50K
21, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,50, United-States, <=50K
25, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Husband, White, Male,0,0,35, United-States, <=50K
37, State-gov, Some-college, Separated, Sales, Not-in-family, White, Male,0,0,72, Hungary, <=50K
29, Private, Bachelors, Divorced, Other-service, Not-in-family, Black, Male,0,0,16, England, <=50K
41, Private, Masters, Married-civ-spouse, Sales, Husband, Other, Male,0,0,50, Haiti, <=50K
35, Private, HS-grad, Divorced, Craft-repair, Own-child, Other, Female,0,0,40, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,35, United-States, <=50K
59, Private, Some-college, Separated, Handlers-cleaners, Husband, White, Male,0,0,30, South, <=50K
52, Private, HS-grad, Never-married, Sales, Husband, Black, Male,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,0,0,50, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,60, Taiwan, <=50K
90, Self-emp-not-inc, 7th-8th, Widowed, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,25, United-States, >50K
49, Private, Prof-school, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, China, <=50K
41, State-gov, HS-grad, Married-civ-spouse, Other-service, Wife, Other, Male,0,0,40, United-States, >50K
53, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,4007,0,40, South, >50K
68, State-gov, Some-college, Widowed, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Japan, <=50K
20, Private, Some-college, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Philippines, <=50K
42, Federal-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,15, France, <=50K
31, State-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, India, <=50K
29, Private, 10th, Divorced, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,30, Haiti, <=50K
42, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,40, Scotland, >50K
48, Private, Bachelors, Never-married, Prof-specialty, Wife, Black, Female,0,0,35, Outlying-US(Guam-USVI-etc), <=50K
31, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
21, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, South, <=50K
39, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Cuba, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,8, Hungary, <=50K
49, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, <=50K
62, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,45, Mexico, >50K
21, Local-gov, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, Iran, <=50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Poland, <=50K
52, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,8, Taiwan, <=50K
55, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,50, Cuba, <=50K
29, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
32, Self-emp-not-inc, Bachelors, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,40, Hungary, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Hungary, <=50K
42, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,45, Ecuador, >50K
67, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,0,0,20, Iran, <=50K
34, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,40, Nicaragua, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Female,0,0,50, Poland, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Female,0,0,32, South, <=50K
33, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,1934,45, United-States, >50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
50, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,80, Japan, >50K
50, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Dominican-Republic, >50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, <=50K
55, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Husband, Black, Female,0,0,35, Iran, >50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,14, Thailand, <=50K
64, State-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Nicaragua, >50K
57, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Taiwan, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,50, United-States, >50K
27, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,27, El-Salvador, <=50K
57, Private, HS-grad, Widowed, Prof-specialty, Unmarried, White, Male,0,0,25, United-States, <=50K
25, Private, HS-grad, Separated, Tech-support, Unmarried, Other, Male,0,0,40, Japan, <=50K
27, Private, 10th, Never-married, Other-service, Own-child, Black, Male,0,0,30, Mexico, <=50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, Taiwan, <=50K
42, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, Puerto-Rico, >50K
23, Private, Some-college, Never-married, Craft-repair, Own-child, Other, Female,0,0,25, Hong, <=50K
76, Private, HS-grad, Widowed, Tech-support, Husband, White, Male,1762,0,20, France, <=50K
62, Federal-gov, 7th-8th, Widowed, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, Japan, <=50K
37, Private, Bachelors, Married-civ-spouse, Sales, Husband, Other, Male,0,0,50, Portugal, >50K
31, Private, Masters, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,40, United-States, <=50K
33, Private, Some-college, Never-married, Transport-moving, Husband, Black, Female,0,0,40, Thailand, <=50K
49, Private, Some-college, Separated, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, United-States, >50K
19, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Philippines, <=50K
21, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,1887,30, England, <=50K
64, Private, Some-college, Widowed, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,35, Taiwan, <=50K
23, Local-gov, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
52, Local-gov, 7th-8th, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Japan, <=50K
47, Private, Some-college, Separated, Sales, Not-in-family, Black, Female,0,0,40, Iran, >50K
22, Private, Some-college, Never-married, Tech-support, Unmarried, Other, Male,0,0,30, United-States, <=50K
42, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, Yugoslavia, >50K
63, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,35, Canada, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,50, Iran, >50K
20, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,25, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Hong, <=50K
31, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,50, Cuba, <=50K
36, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Wife, Other, Male,0,0,40, India, <=50K
30, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
33, Private, Bachelors, Never-married, Exec-managerial, Husband, Other, Male,0,0,70, Scotland, >50K
63, Private, Prof-school, Widowed, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Exec-managerial, Other-relative, Other, Female,0,0,50, Laos, <=50K
42, Self-emp-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,3454,0,40, United-States, <=50K
54, Private, Bachelors, Married-civ-spouse, Farming-fishing, Wife, Asian-Pac-Islander, Male,0,0,40, Iran, >50K
39, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1977,40, Yugoslavia, <=50K
65, Private, Assoc-voc, Divorced, Prof-specialty, Unmarried, White, Male,0,0,40, Nicaragua, <=50K
34, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Cambodia, <=50K
63, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1977,99, Puerto-Rico, >50K
25, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,45, Hungary, <=50K
43, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, Peru, <=50K
23, Private, Some-college, Never-married, Tech-support, Unmarried, Asian-Pac-Islander, Male,0,0,40, Philippines, <=50K
54, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,60, Canada, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
38, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,7687,0,45, United-States, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Black, Male,0,0,45, Laos, <=50K
42, Private, 7th-8th, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, El-Salvador, >50K
41, State-gov, Some-college, Never-married, Other-service, Not-in-family, Other, Female,0,0,40, United-States, <=50K
43, Private, Some-college, Never-married, Protective-serv, Wife, Asian-Pac-Islander, Male,0,0,10, Vietnam, <=50K
34, Federal-gov, Some-college, Separated, Priv-house-serv, Not-in-family, Black, Male,0,0,40, Cambodia, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,20, South, <=50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, Philippines, <=50K
32, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Honduras, >50K
25, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
17, Private, 10th, Never-married, Other-service, Own-child, Black, Female,0,0,14, Scotland, <=50K
61, Local-gov, Masters, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,2293,40, Mexico, <=50K
26, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Thailand, <=50K
47, Private, 7th-8th, Divorced, Other-service, Not-in-family, Other, Female,0,0,40, Mexico, <=50K
54, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, Columbia, >50K
23, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Black, Male,0,0,40, Honduras, <=50K
34, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,40, United-States, >50K
21, Private, Bachelors, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,40, Jamaica, >50K
31, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,50, Mexico, >50K
41, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,1670,40, Italy, <=50K
53, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Hong, >50K
30, Self-emp-inc, Bachelors, Separated, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,62, Jamaica, <=50K
70, Local-gov, 5th-6th, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,15, Cuba, <=50K
51, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Iran, <=50K
34, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,50, India, <=50K
17, Private, 12th, Never-married, Prof-specialty, Own-child, Black, Female,0,0,20, Ireland, <=50K
52, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, Honduras, <=50K
57, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Puerto-Rico, >50K
29, Self-emp-not-inc, Bachelors, Never-married, Priv-house-serv, Not-in-family, White, Male,8570,0,50, United-States, >50K
55, Private, Assoc-voc, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
63, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Male,0,0,40, Japan, <=50K
72, Private, Assoc-voc, Widowed, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
52, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,5178,0,40, Vietnam, <=50K
36, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,50, Hungary, <=50K
45, Private, HS-grad, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0,0,30, Mexico, <=50K
35, Private, HS-grad, Never-married, Craft-repair, Husband, Other, Male,0,2045,45, China, >50K
48, Private, 10th, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
38, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
43, Federal-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Cuba, >50K
23, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,1951,40, United-States, <=50K
59, Private, Masters, Divorced, Exec-managerial, Not-in-family, Other, Female,0,0,36, Trinadad&Tobago, <=50K
