50, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,65, United-States, >50K
54, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,10, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, United-States, >50K
43, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
40, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, White, Female,7687,0,10, United-States, >50K
24, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,0,0,50, England, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, Guatemala, <=50K
56, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
32, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,35, United-States, <=50K
50, Private, Some-college, Divorced, Transport-moving, Not-in-family, Black, Female,0,0,65, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,2455,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Exec-managerial, Other-relative, White, Female,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, State-gov, HS-grad, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,48, Puerto-Rico, <=50K
54, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,54, United-States, >50K
20, Private, 12th, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States, <=50K
29, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,45, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,5425,0,40, United-States, >50K
59, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Assoc-acdm, Never-married, Other-service, Own-child, White, Male,0,1711,25, United-States, <=50K
53, Federal-gov, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
29, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Local-gov, HS-grad, Never-married, Machine-op-inspct, Husband, Other, Male,0,0,50, United-States, <=50K
29, Self-emp-inc, Assoc-voc, Never-married, Other-service, Not-in-family, White, Male,0,0,50, United-States, <=50K
28, Self-emp-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Vietnam, <=50K
25, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,29, Mexico, <=50K
37, Private, HS-grad, Married-spouse-absent, Adm-clerical, Other-relative, White, Female,0,0,35, United-States, <=50K
64, Self-emp-not-inc, Assoc-acdm, Married-spouse-absent, Prof-specialty, Husband, White, Male,0,0,48, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
58, Self-emp-inc, 10th, Separated, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, >50K
44, Private, Masters, Divorced, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
66, Self-emp-not-inc, Some-college, Married-spouse-absent, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,15, United-States, <=50K
60, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, Germany, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Yugoslavia, >50K
43, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,48, United-States, <=50K
18, Private, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
44, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Self-emp-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,15024,0,40, United-States, >50K
26, Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,48, United-States, <=50K
60, Federal-gov, Some-college, Separated, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
38, Private, Assoc-acdm, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
27, Private, Masters, Never-married, Craft-repair, Unmarried, White, Male,0,0,35, United-States, <=50K
35, Private, 5th-6th, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Mexico, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Divorced, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,15024,0,35, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
30, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
46, Local-gov, Assoc-acdm, Divorced, Tech-support, Unmarried, Black, Female,0,0,40, Guatemala, <=50K
28, Private, Some-college, Separated, Adm-clerical, Unmarried, Black, Female,0,0,35, Puerto-Rico, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,44, United-States, >50K
41, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,15, United-States, <=50K
36, Private, Assoc-voc, Never-married, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Mexico, <=50K
48, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,70, Philippines, >50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, >50K
46, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,54, United-States, >50K
50, Local-gov, HS-grad, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, State-gov, HS-grad, Divorced, Adm-clerical, Other-relative, White, Male,0,0,45, United-States, <=50K
28, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
33, Private, HS-grad, Never-married, Sales, Wife, White, Male,0,0,20, Iran, <=50K
45, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1608,40, United-States, >50K
47, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
68, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,3220,0,40, United-States, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,43, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,3455,0,48, United-States, >50K
61, Local-gov, 9th, Divorced, Other-service, Not-in-family, White, Male,0,0,40, Mexico, >50K
48, Federal-gov, 7th-8th, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,36, United-States, <=50K
26, Private, HS-grad, Never-married, Handlers-cleaners, Wife, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,20, United-States, <=50K
40, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,2652,0,40, United-States, <=50K
38, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,48, United-States, <=50K
41, State-gov, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,37, United-States, <=50K
56, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
42, State-gov, HS-grad, Separated, Adm-clerical, Unmarried, White, Male,0,0,29, United-States, <=50K
40, State-gov, Masters, Separated, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,54, United-States, >50K
47, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,15024,0,40, United-States, <=50K
59, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,48, United-States, >50K
25, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,50, United-States, <=50K
21, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,15, United-States, <=50K
48, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
37, Self-emp-not-inc, Masters, Never-married, Other-service, Unmarried, Other, Female,0,0,40, United-States, <=50K
79, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,25, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, Black, Female,0,0,15, United-States, <=50K
45, Self-emp-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Japan, >50K
30, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,60, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
31, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
36, Local-gov, 9th, Never-married, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
57, State-gov, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,2843,0,40, United-States, <=50K
33, Private, 10th, Married-spouse-absent, Prof-specialty, Not-in-family, Other, Male,0,0,40, United-States, <=50K
84, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,10, United-States, >50K
42, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, >50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,48, United-States, >50K
44, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,3454,0,40, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
18, Private, 1st-4th, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States, <=50K
46, Private, Some-college, Divorced, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
50, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, >50K
29, Local-gov, 11th, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Federal-gov, Assoc-voc, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,38, United-States, <=50K
67, Private, Some-college, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, Female,0,0,24, United-States, <=50K
62, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
28, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
38, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
25, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, Mexico, <=50K
45, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, >50K
29, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Unmarried, Black, Male,0,0,50, United-States, <=50K
25, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Private, Masters, Never-married, Sales, Unmarried, Black, Female,6631,0,40, United-States, >50K
29, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Puerto-Rico, <=50K
33, Private, Prof-school, Never-married, Craft-repair, Husband, White, Male,0,1679,50, United-States, <=50K
29, Private, Assoc-acdm, Never-married, Farming-fishing, Own-child, White, Female,0,0,80, United-States, >50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
26, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
55, Private, 7th-8th, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, >50K
27, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,48, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
49, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
56, Private, HS-grad, Widowed, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Local-gov, 10th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States, >50K
19, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,10, United-States, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1887,54, United-States, <=50K
22, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Private, Some-college, Never-married, Adm-clerical, Other-relative, White, Female,0,0,54, United-States, >50K
49, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,7342,0,40, United-States, >50K
26, Private, Some-college, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,50, United-States, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
42, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,60, United-States, >50K
28, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,1520,40, United-States, >50K
23, Private, 11th, Never-married, Craft-repair, Other-relative, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,20, United-States, <=50K
40, State-gov, Bachelors, Divorced, Transport-moving, Not-in-family, White, Male,7687,0,50, United-States, >50K
20, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Honduras, <=50K
34, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
31, Private, Some-college, Divorced, Sales, Other-relative, White, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,60, Mexico, <=50K
52, Private, Some-college, Separated, Farming-fishing, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Private, Bachelors, Separated, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
62, Private, HS-grad, Widowed, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Assoc-acdm, Separated, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,60, United-States, >50K
33, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
36, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,2515,0,50, United-States, <=50K
26, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,35, Canada, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
25, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Unmarried, Other, Male,0,0,25, United-States, <=50K
49, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Guatemala, >50K
44, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,40, United-States, >50K
47, Private, Some-college, Separated, Adm-clerical, Wife, Other, Female,0,0,25, United-States, <=50K
31, Private, HS-grad, Never-married, Exec-managerial, Wife, White, Female,0,0,38, United-States, <=50K
31, Private, 11th, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,3423,0,40, United-States, >50K
51, State-gov, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,7298,0,40, United-States, >50K
37, Federal-gov, Masters, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, China, <=50K
58, Private, Masters, Divorced, Adm-clerical, Unmarried, White, Male,0,0,50, United-States, >50K
33, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,2134,0,20, United-States, >50K
36, Private, 11th, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,94, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
63, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,15, United-States, <=50K
45, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,1514,40, United-States, <=50K
52, Private, 1st-4th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,56, United-States, >50K
24, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, Mexico, <=50K
24, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,34, United-States, <=50K
31, Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,50, United-States, <=50K
18, Self-emp-inc, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,24, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
53, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Other, Female,6923,0,40, United-States, >50K
30, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1753,40, United-States, >50K
20, Private, Bachelors, Never-married, Protective-serv, Own-child, White, Male,0,0,32, United-States, <=50K
30, Private, 1st-4th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
47, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Male,0,1912,40, United-States, <=50K
21, Private, 11th, Never-married, Protective-serv, Own-child, White, Male,0,0,40, United-States, <=50K
41, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,48, United-States, <=50K
50, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,48, United-States, <=50K
31, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7370,0,50, United-States, >50K
34, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
29, Private, Bachelors, Never-married, Craft-repair, Wife, White, Male,4910,0,40, United-States, <=50K
49, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,1594,0,40, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Iran, <=50K
24, Private, 10th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,29, United-States, <=50K
59, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
65, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,25, Philippines, <=50K
20, Private, Some-college, Never-married, Tech-support, Own-child, White, Male,0,0,35, United-States, <=50K
28, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
42, Private, HS-grad, Divorced, Tech-support, Unmarried, Black, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Female,3103,0,35, United-States, <=50K
27, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
56, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,40, United-States, >50K
40, Self-emp-inc, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, >50K
36, Private, Some-college, Married-spouse-absent, Adm-clerical, Other-relative, White, Female,0,0,10, China, <=50K
39, Local-gov, HS-grad, Divorced, Adm-clerical, Wife, White, Female,0,1485,40, United-States, <=50K
26, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
50, Federal-gov, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,37, United-States, <=50K
61, Private, Some-college, Widowed, Sales, Wife, White, Female,8155,0,37, United-States, >50K
33, Private, Some-college, Divorced, Handlers-cleaners, Unmarried, Black, Female,0,0,32, Taiwan, <=50K
47, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,40, United-States, >50K
57, Self-emp-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
33, Private, Some-college, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
