30, Private, HS-grad, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,35, Dominican-Republic, <=50K
29, Private, Assoc-acdm, Divorced, Machine-op-inspct, Own-child, White, Male,0,0,40, Poland, <=50K
27, Local-gov, 9th, Divorced, Other-service, Wife, White, Female,0,0,38, England, <=50K
65, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,43, Hungary, >50K
46, Federal-gov, Bachelors, Separated, Prof-specialty, Husband, White, Male,0,0,40, Nicaragua, >50K
45, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,45, Japan, <=50K
40, Self-emp-not-inc, HS-grad, Divorced, Sales, Own-child, White, Female,0,0,25, Honduras, <=50K
31, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,15024,0,40, Yugoslavia, <=50K
23, Private, Assoc-voc, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, Cuba, <=50K
45, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,65, Ecuador, <=50K
33, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,45, India, <=50K
56, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
46, State-gov, Masters, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Cuba, <=50K
33, Private, 10th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Jamaica, <=50K
23, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Japan, <=50K
28, Private, Some-college, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, South, <=50K
48, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,44, United-States, <=50K
27, Private, 1st-4th, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,30, Ecuador, <=50K
42, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,38, Canada, <=50K
19, Private, Some-college, Divorced, Adm-clerical, Own-child, White, Female,0,0,25, Yugoslavia, <=50K
47, Private, HS-grad, Separated, Other-service, Unmarried, Black, Female,0,0,35, Taiwan, <=50K
40, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,40, Greece, >50K
27, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Philippines, <=50K
36, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Guatemala, <=50K
40, Private, 9th, Separated, Farming-fishing, Not-in-family, White, Male,0,0,40, Portugal, <=50K
25, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,40, Jamaica, <=50K
29, Private, 9th, Never-married, Adm-clerical, Husband, White, Male,1343,0,50, India, <=50K
47, Private, Masters, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, France, <=50K
30, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Germany, <=50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Ireland, >50K
61, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,20, Japan, >50K
46, Local-gov, 7th-8th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Columbia, <=50K
38, Private, Bachelors, Divorced, Adm-clerical, Wife, White, Female,0,0,40, Japan, >50K
60, Private, Bachelors, Divorced, Exec-managerial, Wife, White, Male,0,0,50, Ecuador, >50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, South, <=50K
35, Self-emp-not-inc, Doctorate, Married-civ-spouse, Sales, Other-relative, White, Male,0,0,60, Dominican-Republic, <=50K
46, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, Germany, <=50K
31, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, South, >50K
23, Private, Assoc-acdm, Never-married, Tech-support, Own-child, White, Female,0,0,40, Canada, <=50K
62, Private, Some-college, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,40, Dominican-Republic, <=50K
51, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,5013,0,40, Haiti, <=50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, Ireland, <=50K
20, Private, Bachelors, Divorced, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
63, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
41, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, Columbia, <=50K
18, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,0,0,30, China, <=50K
41, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,50, Hungary, >50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, Taiwan, <=50K
22, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,50, Guatemala, <=50K
29, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,45, Guatemala, <=50K
56, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Trinadad&Tobago, >50K
33, Private, Bachelors, Never-married, Prof-specialty, Wife, White, Female,0,0,45, China, <=50K
26, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,25, El-Salvador, <=50K
55, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,7687,0,45, Thailand, >50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Taiwan, >50K
46, Private, Prof-school, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, Thailand, <=50K
26, Private, HS-grad, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, Scotland, <=50K
42, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Germany, >50K
46, Local-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, China, >50K
57, Federal-gov, Assoc-acdm, Divorced, Sales, Own-child, White, Female,0,1760,25, Jamaica, <=50K
44, Self-emp-inc, Masters, Divorced, Adm-clerical, Wife, White, Female,0,0,42, Thailand, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,15, Portugal, <=50K
55, Self-emp-inc, Masters, Divorced, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Female,0,0,48, Ireland, >50K
54, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,45, United-States, >50K
58, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1712,45, England, <=50K
34, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Guatemala, <=50K
34, Self-emp-not-inc, Masters, Never-married, Craft-repair, Not-in-family, White, Male,0,0,65, Trinadad&Tobago, >50K
46, Self-emp-not-inc, Some-college, Separated, Adm-clerical, Not-in-family, White, Male,0,0,40, Thailand, <=50K
35, State-gov, Some-college, Never-married, Sales, Husband, White, Male,0,0,65, Guatemala, <=50K
50, Private, 9th, Divorced, Handlers-cleaners, Husband, White, Male,0,0,50, El-Salvador, <=50K
37, Private, Bachelors, Separated, Prof-specialty, Not-in-family, White, Female,0,0,54, Greece, <=50K
42, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,45, Scotland, >50K
46, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,30, Thailand, <=50K
25, Private, HS-grad, Separated, Handlers-cleaners, Own-child, Black, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
37, Private, HS-grad, Separated, Priv-house-serv, Not-in-family, White, Female,0,0,38, Portugal, <=50K
27, Self-emp-not-inc, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,20, Scotland, <=50K
39, Private, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, Black, Male,5134,0,24, Peru, <=50K
35, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, Trinadad&Tobago, >50K
24, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,46, China, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, Portugal, <=50K
23, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
43, State-gov, Masters, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, India, >50K
33, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,50, Laos, >50K
46, Local-gov, 7th-8th, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Thailand, <=50K
42, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, El-Salvador, >50K
62, State-gov, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, Honduras, <=50K
20, Private, 10th, Never-married, Other-service, Own-child, Black, Male,0,0,70, Germany, <=50K
54, Local-gov, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,7298,0,50, Outlying-US(Guam-USVI-etc), >50K
50, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Male,0,0,40, Italy, >50K
42, Private, HS-grad, Separated, Exec-managerial, Not-in-family, Black, Female,0,0,40, Hungary, <=50K
24, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Peru, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,40, Columbia, <=50K
43, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,32, Guatemala, <=50K
40, Private, Some-college, Divorced, Sales, Husband, White, Male,0,0,50, United-States, <=50K
38, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,30, Ireland, <=50K
48, Local-gov, 1st-4th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,72, Hong, <=50K
58, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,99999,0,42, Laos, >50K
38, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,70, Cuba, <=50K
22, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Jamaica, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Haiti, >50K
26, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, Haiti, <=50K
41, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,65, Dominican-Republic, <=50K
26, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,42, Hong, <=50K
46, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,36, Italy, <=50K
40, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Trinadad&Tobago, >50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,99, Laos, <=50K
34, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,60, Peru, <=50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Thailand, <=50K
27, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
35, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, India, >50K
36, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Cuba, <=50K
45, Private, Prof-school, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Vietnam, <=50K
39, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,4744,0,50, Honduras, >50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Philippines, <=50K
50, State-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Italy, <=50K
63, Private, 7th-8th, Divorced, Sales, Wife, White, Female,0,0,40, Philippines, <=50K
31, Private, Prof-school, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
53, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1887,45, India, >50K
29, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,50, Ecuador, <=50K
44, Private, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,15024,0,45, Puerto-Rico, >50K
62, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Iran, <=50K
36, Private, 10th, Divorced, Machine-op-inspct, Own-child, White, Male,0,0,45, Iran, <=50K
76, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,8, Taiwan, <=50K
22, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,37, Peru, >50K
37, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,60, Nicaragua, <=50K
41, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Guatemala, >50K
47, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, El-Salvador, <=50K
28, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, White, Male,0,0,20, India, <=50K
19, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,951,0,45, Mexico, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Scotland, <=50K
26, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Philippines, <=50K
47, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,65, Thailand, <=50K
35, Private, Some-college, Never-married, Sales, Unmarried, Black, Female,0,0,40, Japan, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Ecuador, <=50K
40, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, Philippines, >50K
30, Federal-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,35, Thailand, <=50K
66, Private, 10th, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,30, India, <=50K
30, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,50, Hong, <=50K
20, Private, Some-college, Never-married, Transport-moving, Unmarried, White, Male,0,0,20, South, <=50K
28, State-gov, Bachelors, Divorced, Transport-moving, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, Canada, <=50K
20, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Honduras, <=50K
46, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
63, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,35, Guatemala, <=50K
32, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, Columbia, <=50K
47, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Haiti, >50K
20, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
21, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Nicaragua, <=50K
44, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, United-States, >50K
61, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Iran, <=50K
48, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, South, <=50K
22, Private, Bachelors, Never-married, Handlers-cleaners, Wife, White, Male,0,0,12, Honduras, >50K
47, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Yugoslavia, <=50K
50, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, Italy, >50K
42, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,15024,0,54, Cambodia, >50K
45, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,48, Mexico, <=50K
25, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, Haiti, <=50K
30, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,2906,0,60, Japan, >50K
41, Private, Some-college, Separated, Sales, Wife, White, Female,0,0,20, Laos, <=50K
30, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Canada, <=50K
43, Private, Bachelors, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,15024,0,50, Taiwan, >50K
32, Private, Some-college, Never-married, Craft-repair, Wife, White, Male,0,0,40, South, <=50K
41, Private, Doctorate, Never-married, Exec-managerial, Wife, White, Female,0,0,45, Iran, <=50K
26, Private, 7th-8th, Never-married, Adm-clerical, Unmarried, White, Female,2201,0,50, Ecuador, <=50K
21, State-gov, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,37, Taiwan, <=50K
31, Private, Some-college, Never-married, Sales, Wife, White, Male,0,0,45, Vietnam, <=50K
45, Federal-gov, HS-grad, Separated, Other-service, Unmarried, Black, Male,0,0,40, Cambodia, <=50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
35, Self-emp-not-inc, 9th, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,2330,60, Japan, >50K
40, Private, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, Greece, >50K
45, Private, 7th-8th, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,40, Italy, <=50K
28, Private, Bachelors, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,60, Nicaragua, >50K
19, Private, Some-college, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,30, Iran, <=50K
35, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,20, United-States, <=50K
23, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Philippines, <=50K
25, Private, 11th, Never-married, Other-service, Not-in-family, White, Female,0,0,30, Ireland, <=50K
43, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,36, China, <=50K
44, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, Greece, <=50K
59, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Taiwan, >50K
43, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, South, <=50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, India, <=50K
30, Private, Some-college, Never-married, Prof-specialty, Wife, White, Female,0,0,40, Ireland, <=50K
56, Private, 9th, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Hong, <=50K
37, State-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,35, Guatemala, <=50K
37, Private, Bachelors, Separated, Sales, Not-in-family, White, Male,0,0,50, India, <=50K
20, Private, 7th-8th, Never-married, Craft-repair, Not-in-family, White, Male,0,1685,40, Columbia, <=50K
17, Private, 10th, Never-married, Sales, Own-child, White, Male,0,0,30, Honduras, <=50K
28, Private, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Honduras, >50K
22, Private, Some-college, Divorced, Machine-op-inspct, Own-child, White, Female,0,0,40, Honduras, <=50K
42, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Greece, <=50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,30, Mexico, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,12, South, <=50K
19, Private, 7th-8th, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,35, Puerto-Rico, <=50K
44, Self-emp-not-inc, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, India, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, Thailand, <=50K
21, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, Yugoslavia, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,19, Haiti, >50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Ireland, <=50K
58, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Canada, >50K
17, Private, 10th, Never-married, Other-service, Own-child, Black, Male,0,0,20, Poland, <=50K
52, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Black, Male,0,0,40, Philippines, <=50K
39, Private, HS-grad, Divorced, Machine-op-inspct, Own-child, Black, Male,0,0,40, Columbia, <=50K
45, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
29, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,50, Poland, <=50K
36, Private, 9th, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,52, Scotland, <=50K
34, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,65, Vietnam, >50K
31, Private, Masters, Divorced, Tech-support, Not-in-family, White, Male,15024,0,40, El-Salvador, >50K
39, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, Jamaica, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, India, <=50K
42, Private, HS-grad, Divorced, Other-service, Other-relative, White, Female,0,0,50, Iran, <=50K
42, Self-emp-inc, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Ecuador, <=50K
33, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Cambodia, >50K
40, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Male,7687,0,50, Hong, >50K
33, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,99999,0,40, Guatemala, >50K
29, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, Haiti, <=50K
24, Federal-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Hungary, <=50K
43, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1887,40, Thailand, >50K
39, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,21, Dominican-Republic, <=50K
