43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,71, United-States, >50K
50, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
60, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,45, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Farming-fishing, Own-child, White, Female,0,0,45, United-States, <=50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, >50K
77, Local-gov, 5th-6th, Widowed, Adm-clerical, Other-relative, White, Male,0,0,12, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, >50K
41, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,40, United-States, <=50K
44, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Assoc-voc, Divorced, Machine-op-inspct, Husband, White, Male,0,0,60, United-States, >50K
58, Federal-gov, 1st-4th, Divorced, Other-service, Unmarried, White, Male,0,0,30, United-States, <=50K
26, Local-gov, Bachelors, Never-married, Other-service, Husband, White, Female,0,1887,40, United-States, <=50K
50, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
27, Private, Assoc-voc, Separated, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
50, Self-emp-inc, Masters, Divorced, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
24, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
49, Self-emp-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,47, United-States, <=50K
37, Self-emp-not-inc, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,54, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
28, Self-emp-inc, 10th, Never-married, Transport-moving, Not-in-family, White, Female,0,0,54, United-States, <=50K
30, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,30, United-States, >50K
46, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,44, United-States, >50K
58, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, 10th, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Italy, <=50K
30, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, Yugoslavia, >50K
48, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,42, United-States, >50K
33, Private, HS-grad, Never-married, Other-service, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Divorced, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
21, Private, Masters, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
44, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,20, United-States, <=50K
51, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,4726,0,60, United-States, >50K
39, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States, <=50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,15024,0,40, United-States, >50K
22, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,25, United-States, <=50K
24, Private, 10th, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,25, Puerto-Rico, <=50K
22, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,48, United-States, <=50K
39, Private, Doctorate, Divorced, Craft-repair, Wife, White, Female,0,0,37, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
53, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
23, Private, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Male,0,0,80, United-States, >50K
45, Local-gov, 9th, Married-civ-spouse, Transport-moving, Not-in-family, White, Female,0,0,40, Mexico, <=50K
27, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
44, Private, Masters, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,18, United-States, <=50K
20, Private, Bachelors, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,45, United-States, <=50K
30, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Poland, <=50K
32, Private, Doctorate, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,65, Philippines, <=50K
54, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,78873,0,54, United-States, >50K
68, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,15, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
36, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,85,0,40, United-States, >50K
28, Private, HS-grad, Married-civ-spouse, Protective-serv, Unmarried, Black, Female,0,0,40, Mexico, <=50K
31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Female,0,0,25, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
23, Private, Masters, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Prof-specialty, Own-child, White, Male,0,0,22, United-States, <=50K
40, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,50, United-States, >50K
46, Local-gov, Assoc-acdm, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,60, Trinadad&Tobago, >50K
35, Federal-gov, 7th-8th, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
40, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,0,40, United-States, >50K
22, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,32, United-States, <=50K
20, Private, Some-college, Never-married, Farming-fishing, Own-child, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,10, United-States, <=50K
45, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,3113,0,40, United-States, >50K
21, Self-emp-inc, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,50, United-States, >50K
24, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, State-gov, Some-college, Separated, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, Private, Masters, Never-married, Sales, Other-relative, White, Male,0,0,25, United-States, <=50K
38, Private, Some-college, Divorced, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, >50K
29, Private, Some-college, Separated, Craft-repair, Own-child, White, Male,0,0,30, United-States, <=50K
37, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
42, Private, Prof-school, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
46, Private, Assoc-acdm, Separated, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States, >50K
31, Private, Masters, Never-married, Sales, Not-in-family, Other, Male,0,0,40, Mexico, <=50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,0,0,40, United-States, <=50K
19, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,30, United-States, <=50K
26, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
32, Local-gov, 11th, Never-married, Other-service, Wife, White, Male,0,0,25, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Black, Male,0,0,25, United-States, <=50K
28, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, 10th, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,40, United-States, <=50K
58, Local-gov, Masters, Divorced, Transport-moving, Not-in-family, White, Female,4205,0,40, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Not-in-family, Black, Female,0,0,20, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Not-in-family, White, Male,0,0,40, United-States, >50K
27, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Private, Some-college, Divorced, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Male,0,0,20, United-States, >50K
44, Local-gov, 10th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,80, United-States, <=50K
23, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,35, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
37, Private, Assoc-voc, Never-married, Prof-specialty, Other-relative, White, Male,0,0,40, United-States, <=50K
59, State-gov, HS-grad, Never-married, Adm-clerical, Husband, White, Female,0,0,18, United-States, <=50K
40, Self-emp-inc, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Divorced, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, Preschool, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
18, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Self-emp-not-inc, HS-grad, Separated, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
34, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,45, United-States, <=50K
22, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,20, United-States, <=50K
27, Private, Some-college, Never-married, Sales, Unmarried, White, Male,0,0,38, United-States, >50K
61, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,3925,0,40, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,38, United-States, <=50K
34, Private, Assoc-acdm, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, >50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
48, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, >50K
43, Private, 7th-8th, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,70, United-States, >50K
36, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,2830,0,45, United-States, >50K
54, Private, Doctorate, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, >50K
31, Private, HS-grad, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, >50K
40, Private, HS-grad, Separated, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
33, Private, 10th, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
43, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
36, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Local-gov, 11th, Never-married, Craft-repair, Own-child, White, Male,0,1902,40, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, >50K
30, Private, Some-college, Never-married, Transport-moving, Husband, White, Female,0,0,40, United-States, <=50K
35, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,40, United-States, >50K
57, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States, >50K
42, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
51, Private, 1st-4th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Private, Some-college, Never-married, Protective-serv, Husband, White, Male,0,1887,40, United-States, >50K
20, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
21, State-gov, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,30, United-States, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Italy, <=50K
51, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,99999,0,50, United-States, >50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, <=50K
67, Private, Some-college, Divorced, Tech-support, Husband, White, Male,301,0,20, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, Puerto-Rico, <=50K
39, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,35, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Separated, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
27, Private, Masters, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,45, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, 9th, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, >50K
49, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
38, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Canada, >50K
24, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
63, Local-gov, Some-college, Divorced, Sales, Husband, White, Male,4660,0,40, United-States, >50K
33, Private, Some-college, Never-married, Sales, Wife, White, Male,0,0,20, United-States, <=50K
20, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Italy, <=50K
52, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,38, United-States, <=50K
38, Private, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,30, United-States, <=50K
23, Private, HS-grad, Never-married, Handlers-cleaners, Wife, White, Female,0,0,30, United-States, <=50K
26, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
35, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
25, Private, Some-college, Never-married, Sales, Unmarried, White, Male,0,0,40, United-States, <=50K
55, Federal-gov, Prof-school, Widowed, Machine-op-inspct, Own-child, White, Male,0,0,38, China, <=50K
32, Private, Prof-school, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,50, United-States, >50K
22, State-gov, 10th, Married-spouse-absent, Adm-clerical, Own-child, White, Female,0,0,19, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,54, United-States, >50K
26, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Male,2862,0,50, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
53, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
39, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private, 10th, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,27, United-States, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,20, Mexico, <=50K
25, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
30, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, >50K
23, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Own-child, White, Male,0,0,50, United-States, <=50K
18, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,20, United-States, <=50K
53, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, United-States, <=50K
23, State-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Self-emp-inc, Bachelors, Separated, Sales, Husband, White, Male,0,0,60, United-States, <=50K
25, Private, 12th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0,0,45, United-States, <=50K
21, Private, 11th, Never-married, Prof-specialty, Own-child, White, Male,0,0,25, United-States, <=50K
30, Private, Some-college, Divorced, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Divorced, Adm-clerical, Own-child, White, Male,0,0,35, United-States, <=50K
27, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
55, Private, 9th, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,40, United-States, >50K
62, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, >50K
33, Private, Bachelors, Separated, Exec-managerial, Unmarried, Black, Male,0,0,45, United-States, <=50K
60, Private, 7th-8th, Divorced, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
48, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, >50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,65, United-States, <=50K
20, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,24, Mexico, <=50K
43, Private, 10th, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,50, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
59, Federal-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
40, Private, Prof-school, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,54, United-States, <=50K
27, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,65, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Never-married, Other-service, Wife, White, Female,0,0,20, United-States, >50K
31, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, >50K
43, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,70, United-States, <=50K
25, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
64, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Self-emp-inc, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,54, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,29, Cuba, <=50K
25, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
41, Self-emp-not-inc, Masters, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,44, United-States, <=50K
46, Federal-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, <=50K
40, Private, Some-college, Never-married, Sales, Unmarried, White, Male,0,0,54, United-States, >50K
30, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,50, United-States, <=50K
40, Private, Bachelors, Never-married, Protective-serv, Husband, White, Male,0,0,60, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,38, United-States, <=50K
