43, Self-emp-not-inc, Doctorate, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,1977,60, Ecuador, >50K
28, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,40, China, <=50K
37, Private, Some-college, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, India, <=50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Mexico, >50K
46, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
33, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,35, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,99999,0,70, Cuba, >50K
64, Local-gov, HS-grad, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
58, Private, Masters, Separated, Exec-managerial, Wife, Other, Female,0,0,40, Ireland, <=50K
27, Private, Masters, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,36, United-States, <=50K
31, Local-gov, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Hong, >50K
35, State-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Hong, <=50K
30, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
58, Self-emp-inc, HS-grad, Married-civ-spouse, Protective-serv, Wife, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
30, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, France, >50K
31, Private, HS-grad, Divorced, Farming-fishing, Own-child, White, Female,0,0,80, United-States, <=50K
38, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
45, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,5, Guatemala, <=50K
21, Private, 11th, Never-married, Prof-specialty, Own-child, Black, Male,0,0,8, Columbia, <=50K
46, Federal-gov, 9th, Divorced, Sales, Not-in-family, Other, Male,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, >50K
61, Private, Some-college, Separated, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,54, United-States, <=50K
46, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, Laos, >50K
40, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
28, Private, HS-grad, Never-married, Sales, Not-in-family, Other, Male,0,0,50, Germany, <=50K
21, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, Hungary, <=50K
48, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Wife, White, Female,0,0,24, United-States, <=50K
35, State-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,8166,0,40, United-States, <=50K
60, Without-pay, Prof-school, Never-married, Prof-specialty, Husband, White, Male,99999,0,40, Hungary, >50K
21, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, England, <=50K
43, Private, HS-grad, Separated, Sales, Husband, Other, Male,0,0,30, Haiti, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,40, United-States, <=50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,40, United-States, >50K
25, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, Scotland, <=50K
25, Private, HS-grad, Never-married, Sales, Husband, Black, Male,0,0,54, United-States, <=50K
26, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Unmarried, Other, Male,0,0,35, United-States, <=50K
26, Private, Some-college, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
75, Private, 7th-8th, Widowed, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,10, United-States, >50K
46, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,60, China, >50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,80, United-States, >50K
44, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,4034,0,50, Scotland, >50K
79, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
25, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Peru, <=50K
33, Local-gov, Assoc-acdm, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
66, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,0,20, France, <=50K
39, State-gov, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,54, India, <=50K
29, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,54, Haiti, <=50K
22, Private, Some-college, Never-married, Tech-support, Own-child, Black, Female,0,0,35, Scotland, <=50K
59, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,40, Nicaragua, <=50K
41, Self-emp-not-inc, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,7687,0,40, Jamaica, >50K
38, Private, Bachelors, Divorced, Transport-moving, Not-in-family, White, Male,0,0,60, South, <=50K
40, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,20, Cuba, <=50K
35, Private, Bachelors, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,40, Hungary, <=50K
17, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,8, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, Mexico, >50K
26, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Ireland, <=50K
21, Local-gov, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
27, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, South, <=50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,1080,0,70, Dominican-Republic, <=50K
34, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, White, Female,0,0,99, Peru, <=50K
69, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, Hungary, <=50K
36, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,64, Hungary, <=50K
17, Private, 11th, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,23, Ecuador, <=50K
61, Local-gov, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,0,0,40, Ireland, >50K
69, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,3, Outlying-US(Guam-USVI-etc), <=50K
28, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
34, Private, HS-grad, Divorced, Sales, Not-in-family, Other, Female,0,0,70, Poland, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,27, Taiwan, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
53, Private, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Japan, >50K
44, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, Dominican-Republic, >50K
26, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,35, Vietnam, <=50K
40, Private, Assoc-voc, Separated, Farming-fishing, Own-child, Black, Female,0,0,40, Iran, >50K
63, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,60, Thailand, <=50K
33, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Nicaragua, >50K
52, Private, 9th, Divorced, Tech-support, Unmarried, White, Male,0,0,38, Taiwan, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,1579,40, Jamaica, <=50K
47, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, England, >50K
63, Self-emp-not-inc, HS-grad, Separated, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
51, Private, HS-grad, Widowed, Transport-moving, Not-in-family, Other, Male,0,1721,40, Japan, <=50K
40, Local-gov, 11th, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, Laos, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,7298,0,39, United-States, >50K
58, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,24, Taiwan, >50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,2536,0,40, Puerto-Rico, >50K
53, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, Hong, >50K
29, Private, Some-college, Separated, Sales, Own-child, White, Male,0,0,25, France, <=50K
27, Local-gov, 7th-8th, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,40, Japan, <=50K
61, Private, Bachelors, Married-civ-spouse, Sales, Husband, Other, Male,0,0,50, Portugal, <=50K
18, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, >50K
30, Private, Some-college, Separated, Transport-moving, Husband, Black, Female,0,0,40, Thailand, <=50K
35, Private, Some-college, Separated, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
36, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, Philippines, <=50K
56, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,25, England, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
23, Federal-gov, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
26, Private, Assoc-acdm, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,5178,0,63, Japan, <=50K
59, Private, Some-college, Widowed, Prof-specialty, Not-in-family, Black, Female,0,0,35, Iran, <=50K
29, Private, HS-grad, Never-married, Transport-moving, Wife, Other, Male,0,0,40, United-States, <=50K
40, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,15024,0,50, Yugoslavia, >50K
47, Self-emp-inc, HS-grad, Widowed, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
26, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Iran, >50K
46, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male,0,0,47, Hong, <=50K
34, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Cuba, <=50K
22, Private, Some-college, Never-married, Other-service, Unmarried, Other, Male,0,0,30, India, <=50K
39, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
34, Private, Bachelors, Widowed, Adm-clerical, Unmarried, Other, Male,0,0,16, Scotland, <=50K
30, Private, HS-grad, Separated, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
40, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,65, Laos, >50K
37, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
19, Private, 12th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,20, Iran, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Yugoslavia, <=50K
60, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,15, Outlying-US(Guam-USVI-etc), >50K
37, Self-emp-not-inc, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,30, Cambodia, <=50K
20, Self-emp-not-inc, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, Portugal, <=50K
20, Private, Bachelors, Never-married, Farming-fishing, Own-child, Other, Male,0,0,40, Hungary, <=50K
37, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, Peru, >50K
21, Private, Some-college, Never-married, Tech-support, Unmarried, Asian-Pac-Islander, Male,0,0,40, Philippines, <=50K
28, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Canada, >50K
19, Private, Bachelors, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Other, Male,0,0,64, Laos, <=50K
22, Private, 12th, Never-married, Craft-repair, Own-child, White, Female,0,0,40, England, <=50K
32, State-gov, Some-college, Divorced, Other-service, Not-in-family, Other, Female,0,0,38, United-States, <=50K
36, Private, Some-college, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
43, Federal-gov, HS-grad, Separated, Machine-op-inspct, Husband, Black, Male,0,0,40, Cambodia, <=50K
30, Private, Masters, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, South, <=50K
39, State-gov, 1st-4th, Married-civ-spouse, Exec-managerial, Husband, White, Female,15024,0,50, Peru, >50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,20, Honduras, <=50K
30, Private, 12th, Married-civ-spouse, Prof-specialty, Wife, White, Male,7687,0,40, Nicaragua, <=50K
53, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, Puerto-Rico, >50K
42, Private, Masters, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,1594,99, Laos, >50K
28, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Transport-moving, Own-child, Other, Male,0,0,40, Taiwan, <=50K
21, Private, 11th, Never-married, Other-service, Own-child, Other, Female,0,0,40, Mexico, <=50K
40, Private, Masters, Divorced, Sales, Unmarried, White, Female,0,0,20, Columbia, <=50K
24, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, Black, Male,0,0,45, Honduras, <=50K
42, Private, Assoc-voc, Separated, Exec-managerial, Husband, Other, Male,0,0,40, United-States, >50K
56, Private, Assoc-voc, Separated, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
78, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, Jamaica, <=50K
54, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,40, Laos, >50K
27, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Ireland, <=50K
60, State-gov, HS-grad, Separated, Machine-op-inspct, Husband, White, Male,2399,0,45, Hong, <=50K
26, Private, Bachelors, Separated, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Jamaica, <=50K
49, Local-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1902,60, Cuba, >50K
22, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,60, Iran, <=50K
30, Private, 9th, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,54, India, >50K
50, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, Iran, >50K
57, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Honduras, <=50K
49, State-gov, Bachelors, Divorced, Exec-managerial, Unmarried, Other, Male,0,0,40, Portugal, <=50K
39, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
51, Private, Assoc-acdm, Separated, Other-service, Unmarried, Black, Female,0,0,20, United-States, <=50K
26, Private, Some-college, Never-married, Exec-managerial, Other-relative, Other, Male,0,0,40, Japan, <=50K
37, Private, Bachelors, Separated, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
22, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,24, Vietnam, <=50K
41, Private, HS-grad, Divorced, Craft-repair, Unmarried, Black, Female,0,0,40, Hungary, <=50K
62, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
40, Private, HS-grad, Separated, Adm-clerical, Wife, Other, Male,4618,0,23, China, <=50K
27, Private, 11th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,5178,0,60, Trinadad&Tobago, >50K
48, Federal-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2249,40, Cuba, >50K
44, Private, HS-grad, Never-married, Tech-support, Not-in-family, Asian-Pac-Islander, Female,0,0,30, United-States, <=50K
