35, Self-emp-inc, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Hungary, <=50K
35, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
17, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,20, Nicaragua, <=50K
44, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,46, Portugal, <=50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,46, Puerto-Rico, <=50K
45, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Hungary, <=50K
25, Private, Bachelors, Never-married, Machine-op-inspct, Unmarried, Other, Female,0,0,35, Haiti, <=50K
40, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
43, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Male,0,0,45, United-States, >50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,9053,0,40, United-States, >50K
22, Private, Some-college, Never-married, Protective-serv, Own-child, Amer-Indian-Eskimo, Male,0,0,25, Laos, <=50K
45, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
34, Private, Assoc-voc, Divorced, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, >50K
27, Local-gov, 11th, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,35, Hong, <=50K
44, Local-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,48, United-States, <=50K
32, Local-gov, HS-grad, Separated, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
40, Self-emp-inc, Assoc-voc, Widowed, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Self-emp-not-inc, Masters, Married-civ-spouse, Armed-Forces, Husband, White, Female,0,0,40, Yugoslavia, <=50K
38, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Hong, >50K
45, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Honduras, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,23, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,12292,0,40, United-States, >50K
41, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Hong, >50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
40, Private, HS-grad, Divorced, Exec-managerial, Husband, Black, Female,0,0,40, United-States, >50K
27, Private, Masters, Never-married, Transport-moving, Not-in-family, White, Male,0,0,30, United-States, >50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, 11th, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, Italy, <=50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,52, Cuba, >50K
38, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,40, Yugoslavia, >50K
39, Private, HS-grad, Never-married, Prof-specialty, Husband, Asian-Pac-Islander, Female,10542,0,40, United-States, >50K
23, Private, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
41, Private, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,10549,0,40, United-States, >50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
42, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
37, Private, 1st-4th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Portugal, <=50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,7687,0,40, Poland, <=50K
31, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, United-States, <=50K
44, Private, HS-grad, Never-married, Exec-managerial, Other-relative, White, Male,0,0,50, United-States, >50K
36, Private, 11th, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,40, Greece, <=50K
33, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,38, India, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Other, Male,0,0,20, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Own-child, Black, Male,0,0,40, Hungary, <=50K
40, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, South, <=50K
17, Private, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,20, United-States, <=50K
37, Private, 7th-8th, Married-civ-spouse, Transport-moving, Not-in-family, Black, Female,0,0,40, Dominican-Republic, <=50K
41, Self-emp-inc, Some-college, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, Hong, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
17, Private, HS-grad, Never-married, Other-service, Own-child, Other, Female,0,0,20, United-States, <=50K
40, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
38, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,10562,0,40, Germany, <=50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, El-Salvador, <=50K
18, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,20, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
44, Local-gov, Bachelors, Married-civ-spouse, Sales, Not-in-family, Black, Male,7744,0,49, Poland, >50K
28, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, Puerto-Rico, <=50K
17, Private, Doctorate, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,15024,0,38, Ecuador, <=50K
27, Private, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,40, Jamaica, <=50K
33, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
44, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
30, Self-emp-not-inc, Masters, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Never-married, Priv-house-serv, Husband, White, Female,0,0,40, United-States, <=50K
43, Private, Bachelors, Never-married, Tech-support, Husband, White, Female,0,0,48, Nicaragua, >50K
39, Private, 9th, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, France, >50K
39, Federal-gov, 11th, Married-civ-spouse, Sales, Not-in-family, White, Male,14817,0,40, United-States, <=50K
28, Self-emp-not-inc, HS-grad, Never-married, Machine-op-inspct, Wife, White, Male,0,0,35, United-States, >50K
41, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
31, Self-emp-inc, Masters, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
39, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Never-married, Sales, Husband, White, Female,0,0,40, Peru, <=50K
34, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,40, United-States, <=50K
36, Self-emp-not-inc, HS-grad, Separated, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
28, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
20, Without-pay, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,24, Puerto-Rico, <=50K
28, Private, Assoc-acdm, Divorced, Other-service, Not-in-family, Other, Male,0,0,40, Ireland, <=50K
37, Private, HS-grad, Separated, Protective-serv, Husband, White, Male,0,0,40, Taiwan, <=50K
41, Private, Some-college, Divorced, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
33, Private, Masters, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,9869,0,40, United-States, <=50K
32, Private, Bachelors, Never-married, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
38, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
40, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
27, Private, 7th-8th, Separated, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,30, United-States, <=50K
26, Private, HS-grad, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,30, Cuba, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
39, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
41, Private, Some-college, Never-married, Exec-managerial, Husband, Other, Female,0,0,40, United-States, <=50K
37, Local-gov, 12th, Never-married, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
39, Self-emp-inc, HS-grad, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Mexico, >50K
39, State-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,10601,0,40, United-States, <=50K
33, Private, 11th, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Portugal, <=50K
38, Private, Masters, Married-civ-spouse, Transport-moving, Own-child, White, Female,0,0,40, United-States, >50K
42, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, >50K
18, Self-emp-inc, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
18, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, France, >50K
27, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,30, Mexico, <=50K
40, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
32, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, >50K
39, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
41, Local-gov, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,24, United-States, <=50K
44, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,7773,0,48, France, <=50K
18, Self-emp-not-inc, Bachelors, Never-married, Craft-repair, Own-child, White, Female,0,0,20, United-States, <=50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,8917,0,40, United-States, >50K
44, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,50, Puerto-Rico, >50K
40, Self-emp-not-inc, HS-grad, Never-married, Sales, Husband, Other, Female,0,0,40, Hungary, <=50K
30, Private, Prof-school, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Protective-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Self-emp-not-inc, HS-grad, Separated, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
35, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Protective-serv, Other-relative, Other, Male,0,0,50, United-States, >50K
43, Private, 12th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Guatemala, <=50K
26, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,36, United-States, <=50K
41, Private, Assoc-acdm, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, >50K
26, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,30, United-States, <=50K
38, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, >50K
30, Private, 11th, Married-civ-spouse, Tech-support, Wife, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,8788,0,40, United-States, >50K
19, Private, Assoc-voc, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,22, India, <=50K
29, Private, HS-grad, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, >50K
34, Private, Doctorate, Separated, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
34, Private, 11th, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
39, Self-emp-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, United-States, <=50K
41, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, Thailand, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,24, Italy, <=50K
25, Local-gov, 11th, Never-married, Craft-repair, Unmarried, Other, Male,0,0,36, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, >50K
35, Private, Some-college, Never-married, Transport-moving, Husband, White, Female,0,0,40, United-States, <=50K
36, Private, Some-college, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,24, United-States, <=50K
26, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,35, India, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
27, Local-gov, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,38, United-States, <=50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
17, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, White, Male,7869,0,48, United-States, <=50K
17, Self-emp-not-inc, 11th, Never-married, Tech-support, Own-child, White, Male,0,0,20, Vietnam, <=50K
39, Self-emp-not-inc, HS-grad, Separated, Craft-repair, Husband, Black, Male,0,0,40, Cuba, <=50K
41, Private, Bachelors, Divorced, Exec-managerial, Husband, Black, Male,0,0,40, United-States, >50K
44, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
43, Private, Some-college, Divorced, Sales, Husband, White, Male,0,0,40, South, <=50K
43, Self-emp-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,42, France, <=50K
29, Private, Some-college, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, Trinadad&Tobago, <=50K
33, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, Bachelors, Separated, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Separated, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,7687,0,50, United-States, >50K
31, Self-emp-not-inc, 7th-8th, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,0,45, United-States, >50K
36, Private, Doctorate, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
43, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States, >50K
42, Self-emp-inc, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Cambodia, >50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,14083,0,40, United-States, >50K
42, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7687,0,40, United-States, >50K
36, Private, Some-college, Never-married, Sales, Wife, Black, Male,0,0,40, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,7687,0,49, Columbia, >50K
40, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, Other, Male,0,0,40, United-States, <=50K
41, Private, Some-college, Never-married, Craft-repair, Wife, Black, Male,0,0,40, United-States, <=50K
40, Self-emp-inc, HS-grad, Never-married, Exec-managerial, Wife, White, Male,10367,0,40, United-States, <=50K
37, Private, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Jamaica, >50K
41, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, >50K
30, Private, Some-college, Never-married, Prof-specialty, Wife, Black, Male,0,0,40, United-States, <=50K
43, Federal-gov, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,45, Cambodia, <=50K
43, Private, Masters, Married-civ-spouse, Craft-repair, Unmarried, Black, Male,7783,0,45, United-States, >50K
37, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Own-child, White, Female,0,0,40, Puerto-Rico, >50K
44, Private, 9th, Married-civ-spouse, Other-service, Wife, White, Male,7734,0,50, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,50, United-States, >50K
38, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,30, United-States, <=50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Tech-support, Not-in-family, White, Male,14083,0,38, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,24, Ecuador, <=50K
44, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,50, Poland, <=50K
43, Private, 9th, Never-married, Exec-managerial, Own-child, White, Male,0,0,48, United-States, >50K
44, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, United-States, <=50K
43, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
17, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
34, Private, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
42, State-gov, Doctorate, Never-married, Handlers-cleaners, Husband, White, Male,8764,0,40, Trinadad&Tobago, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Black, Male,0,0,20, United-States, <=50K
20, Private, 11th, Never-married, Other-service, Not-in-family, Other, Male,0,0,21, England, <=50K
26, Private, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,30, Peru, <=50K
37, Private, 12th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private, Some-college, Divorced, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,30, Philippines, <=50K
44, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, >50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,40, United-States, >50K
44, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Not-in-family, Other, Female,7687,0,50, United-States, >50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, 11th, Never-married, Machine-op-inspct, Wife, Asian-Pac-Islander, Female,0,0,24, United-States, <=50K
21, Private, 11th, Never-married, Exec-managerial, Own-child, Black, Male,0,0,25, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, Other, Female,0,0,40, Trinadad&Tobago, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
32, Private, Bachelors, Widowed, Adm-clerical, Own-child, White, Male,0,0,40, Columbia, <=50K
27, Private, 11th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,38, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
27, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,30, Ecuador, <=50K
41, Private, Preschool, Married-civ-spouse, Sales, Not-in-family, Black, Female,10548,0,40, United-States, <=50K
33, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private, Bachelors, Never-married, Other-service, Wife, White, Female,0,0,40, United-States, >50K
44, Private, HS-grad, Divorced, Transport-moving, Unmarried, Other, Female,0,0,50, India, >50K
43, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,45, United-States, <=50K
27, Private, HS-grad, Never-married, Sales, Unmarried, White, Female,0,0,30, South, <=50K
40, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,20, Mexico, <=50K
43, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,45, Cambodia, >50K
43, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,48, United-States, <=50K
28, Private, Doctorate, Never-married, Handlers-cleaners, Husband, Black, Male,0,0,40, Scotland, <=50K
