44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,70, United-States, >50K
51, Self-emp-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,5127,0,60, United-States, >50K
39, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
19, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,20, United-States, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,15024,0,40, United-States, >50K
22, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,25, United-States, <=50K
24, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,25, United-States, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,45, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,35, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
25, Private, 9th, Never-married, Craft-repair, Not-in-family, White, Male,0,0,80, United-States, >50K
47, Local-gov, Assoc-acdm, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, Puerto-Rico, <=50K
27, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,50, United-States, <=50K
45, Private, HS-grad, Divorced, Adm-clerical, Wife, Black, Female,0,0,16, United-States, <=50K
21, Private, Bachelors, Divorced, Handlers-cleaners, Own-child, White, Male,0,0,43, United-States, <=50K
30, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,65, United-States, <=50K
56, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Male,29378,0,54, United-States, >50K
65, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,15, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
37, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,2497,0,45, United-States, >50K
51, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Male,2452,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, Mexico, <=50K
32, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,24, United-States, <=50K
47, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,0,55, United-States, <=50K
23, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Tech-support, Unmarried, White, Female,0,0,50, United-States, >50K
47, Local-gov, Assoc-acdm, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,60, United-States, <=50K
36, Federal-gov, 9th, Divorced, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,0,40, United-States, >50K
22, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
27, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,8, United-States, <=50K
47, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,3107,0,40, United-States, <=50K
22, Self-emp-not-inc, HS-grad, Never-married, Armed-Forces, Own-child, White, Male,0,0,45, United-States, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
37, State-gov, Masters, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Other-relative, White, Male,0,0,25, United-States, <=50K
40, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,30, United-States, <=50K
38, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
43, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Male,0,0,50, United-States, <=50K
47, Private, Assoc-acdm, Married-spouse-absent, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
31, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,40, Mexico, <=50K
62, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,38, United-States, <=50K
19, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
29, State-gov, HS-grad, Never-married, Sales, Own-child, Black, Female,0,0,30, United-States, <=50K
27, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,50, United-States, <=50K
33, Local-gov, 12th, Never-married, Other-service, Unmarried, White, Female,0,0,25, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Black, Female,0,0,25, United-States, <=50K
28, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, 10th, Never-married, Prof-specialty, Own-child, Black, Male,0,0,40, United-States, <=50K
59, Local-gov, Masters, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,4071,0,40, United-States, >50K
34, Private, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
19, Self-emp-not-inc, Some-college, Never-married, Other-service, Not-in-family, Black, Male,0,0,20, United-States, <=50K
32, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
27, Private, Doctorate, Divorced, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, Black, Female,0,0,40, United-States, <=50K
22, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Male,0,0,18, United-States, >50K
45, Local-gov, 1st-4th, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,80, United-States, <=50K
23, Local-gov, 9th, Married-civ-spouse, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
38, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
58, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,16, United-States, <=50K
42, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
24, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, Masters, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
18, Private, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
35, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
34, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
22, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,20, United-States, <=50K
27, Private, Some-college, Never-married, Sales, Unmarried, White, Female,0,0,37, United-States, <=50K
62, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,7157,0,40, United-States, >50K
46, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
34, Private, Assoc-acdm, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, >50K
39, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,50, United-States, <=50K
49, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
44, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,70, United-States, >50K
37, Private, HS-grad, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Male,3949,0,45, United-States, >50K
55, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States, <=50K
32, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,38, United-States, <=50K
42, Private, HS-grad, Widowed, Transport-moving, Wife, White, Female,0,0,38, United-States, <=50K
34, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
29, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2009,40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
45, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
26, Local-gov, 5th-6th, Married-civ-spouse, Craft-repair, Wife, Other, Male,0,1887,40, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, >50K
31, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States, >50K
57, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
43, Federal-gov, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
52, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,1592,40, United-States, <=50K
21, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
21, State-gov, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,30, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, Mexico, <=50K
54, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Husband, White, Male,99999,0,60, United-States, >50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, >50K
66, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,3107,0,20, United-States, <=50K
28, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, Thailand, <=50K
40, Private, Some-college, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,30, United-States, >50K
37, Private, Some-college, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,40, United-States, >50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
28, Private, Masters, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,45, United-States, <=50K
34, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Self-emp-not-inc, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Yugoslavia, <=50K
43, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
39, Self-emp-inc, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, China, >50K
24, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
63, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,5178,0,40, United-States, >50K
34, Private, Some-college, Separated, Sales, Wife, Black, Female,0,0,20, United-States, <=50K
21, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Mexico, <=50K
53, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Black, Female,0,0,25, United-States, >50K
23, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
27, Private, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
35, State-gov, Prof-school, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
25, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
55, Federal-gov, Masters, Widowed, Other-service, Wife, White, Male,0,0,35, China, <=50K
33, Private, Masters, Divorced, Adm-clerical, Unmarried, White, Female,0,0,50, United-States, <=50K
22, Self-emp-not-inc, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,16, United-States, <=50K
39, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,54, United-States, <=50K
28, Private, Assoc-voc, Never-married, Prof-specialty, Unmarried, White, Female,4527,0,50, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
40, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, 11th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,24, United-States, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
26, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
32, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
23, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
19, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, White, Male,0,0,50, United-States, <=50K
18, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,20, United-States, <=50K
55, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, United-States, <=50K
23, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Separated, Protective-serv, Unmarried, Black, Male,0,0,60, United-States, >50K
27, Private, 9th, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,60, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
21, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,25, United-States, <=50K
30, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States, <=50K
27, Self-emp-not-inc, Bachelors, Divorced, Farming-fishing, Wife, White, Female,0,0,48, United-States, >50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
57, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, >50K
62, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,52, United-States, <=50K
33, Private, Bachelors, Never-married, Exec-managerial, Wife, Black, Male,0,0,45, United-States, <=50K
60, Private, 9th, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,40, United-States, <=50K
49, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, United-States, >50K
38, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,65, United-States, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,24, Philippines, <=50K
44, Private, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
49, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
60, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
41, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,54, United-States, <=50K
30, Private, Masters, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,65, United-States, <=50K
31, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
30, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,20, United-States, <=50K
31, Private, HS-grad, Divorced, Tech-support, Unmarried, Black, Female,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,70, United-States, <=50K
25, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
64, Self-emp-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
42, Private, 9th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,54, United-States, <=50K
34, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,25, Ecuador, <=50K
25, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,45, United-States, <=50K
42, Self-emp-not-inc, Preschool, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,44, United-States, <=50K
47, Federal-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
41, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,54, United-States, <=50K
31, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,50, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
30, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
51, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
48, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,35, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Masters, Never-married, Adm-clerical, Wife, Black, Female,0,0,40, United-States, <=50K
37, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,0,0,50, United-States, <=50K
