28, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Poland, <=50K
34, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,2777,0,54, United-States, >50K
52, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Female,0,0,15, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, 1st-4th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
56, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
37, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, >50K
34, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,35, United-States, <=50K
31, Private, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,25, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,38, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
29, Federal-gov, Some-college, Never-married, Craft-repair, Unmarried, White, Male,0,0,60, United-States, <=50K
32, Private, 9th, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
60, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
39, Private, Bachelors, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
49, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
19, Private, 11th, Never-married, Adm-clerical, Own-child, Other, Female,0,0,20, Puerto-Rico, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Wife, Black, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Divorced, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
30, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,52, United-States, <=50K
31, Private, HS-grad, Never-married, Transport-moving, Unmarried, Black, Female,0,0,42, United-States, <=50K
35, Private, Bachelors, Separated, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,54, United-States, <=50K
47, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, >50K
19, Private, 11th, Never-married, Tech-support, Own-child, White, Female,0,0,30, Laos, <=50K
27, Private, Some-college, Never-married, Handlers-cleaners, Wife, White, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1895,45, United-States, >50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,12, United-States, <=50K
57, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
62, Local-gov, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,35, Outlying-US(Guam-USVI-etc), >50K
21, Private, Some-college, Never-married, Handlers-cleaners, Wife, White, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,70, United-States, <=50K
57, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
43, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,40, United-States, <=50K
35, Private, HS-grad, Never-married, Protective-serv, Other-relative, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,25, Mexico, <=50K
69, Self-emp-not-inc, HS-grad, Separated, Priv-house-serv, Wife, White, Female,0,0,20, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,30, United-States, <=50K
43, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
32, Private, Prof-school, Never-married, Handlers-cleaners, Husband, White, Male,0,0,20, United-States, <=50K
27, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Male,0,0,42, United-States, >50K
45, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, >50K
21, Local-gov, 11th, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
21, Self-emp-inc, HS-grad, Never-married, Prof-specialty, Wife, White, Male,0,0,45, United-States, >50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,30, United-States, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,55, United-States, <=50K
32, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
68, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,2211,40, United-States, <=50K
28, State-gov, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,10454,0,40, United-States, >50K
43, Self-emp-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
29, State-gov, Masters, Never-married, Exec-managerial, Not-in-family, White, Male,12574,0,40, United-States, <=50K
55, Without-pay, Masters, Widowed, Prof-specialty, Husband, White, Male,4065,0,40, United-States, <=50K
23, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Widowed, Sales, Not-in-family, White, Male,0,0,25, United-States, <=50K
30, Private, Some-college, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,60, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,6, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,10, United-States, <=50K
43, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Wife, White, Female,15024,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,70, United-States, >50K
40, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Mexico, >50K
21, State-gov, Prof-school, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
41, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, State-gov, HS-grad, Never-married, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
32, Private, Some-college, Separated, Adm-clerical, Not-in-family, White, Female,0,0,37, United-States, <=50K
37, Local-gov, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
44, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Male,7687,0,40, United-States, >50K
26, State-gov, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, 10th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,45, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,16, United-States, >50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
19, Private, Masters, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States, <=50K
62, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,2615,0,25, United-States, <=50K
47, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
67, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
39, Local-gov, 12th, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,65, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
53, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,1902,60, United-States, >50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, United-States, >50K
52, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1935,40, United-States, >50K
44, Private, Some-college, Divorced, Exec-managerial, Husband, White, Male,0,1683,60, United-States, >50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
29, Private, Some-college, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,30, United-States, <=50K
26, State-gov, Bachelors, Never-married, Machine-op-inspct, Wife, Asian-Pac-Islander, Female,0,0,30, United-States, <=50K
50, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States, <=50K
32, Self-emp-not-inc, Bachelors, Separated, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
26, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,25, United-States, <=50K
31, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
35, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
50, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States, <=50K
90, Private, 7th-8th, Widowed, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,35, United-States, <=50K
29, State-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
37, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, >50K
41, Private, HS-grad, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,48, United-States, <=50K
51, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,42, United-States, >50K
21, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
35, Private, Doctorate, Separated, Transport-moving, Unmarried, White, Male,0,1993,70, United-States, <=50K
30, Private, 10th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
47, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,99999,0,20, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
49, Private, HS-grad, Separated, Craft-repair, Unmarried, Black, Female,0,0,40, United-States, <=50K
36, State-gov, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,38, United-States, <=50K
60, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
26, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, White, Male,0,0,30, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, >50K
45, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Prof-school, Never-married, Transport-moving, Not-in-family, White, Female,0,0,48, United-States, <=50K
35, Private, Some-college, Separated, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
32, Private, Some-college, Never-married, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
57, Self-emp-inc, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Private, Some-college, Never-married, Prof-specialty, Other-relative, Black, Male,0,0,40, United-States, >50K
57, Federal-gov, Bachelors, Divorced, Sales, Not-in-family, White, Male,0,0,20, United-States, <=50K
44, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,80, United-States, >50K
61, Private, Some-college, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,24, United-States, <=50K
49, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States, <=50K
32, State-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, Jamaica, >50K
21, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,20, United-States, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, United-States, <=50K
35, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,16, Philippines, <=50K
39, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, <=50K
76, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
42, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
43, Private, Masters, Separated, Machine-op-inspct, Not-in-family, White, Male,0,0,54, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, >50K
48, Private, Bachelors, Divorced, Sales, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
51, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
36, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,30, Canada, <=50K
38, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,1887,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,1726,45, United-States, <=50K
51, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,44, Guatemala, <=50K
68, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,38, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,50, United-States, <=50K
59, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
37, State-gov, Some-college, Divorced, Craft-repair, Own-child, White, Female,0,0,20, United-States, <=50K
62, Private, Some-college, Widowed, Priv-house-serv, Wife, Black, Female,0,0,24, United-States, <=50K
29, Federal-gov, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, China, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,50, United-States, >50K
27, Self-emp-not-inc, 11th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,48, United-States, <=50K
59, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, >50K
27, Private, Assoc-voc, Married-civ-spouse, Sales, Own-child, White, Male,0,0,60, United-States, <=50K
31, Private, HS-grad, Divorced, Farming-fishing, Unmarried, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Other-relative, White, Female,0,0,30, United-States, <=50K
22, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
37, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Philippines, >50K
59, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
31, Private, Assoc-acdm, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
20, Private, Assoc-acdm, Never-married, Craft-repair, Own-child, White, Female,0,0,30, United-States, <=50K
35, Self-emp-not-inc, Masters, Divorced, Protective-serv, Not-in-family, White, Male,0,0,45, United-States, <=50K
22, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,70, United-States, <=50K
61, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,12, United-States, <=50K
43, Self-emp-inc, Bachelors, Never-married, Sales, Husband, White, Male,7687,0,60, United-States, >50K
55, Private, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Mexico, <=50K
23, Private, Bachelors, Never-married, Tech-support, Own-child, White, Male,0,0,45, United-States, <=50K
25, Private, 9th, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
37, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,38, United-States, >50K
54, Private, Assoc-acdm, Separated, Prof-specialty, Unmarried, White, Female,0,0,45, United-States, >50K
57, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Wife, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States, <=50K
55, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,1902,16, United-States, >50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,40, United-States, <=50K
45, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Guatemala, <=50K
27, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,20, United-States, <=50K
28, Local-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
43, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
68, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, United-States, >50K
27, Private, HS-grad, Divorced, Tech-support, Unmarried, Other, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
65, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,7687,0,10, United-States, >50K
30, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,15, United-States, <=50K
21, Private, 11th, Never-married, Craft-repair, Other-relative, White, Female,0,0,40, United-States, <=50K
35, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,25, China, <=50K
55, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
36, Private, HS-grad, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
73, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
19, Federal-gov, 11th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,30, United-States, <=50K
44, Private, Some-college, Never-married, Sales, Wife, White, Female,0,1887,40, United-States, >50K
36, Private, Some-college, Divorced, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
35, Private, HS-grad, Separated, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Protective-serv, Own-child, White, Female,0,0,40, United-States, <=50K
68, Local-gov, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,2905,0,20, United-States, <=50K
22, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
23, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Female,4386,0,40, United-States, <=50K
40, Private, Some-college, Separated, Adm-clerical, Wife, Black, Female,0,0,30, United-States, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, United-States, <=50K
51, Private, HS-grad, Separated, Craft-repair, Unmarried, Black, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
