28, Private, Masters, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, Hungary, <=50K
59, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Greece, >50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,60, United-States, <=50K
23, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Male,0,0,35, United-States, >50K
50, Federal-gov, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
48, Federal-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
33, Private, Some-college, Never-married, Handlers-cleaners, Husband, White, Female,0,0,45, United-States, <=50K
60, Private, Bachelors, Married-civ-spouse, Sales, Husband, Other, Male,0,0,60, Guatemala, <=50K
53, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, >50K
19, State-gov, Bachelors, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,12, United-States, <=50K
33, Private, Some-college, Divorced, Handlers-cleaners, Own-child, White, Female,0,0,38, United-States, <=50K
49, Self-emp-not-inc, Doctorate, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, Hungary, >50K
61, Local-gov, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Female,15024,0,38, United-States, >50K
31, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,90, United-States, <=50K
34, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,3325,0,45, United-States, <=50K
26, Self-emp-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,1457,0,50, United-States, <=50K
17, State-gov, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,20, United-States, <=50K
57, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
26, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,80, United-States, >50K
34, Private, Assoc-voc, Never-married, Exec-managerial, Husband, White, Male,0,0,50, Hong, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Assoc-acdm, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,30, United-States, >50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
42, State-gov, Bachelors, Never-married, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
24, Private, 11th, Never-married, Tech-support, Unmarried, White, Male,0,0,25, United-States, <=50K
47, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,2278,40, United-States, >50K
44, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,9, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, Italy, >50K
21, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,50, United-States, <=50K
22, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
31, Private, 11th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
62, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Unmarried, Black, Female,0,0,40, United-States, <=50K
52, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
50, Private, Some-college, Widowed, Sales, Own-child, White, Female,0,0,35, Jamaica, <=50K
38, Local-gov, 9th, Never-married, Craft-repair, Unmarried, Other, Male,4927,0,50, United-States, <=50K
46, Local-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
34, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
35, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
61, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,35, United-States, >50K
18, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,1902,50, Italy, >50K
68, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,27060,0,50, United-States, >50K
37, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
48, Local-gov, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,45, United-States, <=50K
25, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
32, Private, Some-college, Never-married, Transport-moving, Unmarried, White, Male,0,0,35, United-States, <=50K
46, Self-emp-not-inc, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,60, Vietnam, <=50K
52, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,40, Cuba, <=50K
28, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,36, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, Trinadad&Tobago, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, Greece, <=50K
47, Private, Some-college, Separated, Exec-managerial, Unmarried, White, Female,0,0,35, United-States, <=50K
23, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
42, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
56, Private, Some-college, Widowed, Exec-managerial, Unmarried, Black, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
26, Self-emp-not-inc, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,53, United-States, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1902,60, United-States, >50K
75, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,3399,0,40, Yugoslavia, <=50K
32, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
18, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,20, Cambodia, <=50K
28, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,11247,0,50, United-States, >50K
34, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,15024,0,40, United-States, >50K
50, Local-gov, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,2445,0,50, United-States, >50K
48, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,45, United-States, >50K
51, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, >50K
34, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States, >50K
23, Private, Some-college, Never-married, Farming-fishing, Unmarried, Other, Male,0,0,40, United-States, <=50K
34, Self-emp-inc, Some-college, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,0,40, United-States, <=50K
28, Private, Assoc-voc, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Iran, <=50K
58, State-gov, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,38, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Other, Male,0,0,50, United-States, <=50K
39, Federal-gov, Some-college, Married-spouse-absent, Other-service, Husband, White, Male,0,0,40, Cambodia, <=50K
55, Private, Some-college, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,54, United-States, >50K
39, State-gov, 7th-8th, Divorced, Exec-managerial, Other-relative, White, Female,0,0,40, United-States, <=50K
77, Private, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,20, Taiwan, >50K
42, Private, Doctorate, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,1548,44, United-States, <=50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,60, United-States, <=50K
28, Private, HS-grad, Never-married, Craft-repair, Other-relative, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
28, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
38, Self-emp-inc, Some-college, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,50, El-Salvador, >50K
27, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, South, <=50K
51, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, United-States, <=50K
62, State-gov, HS-grad, Divorced, Other-service, Own-child, White, Female,0,0,6, United-States, <=50K
25, Private, Some-college, Never-married, Protective-serv, Own-child, White, Male,0,0,20, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,1612,50, United-States, <=50K
58, State-gov, HS-grad, Widowed, Other-service, Not-in-family, White, Male,0,0,35, Trinadad&Tobago, <=50K
29, Self-emp-not-inc, Bachelors, Never-married, Sales, Husband, Black, Male,0,0,44, United-States, >50K
56, Local-gov, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Germany, >50K
21, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
62, Local-gov, 7th-8th, Married-spouse-absent, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, <=50K
24, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,30, United-States, <=50K
25, State-gov, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, >50K
25, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,40, United-States, >50K
31, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
54, Private, Bachelors, Widowed, Other-service, Wife, Asian-Pac-Islander, Female,0,0,12, United-States, <=50K
53, Self-emp-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, <=50K
64, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,3454,0,25, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,1672,40, United-States, <=50K
26, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,38, Dominican-Republic, <=50K
36, Private, 7th-8th, Never-married, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
37, Private, Bachelors, Divorced, Sales, Not-in-family, White, Female,0,0,60, United-States, <=50K
21, Local-gov, Some-college, Never-married, Prof-specialty, Other-relative, White, Male,0,0,40, Germany, <=50K
28, Private, Masters, Never-married, Sales, Unmarried, Black, Female,15024,0,40, United-States, <=50K
57, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Female,7687,0,30, United-States, >50K
24, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,30, United-States, <=50K
31, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,48, United-States, >50K
68, Private, Prof-school, Divorced, Transport-moving, Not-in-family, White, Female,0,0,25, Japan, >50K
34, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
44, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,60, United-States, <=50K
34, Private, Assoc-acdm, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, Ireland, <=50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Canada, >50K
52, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,1902,50, South, <=50K
61, Self-emp-not-inc, Some-college, Widowed, Farming-fishing, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2417,60, United-States, >50K
48, Private, Some-college, Separated, Prof-specialty, Wife, White, Female,0,0,50, United-States, >50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Hungary, <=50K
