36, Private, HS-grad, Divorced, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, Puerto-Rico, <=50K
23, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
59, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, >50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, >50K
45, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,40, United-States, >50K
30, Private, Bachelors, Never-married, Protective-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, Assoc-voc, Widowed, Other-service, Own-child, Black, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,1591,40, Mexico, <=50K
49, Self-emp-inc, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
30, State-gov, HS-grad, Never-married, Sales, Not-in-family, Black, Female,0,0,48, United-States, <=50K
55, Private, Prof-school, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
61, Federal-gov, 12th, Widowed, Other-service, Unmarried, White, Female,0,0,20, United-States, <=50K
27, Private, HS-grad, Never-married, Exec-managerial, Own-child, Black, Male,0,0,45, United-States, <=50K
31, State-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,9137,0,40, United-States, <=50K
28, Private, 10th, Never-married, Protective-serv, Not-in-family, Other, Male,0,0,40, United-States, <=50K
67, Local-gov, HS-grad, Divorced, Tech-support, Not-in-family, White, Female,0,0,20, United-States, <=50K
44, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,48, United-States, <=50K
20, Private, Some-college, Never-married, Other-service, Not-in-family, Black, Male,0,0,20, United-States, <=50K
25, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,15, United-States, <=50K
39, Private, Masters, Married-spouse-absent, Prof-specialty, Unmarried, White, Female,0,0,54, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, United-States, >50K
48, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, >50K
53, Federal-gov, 11th, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
59, Federal-gov, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,25, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,2453,0,46, United-States, <=50K
19, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,27, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,3103,0,40, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,35, United-States, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
32, Self-emp-not-inc, Bachelors, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
33, State-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
45, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
21, Private, HS-grad, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0,0,70, United-States, >50K
34, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
57, Private, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1848,40, United-States, >50K
38, State-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, Assoc-acdm, Divorced, Sales, Wife, White, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,2891,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
24, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, >50K
32, Private, HS-grad, Never-married, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, 10th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Female,0,0,36, United-States, <=50K
46, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, United-States, <=50K
27, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
22, Local-gov, 11th, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,43, United-States, <=50K
42, Local-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,37, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, Some-college, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Other, Male,0,1858,30, United-States, <=50K
30, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,34, United-States, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,24, United-States, <=50K
23, Federal-gov, Bachelors, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Farming-fishing, Own-child, White, Male,0,0,10, United-States, <=50K
17, Private, 12th, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
70, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,2439,0,40, United-States, <=50K
18, Self-emp-not-inc, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,16, United-States, <=50K
68, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,30, Haiti, <=50K
29, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
46, Private, Bachelors, Divorced, Adm-clerical, Other-relative, White, Female,0,0,50, United-States, <=50K
57, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,44, United-States, <=50K
74, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
24, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, Masters, Widowed, Other-service, Unmarried, Black, Female,0,0,35, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,2646,0,50, United-States, >50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2412,60, United-States, >50K
34, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,0,50, United-States, >50K
35, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Yugoslavia, <=50K
28, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,60, United-States, <=50K
40, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,45, China, <=50K
39, Self-emp-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, United-States, >50K
21, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,2054,0,50, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Tech-support, Own-child, White, Male,0,0,40, United-States, >50K
35, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,2188,0,50, Guatemala, <=50K
65, Private, Doctorate, Separated, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States, <=50K
71, Private, Some-college, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Male,1471,0,40, United-States, <=50K
34, Private, 7th-8th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
60, State-gov, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Sales, Wife, White, Female,0,0,40, United-States, <=50K
39, Federal-gov, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Cuba, >50K
35, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,5178,0,50, United-States, >50K
25, Private, 12th, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
27, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
49, Private, Assoc-voc, Divorced, Prof-specialty, Unmarried, White, Male,3018,0,54, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, >50K
38, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,25, United-States, <=50K
25, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,20,0,40, United-States, <=50K
18, Private, 10th, Never-married, Prof-specialty, Own-child, White, Female,0,0,2, United-States, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,24, Mexico, <=50K
25, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
43, Private, Assoc-voc, Widowed, Exec-managerial, Unmarried, White, Female,0,0,50, United-States, >50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
60, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,48, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,8, United-States, <=50K
26, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
51, State-gov, HS-grad, Never-married, Other-service, Unmarried, White, Male,3519,0,40, United-States, >50K
17, Private, 10th, Never-married, Sales, Own-child, White, Male,0,0,15, United-States, <=50K
44, Private, 11th, Never-married, Other-service, Not-in-family, White, Female,0,0,4, Puerto-Rico, <=50K
62, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,2414,30, United-States, <=50K
39, Local-gov, 9th, Married-civ-spouse, Protective-serv, Wife, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,44, United-States, <=50K
31, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,0,35, United-States, <=50K
89, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
43, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,3450,0,60, United-States, >50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,30, United-States, <=50K
18, Private, 11th, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, >50K
42, Private, Bachelors, Widowed, Adm-clerical, Own-child, White, Male,0,1981,60, Nicaragua, <=50K
22, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
53, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1703,40, United-States, <=50K
43, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,7393,0,40, United-States, >50K
59, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,1977,50, United-States, <=50K
35, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,35, United-States, <=50K
47, Private, HS-grad, Never-married, Other-service, Wife, White, Female,0,0,20, United-States, >50K
51, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,65, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,1977,35, United-States, <=50K
50, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
18, Private, 11th, Never-married, Exec-managerial, Own-child, White, Female,0,0,15, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Cuba, <=50K
53, Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,45, United-States, <=50K
24, Private, HS-grad, Never-married, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, <=50K
33, Federal-gov, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,5013,0,60, United-States, >50K
70, Self-emp-not-inc, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,16, United-States, <=50K
41, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,54, United-States, >50K
70, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Wife, White, Female,0,0,4, United-States, <=50K
50, Private, Masters, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Sales, Wife, White, Female,0,0,50, United-States, >50K
44, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,45, United-States, <=50K
89, Self-emp-not-inc, 7th-8th, Widowed, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
