26, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,8895,0,50, Dominican-Republic, >50K
33, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, England, <=50K
47, Private, Some-college, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,50, Haiti, <=50K
19, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,50, Honduras, <=50K
45, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,45, El-Salvador, >50K
56, Private, Bachelors, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
32, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,0,0,35, Philippines, <=50K
34, Local-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,50, Nicaragua, <=50K
28, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,1568,40, Nicaragua, <=50K
58, Private, Some-college, Divorced, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Germany, <=50K
22, Private, Bachelors, Never-married, Machine-op-inspct, Husband, White, Male,0,0,38, Peru, <=50K
58, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Scotland, >50K
39, Federal-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, France, <=50K
45, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, India, >50K
35, Local-gov, HS-grad, Separated, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
34, Self-emp-not-inc, Bachelors, Separated, Prof-specialty, Unmarried, Other, Male,0,0,72, Mexico, <=50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, Hungary, >50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, Yugoslavia, <=50K
45, Local-gov, Bachelors, Married-civ-spouse, Farming-fishing, Not-in-family, Other, Male,0,0,50, Dominican-Republic, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, El-Salvador, <=50K
36, Self-emp-not-inc, Bachelors, Separated, Prof-specialty, Unmarried, Black, Female,0,0,44, Ireland, <=50K
27, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, Other, Female,0,0,40, Poland, <=50K
26, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,60, Dominican-Republic, >50K
29, Private, 11th, Never-married, Transport-moving, Own-child, Other, Female,0,0,48, Mexico, <=50K
23, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Mexico, >50K
29, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
47, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, United-States, <=50K
35, Private, 9th, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,40, El-Salvador, <=50K
41, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, Canada, >50K
55, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Female,0,0,8, Yugoslavia, >50K
22, Private, Some-college, Never-married, Protective-serv, Own-child, Amer-Indian-Eskimo, Female,0,0,15, United-States, >50K
61, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,30, Guatemala, <=50K
41, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Scotland, >50K
19, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,40, Honduras, <=50K
21, Private, Bachelors, Never-married, Farming-fishing, Other-relative, Asian-Pac-Islander, Female,0,0,44, Taiwan, <=50K
44, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,38, Mexico, <=50K
48, Private, Assoc-voc, Never-married, Adm-clerical, Husband, White, Male,0,0,40, Ireland, <=50K
19, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,30, Germany, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, Greece, <=50K
41, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,2439,45, Japan, >50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,30, Nicaragua, <=50K
37, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
41, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,14721,0,40, Mexico, <=50K
71, Private, Bachelors, Divorced, Craft-repair, Unmarried, Other, Female,0,0,15, El-Salvador, <=50K
41, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,2240,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male,0,0,50, Dominican-Republic, <=50K
48, Private, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
39, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, >50K
45, Local-gov, Assoc-voc, Never-married, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
30, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
62, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Hong, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,30, Jamaica, >50K
37, Private, Bachelors, Divorced, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,3443,0,50, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,54, Cuba, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,70, China, <=50K
26, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, Other, Female,0,0,40, India, <=50K
27, Private, Some-college, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
36, Local-gov, HS-grad, Divorced, Tech-support, Unmarried, Asian-Pac-Islander, Male,0,0,40, Haiti, <=50K
38, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Other, Male,0,0,40, Haiti, <=50K
17, Private, 11th, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,15, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, Amer-Indian-Eskimo, Female,5552,0,45, China, <=50K
34, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, England, <=50K
31, Private, Bachelors, Never-married, Prof-specialty, Own-child, Other, Female,0,0,60, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
27, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, Masters, Never-married, Prof-specialty, Husband, Other, Female,0,0,40, Trinadad&Tobago, <=50K
28, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,10, Greece, <=50K
37, Local-gov, Assoc-voc, Divorced, Prof-specialty, Not-in-family, Black, Male,4765,0,74, Columbia, >50K
33, Federal-gov, Assoc-voc, Never-married, Protective-serv, Not-in-family, Other, Female,0,0,50, Mexico, <=50K
53, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Unmarried, White, Male,5075,0,45, United-States, >50K
50, Private, Some-college, Divorced, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, South, <=50K
20, Private, HS-grad, Married-spouse-absent, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, <=50K
33, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Other, Female,0,0,12, France, <=50K
34, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
63, Self-emp-not-inc, HS-grad, Separated, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, >50K
27, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, State-gov, Some-college, Separated, Prof-specialty, Not-in-family, White, Male,0,0,40, Honduras, <=50K
38, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, El-Salvador, <=50K
37, Private, HS-grad, Separated, Sales, Husband, Other, Male,0,0,60, Guatemala, <=50K
57, Private, Some-college, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,20, Taiwan, <=50K
44, Self-emp-not-inc, Some-college, Never-married, Other-service, Unmarried, White, Male,0,0,35, United-States, <=50K
73, Private, HS-grad, Widowed, Farming-fishing, Unmarried, White, Male,0,0,8, Poland, <=50K
35, Private, Bachelors, Never-married, Sales, Not-in-family, Black, Male,0,0,62, South, <=50K
23, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Own-child, Black, Male,0,0,38, Trinadad&Tobago, <=50K
28, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,45, Portugal, <=50K
42, Private, Assoc-voc, Never-married, Handlers-cleaners, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Divorced, Protective-serv, Unmarried, Amer-Indian-Eskimo, Male,0,0,42, China, <=50K
31, Self-emp-not-inc, HS-grad, Never-married, Handlers-cleaners, Unmarried, Other, Male,0,0,40, Taiwan, <=50K
58, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,20, Poland, <=50K
64, State-gov, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
35, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,65, Nicaragua, <=50K
24, Local-gov, Assoc-voc, Never-married, Prof-specialty, Own-child, White, Male,0,0,52, United-States, <=50K
55, Self-emp-inc, Masters, Widowed, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,25, England, <=50K
61, State-gov, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,40, Hungary, <=50K
43, Private, 1st-4th, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
26, Private, Some-college, Never-married, Tech-support, Not-in-family, Black, Female,0,0,20, Poland, >50K
23, Private, Some-college, Never-married, Prof-specialty, Own-child, Black, Female,0,0,18, Laos, <=50K
30, Self-emp-inc, Prof-school, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
49, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,48, Portugal, >50K
42, Private, Masters, Divorced, Other-service, Not-in-family, White, Male,0,0,30, Cuba, <=50K
35, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, Honduras, >50K
32, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Female,0,0,50, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Japan, >50K
35, Local-gov, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, India, <=50K
52, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Nicaragua, <=50K
31, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,54, Poland, <=50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
56, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Mexico, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,70, Honduras, >50K
63, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, Honduras, <=50K
51, Self-emp-not-inc, HS-grad, Separated, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,32, Dominican-Republic, <=50K
32, Local-gov, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, India, <=50K
21, Private, HS-grad, Never-married, Prof-specialty, Own-child, Black, Female,0,0,10, Laos, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,42, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Sales, Other-relative, Other, Female,0,0,40, Nicaragua, <=50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,0,0,40, Portugal, <=50K
64, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Ireland, >50K
23, Private, Assoc-acdm, Never-married, Craft-repair, Husband, White, Male,0,0,25, Dominican-Republic, <=50K
40, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,60, Vietnam, >50K
42, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,70, Hungary, >50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,38, Puerto-Rico, >50K
30, State-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,70, Laos, <=50K
62, Private, 7th-8th, Divorced, Tech-support, Unmarried, White, Male,0,0,35, Portugal, <=50K
43, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,40, Vietnam, <=50K
35, Private, Masters, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,65, Italy, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Female,0,0,40, El-Salvador, <=50K
46, Private, Some-college, Separated, Prof-specialty, Not-in-family, White, Male,0,0,35, Taiwan, <=50K
33, Private, Bachelors, Separated, Tech-support, Wife, Other, Male,0,0,50, Italy, <=50K
24, Private, 11th, Never-married, Other-service, Own-child, Black, Male,0,0,35, Jamaica, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Male,0,0,50, Portugal, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Peru, <=50K
73, Self-emp-not-inc, Some-college, Widowed, Adm-clerical, Not-in-family, Other, Female,0,0,40, Haiti, <=50K
45, Private, Some-college, Widowed, Sales, Not-in-family, White, Male,0,2434,40, England, <=50K
24, Local-gov, 11th, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,20, Ireland, <=50K
21, Private, Bachelors, Never-married, Sales, Not-in-family, Black, Male,0,0,37, Peru, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Female,0,0,38, Thailand, <=50K
29, Private, Some-college, Never-married, Transport-moving, Not-in-family, Black, Female,0,0,30, Puerto-Rico, <=50K
43, Private, Some-college, Separated, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,25, United-States, >50K
41, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, Nicaragua, >50K
27, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,40, El-Salvador, <=50K
48, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,42, Portugal, >50K
60, Federal-gov, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
26, Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Italy, <=50K
52, Private, Some-college, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,15, Hungary, <=50K
46, Private, Some-college, Never-married, Transport-moving, Unmarried, Other, Male,0,0,45, United-States, <=50K
35, State-gov, Bachelors, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,65, Canada, >50K
43, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,7687,0,50, Hungary, >50K
41, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, Haiti, <=50K
45, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Cuba, <=50K
24, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Own-child, Black, Male,0,0,40, Hong, <=50K
61, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Vietnam, <=50K
37, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,35, Philippines, <=50K
46, Private, Prof-school, Separated, Other-service, Husband, Asian-Pac-Islander, Male,0,0,10, United-States, <=50K
47, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,40, Italy, <=50K
24, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, Thailand, <=50K
32, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,65, Hungary, >50K
29, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,38, Yugoslavia, <=50K
31, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, Laos, <=50K
21, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,20, Cambodia, <=50K
23, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,38, Peru, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,1887,40, Honduras, >50K
47, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Mexico, >50K
40, Private, Some-college, Separated, Tech-support, Wife, Asian-Pac-Islander, Male,0,0,32, Nicaragua, <=50K
27, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Canada, >50K
38, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Trinadad&Tobago, <=50K
27, Private, Some-college, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
67, Self-emp-not-inc, Prof-school, Widowed, Machine-op-inspct, Own-child, Black, Male,0,0,40, Jamaica, <=50K
62, Local-gov, 7th-8th, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
42, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,60, United-States, >50K
17, Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,25, Vietnam, <=50K
29, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, Cambodia, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,30, Portugal, <=50K
33, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Mexico, <=50K
39, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,45, Guatemala, >50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,7587,0,54, Japan, <=50K
47, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,50, Philippines, >50K
64, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,20, Jamaica, <=50K
50, Private, Masters, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
35, Self-emp-inc, HS-grad, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,50, Puerto-Rico, <=50K
41, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, Other, Female,0,0,40, Jamaica, <=50K
51, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,4941,0,40, China, >50K
27, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, Black, Male,0,0,40, Haiti, <=50K
56, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,45, Trinadad&Tobago, >50K
41, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,48, United-States, <=50K
21, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, Ireland, <=50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, Jamaica, <=50K
41, Private, Assoc-voc, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, India, <=50K
43, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,60, Honduras, <=50K
31, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Ireland, <=50K
31, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,2167,54, Columbia, >50K
58, Private, Bachelors, Married-civ-spouse, Tech-support, Wife, Other, Male,0,0,30, Hungary, <=50K
27, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,50, Hungary, <=50K
35, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,1900,40, Hungary, >50K
32, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Male,2986,0,48, Haiti, <=50K
71, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,5, Peru, <=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,47, United-States, >50K
48, Private, Assoc-voc, Divorced, Other-service, Not-in-family, Black, Female,0,0,40, Thailand, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,1800,30, Ireland, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
43, Private, Assoc-voc, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
45, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Hong, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Japan, >50K
35, Private, HS-grad, Separated, Adm-clerical, Unmarried, Black, Male,0,0,40, China, <=50K
47, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,60, South, >50K
68, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Scotland, >50K
22, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Columbia, >50K
25, Private, Some-college, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
