26, Private, Bachelors, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,7687,0,50, Dominican-Republic, >50K
28, Private, Bachelors, Never-married, Exec-managerial, Own-child, Black, Female,0,0,35, El-Salvador, <=50K
18, Private, Assoc-voc, Never-married, Sales, Own-child, Black, Male,0,0,30, Dominican-Republic, <=50K
38, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Black, Female,0,0,40, Germany, <=50K
38, Private, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,50, Cambodia, <=50K
32, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,43, Canada, >50K
28, State-gov, Some-college, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,5, Yugoslavia, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,30, Thailand, <=50K
36, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,50, Puerto-Rico, <=50K
33, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, El-Salvador, <=50K
47, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Guatemala, <=50K
19, Private, Bachelors, Never-married, Protective-serv, Not-in-family, Other, Male,0,0,50, Guatemala, <=50K
45, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,45, Ecuador, <=50K
56, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
32, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,35, Nicaragua, <=50K
34, Local-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,50, Japan, <=50K
28, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,1671,40, Japan, <=50K
58, Private, Some-college, Divorced, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, France, <=50K
22, Private, Assoc-voc, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Laos, <=50K
58, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Philippines, <=50K
39, Local-gov, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,45, England, <=50K
45, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, Hong, >50K
35, Federal-gov, Masters, Separated, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
34, Self-emp-not-inc, Assoc-voc, Separated, Protective-serv, Unmarried, Other, Male,0,0,74, Japan, <=50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, Honduras, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, Yugoslavia, <=50K
45, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,0,0,50, Cuba, >50K
27, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
36, Private, Assoc-voc, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,45, India, <=50K
27, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, Other, Female,0,0,40, Nicaragua, <=50K
26, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,60, Cuba, >50K
30, Private, 10th, Never-married, Tech-support, Own-child, Other, Female,0,0,50, Jamaica, <=50K
23, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, >50K
29, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, South, >50K
47, Self-emp-inc, Prof-school, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Taiwan, <=50K
35, Private, 12th, Never-married, Craft-repair, Other-relative, Other, Female,0,0,40, Ecuador, <=50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, Canada, >50K
55, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, Other, Female,0,0,8, Yugoslavia, >50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,15, Taiwan, >50K
61, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,30, Germany, <=50K
41, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Philippines, >50K
19, Private, Some-college, Never-married, Tech-support, Not-in-family, Other, Female,0,0,40, Guatemala, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Other-relative, Asian-Pac-Islander, Female,0,0,45, Portugal, <=50K
44, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,40, Jamaica, <=50K
48, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, India, <=50K
19, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,30, France, <=50K
31, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, France, <=50K
41, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,2423,45, Italy, >50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,33, Laos, <=50K
37, Private, 11th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
41, Private, Bachelors, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,15024,0,40, Jamaica, <=50K
71, Private, Bachelors, Divorced, Handlers-cleaners, Own-child, Other, Female,0,0,15, Ecuador, <=50K
41, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,1997,0,42, Taiwan, <=50K
19, Private, Some-college, Never-married, Transport-moving, Own-child, Amer-Indian-Eskimo, Male,0,0,50, Cuba, <=50K
48, Private, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
39, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Scotland, >50K
45, Local-gov, Assoc-voc, Never-married, Tech-support, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
30, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
62, Private, Masters, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,30, Iran, >50K
37, Private, Bachelors, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Trinadad&Tobago, <=50K
21, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,3325,0,50, Trinadad&Tobago, <=50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,59, Columbia, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,70, China, <=50K
26, Private, Some-college, Never-married, Handlers-cleaners, Wife, Black, Male,0,0,40, Hong, <=50K
27, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
36, Private, HS-grad, Divorced, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,40, Guatemala, <=50K
37, State-gov, Masters, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,40, Greece, <=50K
17, Private, 11th, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,15, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Sales, Wife, Amer-Indian-Eskimo, Female,7298,0,45, Canada, <=50K
34, Private, HS-grad, Divorced, Craft-repair, Unmarried, Other, Female,0,0,40, El-Salvador, <=50K
32, Private, Bachelors, Never-married, Prof-specialty, Own-child, Other, Female,0,0,60, Taiwan, >50K
32, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, South, >50K
27, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
34, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,40, Puerto-Rico, <=50K
29, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,10, France, <=50K
38, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Black, Male,5010,0,73, Columbia, >50K
33, Federal-gov, Assoc-voc, Divorced, Protective-serv, Not-in-family, Black, Female,0,0,50, Jamaica, <=50K
53, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,5461,0,45, Thailand, >50K
50, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Portugal, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Iran, <=50K
33, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Female,0,0,40, Thailand, <=50K
50, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Black, Male,0,0,15, England, <=50K
34, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
63, Self-emp-not-inc, HS-grad, Married-spouse-absent, Craft-repair, Unmarried, White, Male,0,0,40, Thailand, >50K
27, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
37, Without-pay, Some-college, Separated, Prof-specialty, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
38, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,40, Ecuador, <=50K
37, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Male,0,0,60, Greece, <=50K
57, Private, Some-college, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,20, Portugal, >50K
44, Private, HS-grad, Divorced, Other-service, Unmarried, Other, Female,0,0,35, Taiwan, <=50K
73, Private, HS-grad, Widowed, Other-service, Unmarried, Other, Female,0,0,10, Outlying-US(Guam-USVI-etc), <=50K
35, Private, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,65, Poland, <=50K
23, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Own-child, Black, Female,0,0,39, Scotland, <=50K
28, Private, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,45, Peru, <=50K
42, Private, Assoc-voc, Separated, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
41, Private, HS-grad, Divorced, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,44, China, <=50K
31, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Black, Male,0,0,40, Portugal, <=50K
58, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,20, Outlying-US(Guam-USVI-etc), <=50K
64, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, India, >50K
34, Private, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,65, Japan, <=50K
24, Local-gov, 12th, Never-married, Prof-specialty, Own-child, White, Male,0,0,54, Taiwan, <=50K
55, Self-emp-inc, Some-college, Separated, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,28, El-Salvador, >50K
61, State-gov, Bachelors, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,40, Honduras, <=50K
43, Private, 10th, Divorced, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
26, Local-gov, Some-college, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Female,0,0,20, Nicaragua, >50K
23, Private, Some-college, Never-married, Other-service, Unmarried, Black, Female,0,0,20, Italy, <=50K
30, Private, Some-college, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
49, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,48, Outlying-US(Guam-USVI-etc), >50K
42, Private, Some-college, Divorced, Priv-house-serv, Not-in-family, White, Female,0,0,30, Columbia, <=50K
36, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Guatemala, >50K
31, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
59, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ireland, >50K
35, Private, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Honduras, <=50K
52, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
31, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Outlying-US(Guam-USVI-etc), <=50K
37, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, Columbia, <=50K
56, State-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,70, Haiti, >50K
63, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, Haiti, <=50K
51, Private, HS-grad, Separated, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,32, Dominican-Republic, <=50K
32, Local-gov, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,40, Hong, <=50K
21, Private, Masters, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,10, Italy, <=50K
37, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,45, Thailand, <=50K
29, Private, HS-grad, Married-civ-spouse, Sales, Own-child, Black, Female,0,0,40, Laos, <=50K
54, Self-emp-not-inc, Doctorate, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
64, Self-emp-not-inc, Some-college, Divorced, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
21, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, India, <=50K
23, Private, 11th, Never-married, Handlers-cleaners, Husband, White, Male,0,0,25, Cuba, <=50K
39, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,60, Vietnam, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,70, Honduras, >50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, Peru, >50K
30, State-gov, Masters, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,73, Italy, >50K
62, Private, 1st-4th, Divorced, Sales, Unmarried, White, Female,0,0,35, Peru, <=50K
43, Private, Masters, Separated, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Vietnam, <=50K
35, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,65, India, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Own-child, Other, Female,0,0,40, Ecuador, <=50K
46, Private, Some-college, Separated, Prof-specialty, Not-in-family, Other, Female,0,0,35, Portugal, >50K
33, Private, Bachelors, Never-married, Sales, Not-in-family, Other, Male,0,0,50, Iran, <=50K
24, Private, 10th, Never-married, Prof-specialty, Own-child, Black, Male,0,0,35, Iran, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, South, <=50K
22, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Male,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Mexico, <=50K
73, Self-emp-not-inc, Some-college, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, Guatemala, <=50K
42, Private, Some-college, Separated, Sales, Not-in-family, White, Female,0,2422,40, El-Salvador, <=50K
24, Private, 11th, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,20, India, <=50K
21, Private, Bachelors, Never-married, Protective-serv, Not-in-family, Black, Male,0,0,38, Mexico, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Female,0,0,40, Puerto-Rico, >50K
30, Private, Some-college, Never-married, Transport-moving, Not-in-family, Black, Female,0,0,30, Peru, <=50K
43, Private, Some-college, Separated, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,30, Taiwan, <=50K
41, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, Japan, >50K
27, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Ecuador, <=50K
48, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,44, Peru, >50K
60, Federal-gov, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Thailand, >50K
26, Private, 9th, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, India, <=50K
52, Private, Some-college, Separated, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,17, Honduras, <=50K
46, Private, Masters, Married-spouse-absent, Tech-support, Own-child, Other, Male,0,0,45, South, <=50K
35, State-gov, Bachelors, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,40, Yugoslavia, >50K
54, Self-emp-not-inc, Masters, Married-spouse-absent, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,65, Canada, >50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,7687,0,50, Honduras, >50K
41, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, >50K
46, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, Guatemala, <=50K
45, Private, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Columbia, <=50K
24, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Own-child, Black, Male,0,0,40, Haiti, <=50K
61, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Yugoslavia, <=50K
37, Private, Bachelors, Separated, Craft-repair, Own-child, Black, Female,0,0,35, Nicaragua, <=50K
46, Private, Some-college, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,10, Trinadad&Tobago, <=50K
47, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Iran, <=50K
24, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Puerto-Rico, <=50K
32, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,67, Honduras, >50K
29, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,38, Yugoslavia, <=50K
31, Private, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,40, Italy, <=50K
21, Private, Some-college, Never-married, Sales, Other-relative, White, Male,0,0,20, Cambodia, <=50K
23, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Laos, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,1887,40, Guatemala, >50K
47, Federal-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Jamaica, >50K
40, Private, Some-college, Separated, Tech-support, Wife, Amer-Indian-Eskimo, Male,0,0,35, Japan, <=50K
27, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Canada, <=50K
38, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Puerto-Rico, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Scotland, <=50K
67, Self-emp-inc, Some-college, Widowed, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, Iran, <=50K
62, Local-gov, 10th, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
41, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,60, South, >50K
17, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,27, Yugoslavia, <=50K
28, Federal-gov, Some-college, Separated, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Male,0,0,40, Cambodia, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,30, Outlying-US(Guam-USVI-etc), >50K
33, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Jamaica, <=50K
39, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Germany, >50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, White, Male,7298,0,54, Italy, <=50K
47, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,50, Mexico, >50K
64, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,20, Iran, <=50K
50, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
35, Self-emp-inc, Bachelors, Never-married, Tech-support, Not-in-family, Other, Male,0,0,50, Peru, >50K
41, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,40, Ireland, <=50K
51, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,5178,0,40, China, >50K
27, Private, Bachelors, Divorced, Adm-clerical, Own-child, Black, Female,0,0,40, Greece, <=50K
56, Self-emp-inc, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,45, Scotland, >50K
41, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,49, South, <=50K
21, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, India, <=50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, Other, Male,0,0,35, Iran, <=50K
41, Private, Assoc-voc, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Hong, <=50K
42, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,60, Guatemala, >50K
31, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, India, <=50K
30, Private, 11th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,1983,54, Columbia, <=50K
58, Private, HS-grad, Married-civ-spouse, Tech-support, Wife, Other, Male,0,0,30, Honduras, <=50K
27, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Honduras, <=50K
35, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,1887,40, Honduras, >50K
31, Private, Some-college, Divorced, Adm-clerical, Own-child, White, Female,1982,0,50, Greece, <=50K
73, Self-emp-not-inc, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,5, Mexico, >50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,48, South, >50K
48, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Puerto-Rico, <=50K
27, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,1864,30, Hungary, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Taiwan, <=50K
43, Private, Assoc-voc, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
45, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Haiti, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Ireland, >50K
35, Private, HS-grad, Separated, Adm-clerical, Unmarried, Black, Male,0,0,40, China, <=50K
46, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,60, Poland, >50K
