19, Private, Some-college, Never-married, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,25, Ecuador, <=50K
41, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, Puerto-Rico, >50K
53, Local-gov, Assoc-voc, Divorced, Adm-clerical, Unmarried, Other, Male,0,0,40, Peru, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, Peru, <=50K
41, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Wife, Amer-Indian-Eskimo, Male,0,0,50, Greece, >50K
56, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,44, Poland, >50K
50, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,55, Trinadad&Tobago, >50K
43, Federal-gov, Assoc-acdm, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,50, Germany, <=50K
57, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Black, Female,0,0,50, Ireland, <=50K
28, Local-gov, HS-grad, Separated, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Portugal, <=50K
22, Private, 12th, Separated, Other-service, Wife, Other, Male,694,0,4, Peru, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,80, India, <=50K
41, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Yugoslavia, <=50K
22, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Male,0,0,30, Dominican-Republic, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,36, El-Salvador, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, Jamaica, <=50K
25, Private, Some-college, Married-civ-spouse, Other-service, Own-child, Other, Female,0,0,35, Scotland, <=50K
34, State-gov, Bachelors, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, Dominican-Republic, >50K
59, Private, 10th, Divorced, Sales, Unmarried, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
62, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Peru, <=50K
24, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
57, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,1902,40, United-States, <=50K
64, Local-gov, 11th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, El-Salvador, <=50K
54, Private, HS-grad, Divorced, Protective-serv, Unmarried, Asian-Pac-Islander, Male,0,0,38, China, <=50K
22, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,40, Yugoslavia, <=50K
41, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,50, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
27, Private, Bachelors, Never-married, Prof-specialty, Wife, White, Male,0,0,40, Thailand, <=50K
24, Private, Bachelors, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,40, Hungary, >50K
32, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
28, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,20, Outlying-US(Guam-USVI-etc), <=50K
27, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Jamaica, >50K
50, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,30, Greece, <=50K
81, Private, 9th, Widowed, Other-service, Husband, White, Female,0,0,20, Guatemala, <=50K
45, Private, Some-college, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
54, Private, Some-college, Divorced, Adm-clerical, Unmarried, Other, Male,0,0,40, Peru, <=50K
47, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,35, Outlying-US(Guam-USVI-etc), <=50K
27, Private, HS-grad, Never-married, Craft-repair, Wife, White, Female,0,0,40, El-Salvador, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,70, United-States, <=50K
30, Private, HS-grad, Divorced, Tech-support, Unmarried, Asian-Pac-Islander, Male,0,0,40, Ecuador, <=50K
21, Private, HS-grad, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Guatemala, <=50K
58, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
19, Private, Assoc-acdm, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Female,0,0,40, China, <=50K
22, Private, Some-college, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,54, Ecuador, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, India, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,1738,50, Laos, >50K
33, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
18, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,18, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,40, Cuba, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,1979,12, Columbia, <=50K
59, Private, Some-college, Widowed, Handlers-cleaners, Wife, Other, Female,0,0,40, Ireland, <=50K
23, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
20, Local-gov, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,25, Hong, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Honduras, <=50K
22, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Female,0,0,25, United-States, <=50K
22, Private, HS-grad, Married-civ-spouse, Protective-serv, Own-child, Amer-Indian-Eskimo, Female,0,0,45, China, <=50K
36, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Male,0,0,40, France, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
26, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
48, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, United-States, >50K
32, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, Guatemala, <=50K
37, Local-gov, Assoc-acdm, Divorced, Other-service, Not-in-family, Black, Male,0,0,40, Columbia, <=50K
60, Local-gov, 7th-8th, Married-civ-spouse, Sales, Husband, Other, Male,15024,0,50, Outlying-US(Guam-USVI-etc), >50K
47, Self-emp-inc, Masters, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,50, United-States, >50K
20, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,27, United-States, <=50K
34, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,35, Laos, <=50K
23, Self-emp-inc, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,30, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,45, Germany, >50K
67, Self-emp-not-inc, Masters, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,50, Hong, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
58, State-gov, Some-college, Widowed, Sales, Not-in-family, White, Male,0,0,60, Hong, <=50K
18, Private, 11th, Married-civ-spouse, Other-service, Own-child, Black, Male,0,0,10, England, <=50K
32, Private, HS-grad, Never-married, Protective-serv, Husband, Other, Male,0,0,40, Haiti, <=50K
85, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Female,0,0,50, United-States, <=50K
42, Self-emp-inc, Prof-school, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1977,70, United-States, >50K
36, Private, Some-college, Separated, Craft-repair, Unmarried, White, Male,0,0,40, Scotland, <=50K
35, Private, Bachelors, Separated, Prof-specialty, Not-in-family, Black, Male,0,0,40, Trinadad&Tobago, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,3649,0,40, United-States, <=50K
50, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,80, Taiwan, <=50K
27, Private, Bachelors, Never-married, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,0,0,99, United-States, >50K
45, Private, Some-college, Divorced, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, China, <=50K
45, Self-emp-not-inc, Bachelors, Divorced, Prof-specialty, Unmarried, Other, Male,0,0,50, United-States, <=50K
20, Private, Bachelors, Never-married, Adm-clerical, Other-relative, White, Female,0,0,10, Scotland, <=50K
21, Self-emp-not-inc, Masters, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,1737,8, Japan, <=50K
24, Private, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Peru, <=50K
45, Local-gov, 9th, Never-married, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
52, Private, HS-grad, Separated, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, India, <=50K
18, Private, 10th, Never-married, Protective-serv, Own-child, Amer-Indian-Eskimo, Female,0,0,10, Haiti, <=50K
22, Private, Some-college, Married-spouse-absent, Transport-moving, Own-child, Black, Female,0,0,35, Puerto-Rico, <=50K
39, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,30, Nicaragua, <=50K
40, Self-emp-not-inc, Prof-school, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,0,0,40, Italy, >50K
42, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Scotland, <=50K
29, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,54, Cuba, <=50K
44, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Hungary, >50K
63, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,45, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, Mexico, >50K
42, Local-gov, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,69, Iran, <=50K
61, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
43, Private, Some-college, Divorced, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Scotland, <=50K
54, Private, 9th, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, Cuba, <=50K
44, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
19, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,20, Hungary, <=50K
40, Private, Some-college, Divorced, Craft-repair, Own-child, White, Female,0,0,40, Hungary, <=50K
46, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,40, Ecuador, >50K
54, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, Black, Female,0,0,40, Iran, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, Nicaragua, <=50K
45, Self-emp-not-inc, Doctorate, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,2173,35, United-States, <=50K
39, Private, HS-grad, Divorced, Prof-specialty, Unmarried, Other, Female,0,0,40, Philippines, <=50K
46, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,60, South, <=50K
55, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
59, Self-emp-not-inc, Doctorate, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,76, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,40, Jamaica, <=50K
60, Private, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Dominican-Republic, >50K
20, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,30, Vietnam, <=50K
21, Private, Assoc-voc, Never-married, Other-service, Unmarried, Black, Female,0,0,20, India, >50K
27, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, Taiwan, <=50K
26, State-gov, HS-grad, Divorced, Handlers-cleaners, Unmarried, White, Male,0,0,40, Nicaragua, <=50K
37, Private, Assoc-acdm, Married-civ-spouse, Tech-support, Not-in-family, White, Male,3338,0,40, South, >50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,60, United-States, >50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, <=50K
86, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,35, El-Salvador, <=50K
44, Private, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,7556,0,45, United-States, >50K
18, Private, HS-grad, Never-married, Sales, Own-child, Other, Male,0,0,16, Japan, <=50K
64, Local-gov, 10th, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,30, Laos, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, United-States, <=50K
48, Private, Bachelors, Divorced, Other-service, Not-in-family, Black, Male,0,0,40, South, >50K
64, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,2453,0,45, Puerto-Rico, <=50K
39, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,1699,40, Honduras, >50K
34, Private, Some-college, Never-married, Protective-serv, Unmarried, White, Male,0,0,40, France, <=50K
27, Local-gov, Assoc-acdm, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,1983,40, Jamaica, <=50K
52, Private, HS-grad, Divorced, Other-service, Not-in-family, Black, Male,0,0,40, Poland, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
53, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,40, Taiwan, >50K
43, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,5151,0,40, United-States, >50K
24, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
51, Private, Bachelors, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, England, <=50K
50, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,60, Taiwan, >50K
47, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
23, Private, 11th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,20, Japan, <=50K
57, Private, Some-college, Widowed, Prof-specialty, Not-in-family, Black, Female,3119,0,40, Iran, >50K
26, Private, Some-college, Married-civ-spouse, Transport-moving, Wife, Other, Male,0,0,40, United-States, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, Yugoslavia, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,30, Canada, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,48, India, >50K
61, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,55, United-States, <=50K
52, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, Hong, <=50K
42, Private, Masters, Divorced, Prof-specialty, Own-child, White, Female,0,0,45, Cuba, <=50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,45, Hungary, <=50K
24, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,35, Vietnam, <=50K
29, Private, Bachelors, Separated, Exec-managerial, Wife, Other, Male,0,0,40, Puerto-Rico, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Exec-managerial, Own-child, Other, Female,0,0,35, Japan, <=50K
23, Self-emp-inc, 9th, Never-married, Craft-repair, Own-child, White, Male,0,0,20, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, India, <=50K
24, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, Yugoslavia, <=50K
32, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Nicaragua, >50K
23, Private, Some-college, Never-married, Sales, Other-relative, White, Male,0,0,30, Cambodia, <=50K
44, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Poland, <=50K
21, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,40, Hungary, <=50K
64, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
42, Local-gov, Some-college, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Male,0,0,40, Philippines, >50K
39, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,4435,0,45, Canada, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
25, Private, Some-college, Never-married, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,30, United-States, <=50K
27, Private, Masters, Never-married, Exec-managerial, Wife, Black, Male,0,0,40, Japan, <=50K
45, Local-gov, 7th-8th, Separated, Exec-managerial, Not-in-family, White, Female,0,0,35, El-Salvador, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Sales, Wife, Asian-Pac-Islander, Male,0,0,35, Vietnam, <=50K
51, Federal-gov, Some-college, Never-married, Other-service, Unmarried, Black, Male,0,0,80, Cambodia, <=50K
46, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,7687,0,48, Scotland, >50K
23, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
53, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, Haiti, >50K
76, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Nicaragua, <=50K
60, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, Puerto-Rico, >50K
35, Local-gov, Bachelors, Separated, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,35, Laos, >50K
62, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States, <=50K
53, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Taiwan, <=50K
23, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,60, Mexico, <=50K
54, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Female,15024,0,60, China, >50K
25, Private, Bachelors, Married-civ-spouse, Adm-clerical, Other-relative, Black, Male,0,0,40, Honduras, <=50K
47, Private, Assoc-voc, Widowed, Exec-managerial, Unmarried, Other, Male,10015,0,45, United-States, >50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,1740,50, United-States, <=50K
31, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Jamaica, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, Laos, <=50K
26, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Ireland, <=50K
49, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,65, Hong, >50K
40, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,45, Jamaica, >50K
28, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
67, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,4650,0,20, India, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, Black, Male,0,0,40, India, <=50K
29, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Female,0,1977,15, Iran, >50K
17, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,8, Honduras, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Portugal, <=50K
50, Private, Masters, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, >50K
44, Private, Assoc-voc, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,45, United-States, >50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Male,0,0,40, Jamaica, <=50K
37, Private, Bachelors, Never-married, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
47, Private, 9th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,35, Vietnam, <=50K
67, Self-emp-inc, Some-college, Married-spouse-absent, Exec-managerial, Unmarried, Black, Female,0,0,50, Hungary, <=50K
37, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, Mexico, <=50K
18, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, China, <=50K
41, Private, 11th, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,30, Trinadad&Tobago, <=50K
55, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Trinadad&Tobago, <=50K
44, Local-gov, Masters, Divorced, Prof-specialty, Unmarried, White, Male,0,0,40, Cuba, <=50K
30, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
46, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,50, Thailand, <=50K
24, Private, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,38, United-States, <=50K
