25, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,10344,0,50, Ecuador, >50K
35, Self-emp-not-inc, Assoc-voc, Widowed, Prof-specialty, Unmarried, Other, Male,0,0,75, Nicaragua, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, India, <=50K
24, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,0,0,40, Yugoslavia, <=50K
46, Private, Assoc-acdm, Divorced, Exec-managerial, Husband, Other, Male,0,0,50, Dominican-Republic, >50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
37, Private, Assoc-voc, Never-married, Other-service, Not-in-family, Black, Female,0,0,44, Italy, <=50K
28, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Female,0,0,40, Portugal, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,60, Dominican-Republic, >50K
31, Private, 10th, Never-married, Tech-support, Not-in-family, Other, Female,0,0,48, Mexico, <=50K
24, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Nicaragua, >50K
31, Private, Masters, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, >50K
48, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
37, Private, 11th, Married-civ-spouse, Adm-clerical, Own-child, Other, Female,0,0,40, El-Salvador, <=50K
43, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, Canada, >50K
58, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,10, Yugoslavia, >50K
23, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,15, United-States, <=50K
62, Private, HS-grad, Widowed, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,30, Haiti, <=50K
43, Private, HS-grad, Divorced, Other-service, Own-child, White, Male,0,0,40, South, <=50K
20, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Hong, <=50K
22, Private, Assoc-voc, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female,0,0,42, Trinadad&Tobago, <=50K
45, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,38, Mexico, <=50K
50, Private, 7th-8th, Separated, Adm-clerical, Husband, White, Male,0,0,40, Italy, <=50K
19, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,30, Germany, <=50K
33, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, Greece, <=50K
41, Self-emp-not-inc, Prof-school, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,1977,45, Laos, >50K
17, Private, 11th, Never-married, Other-service, Own-child, Other, Male,0,0,25, Outlying-US(Guam-USVI-etc), <=50K
39, Local-gov, 11th, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
41, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,7687,0,40, Nicaragua, <=50K
75, Private, Bachelors, Divorced, Exec-managerial, Wife, White, Female,0,0,15, El-Salvador, <=50K
46, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,4064,0,45, United-States, >50K
19, Private, HS-grad, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male,0,0,50, Dominican-Republic, <=50K
49, Private, Bachelors, Separated, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Guatemala, <=50K
41, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, >50K
46, Local-gov, 9th, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,40, China, <=50K
31, Private, Some-college, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
63, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,30, Japan, >50K
38, Private, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
21, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,7298,0,50, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,58, Cuba, <=50K
53, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,71, China, >50K
27, Private, Some-college, Never-married, Exec-managerial, Unmarried, Other, Female,0,0,40, Iran, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
38, Local-gov, HS-grad, Divorced, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Honduras, >50K
40, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,40, Honduras, <=50K
17, Private, 11th, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,16, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,5178,0,47, China, <=50K
35, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,0,0,40, France, <=50K
34, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, Other, Female,0,0,60, United-States, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-spouse-absent, Other-service, Husband, Other, Female,0,0,40, United-States, >50K
31, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,0,10, Greece, <=50K
39, Local-gov, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,7687,0,70, Columbia, >50K
35, Federal-gov, 7th-8th, Divorced, Sales, Not-in-family, Other, Male,0,0,50, Nicaragua, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Male,5178,0,48, United-States, >50K
51, Private, Some-college, Married-spouse-absent, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,45, Thailand, <=50K
21, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
35, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, United-States, <=50K
52, Private, HS-grad, Widowed, Sales, Husband, Black, Female,0,0,12, Germany, <=50K
36, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Hong, <=50K
65, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, >50K
29, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Without-pay, Masters, Separated, Prof-specialty, Husband, White, Male,0,0,40, Hong, <=50K
40, Private, Assoc-voc, Divorced, Handlers-cleaners, Husband, Black, Male,0,0,40, England, <=50K
38, Private, HS-grad, Never-married, Sales, Husband, Other, Male,0,0,60, Guatemala, <=50K
59, Private, Some-college, Divorced, Exec-managerial, Husband, Other, Female,0,0,20, Trinadad&Tobago, <=50K
46, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
75, Private, Some-college, Widowed, Farming-fishing, Not-in-family, White, Male,0,0,10, Puerto-Rico, <=50K
36, Private, Bachelors, Never-married, Sales, Husband, Black, Male,0,0,65, Taiwan, <=50K
24, Self-emp-inc, Some-college, Never-married, Other-service, Unmarried, Black, Male,0,0,38, United-States, <=50K
30, Private, Prof-school, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Male,0,0,45, Scotland, <=50K
43, Private, Assoc-acdm, Separated, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, >50K
42, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,42, China, <=50K
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Other, Male,0,0,40, Thailand, <=50K
60, Private, Assoc-voc, Divorced, Adm-clerical, Husband, White, Female,0,0,20, Puerto-Rico, <=50K
66, State-gov, HS-grad, Married-spouse-absent, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, Italy, <=50K
37, Private, Masters, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,66, Outlying-US(Guam-USVI-etc), <=50K
25, Local-gov, 9th, Never-married, Other-service, Unmarried, White, Male,0,0,52, United-States, <=50K
57, Self-emp-inc, HS-grad, Widowed, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,25, England, >50K
62, State-gov, HS-grad, Widowed, Craft-repair, Husband, White, Male,0,0,40, Hungary, <=50K
44, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, Guatemala, <=50K
27, Local-gov, Some-college, Married-civ-spouse, Tech-support, Unmarried, Black, Female,0,0,20, Poland, >50K
24, Private, HS-grad, Never-married, Other-service, Wife, Black, Female,0,0,16, Mexico, <=50K
31, Self-emp-not-inc, HS-grad, Never-married, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,0,0,40, Ireland, >50K
50, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,48, Puerto-Rico, <=50K
44, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,30, Cuba, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Hong, <=50K
33, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Female,0,0,50, United-States, <=50K
61, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Male,0,0,40, Laos, >50K
37, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, India, <=50K
54, Federal-gov, 9th, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
33, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,54, Puerto-Rico, <=50K
39, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Other-relative, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
58, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, Nicaragua, >50K
35, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Husband, Other, Male,0,0,70, Hong, <=50K
64, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Hong, >50K
52, Self-emp-not-inc, HS-grad, Married-spouse-absent, Sales, Husband, Asian-Pac-Islander, Female,0,0,32, Ecuador, <=50K
33, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Black, Female,0,0,40, India, <=50K
22, Private, HS-grad, Never-married, Other-service, Own-child, Black, Female,0,0,10, Mexico, <=50K
38, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Other, Female,0,0,40, Peru, <=50K
56, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Puerto-Rico, <=50K
66, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
22, Private, Bachelors, Never-married, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, Italy, >50K
24, Private, 11th, Never-married, Craft-repair, Husband, White, Male,0,0,25, Dominican-Republic, <=50K
39, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,60, Vietnam, <=50K
44, Private, Assoc-voc, Never-married, Farming-fishing, Not-in-family, Black, Female,0,0,70, Hungary, >50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,38, South, <=50K
32, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,75, Mexico, >50K
64, Private, 1st-4th, Divorced, Transport-moving, Wife, White, Male,0,0,35, Scotland, >50K
44, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, >50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,67, Italy, >50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Female,0,0,40, El-Salvador, <=50K
47, Private, HS-grad, Widowed, Prof-specialty, Unmarried, White, Male,0,0,35, Thailand, >50K
34, Private, HS-grad, Never-married, Transport-moving, Own-child, Other, Male,0,0,50, Jamaica, <=50K
25, Private, 10th, Married-civ-spouse, Other-service, Unmarried, Black, Male,0,0,35, Jamaica, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
23, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,50, Scotland, >50K
38, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Philippines, >50K
75, Self-emp-not-inc, Some-college, Widowed, Craft-repair, Not-in-family, Other, Female,0,0,40, Honduras, >50K
44, Private, Some-college, Never-married, Sales, Husband, White, Male,0,1977,40, England, <=50K
25, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,20, Italy, <=50K
22, Private, Bachelors, Never-married, Protective-serv, Not-in-family, Black, Male,0,0,38, Philippines, <=50K
25, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Female,0,0,38, United-States, >50K
32, Private, Some-college, Never-married, Transport-moving, Not-in-family, Black, Female,0,0,30, Scotland, <=50K
45, Private, Some-college, Separated, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,25, United-States, <=50K
42, Private, Some-college, Married-spouse-absent, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Outlying-US(Guam-USVI-etc), >50K
28, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, England, <=50K
49, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,0,42, Scotland, >50K
62, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
27, Private, 11th, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Jamaica, <=50K
54, Private, Some-college, Separated, Prof-specialty, Not-in-family, Black, Female,0,0,16, India, <=50K
47, Private, HS-grad, Divorced, Transport-moving, Unmarried, Other, Male,0,0,45, United-States, <=50K
36, State-gov, Bachelors, Divorced, Transport-moving, Husband, Other, Male,0,0,40, Yugoslavia, >50K
55, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,70, Canada, >50K
45, Private, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,7687,0,50, India, >50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Divorced, Transport-moving, Husband, White, Male,0,0,68, Honduras, <=50K
46, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Cuba, <=50K
25, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, Black, Male,0,0,40, Hong, <=50K
63, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Vietnam, <=50K
39, Private, Bachelors, Widowed, Adm-clerical, Unmarried, Other, Male,0,0,35, Poland, <=50K
49, Private, HS-grad, Widowed, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,10, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,0,40, Jamaica, <=50K
25, Self-emp-inc, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Male,0,0,48, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Farming-fishing, Own-child, Asian-Pac-Islander, Male,0,0,65, India, >50K
31, Private, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,38, Yugoslavia, <=50K
33, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, Mexico, >50K
21, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,20, Cambodia, <=50K
23, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,38, Philippines, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,1972,40, Hong, >50K
49, Local-gov, Some-college, Divorced, Sales, Husband, White, Male,0,0,40, Nicaragua, >50K
42, Private, Some-college, Never-married, Tech-support, Wife, Asian-Pac-Islander, Male,0,0,32, Outlying-US(Guam-USVI-etc), <=50K
29, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, Canada, >50K
39, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
28, Private, Some-college, Never-married, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
69, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Wife, Black, Male,0,0,40, Jamaica, <=50K
63, Local-gov, 11th, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, El-Salvador, >50K
43, State-gov, Some-college, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,60, United-States, >50K
17, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,20, Vietnam, <=50K
31, Federal-gov, Some-college, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,40, Cambodia, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,30, Puerto-Rico, >50K
34, Self-emp-not-inc, 11th, Divorced, Craft-repair, Own-child, Other, Female,0,0,40, Nicaragua, <=50K
40, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,45, Haiti, >50K
47, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Male,7298,0,54, Laos, <=50K
48, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,50, Poland, >50K
67, Local-gov, HS-grad, Widowed, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, Japan, <=50K
51, Private, Prof-school, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
36, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,50, Scotland, <=50K
42, Private, 11th, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,40, Japan, <=50K
53, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,4535,0,40, China, >50K
28, Private, Bachelors, Divorced, Adm-clerical, Own-child, Black, Male,0,0,40, Haiti, <=50K
58, Private, 9th, Widowed, Exec-managerial, Not-in-family, Other, Male,0,0,45, United-States, >50K
42, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,48, United-States, <=50K
21, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, Italy, <=50K
20, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, Japan, <=50K
43, Private, Assoc-acdm, Divorced, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
43, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, Honduras, <=50K
33, Private, Bachelors, Separated, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,50, Italy, <=50K
28, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1977,60, Columbia, >50K
59, Private, Bachelors, Married-civ-spouse, Tech-support, Unmarried, Other, Male,0,0,30, India, <=50K
29, Private, 7th-8th, Married-civ-spouse, Protective-serv, Not-in-family, Black, Male,0,0,50, Hungary, <=50K
37, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,1977,40, India, <=50K
33, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,5013,0,46, Haiti, <=50K
75, State-gov, 9th, Married-civ-spouse, Handlers-cleaners, Not-in-family, Other, Male,0,0,8, Poland, <=50K
53, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,48, United-States, >50K
49, Private, Assoc-acdm, Married-civ-spouse, Other-service, Not-in-family, Black, Female,0,0,40, United-States, >50K
29, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,1887,29, Italy, <=50K
23, Private, Bachelors, Never-married, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
45, Private, Assoc-acdm, Divorced, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
46, Private, Masters, Married-civ-spouse, Craft-repair, Other-relative, Asian-Pac-Islander, Female,0,0,40, Hong, <=50K
42, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Laos, <=50K
37, Private, Bachelors, Separated, Adm-clerical, Own-child, Black, Male,0,0,40, China, <=50K
48, Private, 10th, Married-civ-spouse, Farming-fishing, Not-in-family, Other, Male,0,0,60, Thailand, <=50K
69, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Taiwan, >50K
