48, Self-emp-not-inc, Bachelors, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Germany, <=50K
46, Private, Assoc-voc, Married-civ-spouse, Other-service, Wife, White, Male,0,0,38, United-States, >50K
38, Local-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,45, India, <=50K
44, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,25, Portugal, <=50K
45, Private, HS-grad, Separated, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,0,0,60, United-States, <=50K
60, Self-emp-not-inc, Assoc-voc, Separated, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
38, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, Other, Male,15024,0,54, Puerto-Rico, >50K
50, Self-emp-not-inc, Prof-school, Divorced, Exec-managerial, Not-in-family, White, Female,7298,0,45, Yugoslavia, <=50K
36, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1738,50, England, >50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Guatemala, <=50K
60, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,20, Thailand, <=50K
25, Private, Some-college, Married-civ-spouse, Sales, Unmarried, White, Female,0,0,50, United-States, >50K
29, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Germany, >50K
41, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
52, Private, Some-college, Divorced, Transport-moving, Own-child, White, Male,0,0,40, United-States, >50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, United-States, <=50K
45, Private, 9th, Never-married, Craft-repair, Not-in-family, White, Female,0,0,60, Guatemala, <=50K
44, Private, Masters, Divorced, Sales, Not-in-family, Black, Male,0,0,40, Columbia, <=50K
44, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Female,0,0,50, Yugoslavia, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,50, United-States, >50K
41, Private, Masters, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, Japan, <=50K
53, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,37, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, Nicaragua, >50K
40, Private, Assoc-voc, Separated, Farming-fishing, Not-in-family, Black, Female,0,0,50, United-States, <=50K
39, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,45, United-States, <=50K
34, Private, Assoc-acdm, Married-spouse-absent, Adm-clerical, Husband, White, Male,0,0,40, Taiwan, <=50K
45, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, Ireland, <=50K
49, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Female,0,0,40, Italy, <=50K
34, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, 11th, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,16, El-Salvador, <=50K
28, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, Haiti, <=50K
58, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, United-States, >50K
21, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Black, Male,0,0,50, Germany, <=50K
21, Private, HS-grad, Separated, Sales, Wife, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
45, Private, 9th, Never-married, Transport-moving, Not-in-family, Black, Male,0,0,40, Columbia, <=50K
43, Private, Some-college, Separated, Adm-clerical, Unmarried, Black, Female,0,0,40, Germany, <=50K
62, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Peru, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,45, United-States, >50K
26, Private, Bachelors, Divorced, Machine-op-inspct, Own-child, Black, Male,0,0,35, United-States, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, White, Female,0,0,40, El-Salvador, <=50K
50, Local-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,60, Cuba, <=50K
45, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Puerto-Rico, <=50K
52, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,15024,0,50, United-States, >50K
59, Private, Doctorate, Married-civ-spouse, Prof-specialty, Wife, Black, Female,99999,0,31, Philippines, >50K
38, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
40, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Protective-serv, Own-child, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
38, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Hungary, >50K
20, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,20, United-States, <=50K
57, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,45, United-States, <=50K
33, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,38, United-States, <=50K
41, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, Ireland, <=50K
39, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,4064,0,80, Ecuador, >50K
21, Private, 11th, Never-married, Sales, Own-child, White, Male,0,1719,18, United-States, <=50K
53, Self-emp-inc, HS-grad, Divorced, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, >50K
34, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,7687,0,60, United-States, >50K
38, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,48, United-States, <=50K
30, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,30, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, India, <=50K
48, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,0,40, Nicaragua, >50K
56, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,43, United-States, <=50K
35, State-gov, HS-grad, Separated, Other-service, Husband, White, Male,0,0,30, Mexico, <=50K
48, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,40, Honduras, <=50K
51, Private, Some-college, Separated, Other-service, Unmarried, White, Female,0,0,40, Jamaica, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1734,40, United-States, <=50K
41, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
47, Private, HS-grad, Separated, Transport-moving, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
26, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,8, United-States, <=50K
28, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, >50K
53, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K
37, State-gov, HS-grad, Married-spouse-absent, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,2, Thailand, <=50K
66, Private, Some-college, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
47, Local-gov, 9th, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
52, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Hong, <=50K
53, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Philippines, >50K
27, Private, 10th, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Jamaica, <=50K
50, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,60, United-States, >50K
47, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,82296,0,38, United-States, >50K
33, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,43, South, >50K
51, Private, Bachelors, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
62, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,84239,0,40, Peru, >50K
58, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,40, United-States, <=50K
48, Private, Bachelors, Divorced, Adm-clerical, Wife, White, Male,0,0,36, United-States, >50K
41, Local-gov, 7th-8th, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Poland, <=50K
19, Local-gov, Assoc-voc, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,20, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Own-child, Black, Male,0,0,40, England, <=50K
44, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,59, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
41, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,4998,0,40, Peru, >50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Other, Female,0,1977,60, Germany, >50K
51, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,40, Poland, <=50K
30, Self-emp-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,38, United-States, <=50K
25, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,60, United-States, <=50K
25, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
38, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,15024,0,40, United-States, <=50K
31, Private, Some-college, Married-spouse-absent, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,60, Trinadad&Tobago, >50K
42, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, France, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, Assoc-voc, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,50, Poland, >50K
52, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
48, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
61, Private, 7th-8th, Divorced, Tech-support, Wife, White, Female,0,0,40, United-States, <=50K
28, Private, Masters, Married-spouse-absent, Adm-clerical, Own-child, Other, Male,0,0,20, United-States, >50K
42, Private, Some-college, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,24, Taiwan, <=50K
65, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,40, Guatemala, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
28, Private, HS-grad, Separated, Tech-support, Unmarried, White, Male,0,0,16, Thailand, <=50K
30, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Other-service, Wife, White, Female,0,0,14, United-States, >50K
19, Private, HS-grad, Never-married, Other-service, Own-child, Other, Female,0,0,20, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,45, United-States, <=50K
64, Self-emp-not-inc, Some-college, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, Mexico, <=50K
60, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,15024,0,60, Hong, >50K
54, Local-gov, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Thailand, <=50K
66, Private, 9th, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,20, United-States, <=50K
52, Private, Prof-school, Married-civ-spouse, Adm-clerical, Husband, White, Female,7687,0,54, United-States, >50K
20, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,25, United-States, <=50K
53, Private, Some-college, Widowed, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,35, United-States, <=50K
34, Private, Some-college, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
28, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,45, Honduras, <=50K
44, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
43, Local-gov, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
51, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Thailand, >50K
32, Private, Some-college, Married-civ-spouse, Sales, Husband, Other, Male,0,0,50, Poland, >50K
42, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,7687,0,44, United-States, >50K
27, Self-emp-not-inc, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
45, Self-emp-not-inc, Bachelors, Separated, Craft-repair, Not-in-family, Black, Male,0,0,40, China, <=50K
46, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Poland, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
46, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Mexico, <=50K
44, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1902,40, El-Salvador, <=50K
50, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
20, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,17, Vietnam, <=50K
26, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,35, United-States, <=50K
63, Private, Prof-school, Widowed, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,92, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,4870,0,40, United-States, >50K
36, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, Assoc-voc, Never-married, Handlers-cleaners, Wife, Black, Male,0,0,40, Philippines, <=50K
57, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,45, Yugoslavia, <=50K
37, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1887,40, Cambodia, >50K
44, Self-emp-not-inc, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,7298,0,45, United-States, >50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, Peru, >50K
55, Local-gov, Some-college, Divorced, Tech-support, Not-in-family, White, Male,0,1977,65, United-States, <=50K
58, Private, Some-college, Married-civ-spouse, Tech-support, Wife, Asian-Pac-Islander, Male,0,0,10, United-States, >50K
49, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,3014,0,10, China, <=50K
43, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
53, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Other-relative, Black, Male,0,0,40, United-States, >50K
22, Private, HS-grad, Never-married, Farming-fishing, Unmarried, White, Male,0,1670,40, United-States, <=50K
35, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, Guatemala, <=50K
54, State-gov, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, <=50K
21, Private, Some-college, Never-married, Protective-serv, Unmarried, Black, Male,0,0,40, United-States, <=50K
42, Federal-gov, Masters, Separated, Prof-specialty, Own-child, White, Male,0,0,54, Cambodia, <=50K
34, Private, Some-college, Divorced, Adm-clerical, Wife, Black, Female,15024,0,50, United-States, >50K
22, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
52, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,1887,38, Laos, <=50K
37, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1884,40, United-States, <=50K
39, Private, HS-grad, Married-spouse-absent, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
46, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Female,15024,0,50, United-States, >50K
44, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, Cuba, >50K
38, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,39, Laos, <=50K
57, Private, 7th-8th, Widowed, Exec-managerial, Unmarried, White, Male,0,0,35, United-States, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,45, United-States, <=50K
32, Private, HS-grad, Divorced, Other-service, Own-child, White, Male,0,0,40, Taiwan, <=50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,60, United-States, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,7687,0,45, South, >50K
42, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Mexico, <=50K
39, Private, HS-grad, Widowed, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,20, South, <=50K
27, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, Other, Male,0,0,50, El-Salvador, <=50K
27, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,35, Philippines, <=50K
50, Private, 9th, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, Philippines, <=50K
30, Private, Some-college, Married-civ-spouse, Other-service, Own-child, Black, Female,0,0,30, Poland, <=50K
64, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,24, Mexico, >50K
46, State-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
25, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Thailand, <=50K
45, Private, HS-grad, Separated, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
49, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,35, Vietnam, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,35, Outlying-US(Guam-USVI-etc), <=50K
25, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
29, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,10551,0,45, Columbia, >50K
18, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,1848,40, United-States, >50K
63, Private, HS-grad, Married-civ-spouse, Other-service, Unmarried, White, Female,0,0,25, Ecuador, <=50K
42, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Divorced, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, United-States, <=50K
50, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,7687,0,40, United-States, >50K
44, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,80, Honduras, >50K
56, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,54, United-States, <=50K
52, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, Trinadad&Tobago, >50K
36, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
49, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Haiti, >50K
52, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,80, Cambodia, <=50K
46, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Male,7391,0,40, Puerto-Rico, >50K
