29, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,45, Portugal, <=50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,50, United-States, >50K
69, Private, Some-college, Married-civ-spouse, Prof-specialty, Unmarried, Black, Female,15024,0,50, United-States, >50K
38, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
49, Private, 9th, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
25, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,35, United-States, <=50K
32, Private, Some-college, Divorced, Transport-moving, Wife, White, Female,0,0,35, United-States, <=50K
47, Self-emp-not-inc, Bachelors, Divorced, Transport-moving, Not-in-family, White, Male,0,0,60, United-States, <=50K
53, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Ecuador, <=50K
29, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, Philippines, >50K
48, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,35, United-States, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,45, United-States, <=50K
43, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
57, Private, Masters, Widowed, Exec-managerial, Unmarried, Black, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
26, Self-emp-not-inc, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1910,60, United-States, >50K
74, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,2938,0,40, Yugoslavia, <=50K
33, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,20, Canada, <=50K
28, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,10269,0,50, United-States, >50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, United-States, >50K
52, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,2658,0,46, United-States, >50K
49, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
52, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, El-Salvador, >50K
35, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,5178,0,40, United-States, >50K
23, Private, Some-college, Never-married, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
29, Private, Assoc-acdm, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Portugal, <=50K
59, State-gov, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,37, United-States, <=50K
31, Private, Some-college, Married-spouse-absent, Sales, Own-child, White, Male,0,0,50, United-States, <=50K
40, Federal-gov, Prof-school, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Canada, <=50K
55, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,54, United-States, >50K
40, Self-emp-not-inc, 12th, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
79, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,20, United-States, >50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,1582,41, United-States, <=50K
23, Private, Bachelors, Never-married, Exec-managerial, Unmarried, White, Female,0,0,60, United-States, <=50K
28, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
28, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Ireland, >50K
27, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
53, Private, Assoc-acdm, Married-spouse-absent, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
62, Self-emp-not-inc, HS-grad, Never-married, Priv-house-serv, Own-child, White, Female,0,0,5, United-States, <=50K
25, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,20, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,1518,50, United-States, <=50K
59, State-gov, HS-grad, Widowed, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
57, Local-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Mexico, >50K
21, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
63, Local-gov, 7th-8th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
24, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,30, United-States, <=50K
25, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
25, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, >50K
32, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
55, Private, Bachelors, Widowed, Handlers-cleaners, Wife, White, Female,0,0,10, United-States, <=50K
54, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,63, United-States, <=50K
64, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,2289,0,20, United-States, <=50K
40, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1673,40, United-States, <=50K
26, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,35, France, <=50K
37, Private, 10th, Divorced, Other-service, Unmarried, White, Female,0,0,36, United-States, >50K
38, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,54, United-States, <=50K
21, Local-gov, HS-grad, Never-married, Other-service, Other-relative, White, Male,0,0,40, Mexico, <=50K
29, Private, Some-college, Never-married, Sales, Unmarried, White, Female,15024,0,40, United-States, <=50K
58, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,30, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,30, United-States, <=50K
31, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,45, United-States, >50K
69, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,25, United-States, >50K
35, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,60, United-States, <=50K
34, Private, Assoc-acdm, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,37, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, China, >50K
52, Local-gov, Doctorate, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,50, United-States, <=50K
62, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2422,60, United-States, >50K
49, Private, Some-college, Separated, Sales, Unmarried, White, Female,0,0,50, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Nicaragua, <=50K
38, Private, Bachelors, Never-married, Prof-specialty, Wife, White, Female,0,0,32, United-States, >50K
36, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
37, Private, Prof-school, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
