26, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,13901,0,50, Greece, >50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
27, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Never-married, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
29, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,10, Jamaica, <=50K
37, Local-gov, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Male,6838,0,75, Ecuador, <=50K
33, Federal-gov, 5th-6th, Divorced, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,5178,0,45, United-States, >50K
50, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
20, Private, Some-college, Never-married, Farming-fishing, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,12, Iran, <=50K
34, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Peru, <=50K
63, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, >50K
28, Self-emp-inc, Masters, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Without-pay, Some-college, Separated, Prof-specialty, Not-in-family, White, Male,0,0,40, Peru, <=50K
38, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, Hong, <=50K
36, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,60, Mexico, <=50K
56, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,20, United-States, <=50K
44, Private, Some-college, Divorced, Other-service, Unmarried, White, Male,0,0,35, United-States, <=50K
73, Private, Some-college, Widowed, Other-service, Not-in-family, White, Male,0,0,10, United-States, <=50K
35, Private, Doctorate, Never-married, Sales, Not-in-family, Other, Female,0,0,65, United-States, <=50K
23, Self-emp-inc, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,38, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
42, Private, Assoc-acdm, Separated, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
41, Private, Masters, Divorced, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,43, Cuba, <=50K
31, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
58, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,20, United-States, <=50K
64, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
35, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,65, United-States, <=50K
24, Local-gov, 1st-4th, Never-married, Other-service, Unmarried, White, Male,0,0,54, United-States, <=50K
55, Private, Masters, Widowed, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,27, Hungary, <=50K
62, State-gov, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, Puerto-Rico, <=50K
43, Private, 10th, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Japan, <=50K
26, Private, Some-college, Never-married, Tech-support, Own-child, Other, Female,0,0,20, United-States, <=50K
23, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,18, United-States, <=50K
30, Private, Some-college, Never-married, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
49, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,48, United-States, >50K
42, Private, Prof-school, Divorced, Other-service, Own-child, White, Male,0,0,30, England, <=50K
35, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Philippines, <=50K
32, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, <=50K
59, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
35, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Scotland, <=50K
52, Federal-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,54, United-States, <=50K
37, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, England, <=50K
56, State-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, Poland, >50K
63, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Philippines, <=50K
50, Self-emp-inc, HS-grad, Separated, Sales, Not-in-family, Black, Female,0,0,32, Germany, <=50K
32, Private, Preschool, Never-married, Sales, Own-child, Other, Female,0,0,40, Scotland, <=50K
21, Private, HS-grad, Never-married, Other-service, Own-child, Other, Female,0,0,10, United-States, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,42, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
64, Self-emp-not-inc, Some-college, Divorced, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private, Masters, Married-civ-spouse, Sales, Other-relative, Black, Male,0,0,40, United-States, >50K
23, Private, 11th, Never-married, Farming-fishing, Husband, White, Male,0,0,25, Germany, <=50K
39, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,60, United-States, >50K
42, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,70, Scotland, >50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,38, United-States, >50K
30, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,72, United-States, <=50K
62, Private, 7th-8th, Divorced, Transport-moving, Unmarried, White, Male,0,0,35, United-States, <=50K
43, Private, HS-grad, Separated, Adm-clerical, Not-in-family, Other, Male,0,0,40, United-States, <=50K
34, Private, Masters, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,65, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Haiti, <=50K
46, Private, Masters, Widowed, Protective-serv, Unmarried, White, Male,0,0,35, United-States, <=50K
33, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,50, United-States, <=50K
24, Private, 10th, Never-married, Other-service, Own-child, Other, Male,0,0,35, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
73, Self-emp-not-inc, Some-college, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, Peru, <=50K
44, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,2434,40, Hungary, <=50K
24, Local-gov, 11th, Never-married, Craft-repair, Own-child, Black, Male,0,0,20, United-States, <=50K
21, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,37, United-States, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,38, United-States, <=50K
29, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,30, United-States, <=50K
43, Private, Some-college, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,27, United-States, <=50K
41, Private, Some-college, Married-spouse-absent, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, United-States, >50K
27, Private, Bachelors, Never-married, Handlers-cleaners, Husband, White, Female,0,0,40, Hong, <=50K
48, Private, Some-college, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,42, United-States, >50K
60, Federal-gov, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
26, Private, 11th, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, <=50K
53, Private, Some-college, Widowed, Protective-serv, Not-in-family, Black, Female,0,0,15, Puerto-Rico, <=50K
46, Private, Masters, Married-civ-spouse, Transport-moving, Unmarried, White, Male,0,0,45, United-States, <=50K
35, State-gov, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Male,15024,0,65, China, >50K
42, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Black, Male,7687,0,50, Puerto-Rico, >50K
41, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, Peru, <=50K
45, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, England, <=50K
24, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, Philippines, <=50K
61, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Vietnam, <=50K
37, Private, HS-grad, Widowed, Adm-clerical, Own-child, White, Male,0,0,35, United-States, <=50K
46, Private, Prof-school, Never-married, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,10, United-States, <=50K
47, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
24, Self-emp-inc, 9th, Never-married, Craft-repair, Husband, White, Male,0,0,48, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,65, Scotland, >50K
29, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,38, Yugoslavia, <=50K
31, Private, Bachelors, Divorced, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,20, Cambodia, <=50K
23, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,38, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,40, Philippines, >50K
47, Federal-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
40, Private, Some-college, Never-married, Tech-support, Wife, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, China, >50K
38, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, <=50K
26, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
67, Self-emp-inc, HS-grad, Widowed, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
62, Local-gov, 5th-6th, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, Haiti, <=50K
41, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
17, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,25, United-States, <=50K
29, Federal-gov, Some-college, Never-married, Machine-op-inspct, Unmarried, Other, Male,0,0,40, Cambodia, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Male,0,0,30, United-States, <=50K
33, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,45, Mexico, >50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, White, Male,7298,0,54, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
64, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
50, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
41, Private, 5th-6th, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,5017,0,40, Dominican-Republic, >50K
27, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, Nicaragua, <=50K
56, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
41, Private, Assoc-voc, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,48, United-States, <=50K
21, Private, Some-college, Never-married, Protective-serv, Not-in-family, White, Male,0,0,50, Trinadad&Tobago, <=50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, United-States, <=50K
41, Private, Assoc-voc, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, South, <=50K
42, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,60, Peru, <=50K
31, Private, Bachelors, Separated, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Trinadad&Tobago, <=50K
30, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,1979,54, El-Salvador, >50K
58, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,30, Portugal, <=50K
27, Private, 5th-6th, Never-married, Sales, Not-in-family, Other, Male,0,0,50, Portugal, <=50K
35, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,1887,40, Scotland, >50K
32, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Male,2169,0,48, Nicaragua, <=50K
73, Self-emp-not-inc, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,7, United-States, >50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
48, Private, Assoc-acdm, Never-married, Other-service, Unmarried, Other, Female,0,0,40, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1670,30, United-States, <=50K
22, Private, Bachelors, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
43, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,40, Vietnam, <=50K
45, Private, Some-college, Married-spouse-absent, Craft-repair, Not-in-family, Black, Female,0,0,40, Philippines, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
35, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Male,0,0,40, Columbia, <=50K
47, Private, 10th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,60, United-States, >50K
68, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
22, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, El-Salvador, <=50K
25, Private, Some-college, Never-married, Tech-support, Own-child, Black, Female,0,0,40, United-States, <=50K
67, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,35, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, United-States, >50K
44, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,33, United-States, <=50K
36, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,45, Hong, <=50K
49, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,99999,0,40, United-States, >50K
48, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,42, United-States, >50K
59, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,37, United-States, >50K
60, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,1902,40, Haiti, >50K
31, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Cambodia, >50K
50, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,80, Taiwan, <=50K
49, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, Mexico, <=50K
36, Self-emp-not-inc, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1887,40, Portugal, >50K
