58, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,6625,0,40, Ireland, >50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Jamaica, <=50K
22, Private, 11th, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Female,0,0,12, Columbia, <=50K
41, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Italy, <=50K
52, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Other, Male,0,0,40,, <=50K
36, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Nicaragua, <=50K
23, Private, Some-college, Never-married, Other-service, Wife, Other, Female,0,0,15, Japan, <=50K
25, Federal-gov, HS-grad, Never-married, Tech-support, Unmarried, Other, Female,0,0,40, Cuba, <=50K
47, Private, Masters, Never-married, Prof-specialty, Not-in-family, Other, Male,0,0,30, Honduras, <=50K
40, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, Other, Male,0,0,50, Guatemala, <=50K
30, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,35, England, <=50K
50, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, England, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, Greece, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,35, Jamaica, <=50K
32, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,40, Philippines, <=50K
55, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Hungary, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,54, Hungary, <=50K
25, Private, HS-grad, Separated, Other-service, Unmarried, White, Female,0,0,35, Haiti, <=50K
58, Private, HS-grad, Widowed, Craft-repair, Not-in-family, Black, Female,0,0,30, South, <=50K
53, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,45, Jamaica, >50K
64, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Vietnam, >50K
35, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,40, Germany, <=50K
68, Self-emp-inc, HS-grad, Widowed, Exec-managerial, Unmarried, White, Female,0,0,12, Cuba, <=50K
29, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Portugal, <=50K
34, Private, HS-grad, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0,0,80, Cambodia, <=50K
23, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,60, Thailand, <=50K
31, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Poland, <=50K
30, Private, HS-grad, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
44, Self-emp-not-inc, HS-grad, Divorced, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,60, Canada, <=50K
35, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,35, United-States, <=50K
50, Self-emp-not-inc, 11th, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Iran, <=50K
28, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, Poland, <=50K
38, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, Other, Female,0,0,45, Peru, <=50K
24, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,40, Peru, >50K
43, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Wife, Asian-Pac-Islander, Male,0,0,70, India, >50K
26, Private, HS-grad, Married-civ-spouse, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Iran, <=50K
24, Private, Some-college, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,40, Taiwan, <=50K
49, Private, HS-grad, Separated, Transport-moving, Other-relative, White, Male,0,0,40, Ireland, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,30, Yugoslavia, <=50K
31, Local-gov, Some-college, Never-married, Transport-moving, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Italy, <=50K
19, Private, Bachelors, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,15, Poland, <=50K
38, Private, Bachelors, Never-married, Tech-support, Wife, Amer-Indian-Eskimo, Male,0,0,35, Peru, <=50K
25, Federal-gov, HS-grad, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Male,5013,0,45, Germany, >50K
32, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,45, Thailand, <=50K
43, Private, HS-grad, Divorced, Transport-moving, Unmarried, Other, Female,0,0,40, Puerto-Rico, <=50K
26, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
22, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,15, Italy, <=50K
60, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,1877,40, Thailand, >50K
56, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,1595,45, Iran, >50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Other, Female,0,0,50, Italy, <=50K
33, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Thailand, >50K
58, Private, HS-grad, Married-spouse-absent, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Columbia, <=50K
28, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,30, Cuba, <=50K
44, Private, HS-grad, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
38, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, Poland, >50K
28, Private, HS-grad, Never-married, Sales, Own-child, Other, Female,0,0,40, Poland, <=50K
24, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,45, South, <=50K
24, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,40, Guatemala, <=50K
42, Private, 7th-8th, Never-married, Adm-clerical, Wife, Other, Female,0,0,40, El-Salvador, <=50K
47, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, Columbia, >50K
18, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, El-Salvador, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Black, Male,0,0,40, Vietnam, <=50K
34, Private, Bachelors, Never-married, Prof-specialty, Wife, Black, Male,13272,0,40, Taiwan, >50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Jamaica, <=50K
47, Private, HS-grad, Married-spouse-absent, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,30, Hungary, <=50K
39, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,60, Vietnam, <=50K
28, Without-pay, Assoc-acdm, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,40, Jamaica, <=50K
56, Federal-gov, 5th-6th, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,2244,40, Trinadad&Tobago, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,17, Greece, <=50K
59, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, Other, Female,0,0,40, Mexico, <=50K
32, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,45, China, <=50K
34, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
21, Private, Bachelors, Never-married, Adm-clerical, Own-child, Other, Male,0,0,40, Honduras, <=50K
50, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Husband, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
38, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,50, England, >50K
25, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Haiti, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,25, China, <=50K
39, Private, HS-grad, Divorced, Exec-managerial, Other-relative, Black, Female,7687,0,50, Cambodia, >50K
38, Private, Some-college, Divorced, Transport-moving, Not-in-family, Black, Female,0,0,45, Cambodia, <=50K
35, Federal-gov, Some-college, Never-married, Farming-fishing, Other-relative, White, Female,0,0,99, South, >50K
32, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,1882,40, United-States, >50K
51, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, Japan, <=50K
65, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,35, Peru, <=50K
25, Private, HS-grad, Divorced, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
57, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Columbia, >50K
38, State-gov, Some-college, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Italy, <=50K
42, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,60, Taiwan, <=50K
48, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,35, Portugal, <=50K
43, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, Black, Female,0,0,5, Jamaica, <=50K
35, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Female,7907,0,45, India, >50K
26, Private, Bachelors, Never-married, Other-service, Own-child, Other, Male,0,0,38, Hong, <=50K
44, Self-emp-not-inc, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,15, Portugal, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,55, Nicaragua, <=50K
22, Private, 7th-8th, Divorced, Craft-repair, Own-child, White, Female,1732,0,40, Outlying-US(Guam-USVI-etc), <=50K
23, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,60, Scotland, >50K
45, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,45, Jamaica, >50K
28, State-gov, Some-college, Never-married, Sales, Not-in-family, Other, Female,0,0,35, Hungary, <=50K
28, Private, Some-college, Separated, Sales, Not-in-family, White, Female,0,0,40, Honduras, <=50K
57, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, Mexico, <=50K
43, Local-gov, 7th-8th, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, Yugoslavia, <=50K
32, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,43, South, <=50K
24, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, Cambodia, <=50K
41, State-gov, Some-college, Never-married, Sales, Wife, Asian-Pac-Islander, Female,4369,0,40, Hong, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,20, Japan, <=50K
23, Private, Bachelors, Never-married, Sales, Own-child, Other, Female,0,0,25, Japan, <=50K
23, Self-emp-not-inc, Some-college, Never-married, Protective-serv, Own-child, Asian-Pac-Islander, Male,0,0,40, Columbia, <=50K
24, Private, HS-grad, Never-married, Other-service, Own-child, Other, Female,0,0,40, Italy, <=50K
63, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,6, Portugal, <=50K
46, Self-emp-inc, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,40, Vietnam, <=50K
55, Private, HS-grad, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Honduras, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Wife, White, Male,0,0,99, United-States, >50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,44, United-States, >50K
37, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,57, Peru, <=50K
54, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,2281,0,40, Italy, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,54, Ireland, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, Scotland, <=50K
24, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, Black, Male,0,0,40, Iran, <=50K
53, Local-gov, Some-college, Widowed, Sales, Husband, White, Male,0,0,50, Japan, <=50K
61, Private, HS-grad, Widowed, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,45, Yugoslavia, >50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
27, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,20, Peru, <=50K
47, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, France, >50K
34, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Trinadad&Tobago, <=50K
53, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,1958,0,40, Taiwan, <=50K
37, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Male,0,0,45, Ecuador, >50K
29, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,1887,50, Philippines, >50K
46, State-gov, Prof-school, Married-civ-spouse, Prof-specialty, Wife, Amer-Indian-Eskimo, Male,0,0,35, Ireland, <=50K
32, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Philippines, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Jamaica, <=50K
18, Private, 11th, Never-married, Craft-repair, Own-child, Black, Male,0,0,16, Nicaragua, <=50K
56, Self-emp-inc, Assoc-acdm, Widowed, Sales, Unmarried, White, Female,0,0,40, Vietnam, <=50K
23, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,35, Poland, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,30, Mexico, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Ireland, <=50K
64, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,2241,65, Jamaica, <=50K
41, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, England, <=50K
51, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Wife, Asian-Pac-Islander, Male,0,0,40, Hungary, >50K
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, Italy, >50K
21, Private, 11th, Never-married, Sales, Not-in-family, Other, Female,0,0,40, United-States, <=50K
42, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Female,0,0,48, Outlying-US(Guam-USVI-etc), >50K
41, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Germany, >50K
33, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,50, China, <=50K
23, State-gov, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
71, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, France, <=50K
53, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,35, Haiti, <=50K
24, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Puerto-Rico, <=50K
42, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,35, Poland, <=50K
33, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,7298,0,36, Columbia, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, White, Male,1787,0,40, Cambodia, <=50K
59, Self-emp-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,7552,0,50, Japan, >50K
47, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,1902,45, Taiwan, >50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,1833,40, Puerto-Rico, >50K
19, Local-gov, Some-college, Never-married, Farming-fishing, Own-child, Black, Male,0,0,20, Peru, <=50K
62, Private, Some-college, Widowed, Sales, Husband, White, Male,0,0,50, Vietnam, <=50K
54, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Cambodia, <=50K
34, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,5013,0,50, Thailand, >50K
41, Private, Some-college, Married-spouse-absent, Transport-moving, Wife, Asian-Pac-Islander, Female,0,0,35, Poland, <=50K
37, Private, Bachelors, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,35, Scotland, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, Vietnam, <=50K
26, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, Other, Female,0,0,38, Trinadad&Tobago, <=50K
43, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,70, France, <=50K
36, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, Other, Female,0,0,50, Poland, <=50K
53, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,35, Hungary, >50K
41, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Unmarried, Other, Female,0,0,35, Cambodia, <=50K
24, Self-emp-not-inc, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,40, Poland, <=50K
35, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, Japan, >50K
22, Private, Masters, Married-spouse-absent, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
31, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,50, Cambodia, >50K
49, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,7687,0,20, Taiwan, >50K
73, Self-emp-inc, Masters, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,20, Trinadad&Tobago, <=50K
60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,2648,0,40, Poland, <=50K
