28, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
31, State-gov, HS-grad, Never-married, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,70, Ecuador, <=50K
23, Private, Bachelors, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,20, Dominican-Republic, <=50K
58, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Nicaragua, >50K
27, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, Japan, <=50K
44, Private, Bachelors, Divorced, Other-service, Unmarried, White, Female,0,0,48, Japan, <=50K
32, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,15024,0,50, France, >50K
30, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, Laos, <=50K
51, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,45, Poland, <=50K
40, Federal-gov, 9th, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,45, England, <=50K
40, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Hong, <=50K
49, Federal-gov, Bachelors, Separated, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Mexico, <=50K
61, Self-emp-not-inc, Bachelors, Widowed, Sales, Unmarried, Black, Male,0,0,84, Jamaica, <=50K
48, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
34, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Yugoslavia, <=50K
26, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,54, Cuba, >50K
37, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,54, Dominican-Republic, <=50K
55, Private, Assoc-acdm, Widowed, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,40, India, <=50K
26, Private, Some-college, Never-married, Prof-specialty, Own-child, Black, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
23, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,30, Cuba, <=50K
45, Private, 10th, Never-married, Transport-moving, Not-in-family, Other, Female,0,0,45, Italy, <=50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,2174,0,54, Japan, >50K
53, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,15, South, >50K
37, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, Thailand, <=50K
35, Private, 10th, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,60, Ecuador, <=50K
56, Private, HS-grad, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Yugoslavia, >50K
34, Private, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,35, Taiwan, <=50K
31, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,25, Germany, <=50K
45, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Philippines, <=50K
24, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,39, Haiti, <=50K
59, Private, HS-grad, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Portugal, <=50K
29, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,60, Jamaica, <=50K
32, Private, 9th, Never-married, Craft-repair, Husband, White, Male,0,0,40, India, <=50K
60, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, France, >50K
40, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,50, France, <=50K
50, Private, Some-college, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Ireland, <=50K
38, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Japan, >50K
19, Private, 10th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,20, Columbia, <=50K
37, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
39, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,40, Ecuador, <=50K
30, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,50, South, <=50K
32, Private, HS-grad, Never-married, Transport-moving, Unmarried, Amer-Indian-Eskimo, Female,0,0,42, Cuba, <=50K
35, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,54, Germany, <=50K
48, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, South, >50K
19, Private, 11th, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Female,0,0,30, Canada, <=50K
28, Private, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,1892,48, Haiti, >50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,14, Ireland, <=50K
58, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Trinadad&Tobago, <=50K
34, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
25, Private, Bachelors, Never-married, Sales, Not-in-family, Black, Female,0,0,40, Columbia, <=50K
63, Local-gov, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,35, China, >50K
21, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, Hong, <=50K
26, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,70, Taiwan, <=50K
57, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Guatemala, >50K
43, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,1887,40, Greece, <=50K
36, Private, HS-grad, Never-married, Machine-op-inspct, Other-relative, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
20, Private, Some-college, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,25, Canada, <=50K
70, Self-emp-not-inc, Doctorate, Widowed, Other-service, Unmarried, Other, Female,0,0,20, England, <=50K
37, Private, Bachelors, Married-civ-spouse, Other-service, Wife, Other, Female,0,0,30, Taiwan, <=50K
42, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,35, South, <=50K
33, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,20, Taiwan, <=50K
27, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,42, Puerto-Rico, <=50K
46, Private, Bachelors, Divorced, Tech-support, Not-in-family, Other, Female,0,0,40, France, <=50K
33, Local-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, China, >50K
21, Private, HS-grad, Married-civ-spouse, Sales, Own-child, Black, Male,0,0,40, Jamaica, <=50K
21, Private, Masters, Never-married, Handlers-cleaners, Unmarried, Other, Male,0,0,45, Taiwan, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,30, Poland, <=50K
20, Private, Some-college, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,54, Iran, <=50K
32, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,50, Thailand, <=50K
68, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,2332,40, England, <=50K
29, State-gov, Some-college, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,7687,0,40, Haiti, >50K
44, Self-emp-inc, HS-grad, Separated, Craft-repair, Own-child, White, Male,0,0,40, Thailand, >50K
30, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,7687,0,40, Taiwan, <=50K
56, Without-pay, Some-college, Widowed, Prof-specialty, Not-in-family, White, Female,2174,0,40, Haiti, <=50K
23, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,40, El-Salvador, <=50K
42, Private, HS-grad, Widowed, Sales, Not-in-family, Black, Female,0,0,25, Germany, <=50K
30, Private, Some-college, Married-civ-spouse, Farming-fishing, Not-in-family, Other, Female,0,0,60, Portugal, <=50K
43, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,40, Taiwan, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,6, Nicaragua, <=50K
19, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,10, Poland, <=50K
44, Self-emp-not-inc, Bachelors, Married-spouse-absent, Prof-specialty, Wife, Black, Female,15024,0,40, Scotland, >50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,70, Taiwan, >50K
40, Self-emp-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,60, China, <=50K
21, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Own-child, Black, Male,0,0,20, Portugal, <=50K
41, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
48, Self-emp-not-inc, HS-grad, Separated, Other-service, Other-relative, Amer-Indian-Eskimo, Female,0,0,40, India, <=50K
33, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,38, Japan, <=50K
38, Local-gov, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Taiwan, <=50K
45, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,7687,0,40, El-Salvador, >50K
27, State-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Honduras, <=50K
28, Private, 10th, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Germany, <=50K
29, Private, HS-grad, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Female,0,0,16, Nicaragua, <=50K
23, Private, HS-grad, Never-married, Other-service, Unmarried, Black, Female,0,0,40, Italy, <=50K
19, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
62, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,745,0,23, Columbia, <=50K
48, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
44, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
67, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Ireland, >50K
40, Local-gov, 9th, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Honduras, <=50K
40, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,99999,0,65, Laos, >50K
31, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
52, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,1887,60, Columbia, >50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,70, Jamaica, >50K
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,1977,40, Guatemala, >50K
41, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, Guatemala, >50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,50, Dominican-Republic, <=50K
29, Local-gov, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,40, Honduras, <=50K
30, Private, HS-grad, Never-married, Other-service, Own-child, Black, Female,0,0,30, Italy, <=50K
27, Private, HS-grad, Never-married, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Female,0,0,30, Thailand, <=50K
50, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,50, Japan, <=50K
33, Private, Doctorate, Separated, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
27, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
24, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,25, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,45, India, >50K
35, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Cuba, <=50K
51, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,5178,0,40, Vietnam, <=50K
90, Private, 7th-8th, Widowed, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Honduras, >50K
22, Private, Masters, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,35, Peru, <=50K
29, State-gov, Bachelors, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, Italy, >50K
38, Private, 9th, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,40, Peru, >50K
42, Private, HS-grad, Separated, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Vietnam, <=50K
35, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,48, India, <=50K
52, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,1977,45, Dominican-Republic, >50K
21, Private, Some-college, Never-married, Sales, Own-child, Other, Male,0,0,20, Portugal, <=50K
36, Private, Doctorate, Separated, Transport-moving, Other-relative, Other, Male,0,2207,70, India, <=50K
30, Private, 11th, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,35, Iran, <=50K
49, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,99999,0,20, South, >50K
34, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, Peru, >50K
50, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
37, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,38, Guatemala, <=50K
60, Private, Some-college, Separated, Transport-moving, Husband, White, Male,0,0,40, El-Salvador, <=50K
27, Private, 9th, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,30, India, <=50K
37, Private, Bachelors, Married-civ-spouse, Sales, Husband, Black, Male,0,0,54, Mexico, >50K
46, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Puerto-Rico, >50K
24, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Black, Female,0,0,48, Philippines, <=50K
36, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Taiwan, <=50K
32, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Male,0,0,40, Japan, >50K
57, Private, Assoc-voc, Separated, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
30, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Peru, <=50K
58, Federal-gov, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,20, Taiwan, >50K
44, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,80, India, >50K
61, Private, Some-college, Widowed, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,24, Hong, <=50K
48, Private, Masters, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,65, South, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Yugoslavia, >50K
51, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,60, Canada, >50K
22, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,20, Honduras, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, Trinadad&Tobago, <=50K
36, Private, Some-college, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0,0,40, Guatemala, <=50K
35, Private, Some-college, Married-civ-spouse, Sales, Husband, Other, Male,0,0,16, Columbia, <=50K
40, Private, Some-college, Never-married, Craft-repair, Unmarried, Black, Female,0,0,40, Haiti, <=50K
78, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Yugoslavia, >50K
42, Private, HS-grad, Separated, Craft-repair, Husband, Other, Male,0,0,50, Nicaragua, <=50K
43, Private, HS-grad, Widowed, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Male,0,0,54, Trinadad&Tobago, <=50K
26, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Iran, <=50K
50, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Puerto-Rico, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
48, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
51, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Italy, >50K
37, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,32, Cambodia, <=50K
38, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1872,40, Laos, >50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Haiti, <=50K
26, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Jamaica, >50K
46, Private, Some-college, Married-civ-spouse, Transport-moving, Wife, Amer-Indian-Eskimo, Male,0,0,48, Japan, >50K
52, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,43, Canada, <=50K
69, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,20, Scotland, <=50K
28, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,38, South, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Black, Male,0,0,50, Iran, <=50K
60, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Ecuador, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, Black, Female,0,0,20, South, <=50K
63, Private, Prof-school, Widowed, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,24, Vietnam, <=50K
30, Federal-gov, Some-college, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,35, Cambodia, <=50K
25, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
28, Self-emp-inc, 11th, Divorced, Adm-clerical, Own-child, Other, Female,0,0,48, Jamaica, <=50K
60, Local-gov, Masters, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,40, Germany, >50K
27, Private, Assoc-acdm, Married-civ-spouse, Sales, Wife, White, Male,0,0,60, Italy, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Unmarried, Black, Female,0,0,40, Nicaragua, <=50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, Iran, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States, <=50K
22, Private, HS-grad, Never-married, Transport-moving, Other-relative, Black, Male,0,0,50, Peru, <=50K
38, Private, 11th, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,40, Ireland, <=50K
45, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, China, >50K
60, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Greece, <=50K
31, Private, Assoc-voc, Separated, Other-service, Wife, Black, Male,0,0,40, Scotland, >50K
20, Private, Assoc-acdm, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male,0,0,30, South, <=50K
36, Self-emp-not-inc, Doctorate, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,45, India, <=50K
22, Private, Some-college, Never-married, Protective-serv, Own-child, Other, Male,0,0,40, Iran, <=50K
34, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,0,70, Hong, <=50K
62, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,12, Guatemala, <=50K
45, Self-emp-inc, Bachelors, Never-married, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,7687,0,60, India, >50K
55, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Columbia, <=50K
23, Private, Bachelors, Never-married, Tech-support, Not-in-family, Other, Male,0,0,45, Honduras, <=50K
26, Private, Assoc-acdm, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
23, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Honduras, <=50K
44, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Greece, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Mexico, <=50K
26, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,39, South, >50K
54, Private, Assoc-acdm, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Puerto-Rico, <=50K
57, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,45, India, <=50K
23, Private, Bachelors, Never-married, Farming-fishing, Wife, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,48, Yugoslavia, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Female,0,1902,19, Haiti, <=50K
41, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,2163,40, Ireland, <=50K
46, Private, HS-grad, Separated, Craft-repair, Husband, Black, Male,0,0,40, Canada, <=50K
