34, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, >50K
20, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,32, Laos, <=50K
51, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, France, >50K
35, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
47, Private, Assoc-voc, Divorced, Handlers-cleaners, Husband, Black, Male,0,0,40, Portugal, >50K
63, Federal-gov, 5th-6th, Married-civ-spouse, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,30, England, <=50K
64, Federal-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,40, Hungary, <=50K
48, Federal-gov, HS-grad, Never-married, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,0,0,40, Nicaragua, >50K
55, Self-emp-not-inc, Assoc-voc, Widowed, Other-service, Unmarried, Black, Male,0,0,50, Japan, <=50K
31, Self-emp-inc, HS-grad, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,30, Honduras, <=50K
26, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,0,0,40, Yugoslavia, <=50K
47, Private, 9th, Divorced, Craft-repair, Husband, Other, Male,0,0,35, Cuba, <=50K
50, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
34, Private, Assoc-voc, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,45, India, <=50K
24, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
26, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,40, Dominican-Republic, >50K
57, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Husband, Other, Female,0,0,40, Japan, <=50K
26, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,53, Japan, >50K
64, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,7298,0,40, Taiwan, >50K
22, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Female,0,0,20, Trinadad&Tobago, <=50K
27, Private, 11th, Never-married, Adm-clerical, Own-child, Other, Female,0,0,38, Ecuador, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,30, Canada, <=50K
25, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,40, Yugoslavia, >50K
38, Private, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,10573,0,50, Thailand, >50K
42, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, Poland, <=50K
29, Private, Masters, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, Haiti, >50K
31, Private, Assoc-voc, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,60, Puerto-Rico, <=50K
24, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, Jamaica, <=50K
20, Private, 11th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, Iran, <=50K
64, Private, Masters, Divorced, Sales, Husband, White, Male,0,0,50, France, <=50K
42, Private, Bachelors, Divorced, Prof-specialty, Husband, Other, Female,0,0,38, Germany, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Other-relative, Asian-Pac-Islander, Male,0,0,50, Italy, <=50K
21, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,25, Laos, <=50K
33, Private, 11th, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,35, Columbia, <=50K
35, Private, Doctorate, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,60, Japan, <=50K
51, Private, Bachelors, Divorced, Craft-repair, Wife, Other, Female,0,0,40, Ecuador, <=50K
27, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, <=50K
33, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Germany, <=50K
42, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Female,7668,0,40, Taiwan, >50K
42, Local-gov, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,50, Canada, <=50K
24, Private, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
46, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,26987,0,35, Honduras, >50K
50, Private, HS-grad, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,45, Ireland, >50K
35, Private, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
27, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
22, Private, HS-grad, Never-married, Sales, Own-child, Other, Female,0,0,16, Columbia, <=50K
48, Local-gov, HS-grad, Married-civ-spouse, Farming-fishing, Wife, Amer-Indian-Eskimo, Female,0,0,15, China, <=50K
28, Private, Some-college, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,50, Hungary, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,50, Thailand, <=50K
34, Local-gov, Bachelors, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Guatemala, >50K
54, State-gov, Masters, Divorced, Exec-managerial, Not-in-family, Other, Male,0,1887,60, Guatemala, <=50K
40, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Trinadad&Tobago, <=50K
38, Private, Doctorate, Married-civ-spouse, Prof-specialty, Wife, Amer-Indian-Eskimo, Female,15024,0,40, China, <=50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,60, England, >50K
28, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, Other, Female,0,0,45, Thailand, <=50K
44, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Taiwan, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, Thailand, >50K
30, Private, HS-grad, Never-married, Prof-specialty, Husband, Other, Female,0,0,84, South, <=50K
35, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,2319,40, France, >50K
37, Local-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, China, >50K
40, Federal-gov, 7th-8th, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,40, Japan, <=50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, Other, Male,0,0,60, Trinadad&Tobago, >50K
34, Private, Some-college, Never-married, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Puerto-Rico, <=50K
64, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Ireland, >50K
29, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,20, Trinadad&Tobago, <=50K
45, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Black, Female,0,0,85, England, <=50K
22, State-gov, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Haiti, <=50K
42, Self-emp-not-inc, Masters, Never-married, Craft-repair, Unmarried, White, Male,0,1977,50, Trinadad&Tobago, >50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Thailand, <=50K
39, Without-pay, Prof-school, Separated, Prof-specialty, Husband, White, Male,0,0,35, Haiti, <=50K
25, Private, Assoc-voc, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,20, El-Salvador, <=50K
51, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,45, Greece, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,30, Scotland, <=50K
37, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,50, Thailand, >50K
17, Private, 11th, Never-married, Other-service, Own-child, Other, Male,0,0,16, Peru, <=50K
20, Private, HS-grad, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,15, Portugal, <=50K
31, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Unmarried, Black, Male,0,0,40, South, <=50K
53, Private, Masters, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,54, Philippines, <=50K
49, Private, Assoc-acdm, Widowed, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,20, China, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,16, Puerto-Rico, <=50K
37, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,44, Peru, <=50K
42, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Female,3868,0,40, India, >50K
72, Private, Masters, Widowed, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Laos, <=50K
24, Local-gov, 1st-4th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,50, Thailand, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,15, England, <=50K
38, State-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,7687,0,50, Honduras, <=50K
39, Private, 10th, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, Germany, <=50K
53, Local-gov, Masters, Divorced, Transport-moving, Unmarried, Asian-Pac-Islander, Female,0,0,35, Outlying-US(Guam-USVI-etc), >50K
58, Private, HS-grad, Married-civ-spouse, Other-service, Unmarried, Black, Female,0,0,40, Jamaica, >50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,1902,40, India, >50K
38, Private, HS-grad, Divorced, Transport-moving, Not-in-family, Other, Male,0,0,40, Peru, <=50K
26, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,15, Columbia, <=50K
21, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Haiti, <=50K
47, Private, Some-college, Divorced, Protective-serv, Husband, Asian-Pac-Islander, Female,0,0,54, United-States, <=50K
21, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Male,0,0,35, Italy, >50K
36, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Hong, <=50K
24, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,37, Laos, <=50K
59, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Peru, <=50K
48, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
47, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, Japan, >50K
27, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,1902,50, Haiti, >50K
37, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,1958,35, Haiti, >50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,60, Dominican-Republic, <=50K
34, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Hong, <=50K
21, Private, Bachelors, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,70, Trinadad&Tobago, <=50K
28, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,0,0,50, Laos, <=50K
64, Self-emp-not-inc, HS-grad, Widowed, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,8, Peru, <=50K
59, State-gov, Some-college, Married-civ-spouse, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Thailand, <=50K
24, Private, Bachelors, Never-married, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
22, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Iran, >50K
27, Private, 12th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
43, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, <=50K
38, Private, Assoc-acdm, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,40, Honduras, >50K
22, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,3103,0,40, Poland, <=50K
31, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, Jamaica, >50K
20, Private, 11th, Never-married, Tech-support, Unmarried, White, Male,0,0,35, Philippines, <=50K
45, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,40, Vietnam, >50K
27, Private, Masters, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
65, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Female,0,2001,40, Ecuador, >50K
62, Private, HS-grad, Widowed, Protective-serv, Unmarried, Other, Male,0,0,40, Puerto-Rico, >50K
67, Private, Bachelors, Widowed, Tech-support, Not-in-family, Other, Male,7687,0,24, Iran, <=50K
25, Private, 10th, Married-civ-spouse, Machine-op-inspct, Own-child, Black, Male,2670,0,50, Ireland, <=50K
26, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,60, Taiwan, <=50K
58, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,45, Philippines, >50K
33, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,4386,0,40, Nicaragua, >50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,0,40, Guatemala, >50K
35, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
37, Local-gov, 11th, Never-married, Adm-clerical, Wife, Asian-Pac-Islander, Male,3126,0,35, Iran, <=50K
30, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,36, Mexico, <=50K
41, Private, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, Other, Female,0,0,37, Scotland, >50K
43, Private, Some-college, Never-married, Transport-moving, Husband, Black, Female,0,0,25, Poland, <=50K
34, Private, Some-college, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Thailand, <=50K
40, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Laos, >50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
64, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,20, Philippines, >50K
22, Federal-gov, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,45, Thailand, <=50K
19, Private, 11th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,15, Iran, <=50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Hong, >50K
25, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, Other, Male,0,0,40, Taiwan, <=50K
22, State-gov, Doctorate, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,35, Yugoslavia, <=50K
29, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,48, Canada, <=50K
47, Private, Doctorate, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Hong, >50K
52, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,4508,0,40, United-States, >50K
39, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
37, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,50, Columbia, <=50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,75, Haiti, >50K
37, Private, Some-college, Divorced, Machine-op-inspct, Husband, Other, Male,0,0,40, Yugoslavia, <=50K
31, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,54, Outlying-US(Guam-USVI-etc), <=50K
21, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Male,0,0,24, United-States, <=50K
74, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,30, Iran, <=50K
28, Self-emp-not-inc, Assoc-acdm, Never-married, Craft-repair, Husband, White, Male,0,0,50, Scotland, <=50K
21, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
27, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,35, Yugoslavia, <=50K
29, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, Jamaica, >50K
21, Private, Some-college, Never-married, Tech-support, Husband, White, Male,0,0,48, Cambodia, <=50K
24, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, Mexico, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,54, Haiti, >50K
24, Local-gov, Some-college, Married-civ-spouse, Sales, Not-in-family, Other, Male,0,0,40, Japan, <=50K
51, Private, Some-college, Married-civ-spouse, Tech-support, Unmarried, Asian-Pac-Islander, Male,0,0,40, Laos, <=50K
37, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Male,0,0,50, Canada, >50K
20, Private, Bachelors, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,30, South, <=50K
33, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,7299,0,60, Taiwan, >50K
38, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Black, Male,0,0,40, Ireland, <=50K
57, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,74, Ecuador, >50K
40, State-gov, Prof-school, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,7650,0,40, Taiwan, >50K
55, Private, Some-college, Married-civ-spouse, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
34, Federal-gov, Prof-school, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male,0,0,40, Cambodia, <=50K
47, Private, Masters, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,7298,0,50, Peru, >50K
40, State-gov, 10th, Divorced, Craft-repair, Unmarried, Other, Female,0,0,35, Japan, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, Other, Female,0,0,12, Greece, <=50K
46, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,50, Italy, <=50K
26, Private, Doctorate, Married-civ-spouse, Farming-fishing, Own-child, Black, Female,0,0,75, Outlying-US(Guam-USVI-etc), <=50K
25, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
31, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Own-child, Black, Male,0,0,40, Philippines, <=50K
35, Private, 1st-4th, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,54, Italy, >50K
37, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,50, China, >50K
23, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, Black, Male,0,0,40, Guatemala, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, Black, Male,0,0,25, South, <=50K
20, Private, Assoc-acdm, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,30, Taiwan, <=50K
46, Self-emp-not-inc, Masters, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,48, India, <=50K
36, Private, Some-college, Never-married, Other-service, Unmarried, Other, Male,0,0,30, Ireland, <=50K
45, Private, Assoc-voc, Divorced, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
23, State-gov, HS-grad, Never-married, Other-service, Own-child, Other, Male,0,0,30, Guatemala, <=50K
56, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,60, India, >50K
30, Private, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Columbia, <=50K
30, Private, Bachelors, Married-civ-spouse, Tech-support, Other-relative, Other, Male,0,0,40, Hong, <=50K
22, Private, 11th, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,16, Honduras, <=50K
48, Private, Some-college, Divorced, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,1878,34, Hong, <=50K
50, Private, Some-college, Divorced, Craft-repair, Unmarried, Other, Male,0,0,35, Guatemala, <=50K
62, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, Nicaragua, >50K
46, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Husband, White, Female,0,0,40, Taiwan, >50K
46, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Scotland, >50K
33, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,99, Iran, <=50K
29, Private, Bachelors, Never-married, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Thailand, <=50K
54, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
20, Private, Some-college, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Haiti, <=50K
