47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,1937,48, Dominican-Republic, >50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,80, Mexico, >50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,50, United-States, <=50K
28, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,40, Columbia, <=50K
28, Private, Bachelors, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, England, <=50K
36, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Other, Male,0,0,40, Ecuador, >50K
76, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,6, Greece, <=50K
57, Private, HS-grad, Widowed, Armed-Forces, Not-in-family, Black, Female,0,0,44, Canada, <=50K
90, Self-emp-not-inc, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,7804,0,25, Canada, >50K
37, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Yugoslavia, >50K
31, Private, Prof-school, Married-civ-spouse, Exec-managerial, Own-child, Other, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Female,0,0,25, Thailand, >50K
66, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,23148,0,55, England, >50K
47, Private, Some-college, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,45, Haiti, <=50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, Honduras, >50K
42, State-gov, HS-grad, Separated, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,35, El-Salvador, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
42, Self-emp-not-inc, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, Philippines, <=50K
27, Local-gov, Assoc-voc, Never-married, Adm-clerical, Own-child, Other, Male,0,0,50, Nicaragua, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,3103,0,35, Nicaragua, >50K
36, Private, Some-college, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Germany, <=50K
20, Private, Assoc-acdm, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,45, Peru, <=50K
40, Private, Assoc-voc, Divorced, Other-service, Not-in-family, Other, Male,0,0,40, South, <=50K
23, Local-gov, 1st-4th, Married-civ-spouse, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,40, France, <=50K
21, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, India, <=50K
22, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, Other, Male,0,0,20, Mexico, <=50K
63, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Hungary, >50K
39, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Yugoslavia, <=50K
32, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Dominican-Republic, >50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,38, El-Salvador, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,45, Ireland, >50K
47, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,30, Poland, <=50K
61, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,17177,0,40, Dominican-Republic, >50K
25, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Husband, Other, Female,0,0,60, Mexico, <=50K
20, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,24, Mexico, <=50K
27, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
19, Private, Some-college, Never-married, Exec-managerial, Own-child, Black, Female,0,0,44, United-States, <=50K
38, Private, 12th, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, El-Salvador, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,30, Canada, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Yugoslavia, >50K
29, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
31, Private, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,0,0,60, Guatemala, <=50K
33, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, Scotland, <=50K
56, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Male,0,0,50, Honduras, <=50K
36, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Taiwan, <=50K
70, Federal-gov, Some-college, Widowed, Adm-clerical, Wife, White, Male,0,0,6, Mexico, <=50K
66, Self-emp-inc, 7th-8th, Widowed, Adm-clerical, Husband, White, Male,2651,0,40, Ireland, <=50K
76, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,35, Germany, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,40, Greece, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Japan, <=50K
43, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,60, Nicaragua, >50K
61, Local-gov, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,41, Mexico, >50K
59, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Other, Female,15024,0,35, El-Salvador, >50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Male,0,0,35, Dominican-Republic, <=50K
23, Private, Bachelors, Never-married, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,52, Greece, <=50K
29, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,2174,0,15, United-States, >50K
37, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,70, China, <=50K
30, Private, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Hong, <=50K
34, Private, Masters, Married-civ-spouse, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,65, Jamaica, >50K
38, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,54, United-States, <=50K
33, Private, Assoc-voc, Never-married, Protective-serv, Not-in-family, White, Male,0,0,54, United-States, <=50K
44, Private, HS-grad, Divorced, Sales, Unmarried, Other, Female,0,0,40, Cuba, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
43, Private, Some-college, Never-married, Exec-managerial, Unmarried, Other, Female,0,0,54, India, <=50K
20, Private, Some-college, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,1885,20, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,45, Haiti, >50K
32, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, Haiti, <=50K
28, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
24, Private, Masters, Never-married, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,0,0,20, China, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,49, France, >50K
40, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Other, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, <=50K
31, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Female,7298,0,60, Trinadad&Tobago, >50K
36, Private, HS-grad, Never-married, Tech-support, Husband, White, Female,0,0,40, Greece, <=50K
42, Local-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, Columbia, <=50K
27, Local-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, Other, Male,0,0,40, Mexico, <=50K
24, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,2761,0,40, South, <=50K
38, Private, Prof-school, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, <=50K
48, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
39, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, Black, Female,0,0,54, France, <=50K
43, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
21, Private, Masters, Never-married, Adm-clerical, Unmarried, White, Male,0,0,50, United-States, <=50K
25, Self-emp-not-inc, Prof-school, Never-married, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
36, State-gov, Prof-school, Separated, Protective-serv, Husband, White, Male,0,0,75, Honduras, <=50K
29, Private, Assoc-voc, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,19, El-Salvador, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,50, Guatemala, <=50K
35, Private, Some-college, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,40, Thailand, <=50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,35, United-States, <=50K
58, Private, Prof-school, Separated, Exec-managerial, Husband, White, Male,0,0,30, Poland, <=50K
51, Private, HS-grad, Separated, Sales, Husband, Black, Male,0,0,40, South, <=50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,52, Trinadad&Tobago, <=50K
26, Private, Masters, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,60, Portugal, <=50K
90, Self-emp-inc, 7th-8th, Widowed, Priv-house-serv, Husband, Amer-Indian-Eskimo, Female,0,0,25, United-States, >50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, China, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Taiwan, <=50K
53, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,4797,0,40, Poland, >50K
68, State-gov, Masters, Widowed, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Ireland, <=50K
20, Private, Some-college, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Nicaragua, <=50K
41, Local-gov, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, United-States, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,16, England, <=50K
31, State-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Hungary, <=50K
29, Private, 10th, Divorced, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,30, Greece, <=50K
42, Local-gov, Masters, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,40, Philippines, >50K
47, Private, HS-grad, Never-married, Other-service, Unmarried, Black, Female,0,0,35, Laos, <=50K
31, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
21, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Portugal, <=50K
39, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Cuba, >50K
24, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,8, Honduras, <=50K
49, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Female,0,0,40, United-States, <=50K
61, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,50, Japan, >50K
21, Local-gov, 10th, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,35, India, <=50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Nicaragua, <=50K
51, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,10, Portugal, <=50K
54, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,50, Cuba, <=50K
29, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Mexico, <=50K
31, Private, Doctorate, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,40, Hong, <=50K
45, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Hong, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,45, Dominican-Republic, >50K
66, Local-gov, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,0,0,20, India, <=50K
34, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,40, Laos, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Female,0,0,35, Portugal, <=50K
33, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,1902,45, United-States, >50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
50, Private, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,80, Ireland, >50K
50, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Dominican-Republic, >50K
48, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, <=50K
54, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, Black, Female,0,0,38, Hungary, >50K
19, Private, Some-college, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,15, Puerto-Rico, <=50K
63, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Laos, >50K
56, Private, 7th-8th, Married-civ-spouse, Transport-moving, Unmarried, White, Male,0,0,40, Portugal, >50K
32, Private, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,50, Vietnam, >50K
27, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Italy, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Female,0,0,30, El-Salvador, <=50K
56, Private, HS-grad, Widowed, Sales, Unmarried, White, Male,0,0,30, Taiwan, <=50K
25, Private, HS-grad, Separated, Tech-support, Unmarried, Other, Male,0,0,40, Italy, <=50K
27, Private, 10th, Never-married, Other-service, Unmarried, Black, Male,0,0,30, Jamaica, <=50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, United-States, <=50K
39, Private, Doctorate, Married-civ-spouse, Other-service, Not-in-family, Black, Male,0,0,40, Portugal, <=50K
41, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,60, Peru, >50K
23, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, Other, Female,0,0,25, Haiti, <=50K
75, Private, Some-college, Widowed, Sales, Husband, White, Male,3393,0,21, El-Salvador, <=50K
62, Local-gov, 1st-4th, Separated, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, Ireland, <=50K
36, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,50, Peru, >50K
31, Private, Some-college, Never-married, Adm-clerical, Unmarried, Other, Female,0,0,40, Thailand, <=50K
33, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,40, Puerto-Rico, <=50K
48, Private, Some-college, Separated, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Nicaragua, <=50K
21, Private, Bachelors, Never-married, Farming-fishing, Other-relative, White, Female,0,1887,30, El-Salvador, <=50K
64, Private, Some-college, Widowed, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,35, Puerto-Rico, <=50K
23, Local-gov, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Private, 5th-6th, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, Italy, <=50K
46, Private, Some-college, Married-spouse-absent, Protective-serv, Husband, Black, Female,0,0,40, Hungary, >50K
22, Private, Some-college, Never-married, Transport-moving, Unmarried, Other, Male,0,0,35, United-States, <=50K
41, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,55, Yugoslavia, >50K
62, Self-emp-not-inc, HS-grad, Separated, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,35, Canada, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,50, Hungary, >50K
20, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,30, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Honduras, <=50K
31, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Cuba, <=50K
36, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Own-child, Black, Male,0,0,40, Hong, <=50K
29, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,70, Philippines, >50K
63, Private, Masters, Widowed, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Exec-managerial, Own-child, Other, Female,0,0,50, Italy, <=50K
42, Self-emp-not-inc, Assoc-acdm, Never-married, Craft-repair, Husband, White, Male,4386,0,40, Thailand, <=50K
54, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,40, Hungary, >50K
39, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1984,40, Yugoslavia, >50K
64, Private, Assoc-voc, Separated, Protective-serv, Not-in-family, White, Male,0,0,40, Laos, <=50K
34, Self-emp-inc, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Cambodia, >50K
61, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1902,96, Peru, >50K
25, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,48, Honduras, <=50K
42, Local-gov, Some-college, Divorced, Protective-serv, Unmarried, White, Male,0,0,40, Mexico, <=50K
23, Private, Some-college, Never-married, Tech-support, Unmarried, Asian-Pac-Islander, Male,0,0,40, Nicaragua, <=50K
52, Private, Assoc-voc, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,60, Canada, <=50K
44, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Trinadad&Tobago, >50K
38, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,7687,0,45, United-States, >50K
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Black, Male,0,0,45, Italy, <=50K
42, Local-gov, 5th-6th, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, El-Salvador, >50K
41, State-gov, Some-college, Never-married, Machine-op-inspct, Not-in-family, Other, Female,0,0,40, United-States, <=50K
43, Private, Some-college, Never-married, Protective-serv, Unmarried, Asian-Pac-Islander, Male,0,0,12, Vietnam, <=50K
34, Federal-gov, Some-college, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,40, Cambodia, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,20, Portugal, <=50K
17, Self-emp-not-inc, 10th, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,16, Mexico, <=50K
31, Private, HS-grad, Married-spouse-absent, Other-service, Own-child, White, Female,0,0,40, Guatemala, <=50K
25, Private, Assoc-acdm, Never-married, Priv-house-serv, Unmarried, White, Male,0,0,40, Laos, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, Black, Female,0,0,15, Philippines, <=50K
59, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,2391,40, Jamaica, <=50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Puerto-Rico, <=50K
47, Private, 1st-4th, Divorced, Other-service, Not-in-family, Other, Female,0,0,40, Jamaica, <=50K
53, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, China, >50K
23, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, Black, Male,0,0,40, Haiti, <=50K
34, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
21, Private, Assoc-voc, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
42, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,40, Ireland, >50K
31, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Jamaica, >50K
42, Private, Assoc-voc, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,1503,40, India, <=50K
52, State-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Honduras, >50K
29, Self-emp-inc, Bachelors, Separated, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,65, Ireland, <=50K
71, Local-gov, 10th, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,15, Columbia, <=50K
51, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,50, Hungary, <=50K
34, Private, 7th-8th, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,50, Hungary, <=50K
17, Private, Some-college, Never-married, Prof-specialty, Own-child, Black, Female,0,0,24, Hungary, <=50K
51, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, Haiti, <=50K
56, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,43, Peru, >50K
30, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,10408,0,50, United-States, >50K
55, Private, Assoc-acdm, Divorced, Other-service, Unmarried, Black, Female,0,0,40, Trinadad&Tobago, <=50K
62, Self-emp-not-inc, Masters, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,40, Ireland, <=50K
70, Private, Assoc-voc, Widowed, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
52, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,4992,0,40, Yugoslavia, <=50K
36, Self-emp-inc, Masters, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,50, Hong, <=50K
43, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,30, Japan, <=50K
35, Private, Bachelors, Never-married, Craft-repair, Husband, Black, Male,0,2182,45, China, >50K
47, Private, 10th, Divorced, Exec-managerial, Unmarried, Other, Male,0,0,50, South, <=50K
