62, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,49, Ecuador, <=50K
27, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,54, Yugoslavia, <=50K
30, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
38, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,2873,0,25, Yugoslavia, <=50K
30, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,45, El-Salvador, <=50K
27, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,35, Outlying-US(Guam-USVI-etc), <=50K
42, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Female,0,0,60, United-States, <=50K
25, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, Columbia, <=50K
60, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,50, France, <=50K
64, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, Other, Male,0,0,45, Ecuador, >50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,4693,0,40, Guatemala, >50K
17, Private, 11th, Never-married, Adm-clerical, Own-child, Black, Female,0,0,25, Canada, <=50K
43, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,35, Canada, <=50K
54, State-gov, Some-college, Married-spouse-absent, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
36, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,5303,0,40, United-States, >50K
42, Private, Some-college, Divorced, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
69, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, England, >50K
36, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,50, Honduras, <=50K
40, Private, Bachelors, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,70, Hong, <=50K
61, State-gov, HS-grad, Widowed, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,35, England, <=50K
25, Private, HS-grad, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, Ecuador, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,30, Puerto-Rico, <=50K
26, Private, Assoc-voc, Never-married, Adm-clerical, Own-child, Other, Male,0,0,40, Peru, <=50K
27, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,40, Peru, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Greece, <=50K
39, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Poland, >50K
21, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Other-relative, Other, Male,0,0,40, Thailand, >50K
28, Local-gov, 7th-8th, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,45, Germany, <=50K
43, Local-gov, HS-grad, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, Ireland, <=50K
51, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Portugal, <=50K
37, Private, Assoc-voc, Separated, Prof-specialty, Wife, Other, Male,0,1979,50, Peru, <=50K
33, Self-emp-inc, HS-grad, Never-married, Sales, Not-in-family, Black, Male,0,0,35, India, <=50K
18, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Female,0,0,10, Yugoslavia, <=50K
43, Private, 9th, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, El-Salvador, <=50K
47, Private, Assoc-voc, Never-married, Other-service, Not-in-family, Black, Female,0,1749,40, Jamaica, <=50K
22, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, Other, Female,0,0,40, Puerto-Rico, <=50K
57, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Dominican-Republic, >50K
43, Private, 11th, Never-married, Tech-support, Own-child, White, Female,0,0,40, Nicaragua, <=50K
21, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, United-States, <=50K
45, Private, 11th, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,7, El-Salvador, <=50K
59, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
68, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,35, Yugoslavia, >50K
27, Private, HS-grad, Never-married, Other-service, Other-relative, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
43, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,50, Thailand, >50K
32, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,54, Hungary, <=50K
19, Private, 11th, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,30, United-States, <=50K
46, Federal-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, Nicaragua, <=50K
36, Private, 9th, Never-married, Adm-clerical, Husband, White, Male,0,0,50, Jamaica, <=50K
30, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1887,50, Greece, >50K
40, Private, Bachelors, Divorced, Prof-specialty, Husband, White, Female,10321,0,50, Guatemala, <=50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Handlers-cleaners, Wife, Asian-Pac-Islander, Male,0,0,10, Mexico, <=50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,60, Peru, >50K
73, Local-gov, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,25, Cuba, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,50, El-Salvador, >50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, >50K
22, Private, HS-grad, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male,0,0,44, Dominican-Republic, <=50K
27, Private, Bachelors, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Guatemala, <=50K
71, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,36, United-States, >50K
31, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,48, China, <=50K
48, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Ecuador, >50K
59, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Hungary, <=50K
62, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,45, Laos, <=50K
72, Self-emp-not-inc, 9th, Divorced, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
23, Private, HS-grad, Never-married, Tech-support, Not-in-family, Other, Female,0,0,40, Cuba, <=50K
44, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
29, Private, Some-college, Never-married, Exec-managerial, Unmarried, Other, Female,0,0,50, Ireland, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Male,0,0,20, United-States, <=50K
58, Local-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, Hong, >50K
34, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Honduras, <=50K
22, Private, HS-grad, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
39, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, France, >50K
37, Private, HS-grad, Divorced, Farming-fishing, Other-relative, White, Female,0,0,85, United-States, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,43, United-States, <=50K
30, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,15023,0,45, United-States, >50K
22, Private, HS-grad, Never-married, Other-service, Husband, White, Female,0,0,35, United-States, <=50K
26, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,45, Guatemala, >50K
57, Local-gov, 9th, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,51, Columbia, >50K
30, Local-gov, 7th-8th, Divorced, Protective-serv, Not-in-family, Other, Male,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
23, Private, Some-college, Never-married, Other-service, Wife, White, Male,0,0,16, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Trinadad&Tobago, <=50K
57, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,60, Laos, >50K
28, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, United-States, <=50K
49, Private, HS-grad, Never-married, Sales, Husband, Other, Male,0,0,45, Germany, <=50K
42, State-gov, Masters, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,50, Hong, >50K
43, Self-emp-inc, HS-grad, Widowed, Adm-clerical, Unmarried, White, Male,4892,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Other-relative, White, Male,0,0,40, United-States, <=50K
30, State-gov, Some-college, Separated, Other-service, Not-in-family, White, Male,0,0,40, Hong, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1977,45, England, >50K
44, Private, HS-grad, Separated, Sales, Husband, Other, Male,0,0,44, Haiti, <=50K
45, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,5287,0,40, United-States, <=50K
45, Self-emp-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,38, United-States, >50K
39, Private, Some-college, Separated, Craft-repair, Not-in-family, White, Male,0,0,46, Scotland, <=50K
46, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, Trinadad&Tobago, >50K
81, Self-emp-not-inc, HS-grad, Widowed, Other-service, Unmarried, Other, Male,0,0,32, United-States, <=50K
34, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, South, <=50K
52, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
52, Private, HS-grad, Separated, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Male,0,0,38, China, <=50K
73, Self-emp-not-inc, HS-grad, Separated, Handlers-cleaners, Not-in-family, Other, Male,0,0,15, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, Scotland, >50K
52, State-gov, HS-grad, Divorced, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
48, Private, Masters, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Peru, <=50K
20, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,7687,0,40, France, >50K
23, State-gov, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,30, India, <=50K
36, Private, 11th, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,7298,0,40, Guatemala, >50K
43, Local-gov, Masters, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, Puerto-Rico, <=50K
33, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,40, Mexico, <=50K
26, Private, Masters, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Italy, <=50K
31, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Scotland, <=50K
47, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,70, Cuba, >50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Hong, <=50K
42, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,48, United-States, <=50K
33, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,50, Mexico, >50K
29, Local-gov, 12th, Never-married, Craft-repair, Not-in-family, White, Male,1088,0,40, Iran, <=50K
18, Local-gov, 11th, Never-married, Adm-clerical, Other-relative, Amer-Indian-Eskimo, Male,0,0,15, Peru, <=50K
44, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Scotland, <=50K
17, Private, 10th, Never-married, Protective-serv, Own-child, Asian-Pac-Islander, Male,0,0,16, Cuba, <=50K
20, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
52, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Hungary, <=50K
45, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,65, Hungary, <=50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,45, Ecuador, >50K
27, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,0,0,50, Iran, <=50K
32, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, Black, Female,5007,0,40, Nicaragua, <=50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Female,0,0,40, Philippines, <=50K
51, Self-emp-not-inc, HS-grad, Separated, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,50, Scotland, <=50K
64, State-gov, Some-college, Married-civ-spouse, Sales, Wife, Amer-Indian-Eskimo, Male,0,0,10, United-States, <=50K
35, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Private, Masters, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, Jamaica, <=50K
47, Private, 5th-6th, Married-spouse-absent, Craft-repair, Husband, White, Male,0,1887,20, Dominican-Republic, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,40, Vietnam, <=50K
30, Private, Assoc-acdm, Never-married, Farming-fishing, Own-child, Black, Female,0,0,54, India, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
48, State-gov, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, Nicaragua, <=50K
30, Private, 7th-8th, Divorced, Tech-support, Unmarried, White, Male,0,0,40, South, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,45, United-States, >50K
54, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,1902,45, Jamaica, <=50K
32, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,38, El-Salvador, <=50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,70, United-States, >50K
43, Private, HS-grad, Widowed, Transport-moving, Unmarried, Other, Male,0,0,30, Japan, <=50K
63, Local-gov, 1st-4th, Married-civ-spouse, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, Japan, <=50K
25, Private, Bachelors, Never-married, Farming-fishing, Husband, Other, Male,0,0,80, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, South, >50K
43, Private, Bachelors, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,35, Portugal, <=50K
27, Private, Some-college, Never-married, Craft-repair, Unmarried, Other, Female,0,0,40, Honduras, <=50K
41, Private, Some-college, Separated, Sales, Not-in-family, White, Male,0,0,40, France, <=50K
45, Local-gov, 7th-8th, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, Jamaica, <=50K
29, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,0,0,35, Poland, <=50K
30, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,45, United-States, >50K
21, Private, Some-college, Never-married, Transport-moving, Other-relative, Black, Female,0,0,16, Taiwan, <=50K
22, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
56, Private, Some-college, Widowed, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
37, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Female,7298,0,35, England, >50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Male,0,1725,10, South, >50K
32, Federal-gov, Bachelors, Divorced, Sales, Not-in-family, White, Male,0,0,60, United-States, <=50K
38, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,50, Jamaica, <=50K
30, Private, Some-college, Never-married, Priv-house-serv, Not-in-family, Black, Female,0,0,25, Iran, <=50K
23, Private, HS-grad, Never-married, Transport-moving, Unmarried, Other, Male,0,0,36, United-States, <=50K
22, Self-emp-not-inc, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
42, Self-emp-not-inc, Doctorate, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,1989,40, Canada, >50K
54, Private, Doctorate, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,50, India, >50K
21, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Tech-support, Other-relative, White, Male,0,0,40, Hong, <=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,1977,35, Cuba, <=50K
54, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, Other, Male,7298,0,40, Hungary, >50K
27, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Vietnam, <=50K
33, Private, Bachelors, Separated, Adm-clerical, Own-child, Other, Male,0,0,45, Puerto-Rico, <=50K
47, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, >50K
42, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,40, Japan, <=50K
45, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,70, India, >50K
18, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,12, Yugoslavia, <=50K
18, Private, 5th-6th, Never-married, Prof-specialty, Own-child, White, Male,0,0,25, Nicaragua, <=50K
41, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,38, Cambodia, <=50K
56, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, Poland, <=50K
63, Private, 9th, Widowed, Exec-managerial, Not-in-family, Other, Male,0,0,25, Hungary, <=50K
25, Local-gov, Some-college, Never-married, Protective-serv, Own-child, White, Male,0,0,8, Outlying-US(Guam-USVI-etc), <=50K
68, Private, Some-college, Widowed, Tech-support, Unmarried, Asian-Pac-Islander, Male,0,0,30, Philippines, <=50K
26, Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,48, Canada, <=50K
44, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,15024,0,50, United-States, >50K
31, Private, Some-college, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,54, Japan, <=50K
25, Private, 12th, Never-married, Craft-repair, Own-child, White, Female,0,0,40, El-Salvador, <=50K
63, State-gov, Some-college, Married-civ-spouse, Other-service, Not-in-family, Other, Female,0,0,21, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,2130,45, Vietnam, >50K
46, Federal-gov, Masters, Separated, Machine-op-inspct, Husband, Black, Male,0,0,40, Cambodia, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,36, Scotland, >50K
49, State-gov, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
62, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,32, Haiti, <=50K
27, Private, 7th-8th, Married-civ-spouse, Other-service, Wife, White, Male,0,0,25, Mexico, <=50K
53, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,45, Portugal, >50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Laos, >50K
40, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,45, United-States, <=50K
36, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,50, Taiwan, <=50K
35, Private, 12th, Never-married, Other-service, Not-in-family, Other, Female,0,0,34, Laos, <=50K
32, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,0,0,40, Columbia, <=50K
52, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Honduras, <=50K
18, Private, 11th, Never-married, Machine-op-inspct, Own-child, Other, Male,0,0,12, United-States, <=50K
35, Private, Assoc-voc, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,43, Jamaica, <=50K
37, Private, Some-college, Never-married, Other-service, Unmarried, White, Male,0,0,40, Laos, <=50K
57, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,0,0,24, Ireland, <=50K
37, State-gov, HS-grad, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, Hong, <=50K
30, Private, Bachelors, Separated, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, <=50K
18, Private, 11th, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,35, Cuba, <=50K
60, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, India, >50K
56, Private, 5th-6th, Never-married, Other-service, Not-in-family, Black, Male,0,0,20, India, <=50K
19, Private, Some-college, Never-married, Other-service, Not-in-family, Black, Female,0,0,30, Iran, <=50K
33, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Honduras, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, Portugal, >50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
37, Private, Assoc-voc, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,51, United-States, <=50K
29, Private, Some-college, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,40, Jamaica, <=50K
30, Private, Bachelors, Separated, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,25, United-States, <=50K
61, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,2136,0,35, Vietnam, <=50K
29, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,45, Hungary, <=50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, Mexico, >50K
42, Private, Bachelors, Separated, Adm-clerical, Not-in-family, Black, Male,3103,0,40, China, <=50K
46, Private, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Trinadad&Tobago, >50K
43, Private, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,15024,0,40, Trinadad&Tobago, >50K
45, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Cuba, >50K
38, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,54, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Thailand, <=50K
