25, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,11887,0,50, India, >50K
35, Local-gov, HS-grad, Separated, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
34, Self-emp-not-inc, Bachelors, Widowed, Prof-specialty, Unmarried, White, Male,0,0,70, United-States, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Yugoslavia, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, Hong, >50K
27, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
35, Self-emp-not-inc, Bachelors, Separated, Prof-specialty, Unmarried, White, Female,0,0,44, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
26, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Hungary, >50K
29, Private, 10th, Never-married, Transport-moving, Own-child, White, Male,0,0,48, United-States, <=50K
23, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, United-States, >50K
29, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
47, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, 11th, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
41, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Dominican-Republic, >50K
55, Self-emp-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Female,0,0,8, Yugoslavia, >50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,15, United-States, >50K
61, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,30, Thailand, <=50K
41, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
19, Private, Some-college, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,43, United-States, <=50K
44, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,38, United-States, <=50K
48, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,30, Puerto-Rico, <=50K
31, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Poland, <=50K
41, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,2433,45, United-States, >50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
37, Private, 11th, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Greece, <=50K
39, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Black, Male,15024,0,40, United-States, >50K
73, Private, Bachelors, Divorced, Exec-managerial, Wife, White, Female,0,0,15, Jamaica, <=50K
40, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,3098,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Transport-moving, Own-child, Black, Male,0,0,50, Hungary, <=50K
48, Private, HS-grad, Married-spouse-absent, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Puerto-Rico, <=50K
39, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
45, Local-gov, Assoc-acdm, Never-married, Transport-moving, Not-in-family, Black, Female,0,0,40, Dominican-Republic, <=50K
30, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Hungary, <=50K
62, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Black, Male,0,0,30, United-States, <=50K
37, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Black, Male,0,0,40, United-States, <=50K
20, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,3835,0,50, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, Greece, <=50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,70, El-Salvador, <=50K
26, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
27, Private, Prof-school, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Local-gov, HS-grad, Divorced, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
38, State-gov, Masters, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, >50K
17, Private, 11th, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,15, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Black, Male,5178,0,45, Ecuador, <=50K
34, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, Mexico, <=50K
31, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,60, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
27, Private, Masters, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Local-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,10, South, <=50K
37, Local-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,7298,0,70, England, <=50K
33, Federal-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,7298,0,45, United-States, >50K
50, Private, Some-college, Separated, Sales, Not-in-family, Black, Male,0,0,45, United-States, <=50K
20, Private, HS-grad, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,12, Outlying-US(Guam-USVI-etc), <=50K
34, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
63, Self-emp-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, State-gov, Some-college, Separated, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Japan, <=50K
37, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
57, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,20, United-States, <=50K
44, Private, Some-college, Divorced, Other-service, Unmarried, White, Male,0,0,35, United-States, <=50K
73, Private, Masters, Widowed, Machine-op-inspct, Unmarried, White, Male,0,0,8, United-States, <=50K
35, Private, Bachelors, Never-married, Sales, Husband, White, Female,0,0,64, United-States, <=50K
23, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,38, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,45, United-States, <=50K
42, Private, Assoc-voc, Separated, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
40, Private, Masters, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,44, Ecuador, <=50K
31, Private, HS-grad, Never-married, Farming-fishing, Unmarried, White, Male,0,0,40, United-States, <=50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,20, United-States, >50K
64, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
35, Private, Masters, Never-married, Craft-repair, Not-in-family, White, Female,0,0,65, United-States, <=50K
24, Private, Assoc-acdm, Never-married, Other-service, Own-child, White, Male,0,0,52, United-States, <=50K
55, Private, HS-grad, Separated, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,30, Mexico, <=50K
61, State-gov, Doctorate, Widowed, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Private, 10th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, Taiwan, <=50K
26, Private, Some-college, Never-married, Tech-support, Own-child, White, Female,0,0,20, United-States, >50K
23, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,16, United-States, <=50K
30, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
49, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,48, United-States, >50K
42, Private, Masters, Never-married, Other-service, Not-in-family, White, Male,0,0,30, Greece, <=50K
36, Local-gov, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, >50K
32, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, >50K
59, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
35, Local-gov, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
52, Federal-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, Guatemala, <=50K
56, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, >50K
63, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
51, Self-emp-not-inc, HS-grad, Separated, Sales, Unmarried, Black, Female,0,0,32, Hungary, <=50K
32, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States, <=50K
37, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,41, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
64, Self-emp-not-inc, Some-college, Divorced, Protective-serv, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, United-States, <=50K
23, Private, 11th, Never-married, Farming-fishing, Husband, White, Male,0,0,25, Hong, <=50K
40, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,60, United-States, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,70, United-States, >50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,38, United-States, >50K
30, Self-emp-not-inc, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,70, United-States, >50K
62, Private, 5th-6th, Divorced, Sales, Unmarried, White, Female,0,0,35, United-States, <=50K
43, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, Masters, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,65, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Jamaica, <=50K
46, Private, Masters, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, >50K
33, Private, Bachelors, Never-married, Sales, Wife, White, Female,0,0,50, United-States, >50K
24, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,35, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,50, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
73, Self-emp-not-inc, Some-college, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
44, Private, Some-college, Separated, Sales, Not-in-family, White, Male,0,2431,40, Japan, <=50K
24, Local-gov, 10th, Never-married, Exec-managerial, Own-child, Other, Male,0,0,20, United-States, <=50K
21, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,36, United-States, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,38, United-States, >50K
29, Private, Some-college, Separated, Transport-moving, Not-in-family, White, Male,0,0,30, United-States, <=50K
43, Private, Some-college, Never-married, Exec-managerial, Wife, Amer-Indian-Eskimo, Female,0,0,30, United-States, >50K
41, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
27, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,40, Japan, <=50K
48, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,42, United-States, >50K
60, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
26, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, <=50K
53, Private, Some-college, Separated, Prof-specialty, Unmarried, Other, Female,0,0,15, United-States, <=50K
46, Private, Masters, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,45, United-States, <=50K
35, Self-emp-inc, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
52, Self-emp-not-inc, Masters, Married-spouse-absent, Exec-managerial, Husband, Other, Male,15024,0,65, Cuba, >50K
42, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Other, Male,7687,0,50, United-States, >50K
41, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States, <=50K
45, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Greece, <=50K
24, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Other-relative, White, Male,0,0,40, United-States, <=50K
61, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Separated, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
46, Private, Masters, Married-spouse-absent, Other-service, Husband, Black, Male,0,0,10, United-States, <=50K
47, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, Assoc-acdm, Never-married, Craft-repair, Husband, White, Male,0,0,48, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,65, United-States, >50K
28, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,36, Yugoslavia, <=50K
31, Private, HS-grad, Divorced, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, Cambodia, <=50K
23, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,38, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1885,40, United-States, >50K
47, Federal-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
40, Local-gov, Some-college, Separated, Tech-support, Wife, Black, Male,0,0,31, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Cuba, >50K
38, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
67, Self-emp-inc, Masters, Widowed, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
62, Local-gov, 10th, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, Jamaica, <=50K
42, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
17, Private, Some-college, Never-married, Sales, Own-child, Other, Male,0,0,25, United-States, <=50K
29, Federal-gov, HS-grad, Separated, Machine-op-inspct, Own-child, White, Male,0,0,40, Cambodia, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,30, United-States, >50K
33, Self-emp-not-inc, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,45, United-States, >50K
45, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Own-child, White, Male,7687,0,54, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
64, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,20, United-States, <=50K
50, Private, Some-college, Divorced, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
41, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,5178,0,40, El-Salvador, <=50K
27, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
56, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
40, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,48, United-States, <=50K
21, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,50, United-States, <=50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, United-States, <=50K
41, Private, Assoc-voc, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
31, Private, Bachelors, Separated, Prof-specialty, Not-in-family, Black, Male,0,0,50, United-States, <=50K
32, Local-gov, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2116,54, Germany, <=50K
58, Private, Bachelors, Married-civ-spouse, Tech-support, Wife, White, Male,0,0,30, United-States, <=50K
27, Private, Assoc-acdm, Never-married, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, <=50K
36, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, United-States, >50K
31, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Male,3286,0,48, Trinadad&Tobago, <=50K
73, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,0,0,5, United-States, <=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
48, Private, Assoc-voc, Separated, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1740,30, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
43, Private, Assoc-voc, Divorced, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
45, Private, Preschool, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
35, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Male,0,0,40, Dominican-Republic, <=50K
47, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
68, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
22, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Greece, <=50K
25, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K
67, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,35, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
45, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,32, United-States, <=50K
36, Private, HS-grad, Divorced, Transport-moving, Unmarried, Other, Female,0,0,45, Laos, <=50K
48, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,38, United-States, >50K
48, Private, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,0,0,43, United-States, >50K
59, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,38, United-States, >50K
61, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,1902,40, Japan, >50K
31, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Canada, >50K
50, Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,80, United-States, <=50K
49, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,40, United-States, <=50K
36, Self-emp-inc, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1887,40, United-States, >50K
37, Federal-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1705,37, United-States, <=50K
31, Private, Some-college, Never-married, Sales, Wife, White, Female,0,0,40, United-States, <=50K
53, Private, Some-college, Divorced, Other-service, Unmarried, Black, Female,0,0,15, Hungary, <=50K
