51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,60, Dominican-Republic, >50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,60, Yugoslavia, <=50K
43, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Guatemala, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Scotland, <=50K
43, Self-emp-inc, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,15024,0,40, Honduras, >50K
26, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,45, Taiwan, <=50K
60, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, Laos, <=50K
38, Private, Assoc-acdm, Separated, Adm-clerical, Not-in-family, White, Male,0,0,40, Ireland, <=50K
46, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, Germany, <=50K
19, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,24, Greece, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,20, Jamaica, <=50K
27, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Other, Male,0,0,35, Mexico, <=50K
35, Private, Assoc-acdm, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
30, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Laos, <=50K
37, Private, HS-grad, Divorced, Craft-repair, Unmarried, Other, Female,0,0,40, El-Salvador, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Doctorate, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Male,15024,0,35, Dominican-Republic, <=50K
33, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,50, Greece, >50K
30, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, United-States, >50K
46, Private, Assoc-acdm, Divorced, Transport-moving, Unmarried, Asian-Pac-Islander, Female,0,0,40, China, <=50K
28, Private, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,35, Dominican-Republic, <=50K
43, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Honduras, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Jamaica, >50K
41, Private, HS-grad, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,15, United-States, <=50K
36, Private, Bachelors, Never-married, Protective-serv, Own-child, White, Male,0,0,50, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Female,0,0,40, Cuba, <=50K
49, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,70, China, <=50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,60, India, >50K
48, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,54, United-States, >50K
50, Private, HS-grad, Divorced, Tech-support, Unmarried, Asian-Pac-Islander, Male,0,0,40, Haiti, <=50K
44, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Other, Male,0,0,45, Haiti, <=50K
29, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, United-States, >50K
33, Private, HS-grad, Never-married, Prof-specialty, Wife, Amer-Indian-Eskimo, Female,0,0,20, China, <=50K
45, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1586,40, France, >50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,40, United-States, >50K
70, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,2917,0,40, United-States, <=50K
56, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Husband, Other, Female,0,0,40, Thailand, <=50K
29, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,3421,0,45, Greece, <=50K
62, Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, Black, Male,0,0,40, Columbia, >50K
48, Local-gov, Assoc-acdm, Divorced, Prof-specialty, Unmarried, Other, Male,0,0,35, Laos, <=50K
26, Private, HS-grad, Never-married, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,20, South, <=50K
41, Private, HS-grad, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,2351,0,40, Italy, <=50K
38, Private, Some-college, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,45, Germany, <=50K
41, State-gov, HS-grad, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,35, Holand-Netherlands, <=50K
56, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Separated, Craft-repair, Unmarried, White, Male,0,0,29, United-States, <=50K
40, State-gov, Masters, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, Holand-Netherlands, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,15024,0,54, England, >50K
48, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, Other, Male,15024,0,40, Guatemala, <=50K
59, Self-emp-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,1977,45, Taiwan, >50K
25, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
21, Private, Some-college, Separated, Other-service, Own-child, White, Male,0,0,15, Poland, <=50K
49, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, South, <=50K
37, Self-emp-not-inc, HS-grad, Divorced, Other-service, Unmarried, Black, Male,0,0,40, Trinadad&Tobago, <=50K
80, Private, Masters, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Male,0,0,24, Portugal, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,15, United-States, <=50K
45, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, China, >50K
30, Self-emp-not-inc, Bachelors, Never-married, Machine-op-inspct, Not-in-family, Other, Male,0,0,60, Taiwan, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, Poland, <=50K
31, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
24, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
36, Local-gov, Assoc-acdm, Never-married, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,20, England, >50K
58, State-gov, HS-grad, Widowed, Craft-repair, Unmarried, White, Male,1663,0,40, Hong, <=50K
33, Private, 10th, Divorced, Other-service, Other-relative, Amer-Indian-Eskimo, Female,0,0,40, Guatemala, <=50K
84, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,10, Philippines, >50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Black, Female,0,0,40, Japan, <=50K
40, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,45, Iran, >50K
45, Private, HS-grad, Divorced, Tech-support, Not-in-family, Other, Male,4154,0,40, Poland, <=50K
59, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Cuba, >50K
18, Private, Assoc-voc, Never-married, Other-service, Own-child, White, Male,0,0,10, Holand-Netherlands, <=50K
46, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
50, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Jamaica, >50K
29, Local-gov, 11th, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Hungary, <=50K
42, Federal-gov, Assoc-voc, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,35, Mexico, <=50K
68, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,20, Poland, <=50K
62, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, Cuba, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Laos, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,40, Honduras, <=50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,45, Honduras, >50K
25, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
45, Private, Prof-school, Married-civ-spouse, Sales, Husband, Black, Female,0,0,54, Hungary, <=50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, Japan, <=50K
51, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Female,0,0,45, United-States, >50K
29, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,40, Nicaragua, <=50K
23, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Poland, <=50K
27, State-gov, Some-college, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
25, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Private, Masters, Married-civ-spouse, Sales, Unmarried, Asian-Pac-Islander, Male,6505,0,40, Ireland, >50K
29, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,52, Dominican-Republic, <=50K
35, Private, Masters, Never-married, Craft-repair, Not-in-family, White, Male,0,1632,50, Vietnam, <=50K
29, Private, Assoc-voc, Never-married, Other-service, Not-in-family, Black, Female,0,0,80, Hong, >50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Puerto-Rico, <=50K
26, State-gov, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Japan, <=50K
55, Private, 7th-8th, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,40, Portugal, >50K
27, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,0,0,47, United-States, <=50K
47, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,45, El-Salvador, <=50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Taiwan, >50K
56, Private, HS-grad, Separated, Transport-moving, Husband, Other, Male,0,0,40, Ireland, <=50K
42, Local-gov, 11th, Married-civ-spouse, Machine-op-inspct, Wife, Black, Male,0,0,40, Italy, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, United-States, >50K
17, Private, 10th, Never-married, Other-service, Own-child, Black, Male,0,0,24, Portugal, <=50K
19, Self-emp-not-inc, Bachelors, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,10, Peru, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Unmarried, Other, Female,0,0,40, Holand-Netherlands, <=50K
42, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,1887,54, England, <=50K
22, Local-gov, 11th, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Ireland, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
42, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,54, Thailand, <=50K
50, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, Black, Female,7298,0,40, Puerto-Rico, >50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Mexico, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, El-Salvador, >50K
43, Private, Some-college, Married-civ-spouse, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Male,0,0,60, Portugal, >50K
29, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,1494,40, United-States, >50K
23, Private, 11th, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Ireland, <=50K
30, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Female,0,0,20, Hungary, <=50K
32, Private, Masters, Married-civ-spouse, Transport-moving, Wife, Other, Male,0,0,15, United-States, <=50K
40, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,7687,0,50, Yugoslavia, >50K
20, Private, HS-grad, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
34, Private, HS-grad, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Hong, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
31, Private, Some-college, Divorced, Tech-support, Unmarried, White, Male,0,0,40, Holand-Netherlands, <=50K
22, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,60, Cuba, <=50K
52, Private, Some-college, Separated, Machine-op-inspct, Wife, Black, Male,0,0,40, Honduras, <=50K
27, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
23, Private, Bachelors, Never-married, Adm-clerical, Own-child, Other, Male,0,0,40, Philippines, <=50K
62, Private, HS-grad, Separated, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Female,0,0,40, Italy, <=50K
43, Self-emp-not-inc, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,50, Thailand, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,60, Hong, <=50K
33, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
36, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,2149,0,50, Japan, >50K
26, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,35, Cambodia, >50K
42, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,45, Honduras, >50K
25, Local-gov, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, Mexico, <=50K
18, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,25, Nicaragua, <=50K
49, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, Canada, >50K
45, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,15024,0,40, Thailand, >50K
47, Private, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,24, United-States, <=50K
31, Private, HS-grad, Never-married, Handlers-cleaners, Wife, Black, Male,0,0,36, Italy, <=50K
32, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Female,3403,0,40, El-Salvador, <=50K
51, State-gov, Masters, Divorced, Machine-op-inspct, Own-child, Other, Female,0,0,40, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Protective-serv, Wife, Asian-Pac-Islander, Male,7298,0,40, Vietnam, >50K
37, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Cambodia, <=50K
58, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,50, Poland, <=50K
34, Self-emp-not-inc, 9th, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,50, Mexico, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, Other, Female,2075,0,20, Guatemala, <=50K
37, Private, Assoc-acdm, Married-civ-spouse, Sales, Unmarried, White, Male,0,0,91, Japan, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Black, Female,0,0,40, Peru, <=50K
63, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,15, Italy, <=50K
45, Private, Prof-school, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Divorced, Transport-moving, Not-in-family, Other, Male,0,1485,40, Puerto-Rico, <=50K
52, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, Other, Female,0,0,54, Jamaica, >50K
24, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, China, <=50K
24, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,40, Haiti, <=50K
19, Private, 11th, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,29, Trinadad&Tobago, <=50K
31, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
18, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,20, Ireland, <=50K
36, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,45, Italy, <=50K
54, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,5539,0,40, India, <=50K
30, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1845,40, Holand-Netherlands, >50K
20, Private, HS-grad, Separated, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,29, Iran, <=50K
30, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Columbia, <=50K
47, Private, HS-grad, Divorced, Transport-moving, Not-in-family, Other, Male,0,1920,40, Hong, <=50K
21, Private, 11th, Never-married, Prof-specialty, Own-child, Black, Male,0,0,40, Hong, <=50K
41, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,45, Hungary, <=50K
50, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Male,0,0,45, Haiti, <=50K
31, State-gov, Bachelors, Never-married, Exec-managerial, Own-child, Other, Male,0,0,40, Peru, <=50K
29, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, >50K
48, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, Black, Female,7298,0,50, Thailand, >50K
34, Private, HS-grad, Divorced, Craft-repair, Unmarried, Other, Male,0,0,35, Ireland, <=50K
31, Private, HS-grad, Separated, Craft-repair, Wife, Amer-Indian-Eskimo, Male,4923,0,40, United-States, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
30, Private, Some-college, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,2800,0,40, Honduras, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Jamaica, <=50K
25, Private, Bachelors, Separated, Adm-clerical, Own-child, Black, Male,0,0,40, China, <=50K
24, Private, 10th, Never-married, Other-service, Not-in-family, Other, Male,0,0,29, South, <=50K
59, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Scotland, >50K
66, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,24, Columbia, <=50K
