21, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
36, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, United-States, >50K
28, Private, 12th, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,40, Philippines, <=50K
58, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,48, United-States, <=50K
23, Private, Doctorate, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,45, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
57, Private, Bachelors, Married-spouse-absent, Sales, Husband, Asian-Pac-Islander, Female,0,0,60, United-States, >50K
25, Private, 9th, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, >50K
17, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,15, Puerto-Rico, <=50K
53, Private, Some-college, Separated, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Female,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,54, United-States, >50K
21, Private, Bachelors, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Male,0,0,26, United-States, <=50K
60, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,80, Scotland, >50K
32, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
18, Private, Bachelors, Never-married, Sales, Own-child, White, Female,0,0,10, United-States, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, <=50K
17, Private, 11th, Never-married, Protective-serv, Own-child, Black, Female,0,0,20, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Protective-serv, Unmarried, Black, Female,0,0,40, Mexico, <=50K
35, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Other-service, Husband, White, Female,0,0,25, United-States, <=50K
56, Private, HS-grad, Married-spouse-absent, Tech-support, Husband, White, Female,0,0,35, United-States, >50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
46, Federal-gov, 5th-6th, Divorced, Protective-serv, Other-relative, White, Female,0,0,18, United-States, <=50K
31, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,0,45, United-States, >50K
52, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,15024,0,47, United-States, <=50K
33, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,65, United-States, >50K
24, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,54, United-States, <=50K
32, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Separated, Adm-clerical, Wife, White, Male,0,0,40, United-States, >50K
33, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,1902,40, United-States, <=50K
27, Without-pay, Some-college, Separated, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Bachelors, Divorced, Handlers-cleaners, Husband, White, Male,0,0,60, United-States, <=50K
54, Private, HS-grad, Widowed, Sales, Husband, White, Male,0,0,40, United-States, <=50K
52, Private, Some-college, Divorced, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
27, Private, HS-grad, Never-married, Machine-op-inspct, Other-relative, White, Male,0,0,40, United-States, <=50K
33, Private, Prof-school, Separated, Exec-managerial, Not-in-family, White, Male,0,1891,50, United-States, <=50K
65, Private, Bachelors, Widowed, Sales, Husband, White, Male,0,0,40, United-States, <=50K
22, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,0,0,20, United-States, <=50K
43, Private, Masters, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,45, United-States, <=50K
22, Private, 9th, Never-married, Other-service, Own-child, Black, Female,0,0,35, United-States, <=50K
33, Private, Masters, Never-married, Sales, Not-in-family, White, Male,0,0,50, Mexico, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
60, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,7687,0,20, United-States, <=50K
44, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, United-States, <=50K
44, Private, Masters, Never-married, Craft-repair, Husband, White, Female,0,0,45, United-States, <=50K
24, Local-gov, 12th, Never-married, Other-service, Wife, White, Male,0,0,35, United-States, <=50K
65, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Other-relative, Black, Male,0,0,25, United-States, >50K
22, State-gov, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
42, Private, 10th, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
45, Local-gov, HS-grad, Divorced, Transport-moving, Own-child, White, Female,0,0,40, United-States, >50K
19, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, Other, Male,7298,0,70, United-States, >50K
42, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Not-in-family, White, Male,0,0,40, United-States, >50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1876,57, United-States, >50K
68, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,20, United-States, <=50K
46, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
36, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,38, United-States, <=50K
42, Federal-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,60, United-States, <=50K
57, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
40, Private, Assoc-voc, Married-spouse-absent, Prof-specialty, Other-relative, White, Male,0,0,40, United-States, <=50K
51, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, United-States, >50K
27, Private, Bachelors, Divorced, Craft-repair, Other-relative, White, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Divorced, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,1899,24, United-States, <=50K
28, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,42, United-States, <=50K
18, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,2846,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Doctorate, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,15024,0,40, United-States, <=50K
27, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Unmarried, Black, Male,0,0,40, United-States, <=50K
26, Private, Bachelors, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, Masters, Married-civ-spouse, Sales, Own-child, White, Male,0,0,50, United-States, >50K
31, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,43, United-States, <=50K
68, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
56, Private, 9th, Widowed, Farming-fishing, Unmarried, White, Female,0,0,40, United-States, >50K
37, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
34, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,60, United-States, >50K
34, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Unmarried, White, Male,0,0,60, United-States, >50K
51, Private, HS-grad, Never-married, Adm-clerical, Husband, White, Male,0,1977,40, United-States, >50K
24, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Female,0,0,35, United-States, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
41, Private, HS-grad, Never-married, Sales, Unmarried, White, Male,0,0,48, United-States, >50K
46, Private, HS-grad, Widowed, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
52, Local-gov, 10th, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,40, United-States, <=50K
33, Private, Bachelors, Divorced, Other-service, Husband, White, Male,0,0,40, United-States, >50K
23, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
25, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,50, United-States, <=50K
46, Private, Some-college, Separated, Sales, Husband, White, Male,0,0,40, United-States, <=50K
27, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, White, Male,0,0,35, United-States, <=50K
56, Private, Assoc-voc, Divorced, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
46, Local-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, >50K
47, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,5175,0,40, United-States, >50K
30, Private, Some-college, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,60, United-States, <=50K
31, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, >50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, United-States, <=50K
61, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,80, United-States, >50K
24, Federal-gov, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
47, Private, HS-grad, Divorced, Transport-moving, Wife, White, Male,0,0,40, United-States, <=50K
27, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
32, Self-emp-inc, HS-grad, Separated, Craft-repair, Husband, White, Male,0,0,40, India, <=50K
27, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
46, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1977,50, United-States, <=50K
34, Private, Some-college, Never-married, Farming-fishing, Other-relative, White, Male,0,0,60, United-States, >50K
26, Private, Some-college, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
53, Private, Bachelors, Widowed, Craft-repair, Not-in-family, White, Male,0,0,54, United-States, <=50K
45, Private, Masters, Separated, Exec-managerial, Husband, White, Male,0,1977,40, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
54, Self-emp-not-inc, 7th-8th, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, >50K
64, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,55, Yugoslavia, <=50K
51, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Canada, >50K
65, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
67, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,15, United-States, <=50K
55, Private, Some-college, Married-civ-spouse, Transport-moving, Unmarried, White, Male,0,0,54, United-States, >50K
52, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,15024,0,40, Ireland, >50K
50, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Never-married, Farming-fishing, Wife, White, Female,0,0,30, United-States, <=50K
54, Local-gov, 5th-6th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,20, United-States, <=50K
34, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Some-college, Never-married, Protective-serv, Wife, White, Male,0,0,40, United-States, <=50K
45, Federal-gov, Prof-school, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,52, China, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,10, United-States, >50K
68, State-gov, 10th, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,10, United-States, <=50K
39, Private, HS-grad, Divorced, Other-service, Own-child, White, Female,0,0,40, United-States, >50K
55, Private, 9th, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,54, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,60, United-States, <=50K
38, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, 1st-4th, Married-civ-spouse, Other-service, Husband, White, Female,0,0,45, United-States, <=50K
66, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, Philippines, <=50K
38, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
40, Private, Assoc-acdm, Separated, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, >50K
23, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
27, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, United-States, <=50K
44, State-gov, HS-grad, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, Bachelors, Separated, Prof-specialty, Not-in-family, Black, Male,0,0,40, United-States, <=50K
51, Local-gov, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,7687,0,54, United-States, >50K
43, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,1977,40, United-States, <=50K
28, Private, Some-college, Divorced, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
31, Private, Some-college, Divorced, Craft-repair, Own-child, White, Male,0,0,44, United-States, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,0,0,40, United-States, <=50K
35, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
50, Private, Assoc-acdm, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,40, United-States, >50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
28, Private, Bachelors, Separated, Craft-repair, Wife, Black, Male,0,0,40, United-States, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
57, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,1977,40, United-States, >50K
39, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
45, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,60, Mexico, >50K
40, Private, 10th, Married-civ-spouse, Farming-fishing, Other-relative, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
31, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Peru, <=50K
21, Private, Some-college, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
51, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,38, United-States, <=50K
21, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,50, United-States, >50K
22, Private, HS-grad, Divorced, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,7687,0,40, United-States, >50K
34, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, Cuba, <=50K
26, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1977,47, United-States, >50K
27, Federal-gov, Assoc-acdm, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Sales, Wife, White, Female,0,0,40, United-States, <=50K
54, Private, Some-college, Divorced, Machine-op-inspct, Other-relative, White, Female,0,0,40, United-States, <=50K
66, Private, HS-grad, Widowed, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
46, Private, HS-grad, Married-civ-spouse, Prof-specialty, Other-relative, White, Female,0,0,40, United-States, >50K
25, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
68, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States, <=50K
