42, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,1977,60, Dominican-Republic, >50K
28, Federal-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,1938,0,50, El-Salvador, <=50K
33, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,2441,45, Laos, >50K
42, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Female,0,0,66, United-States, <=50K
40, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, Columbia, <=50K
28, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,38, England, <=50K
33, Private, HS-grad, Divorced, Other-service, Unmarried, Other, Male,0,0,40, Ecuador, <=50K
24, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,45, Greece, <=50K
57, Self-emp-inc, HS-grad, Widowed, Craft-repair, Husband, Black, Female,0,0,50, Canada, <=50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, Canada, >50K
48, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,1902,40, Yugoslavia, >50K
61, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, United-States, <=50K
39, Local-gov, Some-college, Never-married, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
40, Private, Some-college, Divorced, Other-service, Unmarried, Black, Male,0,0,40, England, <=50K
26, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, Black, Female,0,0,60, Haiti, <=50K
31, Private, HS-grad, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, Haiti, <=50K
67, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,1841,0,80, El-Salvador, <=50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
56, Self-emp-not-inc, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,45, Philippines, <=50K
63, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,72, Nicaragua, >50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,7687,0,50, Nicaragua, >50K
27, Private, Some-college, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Germany, >50K
40, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
62, Private, Assoc-voc, Married-civ-spouse, Other-service, Wife, Other, Male,0,0,36, Scotland, >50K
28, Local-gov, Bachelors, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male,0,0,45, France, <=50K
26, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,12, India, <=50K
50, Federal-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,3273,0,50, Peru, >50K
20, Private, HS-grad, Separated, Other-service, Unmarried, Other, Male,0,0,40, Mexico, <=50K
41, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,54, Hungary, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,25, Yugoslavia, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, Cuba, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Ecuador, <=50K
43, Self-emp-inc, Bachelors, Separated, Other-service, Unmarried, Black, Female,0,0,45, Ireland, <=50K
51, Private, Some-college, Divorced, Other-service, Unmarried, Other, Female,0,0,40, Poland, <=50K
30, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Dominican-Republic, >50K
28, Private, 11th, Never-married, Tech-support, Own-child, Other, Female,0,0,40, Laos, <=50K
19, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,20, Mexico, <=50K
38, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States, >50K
31, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
46, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, El-Salvador, <=50K
40, Private, HS-grad, Divorced, Protective-serv, Unmarried, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Female,0,0,40, Yugoslavia, <=50K
22, Private, HS-grad, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,54, United-States, <=50K
33, Private, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Guatemala, <=50K
21, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,25, Scotland, <=50K
51, Self-emp-not-inc, Some-college, Never-married, Tech-support, Not-in-family, White, Male,0,0,15, Honduras, <=50K
31, Private, HS-grad, Never-married, Farming-fishing, Husband, Asian-Pac-Islander, Female,0,0,54, Taiwan, <=50K
46, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,50, Laos, <=50K
35, Self-emp-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,75, Ireland, >50K
55, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, Germany, <=50K
34, Private, Bachelors, Never-married, Sales, Not-in-family, Other, Female,0,0,50, Greece, <=50K
23, Self-emp-not-inc, Some-college, Never-married, Machine-op-inspct, Wife, Asian-Pac-Islander, Male,0,0,40, Jamaica, <=50K
55, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Mexico, <=50K
39, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Cuba, >50K
49, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,30, Mexico, <=50K
52, Private, Bachelors, Divorced, Exec-managerial, Unmarried, Other, Female,5013,0,40, El-Salvador, <=50K
38, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
42, Private, Bachelors, Never-married, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
27, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Female,0,0,19, United-States, >50K
28, Local-gov, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,40, Canada, >50K
36, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hong, <=50K
32, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,40, Jamaica, >50K
45, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
32, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,38, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Female,99999,0,70, Cuba, >50K
63, Local-gov, HS-grad, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
56, Private, Some-college, Separated, Farming-fishing, Unmarried, Other, Female,0,0,40, India, <=50K
26, Private, Masters, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,45, Haiti, <=50K
34, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,40, Haiti, <=50K
29, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
57, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Wife, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
29, Self-emp-inc, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, England, >50K
30, Private, HS-grad, Divorced, Handlers-cleaners, Own-child, Other, Female,0,0,80, United-States, <=50K
37, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
44, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,60, Trinadad&Tobago, >50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,6, Greece, <=50K
20, Local-gov, 11th, Never-married, Other-service, Own-child, Black, Male,0,0,8, Columbia, <=50K
45, Federal-gov, Assoc-voc, Divorced, Prof-specialty, Not-in-family, Other, Male,0,0,45, Laos, <=50K
36, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,0,40, United-States, >50K
59, Private, Some-college, Never-married, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,60, South, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, >50K
40, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,60, United-States, <=50K
27, Private, HS-grad, Never-married, Sales, Not-in-family, Other, Male,0,0,50, France, <=50K
20, State-gov, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
47, Self-emp-not-inc, Some-college, Widowed, Adm-clerical, Wife, White, Male,0,0,25, United-States, >50K
34, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,7687,0,40, United-States, <=50K
58, Without-pay, Masters, Never-married, Prof-specialty, Husband, White, Male,99999,0,42, Honduras, >50K
21, Private, Bachelors, Divorced, Machine-op-inspct, Own-child, Black, Male,0,0,40, El-Salvador, <=50K
42, Private, HS-grad, Never-married, Sales, Husband, Other, Male,0,0,32, Guatemala, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,40, Taiwan, <=50K
46, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,40, United-States, >50K
25, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, Poland, <=50K
24, Private, HS-grad, Separated, Sales, Husband, Black, Male,0,0,60, South, <=50K
25, Self-emp-not-inc, HS-grad, Separated, Other-service, Unmarried, Black, Male,0,0,38, Trinadad&Tobago, <=50K
26, Private, Some-college, Never-married, Tech-support, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Portugal, <=50K
74, Private, 7th-8th, Widowed, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,10, United-States, <=50K
45, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,60, China, >50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,80, Taiwan, >50K
42, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,4939,0,54, Poland, >50K
78, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
32, Local-gov, Assoc-acdm, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
64, Self-emp-not-inc, Masters, Widowed, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0,0,25, England, <=50K
38, State-gov, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,57, Hong, <=50K
28, Private, 10th, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,55, Greece, <=50K
21, Private, Some-college, Never-married, Tech-support, Own-child, Black, Female,0,0,35, Philippines, <=50K
58, Private, HS-grad, Never-married, Other-service, Wife, Black, Female,0,0,40, Japan, <=50K
40, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,7687,0,40, Iran, >50K
36, Private, Bachelors, Divorced, Transport-moving, Not-in-family, Other, Male,0,0,60, Poland, <=50K
39, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,20, Cuba, <=50K
34, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Honduras, <=50K
17, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,10, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Japan, >50K
26, Local-gov, 11th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, Hungary, <=50K
21, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
26, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Poland, <=50K
38, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,3466,0,70, Cuba, <=50K
34, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,99, Laos, <=50K
67, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,38, Honduras, <=50K
35, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,65, Honduras, <=50K
17, Private, 11th, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,25, Dominican-Republic, <=50K
60, Local-gov, Masters, Married-civ-spouse, Protective-serv, Husband, Black, Female,0,0,40, Hungary, >50K
68, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, Black, Female,0,0,3, Japan, <=50K
27, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Divorced, Sales, Not-in-family, Other, Female,0,0,70, Nicaragua, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,30, Portugal, <=50K
29, State-gov, Some-college, Married-civ-spouse, Sales, Wife, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, United-States, <=50K
52, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Ireland, >50K
43, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38, Dominican-Republic, >50K
25, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,35, Vietnam, <=50K
38, Private, Doctorate, Never-married, Farming-fishing, Husband, Black, Female,0,0,40, Hungary, >50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,60, Puerto-Rico, <=50K
32, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Laos, >50K
51, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Male,0,0,40, Portugal, <=50K
21, Private, Masters, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, Vietnam, <=50K
26, Private, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,1592,40, Ireland, >50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, Other, Female,15024,0,40, El-Salvador, >50K
61, Self-emp-inc, Masters, Separated, Sales, Husband, White, Male,0,0,40, Taiwan, >50K
51, Private, HS-grad, Widowed, Transport-moving, Own-child, Other, Male,0,1760,40, Italy, <=50K
39, Local-gov, 7th-8th, Married-civ-spouse, Prof-specialty, Wife, Black, Male,0,0,40, Italy, <=50K
36, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Other, Male,7298,0,40, United-States, >50K
57, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,26, Portugal, >50K
34, Self-emp-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,3325,0,40, Peru, >50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,50, Haiti, >50K
28, Private, Some-college, Separated, Sales, Husband, White, Male,0,0,26, England, <=50K
26, Local-gov, Assoc-acdm, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,40, Ireland, <=50K
60, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,54, Peru, <=50K
18, Private, HS-grad, Never-married, Adm-clerical, Own-child, Other, Female,2300,0,40, Thailand, >50K
29, Private, Some-college, Separated, Transport-moving, Own-child, Black, Female,0,0,40, Puerto-Rico, >50K
34, Private, Some-college, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, United-States, <=50K
34, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, Mexico, <=50K
55, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,30, El-Salvador, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Portugal, <=50K
23, Local-gov, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
25, Private, Assoc-acdm, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,5201,0,70, Italy, <=50K
57, Private, Some-college, Divorced, Other-service, Unmarried, Black, Female,0,0,40, Hungary, <=50K
28, Private, HS-grad, Never-married, Transport-moving, Wife, Other, Male,0,0,40, United-States, <=50K
38, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,15024,0,50, Yugoslavia, >50K
46, Self-emp-not-inc, Masters, Separated, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Canada, <=50K
25, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Hungary, >50K
45, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,45, United-States, <=50K
50, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male,0,0,50, Haiti, <=50K
33, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, Cuba, >50K
21, Private, Some-college, Never-married, Other-service, Own-child, Black, Male,0,0,30, Hong, <=50K
38, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
33, Private, HS-grad, Separated, Adm-clerical, Unmarried, Other, Male,0,0,20, Philippines, <=50K
29, Private, Some-college, Separated, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,65, Italy, >50K
36, Self-emp-not-inc, Assoc-voc, Never-married, Exec-managerial, Husband, White, Male,0,0,60, Thailand, <=50K
19, Private, Assoc-voc, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,20, Hungary, <=50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Yugoslavia, >50K
58, Private, Bachelors, Married-civ-spouse, Sales, Unmarried, White, Male,0,0,19, Japan, >50K
36, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,30, Cambodia, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
20, Private, HS-grad, Never-married, Farming-fishing, Own-child, Other, Male,0,0,40, Honduras, <=50K
37, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,55, Mexico, >50K
21, Private, Some-college, Never-married, Tech-support, Unmarried, Asian-Pac-Islander, Male,0,0,40, Nicaragua, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Canada, <=50K
19, Private, Bachelors, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,40, Thailand, <=50K
19, Private, Some-college, Never-married, Farming-fishing, Unmarried, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
34, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, Black, Male,0,0,65, Italy, <=50K
21, Private, Assoc-acdm, Separated, Adm-clerical, Unmarried, White, Female,0,0,45, El-Salvador, >50K
31, State-gov, Some-college, Divorced, Farming-fishing, Unmarried, Black, Female,0,0,40, United-States, >50K
35, Private, Some-college, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
42, Federal-gov, HS-grad, Never-married, Machine-op-inspct, Husband, Black, Male,0,0,40, Cambodia, <=50K
29, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, Poland, <=50K
38, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Other, Female,15024,0,50, Mexico, >50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,20, Guatemala, <=50K
28, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, White, Male,7687,0,40, Japan, <=50K
52, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,40, Philippines, >50K
39, Self-emp-inc, Prof-school, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,1887,99, Italy, >50K
27, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Never-married, Transport-moving, Own-child, Other, Male,0,0,40, Puerto-Rico, <=50K
21, Private, 11th, Never-married, Other-service, Own-child, Other, Female,0,0,40, Jamaica, <=50K
39, Private, Some-college, Divorced, Sales, Unmarried, White, Female,0,0,20, China, <=50K
23, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, Black, Male,0,0,45, Haiti, <=50K
41, Private, Assoc-voc, Separated, Exec-managerial, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
53, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
75, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,40, Ireland, <=50K
53, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Italy, <=50K
26, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, India, <=50K
60, State-gov, HS-grad, Never-married, Farming-fishing, Husband, White, Male,3917,0,50, Haiti, <=50K
26, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Ireland, <=50K
49, Local-gov, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1902,60, Columbia, >50K
21, Private, Bachelors, Never-married, Transport-moving, Own-child, Other, Male,0,0,60, Hungary, <=50K
29, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, Black, Male,0,0,60, Hong, >50K
49, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, Hungary, >50K
56, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Haiti, <=50K
48, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Male,0,0,40, Peru, <=50K
38, Self-emp-inc, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,54, United-States, <=50K
50, Private, Assoc-voc, Separated, Prof-specialty, Unmarried, Black, Female,0,0,20, Thailand, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Male,0,0,40, Ireland, <=50K
36, Private, Bachelors, Never-married, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
21, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,25, Yugoslavia, <=50K
40, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Honduras, <=50K
61, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Jamaica, <=50K
38, Private, HS-grad, Never-married, Adm-clerical, Husband, Black, Male,4761,0,25, China, <=50K
26, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, Other, Male,0,0,40, South, <=50K
38, Private, Bachelors, Never-married, Protective-serv, Not-in-family, White, Male,7298,0,60, Scotland, >50K
47, Federal-gov, Masters, Divorced, Other-service, Not-in-family, White, Male,0,2240,40, Columbia, <=50K
