38, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,32, Dominican-Republic, <=50K
30, Local-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,0,0,40, Mexico, >50K
17, Private, 10th, Never-married, Other-service, Own-child, Other, Male,0,0,25, Jamaica, <=50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Holand-Netherlands, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, Yugoslavia, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Cuba, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, Ecuador, <=50K
39, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,50, Hungary, <=50K
42, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Nicaragua, >50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,50, Dominican-Republic, >50K
30, Private, 11th, Never-married, Sales, Unmarried, Other, Female,0,0,32, Italy, <=50K
39, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Jamaica, >50K
32, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, South, >50K
25, Private, Some-college, Never-married, Exec-managerial, Own-child, Black, Female,0,0,36, Taiwan, <=50K
41, Private, 7th-8th, Divorced, Adm-clerical, Unmarried, Other, Female,2594,0,40, Ecuador, <=50K
29, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,65, Canada, <=50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Female,7687,0,40, Yugoslavia, >50K
25, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
90, Private, HS-grad, Widowed, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
26, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,99, Philippines, <=50K
46, Self-emp-inc, Masters, Never-married, Sales, Not-in-family, White, Male,0,0,70, Haiti, >50K
28, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Portugal, >50K
28, Federal-gov, Some-college, Never-married, Craft-repair, Wife, White, Male,0,0,40, Italy, <=50K
41, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1876,40, Hungary, >50K
37, Private, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, France, <=50K
23, Private, Bachelors, Never-married, Sales, Not-in-family, Other, Female,0,0,50, Germany, <=50K
30, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,35, Iran, <=50K
47, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,7687,0,40, Jamaica, >50K
34, Local-gov, Assoc-acdm, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
45, Private, Doctorate, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,1887,60, Italy, <=50K
42, Private, HS-grad, Divorced, Exec-managerial, Wife, Other, Female,0,0,40, Ecuador, <=50K
42, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,35, South, <=50K
63, Self-emp-inc, HS-grad, Widowed, Tech-support, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Cuba, <=50K
39, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, Germany, >50K
42, Private, Assoc-voc, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, South, <=50K
34, Private, Assoc-acdm, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
39, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, >50K
20, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Holand-Netherlands, <=50K
41, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,35, Iran, >50K
35, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Trinadad&Tobago, <=50K
21, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Trinadad&Tobago, <=50K
39, Private, HS-grad, Divorced, Sales, Not-in-family, Black, Female,0,0,40, Columbia, <=50K
28, Private, Bachelors, Never-married, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, Other, Male,0,0,40, Hong, <=50K
21, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,20, Taiwan, <=50K
22, Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,15, Guatemala, <=50K
22, State-gov, Masters, Never-married, Exec-managerial, Own-child, Other, Male,0,0,50, Guatemala, <=50K
29, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,40, Thailand, <=50K
58, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, China, >50K
34, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, England, <=50K
30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, Other, Female,0,0,40, South, >50K
22, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, South, <=50K
59, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, Taiwan, <=50K
40, Private, HS-grad, Never-married, Prof-specialty, Husband, Other, Female,0,0,4, Scotland, <=50K
29, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,35, France, >50K
30, Local-gov, Assoc-voc, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,38, China, <=50K
51, Federal-gov, 7th-8th, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Italy, <=50K
74, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, Other, Male,0,0,35, Taiwan, <=50K
31, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Poland, <=50K
37, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, Iran, >50K
35, Self-emp-not-inc, Some-college, Never-married, Tech-support, Not-in-family, White, Female,13965,0,40, Thailand, >50K
29, Private, Masters, Never-married, Sales, Not-in-family, Black, Female,0,0,40, England, <=50K
62, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,32, Haiti, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, Taiwan, >50K
21, State-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,35, Taiwan, <=50K
35, State-gov, Some-college, Separated, Prof-specialty, Husband, White, Male,0,0,40, Haiti, <=50K
19, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,48, El-Salvador, <=50K
50, Private, HS-grad, Widowed, Sales, Not-in-family, Black, Female,0,0,40, Greece, <=50K
40, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Portugal, <=50K
63, Self-emp-inc, Masters, Widowed, Other-service, Not-in-family, Other, Female,0,0,40, Taiwan, <=50K
27, Private, Some-college, Separated, Exec-managerial, Own-child, Other, Male,0,0,40, Nicaragua, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Poland, <=50K
57, Self-emp-not-inc, Masters, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, Scotland, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,30, Peru, <=50K
42, Private, Assoc-voc, Widowed, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
43, Private, Masters, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,45, China, <=50K
42, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,40, Portugal, <=50K
44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Nicaragua, <=50K
41, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Hungary, <=50K
38, Private, Some-college, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,35, Jamaica, <=50K
48, Federal-gov, 7th-8th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, Taiwan, >50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, El-Salvador, >50K
19, State-gov, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, Holand-Netherlands, <=50K
18, Private, 10th, Never-married, Protective-serv, Own-child, Amer-Indian-Eskimo, Female,0,0,25, Germany, <=50K
61, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,10, Nicaragua, <=50K
48, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,38, Ireland, <=50K
22, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
23, Private, HS-grad, Never-married, Tech-support, Not-in-family, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
18, Private, Prof-school, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Columbia, <=50K
60, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Haiti, <=50K
26, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
66, Private, Doctorate, Divorced, Craft-repair, Husband, White, Male,0,0,45, Ireland, >50K
55, Local-gov, 11th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,20, Honduras, <=50K
47, Local-gov, 9th, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,8, Jamaica, <=50K
42, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
36, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,70, Cuba, <=50K
37, State-gov, Doctorate, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Italy, >50K
56, Self-emp-not-inc, Assoc-voc, Divorced, Exec-managerial, Not-in-family, Other, Male,0,0,38, Haiti, <=50K
24, Private, Some-college, Married-civ-spouse, Other-service, Own-child, White, Female,0,0,10, Haiti, <=50K
66, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,35, Dominican-Republic, <=50K
33, Private, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,54, Honduras, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,60, Italy, <=50K
34, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
24, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Female,0,0,40, Japan, <=50K
63, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
27, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
30, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
42, Private, Prof-school, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, India, >50K
22, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Female,0,146,40, Cuba, <=50K
46, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,20, Vietnam, >50K
58, Private, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, Black, Female,5178,0,40, Holand-Netherlands, >50K
35, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,48, Peru, <=50K
65, State-gov, Doctorate, Widowed, Prof-specialty, Not-in-family, White, Female,0,2235,5, Italy, >50K
47, Private, 7th-8th, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
25, Private, Bachelors, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,40, Vietnam, >50K
47, Private, Masters, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, India, >50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,38, Ecuador, <=50K
45, Private, Doctorate, Separated, Prof-specialty, Wife, White, Male,0,0,40, Portugal, >50K
41, Private, HS-grad, Widowed, Tech-support, Unmarried, Black, Female,0,0,25, India, <=50K
27, Private, 11th, Divorced, Other-service, Unmarried, Black, Female,0,0,35, India, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, Other, Male,0,0,8, South, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,15024,0,40, Outlying-US(Guam-USVI-etc), >50K
44, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Mexico, >50K
45, Self-emp-not-inc, Some-college, Separated, Craft-repair, Wife, Other, Male,0,0,40, Guatemala, <=50K
31, Private, Some-college, Separated, Sales, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
48, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,99999,0,54, India, >50K
31, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,40, Laos, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Female,0,1532,40, Puerto-Rico, >50K
49, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,35, Peru, <=50K
41, Private, Some-college, Separated, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
50, Private, Some-college, Widowed, Sales, Wife, Amer-Indian-Eskimo, Female,0,0,20, Jamaica, >50K
18, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,20, El-Salvador, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,30, Peru, <=50K
31, Federal-gov, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,30, Taiwan, <=50K
57, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,54, India, >50K
25, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Honduras, >50K
44, Private, Masters, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,1902,45, South, >50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Yugoslavia, <=50K
57, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
67, Private, HS-grad, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,8, Honduras, <=50K
59, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,48, Trinadad&Tobago, <=50K
52, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Guatemala, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,15, Columbia, <=50K
42, Private, Some-college, Never-married, Prof-specialty, Wife, Black, Female,0,0,40, Haiti, >50K
41, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Male,3103,0,45, Yugoslavia, <=50K
27, Private, HS-grad, Separated, Craft-repair, Own-child, Other, Male,0,0,40, Mexico, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,2995,0,40, United-States, <=50K
44, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, India, <=50K
48, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Holand-Netherlands, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,12, Yugoslavia, <=50K
45, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,45, Italy, >50K
41, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1590,40, Cambodia, <=50K
50, Self-emp-not-inc, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, Laos, <=50K
41, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,60, Haiti, >50K
75, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Jamaica, >50K
60, Private, Some-college, Married-civ-spouse, Tech-support, Wife, Amer-Indian-Eskimo, Male,0,0,10, Japan, <=50K
39, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Canada, >50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,3575,0,40, Scotland, <=50K
30, Private, Some-college, Never-married, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, South, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Black, Male,0,0,43, India, >50K
20, Private, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Ecuador, <=50K
39, State-gov, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,40, South, >50K
32, Private, Some-college, Never-married, Prof-specialty, Wife, Asian-Pac-Islander, Male,0,0,40, Vietnam, >50K
20, Local-gov, Some-college, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male,0,0,40, Cambodia, <=50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,36, Outlying-US(Guam-USVI-etc), >50K
37, Self-emp-not-inc, 1st-4th, Divorced, Craft-repair, Own-child, Other, Female,0,0,40, Jamaica, <=50K
33, Private, Masters, Never-married, Prof-specialty, Own-child, Other, Female,0,0,40, Greece, >50K
25, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,55, Ireland, <=50K
34, Private, Bachelors, Never-married, Farming-fishing, Wife, Black, Female,0,0,50, Mexico, >50K
30, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
65, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
38, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,3112,0,40, Peru, <=50K
31, Private, 5th-6th, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Iran, <=50K
60, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,40, China, <=50K
26, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Guatemala, <=50K
54, Private, Assoc-voc, Widowed, Exec-managerial, Unmarried, Black, Female,0,0,71, Scotland, <=50K
36, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, South, <=50K
23, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Hungary, <=50K
18, Private, Some-college, Never-married, Prof-specialty, Own-child, Other, Male,0,0,18, Iran, <=50K
29, Private, Assoc-voc, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Hong, <=50K
19, State-gov, Masters, Never-married, Other-service, Own-child, Other, Male,0,0,25, Guatemala, <=50K
46, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,40, Hungary, >50K
50, Local-gov, 9th, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,40, Columbia, >50K
28, Private, HS-grad, Divorced, Sales, Unmarried, Other, Male,0,0,50, Holand-Netherlands, <=50K
28, Private, 12th, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,7687,0,40, Holand-Netherlands, >50K
78, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Male,2584,0,15, Honduras, <=50K
46, Private, Some-college, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,25, Guatemala, <=50K
44, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black, Male,0,0,20, Mexico, >50K
42, Self-emp-not-inc, Doctorate, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, South, >50K
26, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,65, Puerto-Rico, >50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, India, <=50K
18, Private, Bachelors, Never-married, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
49, Private, Assoc-voc, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,35, Yugoslavia, <=50K
57, Self-emp-not-inc, Some-college, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,80, Haiti, <=50K
