21, Private, HS-grad, Married-spouse-absent, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, <=50K
44, Private, Some-college, Separated, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,45, Mexico, <=50K
24, Local-gov, 12th, Never-married, Other-service, Unmarried, White, Male,0,0,35, United-States, <=50K
65, Self-emp-not-inc, HS-grad, Separated, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,30, England, >50K
22, State-gov, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, Hong, <=50K
41, Private, 10th, Divorced, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
44, Local-gov, Masters, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, Philippines, <=50K
19, Private, HS-grad, Never-married, Other-service, Unmarried, Black, Female,0,0,40, Japan, <=50K
50, Self-emp-not-inc, Masters, Never-married, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,5013,0,70, Iran, <=50K
42, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Portugal, >50K
45, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Cuba, >50K
28, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,1887,59, Honduras, <=50K
68, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,20, United-States, <=50K
46, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Japan, >50K
36, Federal-gov, 10th, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,37, Hungary, <=50K
42, Federal-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,60, Nicaragua, <=50K
57, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, Portugal, <=50K
40, Private, Assoc-voc, Married-spouse-absent, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
50, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Mexico, >50K
26, Private, Bachelors, Divorced, Craft-repair, Own-child, Other, Male,0,0,40, Honduras, <=50K
29, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, Honduras, <=50K
26, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Female,0,1915,24, Dominican-Republic, >50K
27, Private, Masters, Never-married, Sales, Not-in-family, Black, Female,0,0,42, India, <=50K
18, Private, Bachelors, Never-married, Other-service, Own-child, Black, Female,0,0,20, Laos, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Female,2816,0,40, United-States, <=50K
30, Private, HS-grad, Divorced, Sales, Not-in-family, Other, Female,0,0,40, Nicaragua, <=50K
44, Self-emp-not-inc, Bachelors, Married-spouse-absent, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,15024,0,40, Portugal, >50K
27, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
34, Private, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, Ireland, >50K
31, Private, 5th-6th, Never-married, Craft-repair, Husband, White, Male,0,0,43, Dominican-Republic, <=50K
68, Private, Some-college, Widowed, Adm-clerical, Husband, White, Male,0,0,40, Vietnam, <=50K
55, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, Black, Female,0,0,40, Hungary, >50K
37, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Puerto-Rico, <=50K
34, State-gov, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,60, Laos, <=50K
34, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Portugal, >50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,1977,40, Vietnam, >50K
23, Private, Some-college, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,35, Ireland, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Female,0,0,30, El-Salvador, <=50K
41, Private, HS-grad, Separated, Protective-serv, Unmarried, White, Male,0,0,48, Taiwan, <=50K
45, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Italy, >50K
52, Local-gov, 10th, Married-civ-spouse, Machine-op-inspct, Unmarried, Black, Male,0,0,40, Italy, <=50K
47, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Other, Male,0,1850,40, United-States, <=50K
33, Private, Bachelors, Divorced, Other-service, Not-in-family, Black, Male,0,0,40, Portugal, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Peru, <=50K
25, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, Other, Female,0,0,50, Haiti, <=50K
46, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, England, <=50K
26, Local-gov, 11th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,35, Ireland, <=50K
55, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,40, Peru, <=50K
45, Local-gov, Some-college, Married-civ-spouse, Adm-clerical, Own-child, Other, Female,0,0,40, Thailand, >50K
47, Private, Some-college, Never-married, Transport-moving, Not-in-family, Black, Female,4414,0,40, Puerto-Rico, <=50K
29, Private, Some-college, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, United-States, <=50K
31, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
41, Self-emp-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, El-Salvador, <=50K
61, Self-emp-inc, Some-college, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,80, Portugal, >50K
24, Federal-gov, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,20, Italy, <=50K
48, Private, Some-college, Married-spouse-absent, Prof-specialty, Husband, Black, Female,0,0,40, Hungary, >50K
47, Private, HS-grad, Divorced, Transport-moving, Unmarried, Other, Male,0,0,40, United-States, <=50K
27, State-gov, Bachelors, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,50, Yugoslavia, <=50K
32, Private, HS-grad, Separated, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
27, Private, HS-grad, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Hungary, <=50K
59, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,20, Haiti, <=50K
43, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1977,50, Cuba, >50K
33, Self-emp-inc, Some-college, Married-civ-spouse, Machine-op-inspct, Own-child, Black, Male,0,0,60, Hong, <=50K
26, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Yugoslavia, <=50K
53, Private, Bachelors, Separated, Craft-repair, Husband, Other, Male,0,0,54, Philippines, <=50K
41, Private, Masters, Widowed, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Male,0,2317,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Italy, <=50K
53, Self-emp-not-inc, 5th-6th, Widowed, Adm-clerical, Unmarried, White, Male,0,0,40, Thailand, <=50K
33, Private, Bachelors, Married-civ-spouse, Farming-fishing, Wife, Asian-Pac-Islander, Male,0,0,40, Hungary, >50K
65, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,76101,0,59, Yugoslavia, >50K
51, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,60, Laos, >50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Cambodia, >50K
64, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, Peru, <=50K
49, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Honduras, <=50K
65, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,15, Mexico, >50K
55, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,54, Nicaragua, >50K
52, Private, Assoc-voc, Divorced, Adm-clerical, Not-in-family, White, Male,13491,0,40, Canada, >50K
50, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,45, Trinadad&Tobago, >50K
41, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Never-married, Handlers-cleaners, Wife, Black, Male,0,0,30, Italy, <=50K
53, Local-gov, 10th, Widowed, Adm-clerical, Unmarried, White, Female,0,0,20, El-Salvador, <=50K
33, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,40, United-States, >50K
24, Private, Some-college, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
45, Federal-gov, Some-college, Separated, Other-service, Husband, Black, Male,0,0,54, Cambodia, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,10, Poland, <=50K
67, State-gov, 10th, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,10, Mexico, <=50K
39, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Guatemala, >50K
55, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,54, Japan, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Black, Female,0,0,40, Philippines, >50K
48, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,50, Jamaica, >50K
36, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
38, Private, HS-grad, Divorced, Transport-moving, Unmarried, Other, Male,2147,0,40, Puerto-Rico, <=50K
48, Private, 11th, Divorced, Other-service, Not-in-family, Other, Female,0,0,45, Jamaica, <=50K
66, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, China, <=50K
38, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,40, Haiti, <=50K
39, Private, Assoc-acdm, Never-married, Exec-managerial, Unmarried, Black, Male,0,0,40, Trinadad&Tobago, <=50K
23, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Ireland, <=50K
24, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,40, Jamaica, <=50K
27, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Other-relative, Amer-Indian-Eskimo, Female,0,0,40, India, <=50K
44, State-gov, HS-grad, Married-spouse-absent, Machine-op-inspct, Husband, White, Male,0,0,40, Honduras, <=50K
29, Private, Bachelors, Separated, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, Ireland, <=50K
51, Local-gov, 12th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,42, Columbia, <=50K
32, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, Other, Male,7687,0,54, Hungary, >50K
42, Local-gov, 9th, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,1887,40, Hungary, >50K
28, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, Hungary, <=50K
31, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,44, Haiti, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Peru, >50K
34, Self-emp-not-inc, HS-grad, Married-spouse-absent, Handlers-cleaners, Not-in-family, White, Female,0,0,50, United-States, <=50K
49, Private, 9th, Never-married, Other-service, Own-child, Black, Female,0,0,40, Thailand, <=50K
41, Self-emp-not-inc, Some-college, Divorced, Exec-managerial, Not-in-family, Other, Male,0,0,50, Ireland, <=50K
28, Private, Bachelors, Separated, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,50, Yugoslavia, >50K
57, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,1970,40, Hong, >50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Japan, >50K
45, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,60, China, >50K
39, Private, 10th, Married-civ-spouse, Handlers-cleaners, Own-child, Other, Male,0,0,40, South, <=50K
25, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, Scotland, <=50K
31, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Columbia, <=50K
