36, Private, HS-grad, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Divorced, Craft-repair, Wife, White, Male,0,0,35, United-States, <=50K
21, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,10, United-States, <=50K
61, Private, Masters, Widowed, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
51, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Italy, <=50K
42, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,44, United-States, >50K
53, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,16, United-States, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,44, United-States, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,15024,0,40, United-States, >50K
56, Local-gov, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Mexico, <=50K
25, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,0,0,8, United-States, <=50K
38, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
46, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,15024,0,54, United-States, >50K
23, State-gov, Masters, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Prof-specialty, Own-child, Black, Female,0,0,5, United-States, <=50K
78, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Wife, White, Female,99999,0,30, Philippines, >50K
22, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
25, Private, Some-college, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
52, Local-gov, 9th, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Philippines, >50K
55, Federal-gov, 9th, Married-civ-spouse, Protective-serv, Husband, White, Male,15024,0,30, United-States, >50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,1697,40, United-States, <=50K
85, Private, Some-college, Widowed, Sales, Not-in-family, White, Male,0,0,35, United-States, <=50K
39, Self-emp-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,1879,60, United-States, >50K
47, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
58, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
28, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Separated, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
20, Without-pay, Some-college, Never-married, Priv-house-serv, Not-in-family, White, Female,0,0,38, United-States, <=50K
23, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
60, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, >50K
45, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, United-States, >50K
30, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, Bachelors, Widowed, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
42, Private, Masters, Never-married, Sales, Not-in-family, White, Male,0,1498,40, Mexico, <=50K
49, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
30, State-gov, HS-grad, Never-married, Sales, Not-in-family, Black, Female,0,0,48, United-States, <=50K
55, Private, Masters, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
61, Federal-gov, 7th-8th, Widowed, Other-service, Wife, White, Female,0,0,20, United-States, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,45, United-States, <=50K
31, State-gov, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,8420,0,40, United-States, >50K
29, Private, 11th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
67, Local-gov, Some-college, Divorced, Tech-support, Not-in-family, White, Female,0,0,20, United-States, <=50K
44, Private, Bachelors, Never-married, Prof-specialty, Wife, White, Female,0,0,48, United-States, >50K
20, Self-emp-not-inc, Some-college, Never-married, Other-service, Not-in-family, Black, Male,0,0,20, United-States, <=50K
25, Private, Bachelors, Never-married, Tech-support, Own-child, White, Male,0,0,15, United-States, <=50K
39, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,54, United-States, >50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, United-States, >50K
48, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, >50K
53, Federal-gov, 7th-8th, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
60, Federal-gov, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
24, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,25, United-States, <=50K
48, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,3843,0,47, United-States, <=50K
19, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,27, United-States, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,3415,0,40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
39, Local-gov, HS-grad, Married-civ-spouse, Sales, Own-child, White, Male,0,0,35, United-States, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,44, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
33, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
33, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
45, Self-emp-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
21, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, United-States, >50K
34, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
57, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1769,40, United-States, >50K
38, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
25, Private, Assoc-voc, Never-married, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,3408,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
24, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
32, Private, HS-grad, Never-married, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, 1st-4th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,38, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Divorced, Other-service, Own-child, White, Female,0,0,36, United-States, <=50K
46, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,50, United-States, >50K
27, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
22, Private, 9th, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,44, United-States, <=50K
43, Local-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,36, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, Some-college, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,1619,32, United-States, <=50K
30, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Female,0,0,35, United-States, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,24, United-States, <=50K
23, Federal-gov, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Farming-fishing, Own-child, White, Male,0,0,10, United-States, <=50K
17, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
70, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,3403,0,40, United-States, <=50K
18, Self-emp-not-inc, Bachelors, Never-married, Transport-moving, Other-relative, White, Male,0,0,16, United-States, <=50K
68, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Not-in-family, White, Female,0,0,30, Hong, <=50K
29, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
47, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K
57, Private, Some-college, Divorced, Sales, Unmarried, White, Female,0,0,42, United-States, <=50K
75, Self-emp-not-inc, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
24, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
48, Private, Masters, Widowed, Exec-managerial, Not-in-family, Black, Female,0,0,35, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,3338,0,50, United-States, <=50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2414,60, United-States, >50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Yugoslavia, >50K
27, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,60, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,45, China, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, United-States, >50K
21, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,3971,0,50, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
34, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,3107,0,50, Hong, <=50K
65, Private, Bachelors, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States, <=50K
72, Private, Some-college, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Wife, White, Male,2897,0,40, United-States, <=50K
34, Private, Assoc-voc, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
60, Self-emp-not-inc, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Protective-serv, Wife, White, Female,0,0,40, United-States, <=50K
39, Federal-gov, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Columbia, >50K
36, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,50, United-States, >50K
25, Self-emp-not-inc, 12th, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,45, United-States, <=50K
27, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
48, Private, Assoc-voc, Divorced, Other-service, Wife, White, Male,3502,0,54, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, >50K
38, Local-gov, HS-grad, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,25, United-States, <=50K
25, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,2179,0,40, United-States, <=50K
18, Private, 11th, Never-married, Prof-specialty, Own-child, White, Female,0,0,2, United-States, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,24, Mexico, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
43, Private, Assoc-voc, Widowed, Exec-managerial, Unmarried, White, Female,0,0,50, United-States, <=50K
42, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
60, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,48, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,8, United-States, <=50K
26, Private, HS-grad, Divorced, Craft-repair, Other-relative, Black, Female,0,0,40, United-States, <=50K
51, State-gov, HS-grad, Never-married, Exec-managerial, Unmarried, White, Male,3614,0,40, United-States, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,15, United-States, <=50K
44, Local-gov, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,4, United-States, <=50K
61, Private, HS-grad, Divorced, Sales, Unmarried, White, Male,0,2538,25, United-States, <=50K
39, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
27, Private, Some-college, Divorced, Other-service, Not-in-family, White, Male,0,0,44, United-States, <=50K
31, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Female,0,0,35, United-States, <=50K
89, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Female,4068,0,60, United-States, >50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Bachelors, Never-married, Handlers-cleaners, Wife, Black, Male,0,0,30, United-States, <=50K
18, Private, 9th, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, >50K
42, Private, HS-grad, Never-married, Adm-clerical, Other-relative, White, Male,0,1996,60, Nicaragua, <=50K
22, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, <=50K
55, Local-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,1740,40, United-States, <=50K
43, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,7687,0,40, United-States, >50K
59, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,50, United-States, >50K
34, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
47, Private, Bachelors, Never-married, Prof-specialty, Wife, White, Female,0,0,20, United-States, >50K
50, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,65, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, <=50K
54, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,1992,35, United-States, <=50K
51, Private, Bachelors, Married-spouse-absent, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
18, Private, 11th, Never-married, Farming-fishing, Own-child, White, Female,0,0,15, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Dominican-Republic, <=50K
54, Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,45, United-States, <=50K
24, Private, Bachelors, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, <=50K
33, Federal-gov, Assoc-voc, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7298,0,60, United-States, >50K
70, Self-emp-not-inc, Masters, Divorced, Machine-op-inspct, Husband, White, Male,0,0,16, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,54, United-States, <=50K
70, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,0,5, United-States, <=50K
50, Private, Some-college, Divorced, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
39, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,50, United-States, >50K
44, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
