28, Private, Some-college, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,45, Taiwan, <=50K
30, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,60, United-States, <=50K
45, Private, 12th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
30, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
54, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, Yugoslavia, >50K
45, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1887,40, United-States, >50K
32, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,30, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,15024,0,40, United-States, >50K
35, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, White, Female,0,0,12, United-States, <=50K
24, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, >50K
27, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Male,1313,0,40, United-States, <=50K
33, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
31, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,0,50, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
45, Private, Some-college, Never-married, Sales, Unmarried, Black, Female,0,0,40, Laos, <=50K
44, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
20, Private, 5th-6th, Never-married, Adm-clerical, Own-child, White, Male,0,0,30, United-States, <=50K
41, Local-gov, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Iran, <=50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, >50K
46, Private, Masters, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,45, United-States, <=50K
28, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
61, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Female,0,0,35, Mexico, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,45, Mexico, <=50K
34, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,48, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,45, United-States, <=50K
58, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
33, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,48, United-States, >50K
31, Private, HS-grad, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Guatemala, <=50K
42, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
35, Local-gov, Bachelors, Divorced, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
24, Private, Some-college, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
48, Local-gov, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,2096,40, Laos, <=50K
40, Federal-gov, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
63, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, >50K
35, Local-gov, Some-college, Never-married, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
40, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
61, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,2426,54, United-States, >50K
33, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
40, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,44, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
22, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
61, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,15024,0,20, United-States, >50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
18, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,15, United-States, <=50K
28, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Self-emp-not-inc, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Never-married, Tech-support, Unmarried, Black, Male,0,1789,52, United-States, <=50K
26, Private, Bachelors, Never-married, Machine-op-inspct, Other-relative, Black, Female,0,0,60, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, Iran, <=50K
50, Self-emp-not-inc, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,45, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,8, United-States, <=50K
59, State-gov, HS-grad, Widowed, Protective-serv, Not-in-family, Black, Female,0,0,40, United-States, <=50K
64, Private, Some-college, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
19, Local-gov, Bachelors, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,43, United-States, <=50K
42, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,60, United-States, >50K
42, State-gov, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
30, Private, 10th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
71, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,17, United-States, >50K
25, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
49, State-gov, Masters, Widowed, Other-service, Not-in-family, Black, Female,0,0,35, United-States, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Other-relative, White, Male,0,0,48, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Poland, >50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Divorced, Sales, Husband, White, Male,0,0,60, United-States, <=50K
23, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Male,0,0,35, United-States, >50K
50, Local-gov, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
48, Federal-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,32, United-States, <=50K
33, Private, Some-college, Never-married, Handlers-cleaners, Husband, White, Male,0,0,45, United-States, <=50K
60, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
54, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
19, Self-emp-not-inc, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,12, United-States, <=50K
33, Private, Some-college, Divorced, Craft-repair, Own-child, White, Male,0,0,37, United-States, <=50K
50, Self-emp-not-inc, Bachelors, Widowed, Sales, Not-in-family, White, Female,0,0,40, United-States, >50K
61, Local-gov, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,15024,0,36, United-States, >50K
31, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,90, United-States, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,3450,0,45, United-States, <=50K
26, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,1013,0,50, United-States, <=50K
17, State-gov, 12th, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
57, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
27, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,80, United-States, >50K
35, Private, Assoc-voc, Never-married, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,30, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
42, State-gov, Bachelors, Never-married, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
24, Private, 12th, Never-married, Tech-support, Unmarried, White, Female,0,0,25, United-States, <=50K
47, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,2283,40, United-States, >50K
45, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,8, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, >50K
21, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,50, United-States, <=50K
22, Private, HS-grad, Never-married, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
31, Private, 11th, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,60, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
62, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
53, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
50, Private, HS-grad, Widowed, Sales, Not-in-family, White, Female,0,0,35, United-States, <=50K
39, Local-gov, Assoc-voc, Never-married, Exec-managerial, Unmarried, White, Male,5013,0,50, United-States, <=50K
47, Local-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
34, Local-gov, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
36, Private, Some-college, Separated, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
61, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,35, United-States, >50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1902,50, United-States, >50K
68, Private, Some-college, Married-civ-spouse, Prof-specialty, Unmarried, Black, Female,18054,0,50, United-States, >50K
37, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
49, Local-gov, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
25, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,35, United-States, <=50K
32, Private, Some-college, Divorced, Transport-moving, Wife, White, Female,0,0,35, United-States, <=50K
45, Self-emp-not-inc, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,60, United-States, <=50K
52, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Greece, <=50K
28, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
48, Private, Some-college, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,35, United-States, <=50K
23, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
42, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
56, Private, HS-grad, Widowed, Exec-managerial, Unmarried, Black, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
26, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,54, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,1902,60, United-States, >50K
74, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,3103,0,40, Yugoslavia, <=50K
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,20, Columbia, <=50K
27, Self-emp-inc, HS-grad, Never-married, Sales, Husband, White, Male,8753,0,50, United-States, >50K
34, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,15024,0,40, United-States, >50K
51, Local-gov, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,3318,0,47, United-States, >50K
48, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
52, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Hungary, >50K
35, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,5178,0,40, United-States, >50K
23, Private, Some-college, Never-married, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
29, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
59, State-gov, Masters, Divorced, Other-service, Not-in-family, White, Female,0,0,38, United-States, <=50K
31, Private, Some-college, Married-spouse-absent, Sales, Other-relative, White, Male,0,0,50, United-States, <=50K
40, Federal-gov, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, China, <=50K
55, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,54, United-States, >50K
40, State-gov, 7th-8th, Divorced, Exec-managerial, Other-relative, White, Female,0,0,40, United-States, <=50K
78, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States, >50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1591,44, United-States, <=50K
23, Private, Bachelors, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,60, United-States, <=50K
28, Private, HS-grad, Never-married, Adm-clerical, Other-relative, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
28, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, Mexico, >50K
27, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
52, Private, Assoc-acdm, Married-spouse-absent, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
61, State-gov, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,6, United-States, <=50K
25, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
23, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,1622,50, United-States, <=50K
58, State-gov, HS-grad, Widowed, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
29, Self-emp-inc, Bachelors, Married-spouse-absent, Protective-serv, Husband, White, Male,0,0,43, United-States, >50K
56, Local-gov, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, >50K
21, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
63, Local-gov, 7th-8th, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, United-States, <=50K
24, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,30, United-States, <=50K
25, Self-emp-not-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, >50K
25, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
32, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
56, Private, Bachelors, Widowed, Prof-specialty, Wife, White, Female,0,0,12, United-States, <=50K
53, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, <=50K
64, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,2567,0,25, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1672,40, United-States, <=50K
26, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,0,0,38, Guatemala, <=50K
36, Private, 11th, Never-married, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
37, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,55, United-States, <=50K
21, Local-gov, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Mexico, <=50K
28, Private, HS-grad, Never-married, Sales, Wife, White, Female,11570,0,40, United-States, >50K
58, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,7687,0,30, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,30, United-States, <=50K
31, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,48, United-States, >50K
68, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Female,0,0,25, United-States, >50K
34, Private, Bachelors, Never-married, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
43, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,60, United-States, <=50K
34, Private, Assoc-voc, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,44, Dominican-Republic, >50K
52, Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States, >50K
32, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,50, United-States, <=50K
62, Self-emp-not-inc, Masters, Widowed, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
41, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2415,60, United-States, >50K
49, Private, Some-college, Widowed, Sales, Wife, White, Female,0,0,50, United-States, >50K
29, Private, Some-college, Divorced, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
38, Private, Bachelors, Never-married, Prof-specialty, Wife, White, Female,0,0,35, United-States, >50K
35, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
