48, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,35, Dominican-Republic, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,60, El-Salvador, <=50K
29, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, Black, Male,7687,0,40, Dominican-Republic, >50K
22, Private, Bachelors, Never-married, Adm-clerical, Husband, Black, Female,4142,0,40, Germany, <=50K
31, Private, HS-grad, Separated, Adm-clerical, Not-in-family, Black, Female,0,1902,40, Cambodia, <=50K
56, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
53, State-gov, Some-college, Married-spouse-absent, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
20, Private, Some-college, Never-married, Farming-fishing, Own-child, Black, Male,0,0,40, Thailand, <=50K
31, Private, Some-college, Married-spouse-absent, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Scotland, <=50K
17, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,21, El-Salvador, <=50K
40, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,65, Guatemala, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,3517,0,40, Guatemala, >50K
19, State-gov, HS-grad, Never-married, Priv-house-serv, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
24, Private, HS-grad, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
19, Private, Some-college, Never-married, Protective-serv, Own-child, White, Female,0,0,40, Nicaragua, <=50K
31, Local-gov, Assoc-voc, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, Japan, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,5, Japan, <=50K
28, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,7298,0,20, France, >50K
23, Private, Assoc-voc, Never-married, Farming-fishing, Husband, White, Male,0,0,45, Mexico, <=50K
25, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, Black, Male,0,0,54, Poland, >50K
34, Federal-gov, 9th, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,40, England, <=50K
61, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,40, Hong, <=50K
51, Federal-gov, HS-grad, Never-married, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,60, Nicaragua, >50K
25, Private, Assoc-voc, Separated, Other-service, Wife, Black, Male,0,0,40, Japan, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, Honduras, <=50K
46, Self-emp-inc, Masters, Divorced, Adm-clerical, Husband, Black, Female,0,0,40, Yugoslavia, <=50K
56, Local-gov, 9th, Divorced, Exec-managerial, Husband, Other, Male,0,0,40, Cuba, >50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Ecuador, <=50K
42, Private, Assoc-voc, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, India, <=50K
47, Private, Some-college, Divorced, Prof-specialty, Husband, Other, Female,0,0,44, Outlying-US(Guam-USVI-etc), <=50K
48, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Cuba, >50K
27, Private, 10th, Never-married, Transport-moving, Not-in-family, Other, Female,0,0,50, Jamaica, <=50K
36, Private, HS-grad, Divorced, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Japan, >50K
32, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Taiwan, >50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, Thailand, <=50K
38, Private, 1st-4th, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,1902,40, Ecuador, <=50K
32, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,22, Canada, <=50K
37, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Female,0,1902,40, Yugoslavia, >50K
56, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,50, Taiwan, >50K
51, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,57, Greece, <=50K
46, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, Poland, <=50K
38, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Haiti, >50K
19, Private, 11th, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Female,0,0,23, Puerto-Rico, <=50K
62, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,40, Jamaica, <=50K
20, Private, 11th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, India, <=50K
18, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,45, France, <=50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, Germany, <=50K
20, Private, Some-college, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,1590,27, Ireland, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Other, Male,0,0,40, Japan, >50K
33, Private, 11th, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,35, Columbia, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Other, Female,0,0,46, Ecuador, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,70, Taiwan, <=50K
38, Private, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, Amer-Indian-Eskimo, Male,0,1902,40, Cuba, <=50K
18, Private, Assoc-acdm, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Germany, <=50K
57, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, South, >50K
28, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Canada, <=50K
21, Private, Some-college, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,36, Dominican-Republic, <=50K
64, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0,0,35, Honduras, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,60, Ireland, >50K
28, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
36, Self-emp-not-inc, Assoc-voc, Never-married, Sales, Husband, White, Male,0,0,80, Trinadad&Tobago, <=50K
48, Private, HS-grad, Divorced, Tech-support, Husband, Black, Female,0,0,40, Columbia, <=50K
52, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
51, Private, Some-college, Never-married, Handlers-cleaners, Wife, Black, Female,0,1902,3, Hungary, >50K
24, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Male,3958,0,30, Taiwan, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,45, Guatemala, <=50K
41, State-gov, HS-grad, Divorced, Craft-repair, Other-relative, Other, Male,0,0,20, Guatemala, <=50K
42, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,1902,55, Trinadad&Tobago, >50K
29, Private, HS-grad, Married-civ-spouse, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Canada, <=50K
44, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,0,0,40, El-Salvador, <=50K
40, Private, HS-grad, Divorced, Other-service, Wife, Other, Female,0,0,20, Taiwan, <=50K
71, Private, Doctorate, Widowed, Exec-managerial, Husband, White, Male,0,0,40, Taiwan, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Thailand, <=50K
46, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,40, Scotland, >50K
50, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,45, France, >50K
43, Local-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,3798,0,40, China, >50K
48, Federal-gov, 7th-8th, Divorced, Sales, Husband, Black, Female,0,0,45, Jamaica, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, Other, Male,0,0,40, Thailand, >50K
22, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,25, Portugal, <=50K
34, Private, Masters, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Ireland, <=50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Female,0,1902,40, Thailand, >50K
47, Private, HS-grad, Never-married, Sales, Husband, Black, Female,0,0,35, England, <=50K
45, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Haiti, <=50K
41, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,72, Thailand, >50K
30, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,60, Thailand, <=50K
37, Without-pay, Masters, Never-married, Prof-specialty, Husband, White, Male,0,0,48, Guatemala, <=50K
39, Private, Bachelors, Divorced, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,48, El-Salvador, <=50K
46, Private, HS-grad, Never-married, Sales, Husband, Other, Male,0,0,45, Greece, <=50K
28, Private, Some-college, Divorced, Handlers-cleaners, Not-in-family, Black, Female,0,0,35, Puerto-Rico, <=50K
46, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Other, Male,0,0,35, Taiwan, <=50K
20, Private, Some-college, Separated, Other-service, Own-child, Other, Male,0,0,1, Outlying-US(Guam-USVI-etc), <=50K
36, Private, HS-grad, Never-married, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,40, Portugal, <=50K
39, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Other-relative, Black, Male,0,0,60, Scotland, <=50K
29, Private, Prof-school, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
24, Private, 9th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Thailand, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,32, China, <=50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,0,40, Portugal, <=50K
38, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,60, Outlying-US(Guam-USVI-etc), <=50K
41, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,50, India, >50K
37, Private, Masters, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Japan, <=50K
30, Local-gov, 7th-8th, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, Thailand, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, El-Salvador, >50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,95, Honduras, <=50K
53, Private, 10th, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,35, Germany, <=50K
59, Local-gov, HS-grad, Divorced, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Outlying-US(Guam-USVI-etc), >50K
63, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,40, Italy, >50K
41, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,0,40, India, >50K
29, Private, Doctorate, Married-civ-spouse, Transport-moving, Not-in-family, Other, Male,0,0,40, Peru, <=50K
31, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Columbia, <=50K
23, Private, Bachelors, Never-married, Machine-op-inspct, Other-relative, White, Male,0,0,32, Haiti, <=50K
36, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,70, United-States, <=50K
29, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,35, Italy, >50K
52, Local-gov, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,52, Hong, <=50K
46, Federal-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,4591,0,40, Japan, <=50K
32, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, Peru, <=50K
21, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,45, Columbia, <=50K
75, Self-emp-not-inc, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,45, Jamaica, >50K
31, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,44, Haiti, <=50K
52, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Haiti, >50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,5295,0,40, Dominican-Republic, >50K
27, Private, Prof-school, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,1887,30, Hong, <=50K
31, Private, Bachelors, Married-civ-spouse, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Italy, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Trinadad&Tobago, <=50K
48, Private, HS-grad, Divorced, Sales, Husband, Black, Female,0,0,40, Laos, <=50K
24, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Peru, <=50K
46, State-gov, Some-college, Divorced, Sales, Wife, Amer-Indian-Eskimo, Male,0,0,15, Thailand, <=50K
46, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,48, United-States, <=50K
36, Private, Masters, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Male,0,0,48, India, >50K
25, Private, 1st-4th, Never-married, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
63, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Vietnam, <=50K
51, Private, Bachelors, Never-married, Prof-specialty, Wife, Black, Female,99999,0,35, Honduras, >50K
36, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Philippines, <=50K
54, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,60, Jamaica, >50K
31, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,60, Peru, >50K
40, Private, HS-grad, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Male,0,1902,60, Vietnam, >50K
60, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,60, India, >50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Female,0,0,40, Ecuador, <=50K
25, Private, HS-grad, Never-married, Sales, Own-child, Other, Male,0,0,50, Portugal, >50K
25, Private, HS-grad, Never-married, Transport-moving, Unmarried, Black, Male,0,0,38, Iran, <=50K
18, Private, 10th, Never-married, Other-service, Own-child, Black, Male,0,0,35, Iran, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,48, South, <=50K
72, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,6, Peru, >50K
30, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female,0,0,99, Nicaragua, >50K
38, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Unmarried, Black, Female,0,0,40, Guatemala, <=50K
26, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,52, El-Salvador, <=50K
23, Local-gov, 11th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,40, India, <=50K
67, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,2054,40, Mexico, >50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Female,0,0,40, Scotland, >50K
29, Private, Some-college, Never-married, Transport-moving, Husband, Black, Female,0,0,40, Philippines, <=50K
46, Private, Some-college, Never-married, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,0,0,40, Thailand, <=50K
50, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,1902,40, Japan, >50K
49, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Ecuador, <=50K
32, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Peru, >50K
72, Federal-gov, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,10, Thailand, <=50K
29, Private, 12th, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Iran, <=50K
29, Private, Some-college, Never-married, Sales, Husband, Asian-Pac-Islander, Female,0,0,50, Hong, >50K
22, Private, HS-grad, Never-married, Transport-moving, Unmarried, Other, Male,0,0,40, South, <=50K
63, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,35, Yugoslavia, >50K
39, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
44, Private, HS-grad, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,30, Honduras, <=50K
17, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
40, Private, Some-college, Divorced, Transport-moving, Husband, White, Male,0,0,60, Guatemala, <=50K
26, Private, Masters, Married-civ-spouse, Sales, Not-in-family, Other, Female,0,0,40, Columbia, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, Black, Male,0,0,20, Haiti, <=50K
21, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
34, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,45, Nicaragua, <=50K
45, Private, HS-grad, Never-married, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,45, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,0,40, Iran, <=50K
31, Self-emp-inc, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Scotland, <=50K
57, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Unmarried, Asian-Pac-Islander, Male,0,0,32, Honduras, >50K
23, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,35, Yugoslavia, <=50K
47, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Italy, >50K
23, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,25, Cambodia, <=50K
18, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,30, Mexico, <=50K
25, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,40, Haiti, <=50K
61, Local-gov, Some-college, Divorced, Sales, Not-in-family, Other, Male,0,0,35, Japan, >50K
18, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,15, Laos, <=50K
44, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Male,0,0,50, Canada, >50K
37, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,42, Scotland, <=50K
39, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Female,0,0,40, South, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,0,54, Iran, <=50K
46, Local-gov, 5th-6th, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,40, Ecuador, >50K
47, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,40, Taiwan, >50K
55, Private, Some-college, Married-spouse-absent, Protective-serv, Wife, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
38, Federal-gov, Prof-school, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Cambodia, <=50K
54, Private, Prof-school, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,60, Outlying-US(Guam-USVI-etc), >50K
43, Self-emp-not-inc, 11th, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,45, Japan, >50K
26, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, Other, Female,0,0,40, Greece, >50K
54, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,1902,70, Italy, <=50K
51, Private, Bachelors, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,40, Nicaragua, >50K
29, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
53, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Black, Male,3108,0,40, Philippines, <=50K
23, Private, 11th, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Ireland, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,0,0,40, China, <=50K
35, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Black, Male,0,0,65, Greece, <=50K
30, Private, Assoc-acdm, Never-married, Craft-repair, Unmarried, Black, Male,0,0,40, South, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,40, South, <=50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, India, <=50K
67, Self-emp-inc, Some-college, Widowed, Prof-specialty, Unmarried, Other, Male,0,0,40, Ireland, >50K
32, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hong, <=50K
31, State-gov, HS-grad, Never-married, Machine-op-inspct, Husband, Other, Male,0,0,52, Guatemala, <=50K
43, Private, Bachelors, Widowed, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, India, <=50K
29, Private, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Columbia, <=50K
24, Private, HS-grad, Never-married, Tech-support, Own-child, Other, Male,0,0,40, Honduras, <=50K
28, Private, 9th, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Honduras, <=50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,7, Honduras, <=50K
27, Private, Some-college, Divorced, Adm-clerical, Unmarried, Other, Male,0,0,35, Greece, <=50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Other-relative, Black, Male,0,0,40, Mexico, <=50K
42, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Husband, White, Female,0,0,40, Taiwan, >50K
36, Private, Assoc-voc, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,1902,40, Scotland, >50K
51, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Other, Male,7298,0,60, India, >50K
52, Private, Bachelors, Never-married, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,1977,54, Taiwan, <=50K
40, Private, Assoc-acdm, Divorced, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
29, Private, Prof-school, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Haiti, <=50K
47, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,40, Ireland, <=50K
27, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Male,3602,0,50, Canada, >50K
51, Private, 10th, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,10520,0,40, Portugal, >50K
