25, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,14083,0,50, Dominican-Republic, >50K
28, State-gov, Some-college, Never-married, Other-service, Wife, Asian-Pac-Islander, Female,0,0,5, Yugoslavia, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,30, Thailand, <=50K
35, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,50, Puerto-Rico, <=50K
32, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, El-Salvador, <=50K
47, Private, Some-college, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,50, Greece, <=50K
19, Private, Bachelors, Never-married, Sales, Other-relative, Other, Male,0,0,50, Guatemala, <=50K
44, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,45, Ecuador, >50K
55, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
31, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Other-relative, White, Female,0,0,35, Nicaragua, <=50K
33, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,50, Japan, <=50K
28, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,1603,40, Japan, <=50K
57, Private, Some-college, Divorced, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, France, <=50K
21, Private, 1st-4th, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,38, Laos, <=50K
57, Private, Assoc-voc, Married-civ-spouse, Priv-house-serv, Husband, Black, Male,0,0,40, Poland, >50K
38, Federal-gov, 5th-6th, Married-civ-spouse, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,45, England, <=50K
44, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, Hong, >50K
34, Federal-gov, HS-grad, Separated, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
33, Self-emp-not-inc, Assoc-acdm, Separated, Prof-specialty, Unmarried, Other, Male,0,0,74, Jamaica, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, Honduras, >50K
22, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, Yugoslavia, <=50K
44, Private, 9th, Divorced, Exec-managerial, Not-in-family, Other, Male,0,0,50, Cuba, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Other-relative, Black, Female,0,0,40, Ecuador, <=50K
35, Private, Assoc-voc, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,45, India, <=50K
26, Private, Some-college, Married-civ-spouse, Protective-serv, Own-child, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
26, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,60, Cuba, >50K
29, Private, 10th, Never-married, Transport-moving, Own-child, Other, Female,0,0,50, Jamaica, <=50K
22, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
28, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, South, >50K
46, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Thailand, <=50K
34, Private, 11th, Never-married, Adm-clerical, Unmarried, Other, Female,0,0,40, Ecuador, <=50K
41, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, Canada, >50K
54, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Other, Female,0,0,8, Yugoslavia, >50K
21, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,15, Taiwan, >50K
60, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,30, Greece, <=50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Philippines, <=50K
19, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Haiti, <=50K
20, Private, 7th-8th, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Portugal, <=50K
43, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, Jamaica, <=50K
47, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, India, <=50K
19, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,30, France, <=50K
30, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Other, Male,0,0,40, Germany, <=50K
39, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,2440,45, Ireland, <=50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,30, Japan, <=50K
36, Local-gov, 12th, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
39, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,14083,0,40, Jamaica, <=50K
70, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Other, Female,0,0,15, Ecuador, <=50K
40, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,2901,0,42, South, <=50K
19, Private, HS-grad, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male,0,0,50, Cuba, <=50K
47, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
38, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, South, >50K
44, Local-gov, 7th-8th, Married-spouse-absent, Transport-moving, Unmarried, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
29, Private, Some-college, Married-spouse-absent, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
61, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,30, Ireland, >50K
36, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Trinadad&Tobago, <=50K
21, Private, 5th-6th, Never-married, Sales, Not-in-family, White, Male,3889,0,50, Trinadad&Tobago, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,60, Columbia, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,70, China, <=50K
25, Private, Some-college, Never-married, Handlers-cleaners, Wife, Black, Female,0,0,40, Hong, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
35, Local-gov, HS-grad, Married-civ-spouse, Tech-support, Unmarried, Asian-Pac-Islander, Female,0,0,40, Guatemala, <=50K
37, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Other, Male,0,0,40, Greece, <=50K
17, Private, 11th, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,15, Thailand, <=50K
47, Private, HS-grad, Married-civ-spouse, Sales, Wife, Amer-Indian-Eskimo, Female,5178,0,45, Canada, <=50K
33, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Other, Male,0,0,40, El-Salvador, <=50K
31, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, Other, Female,0,0,60, South, <=50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, South, >50K
26, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
33, Private, HS-grad, Never-married, Other-service, Husband, Other, Female,0,0,40, Scotland, <=50K
28, Private, Masters, Never-married, Sales, Not-in-family, Other, Female,0,0,10, Germany, <=50K
37, Local-gov, Assoc-voc, Divorced, Prof-specialty, Not-in-family, Black, Male,4972,0,72, China, <=50K
32, Federal-gov, 12th, Divorced, Sales, Not-in-family, Black, Female,0,0,50, Jamaica, <=50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,6253,0,45, Thailand, >50K
49, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Portugal, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Iran, <=50K
32, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Female,0,0,40, Thailand, <=50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,12, England, <=50K
33, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
62, Self-emp-not-inc, HS-grad, Married-spouse-absent, Craft-repair, Wife, White, Male,0,0,40, Thailand, >50K
27, Self-emp-inc, Preschool, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
36, Without-pay, Some-college, Separated, Prof-specialty, Husband, White, Male,0,0,40, Guatemala, <=50K
37, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, Ecuador, <=50K
36, Private, HS-grad, Never-married, Sales, Husband, Other, Male,0,0,60, Germany, <=50K
56, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,20, Puerto-Rico, <=50K
43, Private, Masters, Never-married, Other-service, Unmarried, Other, Male,0,0,35, Taiwan, <=50K
71, Private, Some-college, Widowed, Other-service, Not-in-family, Other, Female,0,0,9, Outlying-US(Guam-USVI-etc), <=50K
34, Private, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,65, Poland, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,40, Scotland, <=50K
28, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,45, Peru, <=50K
41, Private, 9th, Never-married, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
40, Private, Prof-school, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, China, <=50K
30, Self-emp-not-inc, HS-grad, Never-married, Handlers-cleaners, Unmarried, Black, Male,0,0,40, Portugal, <=50K
57, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,20, Outlying-US(Guam-USVI-etc), <=50K
63, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, India, <=50K
34, Private, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,65, Jamaica, <=50K
24, Local-gov, 11th, Never-married, Other-service, Unmarried, White, Male,0,0,54, Taiwan, <=50K
54, Private, HS-grad, Widowed, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,30, El-Salvador, <=50K
60, State-gov, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, Haiti, <=50K
42, Private, 10th, Divorced, Priv-house-serv, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
25, Private, Some-college, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Female,0,0,20, Nicaragua, <=50K
22, Private, Some-college, Never-married, Other-service, Unmarried, Black, Female,0,0,20, Italy, <=50K
29, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
48, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,50, Outlying-US(Guam-USVI-etc), >50K
41, Private, Some-college, Divorced, Other-service, Not-in-family, White, Male,0,0,30, Columbia, <=50K
35, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Guatemala, <=50K
31, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
58, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ireland, >50K
34, Local-gov, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Honduras, <=50K
51, Federal-gov, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
31, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,54, Outlying-US(Guam-USVI-etc), <=50K
36, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Columbia, <=50K
55, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Italy, <=50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,70, Haiti, >50K
62, Private, Some-college, Divorced, Farming-fishing, Unmarried, White, Female,0,0,40, Haiti, <=50K
50, Self-emp-inc, HS-grad, Separated, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,35, Dominican-Republic, <=50K
31, Private, Masters, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,40, Hong, <=50K
20, Private, HS-grad, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,10, Italy, <=50K
36, Self-emp-not-inc, Bachelors, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,44, Thailand, <=50K
28, Private, HS-grad, Married-civ-spouse, Sales, Own-child, Black, Female,0,0,40, Laos, <=50K
53, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
63, Self-emp-not-inc, Some-college, Divorced, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
20, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, Masters, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, India, >50K
22, Private, 11th, Never-married, Farming-fishing, Husband, White, Male,0,0,25, Cuba, <=50K
40, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,60, Vietnam, <=50K
42, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Husband, Black, Female,0,0,70, Haiti, >50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Peru, >50K
29, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,72, Italy, <=50K
61, Private, 5th-6th, Divorced, Tech-support, Unmarried, White, Female,0,0,35, Peru, <=50K
42, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, Vietnam, <=50K
34, Private, Masters, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,65, India, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Female,0,0,40, Ecuador, <=50K
45, Private, Masters, Widowed, Protective-serv, Unmarried, Other, Female,0,0,35, Portugal, <=50K
32, Private, HS-grad, Never-married, Transport-moving, Unmarried, Other, Male,0,0,50, India, <=50K
23, Private, 10th, Never-married, Other-service, Own-child, Black, Female,0,0,35, Iran, <=50K
28, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, South, <=50K
22, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,50, Peru, <=50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Mexico, >50K
72, Self-emp-not-inc, Some-college, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, Greece, <=50K
44, Private, Some-college, Separated, Sales, Not-in-family, White, Female,0,2440,40, El-Salvador, <=50K
23, Local-gov, 11th, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,20, India, <=50K
20, Private, Bachelors, Never-married, Sales, Not-in-family, Black, Male,0,0,38, Mexico, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Female,0,0,40, Puerto-Rico, <=50K
28, Private, Some-college, Never-married, Transport-moving, Not-in-family, Black, Female,0,0,32, Philippines, <=50K
42, Private, Some-college, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,30, Taiwan, <=50K
40, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Male,0,0,50, Japan, >50K
27, Private, Bachelors, Never-married, Handlers-cleaners, Other-relative, White, Female,0,0,40, Ecuador, <=50K
47, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,44, Peru, >50K
59, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Taiwan, >50K
25, Private, 11th, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, India, <=50K
51, Private, Some-college, Never-married, Protective-serv, Not-in-family, Asian-Pac-Islander, Female,0,0,18, Hong, <=50K
45, Private, HS-grad, Divorced, Transport-moving, Unmarried, Other, Male,0,0,45, South, <=50K
34, State-gov, HS-grad, Divorced, Transport-moving, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,65, Canada, >50K
42, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,7687,0,50, Honduras, >50K
40, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
45, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, Guatemala, <=50K
44, Private, Preschool, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Columbia, <=50K
23, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Own-child, Black, Male,0,0,40, Haiti, <=50K
60, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Yugoslavia, <=50K
36, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,35, Nicaragua, <=50K
45, Private, Masters, Married-spouse-absent, Priv-house-serv, Husband, Amer-Indian-Eskimo, Male,0,0,10, Trinadad&Tobago, <=50K
46, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,40, Iran, <=50K
24, Self-emp-inc, 5th-6th, Never-married, Craft-repair, Husband, White, Male,0,0,50, Puerto-Rico, <=50K
32, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,65, Honduras, >50K
28, Private, HS-grad, Never-married, Protective-serv, Own-child, White, Female,0,0,38, Yugoslavia, <=50K
31, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Italy, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,20, Cambodia, <=50K
22, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Mexico, <=50K
45, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,1887,40, Guatemala, >50K
46, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Jamaica, >50K
39, Private, Some-college, Never-married, Tech-support, Wife, Asian-Pac-Islander, Male,0,0,35, Laos, <=50K
26, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Canada, >50K
37, Private, Doctorate, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Puerto-Rico, <=50K
26, Private, Some-college, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, South, <=50K
66, Self-emp-inc, HS-grad, Widowed, Farming-fishing, Unmarried, Black, Female,0,0,40, Iran, <=50K
61, Local-gov, 1st-4th, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
41, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,60, South, >50K
17, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,26, Vietnam, <=50K
28, Federal-gov, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,40, Cambodia, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
32, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Jamaica, <=50K
38, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,45, Greece, >50K
45, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Male,7298,0,54, Italy, <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, Mexico, >50K
63, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,20, Iran, <=50K
49, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Never-married, Transport-moving, Other-relative, Other, Male,0,0,50, Peru, <=50K
40, Private, 1st-4th, Married-civ-spouse, Priv-house-serv, Husband, Black, Female,0,0,40, Ireland, <=50K
50, Private, HS-grad, Married-civ-spouse, Sales, Wife, White, Female,5101,0,40, China, >50K
26, Private, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, Black, Female,0,0,40, Greece, <=50K
55, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,45, Scotland, >50K
40, Private, Assoc-voc, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,49, South, <=50K
21, Self-emp-inc, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, India, <=50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, Other, Male,0,0,35, Iran, <=50K
40, Private, Assoc-acdm, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Hong, <=50K
41, State-gov, HS-grad, Never-married, Other-service, Not-in-family, Other, Male,0,0,60, Guatemala, <=50K
31, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Hungary, <=50K
31, Private, 12th, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,2180,55, Columbia, >50K
57, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, Other, Male,0,0,30, Honduras, <=50K
26, Private, 11th, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Haiti, <=50K
35, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,1887,40, Honduras, >50K
31, Private, Some-college, Divorced, Craft-repair, Own-child, White, Male,3118,0,48, Greece, <=50K
71, Self-emp-not-inc, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,6, Mexico, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, South, >50K
47, Private, 9th, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, Puerto-Rico, <=50K
27, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,1720,30, India, <=50K
22, Private, Bachelors, Never-married, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Taiwan, <=50K
42, Private, 9th, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
44, Private, Some-college, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Haiti, <=50K
39, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Ireland, >50K
34, Private, HS-grad, Separated, Adm-clerical, Unmarried, Black, Male,0,0,40, Canada, <=50K
46, Private, 10th, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,60, Poland, >50K
