24, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,35, Thailand, <=50K
50, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Puerto-Rico, >50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States, >50K
21, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,60, United-States, <=50K
56, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
38, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Female,0,0,55, Haiti, <=50K
56, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, Haiti, >50K
39, State-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,45, United-States, <=50K
57, Private, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
22, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,20, United-States, <=50K
26, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Married-spouse-absent, Handlers-cleaners, Own-child, White, Female,7687,0,30, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
33, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,4824,0,94, United-States, <=50K
62, Private, HS-grad, Never-married, Handlers-cleaners, Wife, White, Female,0,0,20, United-States, <=50K
67, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States, >50K
38, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,50, United-States, <=50K
25, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
19, Private, 5th-6th, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
21, Private, Assoc-voc, Married-spouse-absent, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
19, Local-gov, 11th, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
30, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
31, Federal-gov, HS-grad, Never-married, Other-service, Husband, Other, Male,0,0,35, United-States, <=50K
35, Private, Assoc-voc, Separated, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
21, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private, Masters, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,2387,40, Vietnam, <=50K
31, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
55, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,60, United-States, <=50K
46, Self-emp-inc, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
38, State-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,1501,40, United-States, <=50K
44, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
45, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
54, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
25, Private, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Hong, <=50K
21, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, >50K
17, Private, 12th, Never-married, Sales, Own-child, White, Male,0,0,16, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,45, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
22, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Female,4386,0,40, United-States, <=50K
54, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, >50K
33, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
38, Private, 9th, Married-spouse-absent, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
58, Private, Bachelors, Divorced, Protective-serv, Not-in-family, White, Female,110,0,52, United-States, <=50K
31, Self-emp-not-inc, Prof-school, Married-civ-spouse, Other-service, Wife, White, Male,99999,0,40, United-States, >50K
25, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
25, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, Philippines, <=50K
40, Private, Doctorate, Divorced, Exec-managerial, Wife, Other, Female,99999,0,60, United-States, >50K
56, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, >50K
20, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
19, Private, Masters, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
48, Private, Bachelors, Widowed, Sales, Own-child, Black, Female,0,0,35, United-States, <=50K
20, Private, 12th, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
49, Local-gov, 7th-8th, Divorced, Tech-support, Unmarried, Black, Female,0,0,35, Haiti, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,45, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,54, United-States, >50K
59, Private, Masters, Divorced, Exec-managerial, Wife, White, Female,10601,0,48, United-States, >50K
30, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, 5th-6th, Married-spouse-absent, Sales, Not-in-family, White, Male,5178,0,30, United-States, >50K
33, Private, HS-grad, Married-spouse-absent, Tech-support, Not-in-family, White, Male,0,0,40, Mexico, <=50K
28, Private, HS-grad, Never-married, Exec-managerial, Own-child, Black, Male,0,0,45, Mexico, <=50K
21, Private, Some-college, Never-married, Farming-fishing, Own-child, White, Male,0,0,60, United-States, <=50K
23, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,35, United-States, <=50K
39, Local-gov, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,45, United-States, <=50K
23, State-gov, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,25, United-States, <=50K
20, Private, HS-grad, Never-married, Prof-specialty, Own-child, Black, Male,0,0,45, United-States, <=50K
62, Private, HS-grad, Never-married, Prof-specialty, Wife, White, Female,0,0,20, India, <=50K
41, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Male,3126,0,30, United-States, >50K
32, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,20, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, United-States, >50K
26, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
22, Private, Doctorate, Never-married, Tech-support, Not-in-family, White, Female,0,1860,40, United-States, <=50K
22, Local-gov, 1st-4th, Never-married, Other-service, Own-child, White, Male,0,0,35, Mexico, <=50K
35, Federal-gov, 7th-8th, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
53, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Wife, White, Female,6999,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,32, United-States, <=50K
26, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
42, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,15024,0,45, United-States, >50K
28, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, United-States, >50K
26, Self-emp-inc, HS-grad, Never-married, Adm-clerical, Wife, White, Male,0,0,46, United-States, <=50K
33, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,65, United-States, <=50K
48, Without-pay, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
28, Private, Assoc-voc, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,727,0,40, United-States, <=50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
57, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,45, United-States, >50K
50, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
44, Private, Preschool, Never-married, Sales, Unmarried, Black, Female,0,0,35, United-States, <=50K
23, Private, Assoc-voc, Never-married, Machine-op-inspct, Husband, White, Male,0,0,54, United-States, >50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Mexico, >50K
57, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Own-child, White, Male,0,2261,40, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
44, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
31, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,45, United-States, <=50K
18, Local-gov, 11th, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, United-States, <=50K
50, State-gov, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
28, Private, 10th, Never-married, Prof-specialty, Own-child, Black, Female,0,0,40, United-States, <=50K
55, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
52, Private, HS-grad, Divorced, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
19, Self-emp-not-inc, Some-college, Never-married, Other-service, Not-in-family, Black, Male,0,0,20, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Nicaragua, >50K
27, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
59, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Male,0,0,20, United-States, >50K
39, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
33, Federal-gov, Assoc-acdm, Married-spouse-absent, Adm-clerical, Not-in-family, Black, Male,0,0,35, United-States, <=50K
24, Private, Some-college, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, Assoc-voc, Never-married, Other-service, Unmarried, White, Female,0,0,40, Puerto-Rico, <=50K
28, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,35, United-States, <=50K
27, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
56, Private, Some-college, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Local-gov, Some-college, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,45, United-States, <=50K
27, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,45, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,1902,40, United-States, <=50K
58, Self-emp-not-inc, HS-grad, Never-married, Handlers-cleaners, Husband, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
55, State-gov, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,20, United-States, <=50K
43, Private, Masters, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
32, Private, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Poland, <=50K
35, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
56, Private, Assoc-acdm, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,45, United-States, >50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
24, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
41, Private, 7th-8th, Divorced, Tech-support, Wife, White, Female,0,0,40, United-States, <=50K
49, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Male,0,0,37, United-States, <=50K
32, Private, HS-grad, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, >50K
68, Private, HS-grad, Widowed, Tech-support, Wife, White, Female,0,0,5, United-States, <=50K
29, Local-gov, 10th, Married-spouse-absent, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
23, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Local-gov, 12th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
45, Local-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,38, United-States, >50K
31, Private, Some-college, Never-married, Transport-moving, Husband, White, Male,2175,0,40, United-States, >50K
22, Private, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,35, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
33, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
30, Private, Some-college, Never-married, Other-service, Own-child, Black, Male,0,0,54, United-States, <=50K
29, Federal-gov, Bachelors, Married-spouse-absent, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, 12th, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
44, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,54, United-States, <=50K
50, Private, HS-grad, Divorced, Transport-moving, Wife, White, Male,0,0,40, United-States, <=50K
27, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
60, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, Haiti, <=50K
24, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,20, United-States, <=50K
53, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,1612,45, United-States, <=50K
38, Private, Masters, Married-civ-spouse, Sales, Own-child, White, Male,15024,0,40, United-States, <=50K
60, Self-emp-inc, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,1897,60, United-States, >50K
24, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Separated, Armed-Forces, Own-child, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
22, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,5178,0,40, Yugoslavia, >50K
27, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
26, Self-emp-inc, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,54, China, >50K
40, Self-emp-not-inc, HS-grad, Never-married, Sales, Husband, White, Male,0,0,50, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
48, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,15, United-States, <=50K
67, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1485,20, Haiti, >50K
58, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,83, United-States, <=50K
50, Private, Some-college, Never-married, Adm-clerical, Wife, White, Female,13726,0,15, United-States, <=50K
48, Private, HS-grad, Separated, Adm-clerical, Wife, White, Female,0,0,35, United-States, <=50K
30, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1876,48, United-States, >50K
39, State-gov, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, Some-college, Never-married, Sales, Wife, White, Male,0,0,40, United-States, <=50K
20, Federal-gov, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, China, <=50K
42, Private, Prof-school, Divorced, Adm-clerical, Unmarried, White, Female,0,0,50, United-States, <=50K
44, State-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
59, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
58, Private, 7th-8th, Divorced, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
57, Private, Bachelors, Married-civ-spouse, Farming-fishing, Wife, White, Male,0,0,35, United-States, >50K
44, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
36, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
55, Private, 10th, Divorced, Farming-fishing, Unmarried, White, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Sales, Wife, White, Female,0,1881,31, Philippines, <=50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
26, Private, Assoc-voc, Separated, Adm-clerical, Unmarried, White, Male,3101,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, United-States, <=50K
25, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
44, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, >50K
22, Private, Assoc-acdm, Never-married, Handlers-cleaners, Other-relative, Black, Female,0,0,30, United-States, <=50K
25, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
61, Local-gov, 5th-6th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
37, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,40, United-States, >50K
47, Local-gov, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,54, United-States, <=50K
54, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Private, Assoc-voc, Never-married, Other-service, Own-child, White, Female,0,0,60, United-States, <=50K
51, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
18, Private, 5th-6th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
29, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,40, United-States, >50K
37, Private, Bachelors, Separated, Craft-repair, Not-in-family, White, Male,0,0,60, Mexico, <=50K
33, Private, 10th, Married-civ-spouse, Other-service, Own-child, White, Male,15024,0,50, United-States, >50K
39, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,50, United-States, <=50K
35, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Philippines, >50K
35, Private, Some-college, Never-married, Sales, Unmarried, White, Female,0,0,20, United-States, <=50K
20, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,30, United-States, <=50K
48, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
51, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,50, United-States, >50K
46, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Male,0,0,35, United-States, >50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
47, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
23, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
30, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
51, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, China, >50K
41, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,50, United-States, >50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
25, Federal-gov, Assoc-acdm, Never-married, Sales, Husband, White, Male,0,0,46, United-States, <=50K
25, Private, Some-college, Never-married, Sales, Wife, White, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Divorced, Other-service, Own-child, White, Female,0,0,25, United-States, <=50K
25, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
20, Private, Prof-school, Never-married, Prof-specialty, Unmarried, White, Female,4073,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Never-married, Tech-support, Other-relative, White, Male,0,0,25, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, Prof-school, Never-married, Adm-clerical, Wife, White, Male,0,0,45, United-States, <=50K
52, Private, Doctorate, Never-married, Craft-repair, Not-in-family, White, Female,0,0,20, United-States, <=50K
28, Private, HS-grad, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, United-States, <=50K
