56, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,50, Puerto-Rico, >50K
40, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
35, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
31, Private, Assoc-voc, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
49, Federal-gov, Assoc-voc, Divorced, Prof-specialty, Wife, Other, Male,0,0,45, United-States, >50K
36, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
47, Federal-gov, Bachelors, Never-married, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,20, United-States, >50K
38, Self-emp-not-inc, Bachelors, Married-spouse-absent, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
60, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,7687,0,40, United-States, >50K
49, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,16, Yugoslavia, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,30, Mexico, <=50K
31, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Male,0,0,50, Taiwan, <=50K
55, Self-emp-not-inc, 9th, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
29, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Scotland, <=50K
20, Private, 10th, Never-married, Transport-moving, Own-child, White, Female,0,0,70, United-States, <=50K
66, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,15, United-States, <=50K
22, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,25, United-States, <=50K
25, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, United-States, <=50K
56, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,4406,0,60, Germany, >50K
36, Private, Masters, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, Yugoslavia, >50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K
28, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
47, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
44, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,15024,0,50, United-States, >50K
39, Private, Assoc-voc, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
30, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,54, United-States, <=50K
59, Private, 9th, Married-spouse-absent, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
49, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Male,0,0,45, United-States, <=50K
58, Private, Masters, Widowed, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
60, Private, 5th-6th, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Mexico, <=50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,7298,0,50, United-States, >50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,2001,60, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
33, Self-emp-inc, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,1887,40, Scotland, <=50K
47, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
44, Private, Assoc-acdm, Divorced, Tech-support, Unmarried, Black, Female,0,0,35, England, <=50K
43, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Peru, >50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
49, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
32, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,30, United-States, <=50K
51, Private, 7th-8th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, Mexico, <=50K
59, Private, HS-grad, Divorced, Craft-repair, Unmarried, Black, Female,2261,0,40, Hungary, <=50K
39, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
57, Local-gov, Bachelors, Divorced, Sales, Not-in-family, White, Male,0,2032,65, United-States, >50K
50, State-gov, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,66, United-States, <=50K
33, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, >50K
25, Private, HS-grad, Never-married, Other-service, Unmarried, Black, Female,0,0,40, Guatemala, <=50K
45, Private, Prof-school, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,7687,0,40, United-States, >50K
22, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
43, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,45, United-States, <=50K
59, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
36, Private, Masters, Married-civ-spouse, Tech-support, Own-child, White, Female,0,0,40, United-States, >50K
20, Private, Assoc-acdm, Never-married, Other-service, Own-child, White, Male,0,0,20, Ireland, <=50K
38, Federal-gov, Assoc-voc, Divorced, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
33, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Male,7687,0,50, United-States, >50K
23, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,1881,50, United-States, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
22, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,46, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
30, State-gov, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
53, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Male,1497,0,35, United-States, <=50K
48, Without-pay, Some-college, Widowed, Prof-specialty, Not-in-family, White, Female,3905,0,40, United-States, <=50K
52, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,88, United-States, <=50K
20, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
37, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
63, Self-emp-inc, Masters, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1902,40, United-States, >50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,25, United-States, <=50K
21, Private, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
18, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, Hungary, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
62, State-gov, HS-grad, Widowed, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
40, Local-gov, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, United-States, <=50K
37, State-gov, HS-grad, Never-married, Exec-managerial, Husband, White, Male,4092,0,78, United-States, <=50K
18, Private, 10th, Never-married, Other-service, Own-child, Black, Female,0,0,16, United-States, <=50K
54, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, United-States, >50K
47, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,25, United-States, <=50K
27, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
26, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, Mexico, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1771,40, United-States, >50K
27, Private, Some-college, Never-married, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
60, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,48, United-States, >50K
31, Private, 12th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
55, Federal-gov, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
50, Private, Assoc-voc, Never-married, Prof-specialty, Unmarried, Other, Female,0,0,50, Peru, <=50K
52, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, >50K
24, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Self-emp-inc, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Poland, >50K
41, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
59, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
57, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,2865,0,30, United-States, <=50K
46, Private, Masters, Divorced, Sales, Unmarried, White, Female,0,0,18, United-States, <=50K
35, Self-emp-inc, Some-college, Widowed, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,38, United-States, <=50K
57, State-gov, Some-college, Divorced, Other-service, Unmarried, Black, Male,0,0,30, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,2926,0,50, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
26, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
63, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
28, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,50, United-States, >50K
28, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,35, United-States, <=50K
25, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, 7th-8th, Divorced, Tech-support, Wife, White, Male,0,0,35, United-States, >50K
38, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,45, United-States, >50K
24, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,5178,0,24, United-States, >50K
26, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
63, Private, Bachelors, Never-married, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, 10th, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,70, United-States, <=50K
31, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,1902,35, United-States, <=50K
45, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, >50K
26, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Male,0,0,30, United-States, <=50K
29, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, Masters, Widowed, Prof-specialty, Unmarried, White, Female,0,0,45, United-States, <=50K
42, Local-gov, Assoc-acdm, Married-spouse-absent, Exec-managerial, Wife, White, Male,0,0,50, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, United-States, >50K
71, Private, Some-college, Widowed, Adm-clerical, Unmarried, White, Female,0,0,20, United-States, >50K
55, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
51, Private, HS-grad, Married-spouse-absent, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States, >50K
19, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male,0,0,45, United-States, >50K
35, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
27, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
27, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Male,0,0,70, United-States, <=50K
19, State-gov, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,16, United-States, <=50K
31, Private, HS-grad, Separated, Adm-clerical, Not-in-family, Other, Female,0,0,35, France, <=50K
28, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, >50K
62, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, <=50K
31, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Mexico, >50K
18, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,15024,0,40, United-States, >50K
43, Private, HS-grad, Widowed, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,40, United-States, >50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, United-States, <=50K
47, Self-emp-not-inc, Assoc-acdm, Married-spouse-absent, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
43, Private, Bachelors, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,44, United-States, <=50K
29, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,35, Yugoslavia, <=50K
29, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,38, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, White, Female,0,0,40, Canada, >50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,84, United-States, <=50K
32, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7687,0,45, United-States, >50K
34, Private, Some-college, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0,0,50, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, England, <=50K
67, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,38, United-States, <=50K
37, Local-gov, Assoc-acdm, Never-married, Other-service, Wife, White, Female,0,0,30, South, >50K
55, State-gov, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,35, United-States, <=50K
26, Federal-gov, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,45, Canada, <=50K
35, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, United-States, >50K
52, State-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,38, United-States, >50K
52, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
55, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Male,0,0,54, United-States, <=50K
38, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,99, United-States, >50K
32, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,16, United-States, <=50K
42, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,38, Iran, <=50K
32, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,24, United-States, <=50K
54, Private, HS-grad, Widowed, Craft-repair, Unmarried, White, Male,0,0,34, United-States, <=50K
46, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Self-emp-not-inc, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
59, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, United-States, <=50K
25, State-gov, Masters, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
56, Self-emp-inc, Assoc-voc, Married-spouse-absent, Protective-serv, Husband, Black, Male,0,0,40, United-States, >50K
90, Self-emp-inc, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,55, United-States, >50K
25, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,75, United-States, >50K
19, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,25, United-States, <=50K
22, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,24, United-States, <=50K
37, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
36, Private, Bachelors, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
62, Private, HS-grad, Widowed, Craft-repair, Unmarried, Black, Male,0,0,40, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,60, United-States, >50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
29, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Hong, <=50K
29, Private, 10th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
58, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,7106,0,48, United-States, >50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Japan, <=50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,48, United-States, <=50K
28, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3397,0,40, United-States, >50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,2375,50, United-States, >50K
18, Private, Some-college, Divorced, Sales, Own-child, White, Female,0,0,16, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,43, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1598,40, United-States, <=50K
29, Private, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Female,0,0,55, United-States, <=50K
41, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, China, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,30, United-States, <=50K
58, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
38, Self-emp-not-inc, Some-college, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,84, United-States, <=50K
50, Federal-gov, 7th-8th, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
40, Private, Some-college, Separated, Protective-serv, Unmarried, White, Female,0,0,32, United-States, <=50K
62, Self-emp-inc, Some-college, Divorced, Handlers-cleaners, Husband, White, Male,0,0,60, United-States, <=50K
40, Private, Bachelors, Never-married, Prof-specialty, Wife, White, Female,0,0,47, United-States, >50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,38, United-States, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,58, United-States, <=50K
32, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
