56, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Cuba, >50K
36, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Female,0,0,50, Hong, <=50K
47, Federal-gov, HS-grad, Widowed, Other-service, Husband, Asian-Pac-Islander, Male,0,0,20, Nicaragua, <=50K
38, Private, Assoc-voc, Widowed, Prof-specialty, Wife, White, Male,0,0,40, Japan, <=50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,7687,0,40, Hong, >50K
49, Self-emp-not-inc, Masters, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,16, Yugoslavia, <=50K
20, Private, 12th, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,30, Cuba, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Ecuador, <=50K
54, Self-emp-not-inc, 9th, Widowed, Other-service, Not-in-family, White, Female,0,0,35, India, <=50K
45, Private, Some-college, Divorced, Prof-specialty, Husband, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
29, State-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Dominican-Republic, >50K
20, Self-emp-inc, 10th, Never-married, Transport-moving, Not-in-family, White, Female,0,0,70, Jamaica, <=50K
66, Private, HS-grad, Divorced, Farming-fishing, Husband, Other, Female,0,0,14, Japan, >50K
22, Private, Some-college, Never-married, Tech-support, Own-child, White, Male,0,0,25, Taiwan, >50K
25, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Thailand, <=50K
19, Private, 10th, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, Ecuador, <=50K
58, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,5178,0,60, Canada, >50K
37, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,2175,0,35, Yugoslavia, >50K
41, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, Taiwan, >50K
28, Private, Some-college, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,24, Greece, <=50K
47, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,60, Poland, <=50K
44, Self-emp-inc, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,15024,0,50, Haiti, >50K
39, Private, Assoc-voc, Never-married, Craft-repair, Husband, Black, Female,0,0,40, Puerto-Rico, <=50K
29, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,54, Jamaica, <=50K
59, Private, 5th-6th, Widowed, Adm-clerical, Husband, White, Male,0,0,40, India, <=50K
49, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, France, <=50K
38, Private, Bachelors, Divorced, Other-service, Husband, White, Female,0,0,40, Germany, <=50K
33, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Other, Male,0,0,45, Ireland, <=50K
58, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, Japan, >50K
60, Local-gov, 11th, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, Columbia, <=50K
37, Private, Doctorate, Married-civ-spouse, Adm-clerical, Unmarried, Black, Male,7298,0,50, Japan, >50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,0,1977,60, Ecuador, >50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Taiwan, <=50K
33, Private, HS-grad, Married-civ-spouse, Transport-moving, Other-relative, Other, Male,0,1902,40, Cuba, <=50K
47, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
48, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, South, >50K
44, Local-gov, 9th, Divorced, Transport-moving, Unmarried, Black, Female,0,0,35, Canada, <=50K
43, Private, Some-college, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, Dominican-Republic, <=50K
30, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Female,0,0,40, Honduras, <=50K
49, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, Ireland, >50K
32, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,30, United-States, <=50K
51, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, Columbia, <=50K
59, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,3120,0,41, China, >50K
39, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,50, Hong, >50K
49, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Thailand, <=50K
56, Local-gov, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,0,1902,60, Guatemala, >50K
50, State-gov, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,65, Guatemala, <=50K
33, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Trinadad&Tobago, <=50K
25, Private, HS-grad, Never-married, Protective-serv, Unmarried, Black, Female,0,0,40, China, <=50K
46, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,7687,0,40, England, >50K
22, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Female,0,0,40, Taiwan, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Taiwan, <=50K
59, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Thailand, >50K
51, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Scotland, >50K
36, Private, HS-grad, Never-married, Tech-support, Husband, White, Female,0,0,40, France, >50K
20, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,20, Columbia, <=50K
37, Federal-gov, 7th-8th, Divorced, Protective-serv, Not-in-family, White, Male,0,0,40, Jamaica, <=50K
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Unmarried, White, Male,7486,0,50, Trinadad&Tobago, >50K
23, Private, Some-college, Never-married, Tech-support, Not-in-family, Black, Male,0,1882,50, Puerto-Rico, <=50K
23, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Ireland, <=50K
22, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,48, Thailand, <=50K
42, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, England, <=50K
30, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Haiti, <=50K
42, Self-emp-inc, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, Thailand, >50K
54, State-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,3103,0,35, Trinadad&Tobago, <=50K
49, Without-pay, Masters, Never-married, Prof-specialty, Husband, White, Male,4450,0,40, Haiti, <=50K
52, Private, Bachelors, Divorced, Farming-fishing, Husband, White, Male,0,0,88, El-Salvador, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,45, Greece, <=50K
36, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Puerto-Rico, <=50K
61, Private, Masters, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,1972,40, Trinadad&Tobago, >50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,25, Outlying-US(Guam-USVI-etc), <=50K
21, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, Poland, <=50K
38, Self-emp-not-inc, Preschool, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,40, Scotland, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, Other, Male,0,0,40, Peru, <=50K
34, Private, Assoc-voc, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, Thailand, <=50K
27, Private, Masters, Never-married, Sales, Own-child, Black, Male,0,0,40, China, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, Portugal, <=50K
33, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
62, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Female,0,0,40, India, <=50K
38, Private, Masters, Never-married, Craft-repair, Husband, White, Female,0,0,49, Japan, <=50K
40, Local-gov, 7th-8th, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,40, Thailand, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, El-Salvador, >50K
36, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, White, Male,3896,0,80, Honduras, <=50K
18, Private, 10th, Never-married, Prof-specialty, Own-child, Black, Female,0,0,16, Germany, <=50K
54, Local-gov, Masters, Divorced, Transport-moving, Husband, White, Female,0,0,54, Outlying-US(Guam-USVI-etc), >50K
47, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,25, Italy, <=50K
27, Self-emp-inc, Masters, Never-married, Handlers-cleaners, Husband, Asian-Pac-Islander, Female,0,0,40, India, <=50K
38, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Peru, <=50K
26, Private, HS-grad, Never-married, Other-service, Other-relative, White, Male,0,0,40, Columbia, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1740,40, Haiti, <=50K
27, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
60, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Male,0,0,48, Italy, >50K
31, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Hong, <=50K
54, Federal-gov, 9th, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,40, Japan, <=50K
23, Private, Some-college, Never-married, Machine-op-inspct, Husband, White, Female,0,0,30, Peru, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,0,0,50, Columbia, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,70, Jamaica, >50K
24, Private, Bachelors, Divorced, Craft-repair, Own-child, White, Male,0,0,40, Haiti, <=50K
26, Private, Some-college, Divorced, Exec-managerial, Own-child, White, Female,0,0,40, Haiti, <=50K
36, Self-emp-not-inc, HS-grad, Never-married, Sales, Husband, White, Female,0,0,50, Dominican-Republic, <=50K
41, Private, HS-grad, Divorced, Protective-serv, Unmarried, White, Female,0,0,40, Hong, <=50K
59, Private, Doctorate, Divorced, Machine-op-inspct, Husband, White, Female,0,0,40, Italy, <=50K
58, State-gov, Bachelors, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Female,3889,0,30, Trinadad&Tobago, <=50K
46, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,17, Laos, <=50K
35, Self-emp-not-inc, HS-grad, Separated, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,38, Peru, <=50K
57, State-gov, Some-college, Divorced, Protective-serv, Unmarried, Black, Male,0,0,30, Thailand, <=50K
24, Private, Bachelors, Never-married, Machine-op-inspct, Husband, White, Male,3103,0,50, United-States, <=50K
45, Private, Masters, Married-civ-spouse, Sales, Unmarried, White, Male,0,0,40, India, >50K
26, Private, 5th-6th, Never-married, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
63, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, <=50K
27, Private, Assoc-voc, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,50, Honduras, >50K
28, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Female,0,0,35, Philippines, <=50K
25, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, Jamaica, >50K
45, Private, 5th-6th, Divorced, Tech-support, Wife, White, Male,0,0,35, Peru, <=50K
39, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,1977,45, Vietnam, >50K
24, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Iran, <=50K
47, Private, Bachelors, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,5178,0,24, Ecuador, >50K
26, Private, HS-grad, Never-married, Protective-serv, Unmarried, White, Male,0,0,40, Portugal, >50K
63, Private, HS-grad, Widowed, Transport-moving, Not-in-family, White, Male,0,0,40, Iran, <=50K
46, Private, 10th, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,70, Iran, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1893,35, Taiwan, <=50K
45, Private, Bachelors, Divorced, Prof-specialty, Husband, White, Male,0,0,60, Peru, >50K
26, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,30, Nicaragua, <=50K
29, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, Guatemala, <=50K
48, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,45, El-Salvador, <=50K
42, Local-gov, 1st-4th, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,50, India, <=50K
47, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, Mexico, >50K
71, Local-gov, Prof-school, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,20, Scotland, >50K
55, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, Philippines, >50K
51, Private, Some-college, Never-married, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,0,0,40, Thailand, <=50K
37, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Japan, >50K
39, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, Ecuador, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,45, Peru, <=50K
35, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Thailand, >50K
27, Private, 12th, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,40, Iran, <=50K
32, Private, Some-college, Never-married, Protective-serv, Husband, White, Female,0,0,40, Hong, >50K
26, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, White, Male,0,0,70, Taiwan, <=50K
19, State-gov, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,18, Yugoslavia, <=50K
31, Self-emp-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,35, Canada, <=50K
28, Private, HS-grad, Divorced, Craft-repair, Husband, Black, Male,0,0,40, Honduras, <=50K
47, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, >50K
62, Private, Some-college, Divorced, Tech-support, Husband, White, Male,0,0,45, Guatemala, <=50K
31, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, Columbia, <=50K
18, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, Haiti, <=50K
39, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, Yugoslavia, >50K
43, Private, Bachelors, Separated, Adm-clerical, Unmarried, White, Male,0,0,40, Nicaragua, <=50K
60, Private, Masters, Widowed, Exec-managerial, Not-in-family, White, Male,0,1977,40, United-States, >50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,20, Ireland, <=50K
46, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Scotland, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,0,45, Honduras, >50K
29, Private, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,35, Yugoslavia, <=50K
29, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,38, Jamaica, >50K
44, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Cambodia, >50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,84, Mexico, >50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Haiti, <=50K
38, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7687,0,43, Japan, >50K
34, Private, Some-college, Never-married, Tech-support, Unmarried, Other, Male,0,0,50, Laos, <=50K
36, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Male,0,0,40, Canada, <=50K
66, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,30, Scotland, <=50K
47, Private, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Other, Male,0,0,40, South, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Wife, White, Female,0,0,38, Iran, <=50K
36, Private, 11th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,30, Ecuador, <=50K
54, State-gov, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Taiwan, >50K
23, Private, Some-college, Never-married, Sales, Unmarried, Black, Female,0,0,35, Vietnam, <=50K
26, Federal-gov, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,45, Cambodia, <=50K
34, Private, Prof-school, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
53, State-gov, 9th, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,15024,0,40, Japan, >50K
52, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, Greece, >50K
54, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Italy, <=50K
22, Private, Bachelors, Never-married, Farming-fishing, Own-child, White, Female,0,0,54, Nicaragua, <=50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,15024,0,99, Ireland, >50K
31, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,17, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, Philippines, <=50K
49, Private, 1st-4th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,50, Ireland, >50K
21, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,38, China, <=50K
32, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,24, Guatemala, <=50K
54, Private, 7th-8th, Widowed, Craft-repair, Unmarried, White, Male,0,0,32, South, >50K
45, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Taiwan, <=50K
39, Self-emp-not-inc, Masters, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,45, India, <=50K
59, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,40, Ireland, >50K
44, Private, Assoc-voc, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Hong, <=50K
25, State-gov, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
56, Self-emp-inc, Bachelors, Widowed, Prof-specialty, Husband, Black, Male,0,0,40, India, <=50K
90, Local-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, China, >50K
25, Private, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,75, Honduras, >50K
19, Private, 11th, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Honduras, <=50K
35, Private, Some-college, Divorced, Prof-specialty, Husband, White, Female,0,0,40, Hong, <=50K
25, Private, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,25, Guatemala, <=50K
22, State-gov, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,24, Mexico, <=50K
37, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Taiwan, >50K
36, Private, Assoc-voc, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, Scotland, >50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, India, >50K
62, Private, Bachelors, Widowed, Craft-repair, Wife, Black, Male,0,0,40, Taiwan, <=50K
43, Private, Assoc-acdm, Divorced, Adm-clerical, Husband, Other, Male,0,0,40, Yugoslavia, <=50K
24, Private, Prof-school, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,60, Haiti, <=50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,45, Ireland, <=50K
29, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Canada, <=50K
29, Private, 10th, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, Portugal, <=50K
60, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,7291,0,50, Portugal, >50K
36, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Columbia, <=50K
31, Private, Masters, Never-married, Transport-moving, Not-in-family, Other, Female,0,0,49, United-States, <=50K
28, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Poland, <=50K
48, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,4410,0,40, South, >50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,2112,50, Vietnam, >50K
18, Private, Some-college, Divorced, Sales, Own-child, White, Female,0,0,16, El-Salvador, <=50K
36, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Other-relative, White, Female,0,0,44, Jamaica, <=50K
36, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,0,0,40, Iran, <=50K
40, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,1645,40, Iran, <=50K
28, Private, 9th, Never-married, Craft-repair, Husband, White, Female,0,0,57, Ecuador, <=50K
41, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Cambodia, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,30, Hong, <=50K
58, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Greece, <=50K
38, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,86, Haiti, >50K
