50, Private, Bachelors, Divorced, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,1899,46, United-States, >50K
68, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,16518,0,54, United-States, >50K
48, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
44, State-gov, HS-grad, Separated, Other-service, Unmarried, Black, Female,0,0,35, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
28, Local-gov, Assoc-voc, Never-married, Adm-clerical, Own-child, White, Male,0,0,50, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,2264,0,35, United-States, >50K
37, Private, Some-college, Divorced, Protective-serv, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
20, Private, Assoc-acdm, Never-married, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, <=50K
41, Private, Assoc-voc, Divorced, Priv-house-serv, Not-in-family, White, Male,0,0,40, United-States, >50K
23, Local-gov, 11th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
21, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Local-gov, HS-grad, Separated, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
17, Private, 10th, Separated, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
64, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
40, Self-emp-inc, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Vietnam, <=50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,38, United-States, <=50K
37, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
48, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,30, United-States, <=50K
62, State-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,16010,0,40, United-States, <=50K
25, Self-emp-inc, 10th, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,60, United-States, >50K
20, Private, Masters, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,24, United-States, >50K
28, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,45, United-States, <=50K
39, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,30, Japan, <=50K
43, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
29, Private, Some-college, Never-married, Other-service, Own-child, Black, Male,0,0,20, United-States, <=50K
32, Private, Masters, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, <=50K
33, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
57, Private, Masters, Divorced, Tech-support, Not-in-family, White, Female,0,0,50, United-States, <=50K
37, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
70, Federal-gov, Some-college, Widowed, Adm-clerical, Wife, White, Female,0,0,6, United-States, <=50K
67, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
77, Private, HS-grad, Divorced, Protective-serv, Not-in-family, White, Female,0,0,35, United-States, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
44, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
62, Local-gov, 1st-4th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
34, Private, Bachelors, Divorced, Adm-clerical, Wife, Black, Female,0,0,44, United-States, <=50K
59, Private, HS-grad, Divorced, Exec-managerial, Wife, White, Female,15024,0,35, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Unmarried, Black, Female,0,0,35, United-States, <=50K
23, Private, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,54, United-States, <=50K
29, Private, 1st-4th, Never-married, Adm-clerical, Unmarried, White, Female,1313,0,13, United-States, >50K
38, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, Mexico, <=50K
31, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, >50K
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,45, United-States, <=50K
35, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,65, United-States, >50K
38, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Own-child, Black, Male,0,0,54, United-States, <=50K
34, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,54, United-States, >50K
45, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,40, Taiwan, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, Mexico, <=50K
44, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,54, United-States, <=50K
20, Private, Some-college, Never-married, Farming-fishing, Own-child, White, Male,0,1784,20, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
33, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
28, Private, HS-grad, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Wife, White, Female,0,0,20, Mexico, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,49, United-States, >50K
41, Private, HS-grad, Divorced, Handlers-cleaners, Wife, White, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,65, United-States, <=50K
31, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,6513,0,60, United-States, >50K
37, Private, HS-grad, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
43, Local-gov, 9th, Divorced, Other-service, Not-in-family, White, Male,0,0,40, Mexico, >50K
27, Federal-gov, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Handlers-cleaners, Wife, White, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
39, Private, Some-college, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
40, Private, HS-grad, Separated, Sales, Not-in-family, White, Female,0,0,54, United-States, <=50K
44, State-gov, Some-college, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,40, United-States, <=50K
21, Private, Masters, Never-married, Adm-clerical, Unmarried, White, Female,0,0,50, United-States, <=50K
25, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
37, Without-pay, Some-college, Separated, Sales, Not-in-family, White, Male,0,0,75, United-States, <=50K
29, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
35, Private, Masters, Divorced, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,35, United-States, <=50K
60, Private, Some-college, Separated, Exec-managerial, Husband, White, Male,0,0,30, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,54, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
90, Self-emp-not-inc, 7th-8th, Widowed, Priv-house-serv, Husband, White, Male,0,0,32, United-States, <=50K
50, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Mexico, <=50K
42, Self-emp-not-inc, Bachelors, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
54, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,3609,0,40, United-States, >50K
69, State-gov, Masters, Widowed, Protective-serv, Not-in-family, Black, Female,0,0,45, United-States, <=50K
20, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
42, Local-gov, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
19, Private, Some-college, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,16, United-States, <=50K
31, State-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, 10th, Divorced, Other-service, Unmarried, Black, Female,0,0,30, United-States, <=50K
43, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
48, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,35, United-States, >50K
31, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Philippines, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,8, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
62, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
21, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, United-States, <=50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, Black, Male,0,0,20, United-States, <=50K
52, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,10, United-States, <=50K
55, Private, Assoc-voc, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,50, United-States, <=50K
29, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
32, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Private, Some-college, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States, >50K
68, Local-gov, HS-grad, Widowed, Sales, Unmarried, White, Female,0,0,20, United-States, <=50K
35, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,40, United-States, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Female,0,0,35, United-States, <=50K
34, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,45, United-States, >50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
51, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,80, United-States, >50K
51, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
56, Private, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,38, United-States, >50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,0,0,15, United-States, <=50K
64, State-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
57, Private, 7th-8th, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
27, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,30, United-States, <=50K
58, Private, HS-grad, Widowed, Protective-serv, Unmarried, White, Male,0,0,30, United-States, <=50K
25, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
28, Private, 10th, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
41, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
40, Private, HS-grad, Divorced, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
42, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
23, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,29, United-States, <=50K
77, Private, Some-college, Widowed, Tech-support, Husband, White, Male,0,0,25, United-States, <=50K
62, Federal-gov, 5th-6th, Widowed, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, >50K
31, Private, Masters, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, Some-college, Separated, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,60, United-States, >50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
22, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,1842,32, United-States, <=50K
64, Private, Some-college, Widowed, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
23, Federal-gov, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
52, Private, 5th-6th, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Separated, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Tech-support, Wife, White, Female,0,0,35, United-States, <=50K
42, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,55, United-States, >50K
63, Self-emp-not-inc, HS-grad, Separated, Craft-repair, Husband, White, Male,0,0,35, India, <=50K
44, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,30, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Masters, Divorced, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, United-States, >50K
64, Private, Masters, Widowed, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,50, United-States, <=50K
43, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,3296,0,40, United-States, <=50K
55, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,40, Yugoslavia, <=50K
65, Private, Assoc-voc, Never-married, Priv-house-serv, Unmarried, White, Female,0,0,40, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, China, <=50K
63, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Male,0,1977,99, United-States, >50K
25, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
43, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Tech-support, Unmarried, Black, Male,0,0,40, United-States, <=50K
54, Private, Assoc-voc, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,60, Japan, >50K
45, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
38, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,7314,0,45, United-States, >50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,45, United-States, <=50K
43, Private, 5th-6th, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, State-gov, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Private, Some-college, Separated, Prof-specialty, Wife, White, Female,0,0,13, United-States, <=50K
35, Federal-gov, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Columbia, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
17, Self-emp-not-inc, 10th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,18, United-States, <=50K
32, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
26, Private, Bachelors, Never-married, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
59, Local-gov, HS-grad, Widowed, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,2314,40, United-States, >50K
27, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
26, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, 12th, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Mexico, >50K
23, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,40, United-States, >50K
32, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
43, Private, Assoc-voc, Divorced, Exec-managerial, Not-in-family, Black, Female,0,1658,40, United-States, <=50K
54, State-gov, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
30, Private, Bachelors, Separated, Sales, Not-in-family, Black, Male,0,0,65, United-States, <=50K
71, Local-gov, 1st-4th, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,15, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
34, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States, <=50K
52, Self-emp-inc, Some-college, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
57, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, United-States, >50K
30, Private, Doctorate, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,7687,0,50, United-States, >50K
56, Private, Assoc-acdm, Separated, Other-service, Not-in-family, White, Female,0,0,40, United-States, >50K
64, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
72, Private, Assoc-acdm, Widowed, Craft-repair, Wife, Black, Female,0,0,35, United-States, <=50K
54, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,4897,0,40, United-States, <=50K
37, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
45, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,30, United-States, <=50K
35, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,1984,45, Mexico, <=50K
49, Private, 10th, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,49, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
43, Local-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Philippines, <=50K
23, Private, Some-college, Never-married, Tech-support, Own-child, Other, Female,0,1902,40, United-States, <=50K
60, Private, Masters, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,54, United-States, <=50K
62, Private, Doctorate, Married-civ-spouse, Other-service, Wife, White, Male,7687,0,40, United-States, >50K
19, Private, Some-college, Divorced, Sales, Own-child, White, Female,0,0,15, United-States, <=50K
52, Private, HS-grad, Separated, Machine-op-inspct, Unmarried, White, Female,0,0,30, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
47, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,24, United-States, >50K
44, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, >50K
28, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,53, Dominican-Republic, >50K
45, Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
30, Federal-gov, Bachelors, Never-married, Sales, Husband, White, Male,99999,0,70, United-States, >50K
43, Private, Some-college, Never-married, Sales, Unmarried, White, Male,0,0,60, United-States, <=50K
40, Private, Masters, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, >50K
73, Private, Bachelors, Widowed, Prof-specialty, Not-in-family, White, Male,7687,0,45, United-States, >50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
64, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,186,0,25, United-States, <=50K
