44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,70, United-States, >50K
48, Local-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
36, Federal-gov, Assoc-acdm, Divorced, Sales, Unmarried, White, Female,0,0,50, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
22, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
27, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,8, United-States, <=50K
47, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,3103,0,40, United-States, >50K
22, Self-emp-not-inc, Prof-school, Never-married, Adm-clerical, Own-child, White, Male,0,0,45, United-States, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
37, State-gov, Some-college, Married-spouse-absent, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,25, United-States, <=50K
40, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Separated, Handlers-cleaners, Unmarried, White, Female,0,0,30, United-States, <=50K
38, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
43, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
47, Private, HS-grad, Married-spouse-absent, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Never-married, Other-service, Unmarried, Black, Female,0,0,40, Mexico, <=50K
62, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,38, United-States, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
29, State-gov, HS-grad, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,30, United-States, <=50K
27, Private, Masters, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
33, Local-gov, 11th, Never-married, Other-service, Wife, White, Female,0,0,25, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Black, Female,0,0,25, United-States, <=50K
28, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, 10th, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States, <=50K
59, Local-gov, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,4386,0,40, United-States, >50K
34, Private, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
19, Self-emp-not-inc, Some-college, Never-married, Other-service, Other-relative, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
32, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
27, Private, HS-grad, Divorced, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Male,0,0,18, United-States, >50K
45, Local-gov, 7th-8th, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,80, United-States, <=50K
23, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
38, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
58, State-gov, Masters, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,17, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Separated, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
34, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Other, Male,0,0,45, United-States, >50K
22, Private, HS-grad, Never-married, Other-service, Other-relative, White, Male,0,0,20, United-States, <=50K
27, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,36, United-States, <=50K
62, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,7176,0,40, United-States, >50K
46, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, United-States, >50K
34, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, >50K
39, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,50, United-States, <=50K
49, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
44, Private, HS-grad, Divorced, Transport-moving, Own-child, White, Male,0,0,70, United-States, <=50K
37, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,4094,0,45, United-States, >50K
55, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,44, United-States, <=50K
32, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,38, United-States, <=50K
42, Private, HS-grad, Widowed, Transport-moving, Unmarried, White, Male,0,0,38, United-States, <=50K
34, Private, 11th, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1986,40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
28, Local-gov, 11th, Married-civ-spouse, Craft-repair, Wife, Other, Male,0,1890,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
43, Federal-gov, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,45, United-States, <=50K
52, Local-gov, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
30, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,1615,40, United-States, <=50K
21, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
21, Self-emp-not-inc, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,30, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, Philippines, <=50K
53, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Husband, White, Male,99999,0,60, United-States, >50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,65, United-States, >50K
65, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,3383,0,20, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Other-service, Wife, White, Female,0,0,30, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Other-service, Wife, White, Male,0,0,40, United-States, >50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
28, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,45, United-States, <=50K
34, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
25, Self-emp-not-inc, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Yugoslavia, <=50K
43, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, China, <=50K
24, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
63, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,5013,0,40, United-States, >50K
34, Private, Some-college, Never-married, Sales, Wife, Black, Male,0,0,20, United-States, <=50K
21, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Mexico, <=50K
53, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,35, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,25, United-States, >50K
23, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
27, Private, 7th-8th, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
35, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
25, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
56, Federal-gov, Some-college, Widowed, Other-service, Wife, White, Male,0,0,35, China, <=50K
33, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,50, United-States, <=50K
22, State-gov, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,16, United-States, <=50K
39, Private, Masters, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,54, United-States, >50K
28, Private, Assoc-voc, Never-married, Prof-specialty, Unmarried, White, Female,4710,0,50, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, >50K
55, Local-gov, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
40, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Private, Masters, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, 11th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,24, United-States, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
26, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
32, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
23, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Other, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,50, United-States, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
55, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
23, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Separated, Sales, Unmarried, Black, Male,0,0,60, United-States, >50K
28, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
21, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,25, United-States, <=50K
30, Private, Some-college, Divorced, Protective-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States, <=50K
27, Private, Bachelors, Divorced, Exec-managerial, Wife, White, Female,0,0,48, United-States, >50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, >50K
57, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,52, United-States, <=50K
33, Private, Bachelors, Married-spouse-absent, Exec-managerial, Wife, Black, Male,0,0,45, United-States, <=50K
61, Private, 7th-8th, Divorced, Craft-repair, Unmarried, Black, Female,0,0,40, United-States, <=50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, United-States, >50K
38, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,65, United-States, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,23, Trinadad&Tobago, <=50K
44, Private, 10th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, >50K
49, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
60, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,54, United-States, <=50K
30, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,65, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
30, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, >50K
31, Private, Masters, Divorced, Tech-support, Unmarried, Black, Female,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,70, United-States, <=50K
25, Private, Bachelors, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
64, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
42, Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,54, United-States, <=50K
34, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,25, El-Salvador, <=50K
25, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,45, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
41, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,54, United-States, <=50K
31, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
30, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
51, Private, Some-college, Divorced, Farming-fishing, Not-in-family, Other, Female,0,0,40, United-States, <=50K
47, Private, HS-grad, Never-married, Tech-support, Unmarried, White, Female,0,0,35, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
