51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,65, Greece, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,15, China, <=50K
57, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Yugoslavia, >50K
32, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Male,0,0,35, United-States, <=50K
50, Private, Some-college, Divorced, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,65, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,2133,0,40, Honduras, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Other-relative, Other, Female,0,0,40, Mexico, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Nicaragua, <=50K
37, State-gov, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Honduras, <=50K
22, Private, HS-grad, Never-married, Farming-fishing, Own-child, Other, Female,0,0,50, Guatemala, <=50K
55, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Female,0,0,54, United-States, >50K
20, Private, 12th, Never-married, Adm-clerical, Own-child, White, Male,0,0,35, United-States, <=50K
30, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,45, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,5151,0,40, Italy, >50K
59, Private, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,1720,25, United-States, <=50K
54, Federal-gov, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, Iran, >50K
30, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Scotland, <=50K
45, Local-gov, HS-grad, Separated, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
30, Private, Bachelors, Never-married, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
28, Self-emp-inc, HS-grad, Never-married, Sales, Not-in-family, Black, Male,0,0,45, Portugal, <=50K
19, Private, Prof-school, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Yugoslavia, <=50K
25, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,29, France, <=50K
37, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,35, Haiti, <=50K
64, Self-emp-not-inc, Assoc-acdm, Separated, Prof-specialty, Husband, Other, Female,0,0,50, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
28, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Germany, >50K
58, Self-emp-inc, 10th, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
45, Private, Masters, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
66, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,15, Honduras, <=50K
60, Private, HS-grad, Divorced, Sales, Not-in-family, Black, Male,0,0,40, Columbia, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Yugoslavia, >50K
44, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
18, Private, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, Mexico, <=50K
44, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,15024,0,40, Philippines, >50K
27, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,50, United-States, <=50K
60, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
38, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, Ireland, <=50K
19, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,25, Jamaica, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,20, United-States, <=50K
27, Private, Masters, Never-married, Farming-fishing, Wife, White, Male,0,0,35, United-States, <=50K
36, Private, 12th, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, England, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, Haiti, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Wife, Black, Male,15024,0,35, Greece, <=50K
33, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,50, Japan, >50K
30, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
47, Local-gov, Assoc-acdm, Married-civ-spouse, Transport-moving, Not-in-family, Black, Female,0,0,40, Columbia, <=50K
28, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,35, Greece, <=50K
43, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Poland, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, Black, Male,0,0,45, United-States, >50K
41, Private, Bachelors, Divorced, Farming-fishing, Not-in-family, Black, Female,0,0,15, United-States, <=50K
36, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, El-Salvador, <=50K
49, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,70, Dominican-Republic, <=50K
52, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,60, Taiwan, <=50K
48, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,15024,0,56, United-States, >50K
51, Local-gov, HS-grad, Divorced, Sales, Unmarried, Black, Male,0,0,40, Nicaragua, <=50K
44, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,45, Nicaragua, <=50K
28, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
33, Private, HS-grad, Never-married, Protective-serv, Wife, Asian-Pac-Islander, Female,0,0,20, Cuba, <=50K
46, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,395,40, Hungary, >50K
47, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,40, United-States, >50K
70, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,3103,0,40, United-States, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,45, United-States, <=50K
30, Private, HS-grad, Never-married, Transport-moving, Husband, White, Female,3103,0,50, Italy, >50K
62, Local-gov, 7th-8th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Ecuador, >50K
49, Federal-gov, 7th-8th, Divorced, Protective-serv, Not-in-family, White, Female,0,0,38, United-States, <=50K
26, Private, HS-grad, Never-married, Handlers-cleaners, Wife, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
43, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
38, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,50, Iran, <=50K
41, State-gov, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,38, Outlying-US(Guam-USVI-etc), <=50K
56, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
42, State-gov, HS-grad, Separated, Adm-clerical, Not-in-family, White, Male,0,0,29, United-States, <=50K
41, State-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, Peru, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,15024,0,56, Honduras, >50K
49, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,15024,0,40, Mexico, <=50K
59, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,48, United-States, >50K
25, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,50, United-States, <=50K
21, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, United-States, <=50K
49, Private, HS-grad, Never-married, Sales, Husband, Other, Male,0,0,40, United-States, <=50K
38, Self-emp-not-inc, Some-college, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
81, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,25, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,15, United-States, <=50K
46, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Cuba, >50K
30, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,60, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, United-States, <=50K
31, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
36, Local-gov, 9th, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Hungary, <=50K
59, State-gov, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Male,2185,0,40, Poland, <=50K
33, Private, 10th, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Japan, <=50K
87, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,10, United-States, >50K
42, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, >50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,50, Thailand, >50K
45, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,3258,0,40, United-States, <=50K
60, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, England, >50K
18, Private, Assoc-acdm, Never-married, Other-service, Own-child, White, Male,0,0,10, Peru, <=50K
46, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,40, United-States, <=50K
51, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, >50K
29, Local-gov, 11th, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Puerto-Rico, <=50K
43, Federal-gov, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
68, Private, Some-college, Separated, Machine-op-inspct, Not-in-family, White, Female,0,0,25, United-States, <=50K
63, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,45, England, <=50K
28, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, >50K
38, Private, Doctorate, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Peru, <=50K
48, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, Philippines, >50K
25, Private, HS-grad, Married-spouse-absent, Sales, Husband, Black, Female,0,0,40, Greece, <=50K
45, Private, Masters, Married-civ-spouse, Sales, Husband, Other, Female,0,0,54, Scotland, <=50K
50, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,45, United-States, >50K
29, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Self-emp-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Sales, Other-relative, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
25, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Private, Masters, Divorced, Sales, Unmarried, Black, Male,5198,0,40, United-States, <=50K
29, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, Germany, <=50K
35, Private, Masters, Never-married, Adm-clerical, Husband, White, Male,0,1695,50, United-States, <=50K
30, Private, 9th, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,81, Puerto-Rico, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
26, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
55, Private, 7th-8th, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,40, United-States, >50K
27, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,50, United-States, <=50K
47, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Holand-Netherlands, >50K
50, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
56, Private, HS-grad, Separated, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
43, Local-gov, 10th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States, <=50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,10, United-States, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Mexico, <=50K
41, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1887,54, Honduras, <=50K
22, Local-gov, 11th, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, United-States, <=50K
25, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Never-married, Adm-clerical, Other-relative, White, Female,0,0,54, United-States, >50K
51, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,7298,0,40, United-States, >50K
26, Private, Some-college, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
52, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Honduras, >50K
43, Private, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, United-States, <=50K
29, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,988,40, United-States, >50K
23, Private, 11th, Never-married, Adm-clerical, Other-relative, Black, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,20, Portugal, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,20, United-States, <=50K
42, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,7687,0,54, Yugoslavia, >50K
20, Private, HS-grad, Never-married, Craft-repair, Other-relative, Black, Male,0,0,40, Columbia, <=50K
35, Private, HS-grad, Divorced, Exec-managerial, Husband, Black, Male,0,0,40, Portugal, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
31, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, Nicaragua, <=50K
22, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,60, England, <=50K
53, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,40, Philippines, <=50K
28, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
62, Private, HS-grad, Separated, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,60, Portugal, >50K
34, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
38, Private, Bachelors, Divorced, Protective-serv, Not-in-family, White, Male,2891,0,50, United-States, <=50K
26, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Male,0,0,35, Cambodia, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, Peru, >50K
25, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,27, United-States, <=50K
50, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, China, >50K
46, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,15024,0,40, United-States, >50K
47, Private, Some-college, Never-married, Adm-clerical, Wife, Black, Female,0,0,25, United-States, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
32, Private, 12th, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,3199,0,40, Holand-Netherlands, >50K
51, State-gov, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Sales, Wife, Black, Male,7298,0,40, United-States, >50K
37, Federal-gov, Masters, Never-married, Machine-op-inspct, Husband, Other, Male,0,0,40, Cambodia, <=50K
58, Private, Prof-school, Divorced, Armed-Forces, Unmarried, Black, Male,0,0,50, United-States, <=50K
34, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,693,0,20, Mexico, >50K
38, Private, 12th, Married-civ-spouse, Protective-serv, Wife, White, Male,0,0,97, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, United-States, >50K
64, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,15, United-States, <=50K
46, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,1469,40, United-States, <=50K
53, Private, 12th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,60, United-States, >50K
24, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, Dominican-Republic, <=50K
24, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, Mexico, <=50K
19, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, United-States, <=50K
31, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,50, United-States, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,25, Trinadad&Tobago, <=50K
37, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,45, United-States, <=50K
55, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,5126,0,40, Taiwan, >50K
30, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1781,40, Outlying-US(Guam-USVI-etc), >50K
20, Private, Bachelors, Separated, Protective-serv, Own-child, Asian-Pac-Islander, Male,0,0,35, Thailand, <=50K
30, Private, 12th, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, El-Salvador, <=50K
48, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Male,0,1975,40, Poland, <=50K
21, Private, 11th, Never-married, Prof-specialty, Own-child, Other, Male,0,0,40, Poland, <=50K
41, Private, Some-college, Divorced, Other-service, Not-in-family, Other, Female,0,0,50, Scotland, <=50K
50, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Male,0,0,48, Nicaragua, <=50K
31, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,7298,0,50, United-States, >50K
34, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,35, United-States, <=50K
30, Private, Bachelors, Never-married, Craft-repair, Wife, Asian-Pac-Islander, Male,4618,0,40, United-States, <=50K
49, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,2421,0,40, Poland, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Cuba, <=50K
24, Private, 10th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,29, United-States, <=50K
59, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
66, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,25, El-Salvador, <=50K
20, Private, Some-college, Never-married, Tech-support, Own-child, Black, Female,0,0,35, United-States, <=50K
28, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,60, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
42, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, Honduras, <=50K
28, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,2903,0,36, United-States, <=50K
27, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
57, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,7687,0,40, United-States, >50K
41, Self-emp-inc, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,54, Holand-Netherlands, >50K
36, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,10, Cambodia, <=50K
41, Local-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,864,40, Puerto-Rico, <=50K
