30, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,35, Germany, <=50K
45, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
34, Private, Bachelors, Divorced, Sales, Not-in-family, White, Male,0,1640,60, Outlying-US(Guam-USVI-etc), <=50K
40, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,1684,40, Honduras, <=50K
66, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,1485,20, Greece, <=50K
46, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Local-gov, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,50, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
66, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,54, Italy, <=50K
27, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
29, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
27, Local-gov, Assoc-acdm, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,38, Iran, <=50K
65, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, South, >50K
46, Federal-gov, HS-grad, Separated, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Other-service, Wife, White, Male,0,0,45, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Own-child, Black, Male,0,0,25, Portugal, <=50K
31, Private, Prof-school, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,15024,0,40, Yugoslavia, <=50K
23, Private, Assoc-voc, Never-married, Craft-repair, Not-in-family, White, Female,0,0,32, France, <=50K
44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,65, Haiti, <=50K
33, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,45, Trinadad&Tobago, <=50K
56, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
46, State-gov, Masters, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Germany, <=50K
33, Self-emp-not-inc, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
29, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
48, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
27, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, Haiti, <=50K
42, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,35, Columbia, <=50K
19, Private, Some-college, Married-civ-spouse, Adm-clerical, Own-child, White, Female,0,0,24, Yugoslavia, <=50K
48, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
40, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,7687,0,40, Laos, >50K
27, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Peru, <=50K
40, Private, Doctorate, Separated, Craft-repair, Husband, Black, Female,0,0,40, United-States, <=50K
25, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
30, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Male,2174,0,50, United-States, <=50K
47, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Ireland, <=50K
30, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, Jamaica, <=50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,45, United-States, >50K
61, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,20, United-States, >50K
46, Local-gov, 5th-6th, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, El-Salvador, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
60, Private, HS-grad, Divorced, Exec-managerial, Wife, White, Female,0,0,50, Haiti, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
35, Private, Bachelors, Never-married, Tech-support, Wife, Asian-Pac-Islander, Female,0,0,60, Germany, <=50K
47, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Female,0,0,40, Japan, <=50K
31, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Assoc-acdm, Never-married, Transport-moving, Own-child, Black, Female,0,0,40, Columbia, <=50K
62, Private, Some-college, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,40, Germany, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,3993,0,40, Philippines, <=50K
26, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
20, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Own-child, Black, Male,0,0,30, United-States, <=50K
64, Self-emp-inc, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
18, Private, HS-grad, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,30, Dominican-Republic, <=50K
41, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,50, South, >50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,35, United-States, <=50K
22, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, Black, Male,0,0,50, Nicaragua, <=50K
29, State-gov, HS-grad, Divorced, Craft-repair, Own-child, White, Male,0,0,45, Nicaragua, <=50K
56, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,50, United-States, >50K
33, Private, Bachelors, Never-married, Prof-specialty, Wife, Asian-Pac-Islander, Female,0,0,45, Cuba, <=50K
26, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,25, Hungary, <=50K
54, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,7687,0,44, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
46, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
42, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,60, Jamaica, >50K
46, Local-gov, Assoc-acdm, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, Dominican-Republic, >50K
58, Federal-gov, 7th-8th, Divorced, Sales, Unmarried, White, Female,0,1669,25, United-States, <=50K
44, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,15, United-States, <=50K
55, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
54, Self-emp-inc, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,45, United-States, >50K
58, Self-emp-not-inc, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,1610,45, Iran, <=50K
34, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
34, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,60, United-States, >50K
46, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, State-gov, Some-college, Never-married, Sales, Husband, White, Male,0,0,61, Peru, <=50K
51, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,50, Honduras, <=50K
36, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,54, Laos, <=50K
42, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,45, United-States, <=50K
46, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Male,0,0,30, United-States, <=50K
25, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Divorced, Other-service, Not-in-family, Black, Female,0,0,38, United-States, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Other-service, Unmarried, White, Male,0,0,20, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Tech-support, Own-child, Asian-Pac-Islander, Male,3470,0,20, United-States, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
24, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,45, Cuba, <=50K
25, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, State-gov, Masters, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, >50K
33, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Black, Female,7687,0,50, United-States, >50K
46, Local-gov, 7th-8th, Married-civ-spouse, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
42, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, Hungary, >50K
62, State-gov, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, Portugal, <=50K
20, Private, 10th, Never-married, Other-service, Other-relative, Asian-Pac-Islander, Male,0,0,70, Laos, <=50K
53, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, Other, Female,7298,0,50, United-States, >50K
50, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, >50K
42, Self-emp-not-inc, Preschool, Separated, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
24, Private, HS-grad, Never-married, Transport-moving, Other-relative, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,40, England, <=50K
44, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,30, Peru, <=50K
41, Private, Some-college, Divorced, Sales, Not-in-family, Other, Male,0,0,50, United-States, <=50K
38, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Male,0,0,30, United-States, >50K
47, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,72, Puerto-Rico, <=50K
58, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,99999,0,40, United-States, >50K
38, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Own-child, Black, Male,0,0,70, England, <=50K
22, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Peru, >50K
26, Private, Some-college, Divorced, Exec-managerial, Own-child, White, Female,0,0,40, Peru, <=50K
41, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, Black, Female,0,0,64, Greece, <=50K
26, Private, Some-college, Never-married, Sales, Own-child, Other, Female,0,0,40, Portugal, <=50K
46, Private, Bachelors, Divorced, Other-service, Not-in-family, Other, Female,0,0,35, United-States, <=50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Female,0,0,40, United-States, >50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,99, United-States, <=50K
34, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,60, United-States, <=50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,50, United-States, <=50K
37, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Male,0,0,60, Germany, <=50K
45, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Female,5013,0,50, Portugal, >50K
25, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
50, State-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
63, Private, 7th-8th, Divorced, Transport-moving, Wife, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,40, United-States, <=50K
54, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1887,45, United-States, >50K
29, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,50, Haiti, <=50K
44, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,45, United-States, >50K
63, Private, HS-grad, Married-spouse-absent, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, 10th, Divorced, Handlers-cleaners, Unmarried, Other, Male,0,0,45, United-States, <=50K
76, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,8, United-States, <=50K
22, Private, HS-grad, Never-married, Other-service, Not-in-family, Other, Male,0,0,35, United-States, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,60, United-States, <=50K
41, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Nicaragua, >50K
47, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Hong, <=50K
28, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,20, Trinadad&Tobago, <=50K
19, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,2239,0,45, United-States, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, >50K
26, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,62, United-States, <=50K
35, Private, Some-college, Divorced, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
33, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Honduras, <=50K
41, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,45, United-States, >50K
30, Federal-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
66, Private, 11th, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,30, United-States, <=50K
30, Private, Some-college, Never-married, Sales, Not-in-family, Other, Female,0,0,50, Puerto-Rico, <=50K
20, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,20, United-States, <=50K
28, State-gov, Bachelors, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,28, Columbia, <=50K
20, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Poland, <=50K
47, Private, HS-grad, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
63, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,35, Outlying-US(Guam-USVI-etc), <=50K
32, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, El-Salvador, <=50K
47, Private, Some-college, Separated, Prof-specialty, Wife, White, Female,0,0,40, Poland, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
21, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
44, Private, Masters, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,7687,0,40, United-States, >50K
61, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
49, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
22, Private, Bachelors, Never-married, Other-service, Unmarried, Black, Male,0,0,10, South, <=50K
47, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Yugoslavia, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, >50K
42, Self-emp-inc, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,15024,0,54, Cambodia, >50K
46, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
25, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
30, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,2865,0,60, United-States, >50K
41, Private, Some-college, Never-married, Sales, Wife, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, China, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Black, Female,15024,0,50, United-States, >50K
32, Private, Some-college, Never-married, Craft-repair, Wife, Black, Male,0,0,40, United-States, <=50K
41, Private, Bachelors, Never-married, Prof-specialty, Wife, Other, Female,0,0,45, United-States, <=50K
25, Private, 5th-6th, Never-married, Adm-clerical, Not-in-family, White, Female,2174,0,50, Haiti, <=50K
21, State-gov, Some-college, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,36, United-States, <=50K
31, Private, Some-college, Never-married, Sales, Unmarried, Black, Male,0,0,45, United-States, <=50K
45, Federal-gov, Masters, Separated, Handlers-cleaners, Unmarried, Black, Male,0,0,40, Cambodia, <=50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, Black, Male,0,0,40, United-States, >50K
37, Self-emp-not-inc, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2377,60, United-States, >50K
40, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, Laos, >50K
45, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,30, United-States, <=50K
35, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,20, United-States, <=50K
23, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, 11th, Never-married, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
43, Private, HS-grad, Never-married, Sales, Wife, White, Female,0,0,35, Cuba, <=50K
44, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Nicaragua, <=50K
59, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
44, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,60, United-States, <=50K
30, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
57, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, South, <=50K
36, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,35, Nicaragua, <=50K
37, Private, Bachelors, Widowed, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Trinadad&Tobago, <=50K
20, Private, 10th, Married-civ-spouse, Farming-fishing, Not-in-family, Black, Male,0,1758,40, El-Salvador, <=50K
17, Private, 10th, Never-married, Sales, Own-child, White, Male,0,0,25, Taiwan, <=50K
28, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Poland, <=50K
22, Private, Some-college, Divorced, Other-service, Not-in-family, Other, Female,0,0,40, Portugal, <=50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Mexico, <=50K
19, Self-emp-not-inc, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
18, Self-emp-not-inc, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,10, United-States, <=50K
19, Private, Assoc-acdm, Never-married, Other-service, Own-child, Other, Female,0,0,35, United-States, <=50K
44, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,60, United-States, <=50K
21, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, Black, Male,0,0,20, Vietnam, <=50K
45, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,16, Portugal, >50K
22, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
58, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, >50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
52, Private, HS-grad, Never-married, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
39, Local-gov, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
45, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,40, United-States, <=50K
29, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Female,7687,0,50, United-States, >50K
36, Private, Bachelors, Divorced, Handlers-cleaners, Not-in-family, Other, Female,0,0,52, United-States, <=50K
34, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,60, United-States, >50K
31, Private, Masters, Married-civ-spouse, Tech-support, Wife, Black, Female,15024,0,40, Hong, >50K
39, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Never-married, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,50, United-States, <=50K
