27, Self-emp-not-inc, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,25, Ecuador, <=50K
64, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,35, Guatemala, <=50K
31, Private, HS-grad, Married-spouse-absent, Adm-clerical, Husband, Black, Female,0,0,40, Canada, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,2884,0,40, Canada, <=50K
27, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
25, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, Other, Male,0,0,50, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,1902,15, England, >50K
17, Private, 9th, Never-married, Other-service, Own-child, Black, Female,0,0,20, Hong, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Hong, >50K
30, State-gov, HS-grad, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, England, <=50K
25, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, Black, Female,0,0,45, Ecuador, <=50K
26, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,30, Puerto-Rico, <=50K
33, Local-gov, Bachelors, Never-married, Adm-clerical, Unmarried, Other, Male,0,0,40, Peru, <=50K
32, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, Peru, <=50K
55, Private, Masters, Separated, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,38, Greece, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,6392,0,60, Poland, >50K
21, Private, HS-grad, Never-married, Other-service, Not-in-family, Other, Male,0,0,40, Trinadad&Tobago, <=50K
36, Federal-gov, Assoc-acdm, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,45, Germany, <=50K
47, Local-gov, Bachelors, Divorced, Other-service, Not-in-family, Black, Female,0,0,40, Ireland, <=50K
50, Federal-gov, HS-grad, Widowed, Priv-house-serv, Not-in-family, Amer-Indian-Eskimo, Male,2584,0,40, Portugal, <=50K
32, Private, Bachelors, Separated, Prof-specialty, Wife, Other, Male,0,0,54, Outlying-US(Guam-USVI-etc), <=50K
37, Private, Some-college, Divorced, Sales, Unmarried, Black, Male,0,0,45, India, <=50K
28, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,52, Yugoslavia, <=50K
38, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,2962,0,35, Dominican-Republic, <=50K
39, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,40, Jamaica, <=50K
59, Private, Prof-school, Divorced, Prof-specialty, Unmarried, Other, Female,0,0,60, South, >50K
42, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Dominican-Republic, <=50K
52, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,30, Outlying-US(Guam-USVI-etc), >50K
45, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,15024,0,40, Outlying-US(Guam-USVI-etc), >50K
27, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,2824,0,40, United-States, <=50K
41, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, Black, Female,99999,0,40, United-States, <=50K
40, Private, 11th, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
37, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, China, >50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Yugoslavia, >50K
69, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,99999,0,40, United-States, >50K
33, Private, HS-grad, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Trinadad&Tobago, <=50K
39, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, Hungary, >50K
19, Private, 11th, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Female,0,0,24, United-States, <=50K
32, Local-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Male,2903,0,16, Nicaragua, <=50K
23, Private, 12th, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,15, Jamaica, <=50K
23, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,30, Greece, <=50K
28, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,16, Guatemala, <=50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,40, Mexico, >50K
30, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,1588,40, Outlying-US(Guam-USVI-etc), <=50K
53, Private, 10th, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,35, Cuba, <=50K
64, Self-emp-inc, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Female,3945,0,40, El-Salvador, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1887,40, United-States, >50K
24, Private, HS-grad, Never-married, Transport-moving, Unmarried, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
34, Private, Bachelors, Separated, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,36, Guatemala, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
33, Local-gov, Assoc-acdm, Never-married, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,40, China, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,30, Ecuador, <=50K
56, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, India, <=50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,7687,0,40, Laos, >50K
50, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
51, Private, HS-grad, Divorced, Tech-support, Unmarried, Other, Female,0,0,40, Cuba, <=50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Female,0,0,50, China, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Ireland, <=50K
43, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, Hong, <=50K
38, State-gov, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,79, Honduras, <=50K
47, Private, HS-grad, Divorced, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
28, Private, Bachelors, Never-married, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
32, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, France, <=50K
54, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,40, United-States, >50K
53, Private, HS-grad, Widowed, Handlers-cleaners, Not-in-family, White, Male,0,0,20, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
57, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,50, Guatemala, >50K
70, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,50, Columbia, >50K
76, Local-gov, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,2996,0,20, Outlying-US(Guam-USVI-etc), <=50K
44, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
38, Private, HS-grad, Separated, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
61, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,1665,40, Japan, >50K
43, State-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, United-States, >50K
27, Private, Some-college, Never-married, Sales, Not-in-family, Other, Male,0,0,50, Germany, <=50K
28, State-gov, Masters, Married-civ-spouse, Adm-clerical, Own-child, Black, Male,0,0,40, Hong, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,2598,0,60, United-States, >50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
36, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Hong, <=50K
24, Private, 11th, Divorced, Priv-house-serv, Other-relative, Black, Male,0,0,15, England, <=50K
74, Private, Some-college, Widowed, Sales, Husband, Other, Male,0,0,16, Haiti, <=50K
57, Private, Some-college, Divorced, Exec-managerial, Unmarried, Other, Female,0,0,54, United-States, <=50K
22, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, South, >50K
44, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Trinadad&Tobago, <=50K
30, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,25, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
42, Private, Bachelors, Married-spouse-absent, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,54, United-States, <=50K
35, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, >50K
31, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Other, Male,0,0,40, United-States, <=50K
47, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, South, <=50K
28, State-gov, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,45, Peru, >50K
30, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,32, United-States, >50K
30, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,1837,45, France, >50K
21, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, India, <=50K
72, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,25, Guatemala, <=50K
22, Private, Some-college, Never-married, Tech-support, Own-child, Black, Female,0,0,15, Puerto-Rico, <=50K
52, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, Black, Female,0,0,40, Nicaragua, >50K
23, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Italy, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, South, <=50K
49, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Cuba, >50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Hong, <=50K
45, Private, Some-college, Divorced, Sales, Not-in-family, Black, Female,0,0,60, United-States, <=50K
46, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,50, Mexico, >50K
51, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Iran, <=50K
54, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,70, Peru, >50K
22, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,62, South, <=50K
38, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,36, Cuba, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
41, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Other, Male,0,0,40, Hungary, <=50K
38, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Hungary, <=50K
24, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
39, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,0,0,40, Iran, <=50K
49, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,45, Nicaragua, <=50K
59, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Sales, Own-child, Other, Female,0,0,35, Philippines, <=50K
53, State-gov, HS-grad, Widowed, Handlers-cleaners, Unmarried, Amer-Indian-Eskimo, Female,0,0,10, South, <=50K
49, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,1977,50, United-States, >50K
64, Private, Bachelors, Widowed, Other-service, Not-in-family, White, Male,0,0,20, United-States, <=50K
34, Local-gov, HS-grad, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,60, Jamaica, >50K
34, Private, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,20, Dominican-Republic, >50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, Vietnam, <=50K
61, Private, 7th-8th, Widowed, Other-service, Wife, Black, Female,0,0,20, India, <=50K
53, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,2611,60, Taiwan, >50K
29, State-gov, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,12, Nicaragua, <=50K
50, Private, Assoc-acdm, Divorced, Transport-moving, Unmarried, White, Male,0,0,50, Taiwan, >50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,2339,40, Jamaica, >50K
22, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, El-Salvador, <=50K
25, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
21, Private, Some-college, Never-married, Tech-support, Unmarried, Other, Male,0,0,40, Japan, <=50K
42, Federal-gov, 11th, Divorced, Prof-specialty, Wife, Black, Male,0,0,40, Laos, <=50K
55, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, South, >50K
22, Private, Some-college, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Portugal, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,40, Honduras, <=50K
41, Private, Some-college, Separated, Sales, Not-in-family, White, Male,0,0,36, France, <=50K
25, Federal-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,50, Jamaica, >50K
60, Private, Doctorate, Married-civ-spouse, Sales, Husband, Black, Male,7119,0,40, Poland, >50K
28, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, United-States, >50K
28, Private, Some-college, Never-married, Transport-moving, Not-in-family, Black, Female,0,0,40, Thailand, <=50K
18, Private, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,15, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,2377,0,40, Outlying-US(Guam-USVI-etc), <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,7298,0,40, England, >50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,1887,50, South, >50K
47, Federal-gov, Bachelors, Divorced, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,45, Japan, <=50K
33, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Female,0,0,40, Iran, >50K
24, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, Other, Male,0,0,40, United-States, <=50K
68, State-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Yugoslavia, >50K
23, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
24, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Male,0,0,37, Iran, <=50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,12, United-States, <=50K
52, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Hong, <=50K
44, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1902,40, Cuba, <=50K
31, Private, Some-college, Never-married, Machine-op-inspct, Unmarried, Other, Male,0,0,35, Hungary, <=50K
38, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,60, Vietnam, >50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Male,0,0,15, Puerto-Rico, <=50K
38, Private, HS-grad, Separated, Farming-fishing, Unmarried, Asian-Pac-Islander, Male,0,0,36, United-States, >50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, Other, Female,0,0,25, Japan, <=50K
26, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
43, Private, Bachelors, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,40, India, <=50K
42, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,37, Yugoslavia, <=50K
25, Private, Bachelors, Never-married, Protective-serv, Own-child, White, Male,0,0,40, Mexico, <=50K
31, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Male,0,0,45, Cambodia, <=50K
29, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,45, Poland, <=50K
18, Private, Bachelors, Never-married, Handlers-cleaners, Other-relative, Other, Male,0,0,50, Hungary, <=50K
51, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,60, Outlying-US(Guam-USVI-etc), <=50K
24, Private, Some-college, Never-married, Transport-moving, Unmarried, Asian-Pac-Islander, Male,0,0,46, Peru, <=50K
42, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Male,8359,0,45, Canada, >50K
44, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
33, Private, Some-college, Never-married, Machine-op-inspct, Unmarried, Black, Male,0,0,71, Japan, <=50K
41, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, El-Salvador, >50K
37, Self-emp-not-inc, Some-college, Divorced, Other-service, Not-in-family, Other, Female,0,0,45, United-States, <=50K
54, Private, Some-college, Married-civ-spouse, Protective-serv, Wife, Asian-Pac-Islander, Male,0,1977,40, Vietnam, >50K
30, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,2906,0,40, Cambodia, <=50K
32, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,45, South, <=50K
30, State-gov, Bachelors, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
51, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, Haiti, >50K
40, Private, HS-grad, Never-married, Protective-serv, Unmarried, White, Male,0,0,60, Mexico, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,60, Portugal, >50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Japan, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States, <=50K
26, Private, HS-grad, Never-married, Transport-moving, Own-child, Other, Male,0,0,30, Thailand, <=50K
20, Private, 11th, Never-married, Prof-specialty, Own-child, Other, Female,0,0,12, Mexico, <=50K
34, Private, HS-grad, Married-civ-spouse, Sales, Wife, White, Female,0,0,15, China, <=50K
42, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,1887,40, Honduras, >50K
51, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, United-States, >50K
21, Private, Bachelors, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
29, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Jamaica, >50K
50, Self-emp-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,3441,0,30, Laos, >50K
33, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,2966,0,40, Ireland, <=50K
41, State-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, Hong, >50K
21, Private, Some-college, Separated, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,24, Jamaica, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Cuba, <=50K
44, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Male,0,0,52, Iran, <=50K
38, Private, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,54, India, >50K
27, Private, Some-college, Divorced, Sales, Not-in-family, Black, Female,0,0,62, Iran, <=50K
24, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Honduras, <=50K
44, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,54, Portugal, >50K
39, Self-emp-not-inc, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,35, United-States, <=50K
56, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,7687,0,50, United-States, >50K
34, Self-emp-inc, Masters, Divorced, Exec-managerial, Not-in-family, Other, Male,14328,0,40, Jamaica, >50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,24, Vietnam, <=50K
34, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,52, Hungary, >50K
36, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, Mexico, >50K
29, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, China, <=50K
20, Private, 10th, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Trinadad&Tobago, <=50K
34, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Cuba, <=50K
24, Private, Some-college, Never-married, Tech-support, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
47, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,40, Trinadad&Tobago, <=50K
