25, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,35, Cuba, <=50K
26, Private, 11th, Never-married, Craft-repair, Own-child, Other, Female,0,0,40, Ecuador, <=50K
36, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
21, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Yugoslavia, <=50K
17, Private, 11th, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,16, South, <=50K
41, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,48, Greece, <=50K
56, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Philippines, <=50K
23, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,4136,0,40, Guatemala, <=50K
56, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Portugal, >50K
34, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, Jamaica, <=50K
39, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, India, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, France, >50K
60, Private, Doctorate, Divorced, Protective-serv, Not-in-family, Other, Female,2778,0,54, France, <=50K
35, Self-emp-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,99999,0,40, Ireland, >50K
26, Private, HS-grad, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Japan, <=50K
26, Local-gov, Assoc-acdm, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
41, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,99999,0,60, Jamaica, >50K
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Other, Male,0,0,40, Ecuador, >50K
21, Private, HS-grad, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,40, South, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Cuba, <=50K
49, Private, Bachelors, Widowed, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,35, Germany, <=50K
21, Private, 9th, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Scotland, <=50K
50, Local-gov, 9th, Divorced, Tech-support, Unmarried, Asian-Pac-Islander, Female,0,0,35, Canada, <=50K
25, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,47, Dominican-Republic, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,15024,0,54, Haiti, >50K
60, Local-gov, HS-grad, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,13672,0,48, Ireland, >50K
31, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,40, Trinadad&Tobago, <=50K
23, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,5701,0,30, Thailand, >50K
34, Private, HS-grad, Never-married, Sales, Own-child, Black, Female,0,0,40, Columbia, <=50K
29, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,48, China, <=50K
22, Private, Some-college, Never-married, Exec-managerial, Own-child, Black, Female,0,0,60, Hong, <=50K
24, Private, HS-grad, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,35, Taiwan, <=50K
40, Local-gov, Bachelors, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Guatemala, <=50K
23, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,25, Greece, <=50K
20, Private, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,48, Thailand, <=50K
63, Private, HS-grad, Widowed, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,20, Canada, <=50K
40, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,2700,0,27, El-Salvador, >50K
33, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, Other, Female,0,0,40, South, <=50K
36, Private, HS-grad, Never-married, Adm-clerical, Own-child, Other, Female,0,0,20, South, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,44, Taiwan, >50K
27, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,50, Scotland, >50K
23, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,1880,40, France, <=50K
23, Local-gov, Assoc-voc, Never-married, Other-service, Not-in-family, Black, Male,0,0,35, China, <=50K
36, Federal-gov, 9th, Married-civ-spouse, Sales, Own-child, Black, Male,0,0,50, Jamaica, <=50K
55, Self-emp-not-inc, HS-grad, Divorced, Handlers-cleaners, Wife, Other, Male,4882,0,40, Taiwan, >50K
27, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Portugal, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,32, Iran, <=50K
27, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, Thailand, <=50K
44, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,15024,0,44, England, >50K
29, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,7687,0,40, Guatemala, >50K
26, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,48, Taiwan, <=50K
35, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,65, Taiwan, <=50K
49, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Guatemala, <=50K
29, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Greece, <=50K
43, Private, Some-college, Divorced, Exec-managerial, Own-child, Black, Female,3109,0,40, Portugal, <=50K
51, Self-emp-not-inc, Masters, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,40, Taiwan, >50K
59, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,50, Outlying-US(Guam-USVI-etc), >50K
51, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Poland, >50K
25, Self-emp-not-inc, Some-college, Never-married, Other-service, Unmarried, Black, Female,0,0,35, Scotland, <=50K
45, Private, Some-college, Divorced, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,0,0,35, Peru, <=50K
23, Private, Assoc-voc, Never-married, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,0,0,54, Taiwan, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,48, China, <=50K
58, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Wife, Black, Male,0,2226,40, Puerto-Rico, <=50K
43, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,60, Outlying-US(Guam-USVI-etc), <=50K
45, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,45, India, >50K
32, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Japan, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,40, Taiwan, <=50K
24, Private, HS-grad, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,40, El-Salvador, <=50K
51, State-gov, HS-grad, Widowed, Machine-op-inspct, Unmarried, White, Male,0,0,35, Honduras, <=50K
29, Private, 10th, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
56, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,40, Nicaragua, >50K
53, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,40, Italy, <=50K
20, Self-emp-not-inc, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Hungary, <=50K
57, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
35, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Columbia, <=50K
28, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Guatemala, <=50K
60, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Divorced, Adm-clerical, Own-child, Other, Male,0,0,20, Ireland, >50K
40, Federal-gov, 9th, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,60, Hong, <=50K
34, Federal-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,35, Japan, <=50K
25, Private, Some-college, Never-married, Handlers-cleaners, Husband, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
49, Private, Assoc-voc, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
29, State-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, Jamaica, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,45, Haiti, >50K
57, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Haiti, <=50K
45, Private, HS-grad, Divorced, Protective-serv, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
34, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,20, Honduras, <=50K
31, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Italy, <=50K
28, Self-emp-inc, HS-grad, Never-married, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Female,0,0,45, Thailand, <=50K
49, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Female,0,1902,40, Japan, <=50K
59, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,0,20, Outlying-US(Guam-USVI-etc), <=50K
56, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
23, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
43, Private, HS-grad, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,40, India, <=50K
33, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
36, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
57, Private, 9th, Married-civ-spouse, Farming-fishing, Husband, Black, Female,0,0,45, Honduras, >50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,60, Peru, <=50K
25, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Italy, >50K
42, Private, Assoc-acdm, Divorced, Tech-support, Unmarried, White, Male,0,0,40, Peru, <=50K
51, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,38, Vietnam, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,40, India, >50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Female,0,0,40, Ecuador, <=50K
28, Private, HS-grad, Never-married, Prof-specialty, Own-child, Other, Male,0,0,40, Portugal, <=50K
70, Private, HS-grad, Widowed, Tech-support, Not-in-family, Black, Female,0,0,5, Iran, <=50K
31, Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, Black, Male,0,0,40, Iran, <=50K
20, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,40, South, <=50K
23, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Peru, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,45, Mexico, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, Greece, <=50K
26, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
40, Federal-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, India, >50K
25, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, Laos, <=50K
46, Local-gov, Some-college, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,38, Puerto-Rico, >50K
31, Private, Some-college, Never-married, Transport-moving, Husband, Black, Male,2774,0,40, Peru, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,36, Taiwan, <=50K
38, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, Japan, <=50K
34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, Ecuador, >50K
31, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Male,0,0,54, Peru, <=50K
30, Federal-gov, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
35, Private, 7th-8th, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, India, <=50K
45, Private, Some-college, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,54, Honduras, <=50K
51, Private, Masters, Divorced, Tech-support, Unmarried, Black, Male,0,0,43, South, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,45, Yugoslavia, <=50K
61, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
25, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Honduras, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,20, Trinadad&Tobago, <=50K
55, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,1671,50, Guatemala, <=50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, Other, Female,15024,0,40, Columbia, >50K
63, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1902,60, Haiti, >50K
25, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
37, Private, HS-grad, Separated, Adm-clerical, Other-relative, Black, Female,0,0,40, Nicaragua, <=50K
37, Private, HS-grad, Never-married, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,40, Trinadad&Tobago, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Iran, <=50K
46, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Puerto-Rico, <=50K
23, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
30, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Female,6013,0,40, Yugoslavia, <=50K
28, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, Italy, <=50K
27, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,54, Cambodia, >50K
41, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,50, Mexico, <=50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Haiti, <=50K
49, Local-gov, Some-college, Divorced, Sales, Not-in-family, Other, Male,0,0,45, Jamaica, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,15, Japan, <=50K
68, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1574,20, Canada, >50K
59, Self-emp-inc, Doctorate, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,85, Puerto-Rico, <=50K
51, Private, Some-college, Widowed, Craft-repair, Wife, Asian-Pac-Islander, Female,15024,0,16, South, >50K
50, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,35, Iran, <=50K
33, Local-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,50, Ecuador, >50K
40, State-gov, Some-college, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,40, South, <=50K
36, Private, Some-college, Never-married, Other-service, Wife, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
20, Federal-gov, Some-college, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male,0,0,40, Cambodia, <=50K
43, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
45, State-gov, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Jamaica, >50K
60, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,40, Greece, >50K
58, Local-gov, Assoc-acdm, Never-married, Prof-specialty, Wife, Other, Female,0,0,40, Italy, <=50K
58, Private, Doctorate, Married-civ-spouse, Farming-fishing, Husband, Black, Female,0,0,36, Nicaragua, <=50K
45, Local-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
37, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,50, Peru, <=50K
57, Private, 11th, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,40, Ireland, <=50K
37, Private, HS-grad, Never-married, Sales, Wife, White, Female,0,1885,30, China, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,50, Greece, <=50K
26, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Male,3201,0,40, Scotland, >50K
40, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,1902,40, Taiwan, <=50K
26, Self-emp-not-inc, Masters, Divorced, Other-service, Not-in-family, White, Female,0,0,40, India, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,35, Iran, >50K
23, Private, Assoc-voc, Never-married, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Female,0,0,30, Hong, <=50K
26, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,40, Guatemala, <=50K
24, Private, HS-grad, Never-married, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,40, Hungary, <=50K
62, Private, 12th, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,48, Columbia, <=50K
47, Private, Bachelors, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Honduras, >50K
37, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,7298,0,40, Honduras, >50K
49, Local-gov, Some-college, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,60, Honduras, <=50K
55, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Guatemala, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, Mexico, <=50K
23, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, South, <=50K
22, Private, Assoc-voc, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,60, Puerto-Rico, <=50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, India, <=50K
18, Private, Assoc-acdm, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Female,0,0,20, South, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, >50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,20, Guatemala, <=50K
